,ID,Symbol,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,TOTTRDQTY,TOTTRDVAL,TOTALTRADES,UP_DOWN,CHNAGE_%,SMA_14,SMA_21,SMA_50,SMA_200,ABT_cases
4953,65111.0,AARTIDRUGS,20210412,729.9,729.9,691.05,696.05,720928.0,508880542.9,29895.0,-,0,696.05,696.05,696.05,696.05,0
5397,70867.0,AARTIDRUGS,20210413,697.8,719.35,697.8,715.55,559191.0,397021464.4,19808.0,UP,2.8,705.8,705.8,705.8,705.8,0
5686,81390.0,AARTIDRUGS,20210415,714.1,714.1,700.05,703.85,316853.0,223500437.4,15864.0,DOWN,-1.64,705.15,705.15,705.15,705.15,0
6136,86162.0,AARTIDRUGS,20210416,704.15,713.9,699.05,701.85,282059.0,199216454.85,10655.0,DOWN,-0.28,704.325,704.325,704.325,704.325,0
6697,102927.0,AARTIDRUGS,20210419,696.0,728.9,671.05,715.15,1064037.0,758652917.55,37744.0,UP,1.89,706.49,706.49,706.49,706.49,0
7094,107262.0,AARTIDRUGS,20210420,724.0,747.95,716.15,722.2,1362740.0,994367371.75,48003.0,UP,0.99,709.1083333333332,709.1083333333332,709.1083333333332,709.1083333333332,0
7641,118288.0,AARTIDRUGS,20210422,722.65,737.5,722.25,727.6,509029.0,371667386.95,20483.0,UP,0.75,711.75,711.75,711.75,711.75,0
8241,124524.0,AARTIDRUGS,20210423,727.7,735.3,701.3,715.0,352104.0,255058643.55,16393.0,DOWN,-1.73,712.15625,712.15625,712.15625,712.15625,0
8360,141811.0,AARTIDRUGS,20210426,721.75,732.0,711.15,715.6,284682.0,205423324.2,11631.0,UP,0.08,712.5388888888889,712.5388888888889,712.5388888888889,712.5388888888889,0
9044,146599.0,AARTIDRUGS,20210427,725.0,733.0,718.0,723.15,362213.0,262377666.4,12318.0,UP,1.06,713.6,713.6,713.6,713.6,0
9496,152346.0,AARTIDRUGS,20210428,726.95,732.0,715.6,719.3,341078.0,247276183.1,10796.0,DOWN,-0.53,714.1181818181818,714.1181818181818,714.1181818181818,714.1181818181818,0
9752,158570.0,AARTIDRUGS,20210429,722.0,729.9,717.0,718.75,387456.0,280194428.25,11405.0,DOWN,-0.08,714.5041666666666,714.5041666666666,714.5041666666666,714.5041666666666,0
10599,164331.0,AARTIDRUGS,20210430,714.0,722.0,705.6,709.95,258410.0,184955607.05,9742.0,DOWN,-1.22,714.1538461538462,714.1538461538462,714.1538461538462,714.1538461538462,0
10753,16295.0,AARTIDRUGS,20210503,706.1,727.0,706.1,719.35,328624.0,236528098.4,10977.0,UP,1.32,714.525,714.525,714.525,714.525,0
11433,22015.0,AARTIDRUGS,20210504,723.6,726.3,707.7,711.05,292083.0,209945089.65,9248.0,DOWN,-1.15,715.5964285714286,714.2933333333333,714.2933333333333,714.2933333333333,CROSSED_2
11629,27263.0,AARTIDRUGS,20210505,714.8,721.6,711.5,714.75,203192.0,145622016.85,6836.0,UP,0.52,715.5392857142857,714.321875,714.321875,714.321875,CROSSED_2
12150,33019.0,AARTIDRUGS,20210506,719.0,836.55,716.3,793.65,8227736.0,6569893780.3,282584.0,UP,11.04,721.9535714285713,718.9882352941177,718.9882352941177,718.9882352941177,CROSSED_2
12842,40225.0,AARTIDRUGS,20210507,797.5,817.3,772.0,781.8,2058929.0,1629951146.95,62173.0,DOWN,-1.49,727.6642857142858,722.4777777777778,722.4777777777778,722.4777777777778,CROSSED_2
13237,58402.0,AARTIDRUGS,20210510,785.9,831.0,779.25,813.6,3023297.0,2461579358.5,97973.0,UP,4.07,734.6964285714286,727.2736842105263,727.2736842105263,727.2736842105263,CROSSED_2
13821,63701.0,AARTIDRUGS,20210511,813.0,833.0,803.1,811.65,1141842.0,935741325.4,36314.0,DOWN,-0.24,741.0857142857143,731.4925000000001,731.4925000000001,731.4925000000001,CROSSED_2
14168,68460.0,AARTIDRUGS,20210512,811.0,821.95,790.25,798.3,685941.0,554339287.0,22018.0,DOWN,-1.64,746.1357142857142,734.6738095238095,734.6738095238095,734.6738095238095,CROSSED_2
14523,79981.0,AARTIDRUGS,20210514,804.0,841.8,796.1,817.5,1662329.0,1364338060.25,52365.0,UP,2.41,753.4571428571428,740.4571428571429,738.4386363636363,738.4386363636363,CROSSED_2
15139,95734.0,AARTIDRUGS,20210517,765.0,779.05,745.45,752.1,2292154.0,1753708188.3,70303.0,DOWN,-8.0,756.0642857142857,742.197619047619,739.0326086956521,739.0326086956521,CROSSED_2
15583,101014.0,AARTIDRUGS,20210518,760.0,775.7,752.75,758.45,845055.0,642439215.2,30484.0,UP,0.84,758.5857142857143,744.797619047619,739.8416666666667,739.8416666666667,CROSSED_2
16143,105826.0,AARTIDRUGS,20210519,762.0,770.0,760.4,763.4,498333.0,381096983.25,17383.0,UP,0.65,761.7357142857144,747.7285714285715,740.784,740.784,CROSSED_2
