,ID,Symbol,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,TOTTRDQTY,TOTTRDVAL,TOTALTRADES,UP_DOWN,CHNAGE_%,SMA_14,SMA_21,SMA_50,SMA_200,ABT_cases
4954,65112.0,AAVAS,20210412,2339.0,2339.4,2124.15,2171.55,505937.0,1138127847.2,14592.0,-,0,2171.55,2171.55,2171.55,2171.55,0
5398,70868.0,AAVAS,20210413,2219.95,2324.0,2150.05,2295.4,101728.0,228516832.15,14052.0,UP,5.7,2233.4750000000004,2233.4750000000004,2233.4750000000004,2233.4750000000004,0
5685,81391.0,AAVAS,20210415,2270.5,2363.35,2265.0,2327.6,128096.0,300445140.9,7283.0,UP,1.4,2264.85,2264.85,2264.85,2264.85,0
6135,86163.0,AAVAS,20210416,2358.0,2358.0,2294.0,2316.05,23314.0,54244989.3,5455.0,DOWN,-0.5,2277.65,2277.65,2277.65,2277.65,0
6696,102928.0,AAVAS,20210419,2300.0,2300.0,2225.0,2236.6,236286.0,542229604.2,6663.0,DOWN,-3.43,2269.44,2269.44,2269.44,2269.44,0
7095,107263.0,AAVAS,20210420,2258.0,2292.75,2230.0,2244.7,22640.0,51241038.7,4110.0,UP,0.36,2265.3166666666666,2265.3166666666666,2265.3166666666666,2265.3166666666666,0
7640,118289.0,AAVAS,20210422,2230.0,2278.5,2155.0,2208.95,90264.0,198253919.3,14681.0,DOWN,-1.59,2257.264285714286,2257.264285714286,2257.264285714286,2257.264285714286,0
8240,124525.0,AAVAS,20210423,2198.0,2285.0,2184.7,2271.75,49021.0,109988307.35,8010.0,UP,2.84,2259.075,2259.075,2259.075,2259.075,0
8361,141812.0,AAVAS,20210426,2300.0,2300.0,2210.0,2235.9,47151.0,105774963.45,6980.0,DOWN,-1.58,2256.5,2256.5,2256.5,2256.5,0
9045,146600.0,AAVAS,20210427,2259.0,2290.0,2205.0,2277.1,183672.0,406919839.55,4875.0,UP,1.84,2258.56,2258.56,2258.56,2258.56,0
9495,152347.0,AAVAS,20210428,2290.0,2322.1,2251.8,2276.2,96569.0,220971853.5,16614.0,DOWN,-0.04,2260.163636363636,2260.163636363636,2260.163636363636,2260.163636363636,0
9753,158571.0,AAVAS,20210429,2305.8,2345.0,2250.0,2292.55,194850.0,448771495.7,20070.0,UP,0.72,2262.8624999999997,2262.8624999999997,2262.8624999999997,2262.8624999999997,0
10598,164332.0,AAVAS,20210430,2292.55,2299.4,2205.0,2274.65,121332.0,271609372.15,7660.0,DOWN,-0.78,2263.769230769231,2263.769230769231,2263.769230769231,2263.769230769231,0
10752,16296.0,AAVAS,20210503,2257.0,2290.0,2240.05,2284.45,31189.0,70891853.3,4332.0,UP,0.43,2265.2464285714286,2265.2464285714286,2265.2464285714286,2265.2464285714286,0
11432,22016.0,AAVAS,20210504,2264.0,2316.15,2221.0,2247.2,40444.0,91850238.0,6317.0,DOWN,-1.63,2270.65,2264.0433333333335,2264.0433333333335,2264.0433333333335,CROSSED_2
11628,27264.0,AAVAS,20210505,2280.0,2280.0,2235.0,2241.15,14409.0,32513248.85,3005.0,DOWN,-0.27,2266.775,2262.6125,2262.6125,2262.6125,CROSSED_2
12151,33020.0,AAVAS,20210506,2241.15,2249.0,2202.05,2209.05,32903.0,73043156.9,5829.0,DOWN,-1.43,2258.307142857143,2259.461764705882,2259.461764705882,2259.461764705882,WILL_CROSS_1
12843,40226.0,AAVAS,20210507,2220.1,2239.0,2191.55,2210.45,43152.0,95132067.75,5405.0,UP,0.06,2250.764285714286,2256.738888888889,2256.738888888889,2256.738888888889,WILL_CROSS_1
13236,58403.0,AAVAS,20210510,2210.9,2225.0,2191.0,2208.5,84461.0,186343633.7,8982.0,DOWN,-0.09,2248.7571428571428,2254.2000000000003,2254.2000000000003,2254.2000000000003,WILL_CROSS_1
