,ID,Symbol,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,TOTTRDQTY,TOTTRDVAL,TOTALTRADES,UP_DOWN,CHNAGE_%,SMA_14,SMA_21,SMA_50,SMA_200,ABT_cases
61091,64648.0,ABSLAMC,20211011,715.0,722.9,695.35,699.45,7876940.0,5578128846.15,263223.0,-,0,699.45,699.45,699.45,699.45,0
61441,69903.0,ABSLAMC,20211012,700.0,700.0,678.3,682.3,1649958.0,1128604571.9,148135.0,DOWN,-2.45,690.875,690.875,690.875,690.875,0
61814,75197.0,ABSLAMC,20211013,681.1,681.95,672.0,678.2,1050858.0,711473551.95,52613.0,DOWN,-0.6,686.65,686.65,686.65,686.65,0
62535,80454.0,ABSLAMC,20211014,676.05,703.0,672.8,697.15,1009332.0,697771421.6,44475.0,UP,2.79,689.275,689.275,689.275,689.275,0
62941,102463.0,ABSLAMC,20211018,698.25,701.95,680.0,683.95,435065.0,299739193.1,24261.0,DOWN,-1.89,688.21,688.21,688.21,688.21,0
63366,106798.0,ABSLAMC,20211019,683.0,692.95,675.0,678.9,372408.0,254646402.1,26790.0,DOWN,-0.74,686.6583333333333,686.6583333333333,686.6583333333333,686.6583333333333,0
63753,112066.0,ABSLAMC,20211020,681.55,683.15,661.2,662.15,391114.0,261555319.8,25328.0,DOWN,-2.47,683.157142857143,683.157142857143,683.157142857143,683.157142857143,0
64491,117358.0,ABSLAMC,20211021,667.5,671.9,657.0,658.7,266001.0,176141684.5,17547.0,DOWN,-0.52,680.1,680.1,680.1,680.1,0
64929,123594.0,ABSLAMC,20211022,659.0,667.4,654.65,658.65,216987.0,143233174.5,13730.0,DOWN,-0.01,677.7166666666667,677.7166666666667,677.7166666666667,677.7166666666667,0
65018,141345.0,ABSLAMC,20211025,658.65,662.0,635.75,651.25,395106.0,256427322.9,26046.0,DOWN,-1.12,675.0699999999999,675.0699999999999,675.0699999999999,675.0699999999999,0
65704,146133.0,ABSLAMC,20211026,660.0,665.0,637.8,639.2,545362.0,352571402.55,35227.0,DOWN,-1.85,671.8090909090909,671.8090909090909,671.8090909090909,671.8090909090909,0
66350,151413.0,ABSLAMC,20211027,640.95,642.0,620.5,623.35,1043401.0,651458205.7,61672.0,DOWN,-2.48,667.7708333333334,667.7708333333334,667.7708333333334,667.7708333333334,0
66422,157637.0,ABSLAMC,20211028,621.1,649.8,616.15,630.05,1491570.0,928224047.65,33553.0,UP,1.07,664.8692307692307,664.8692307692307,664.8692307692307,664.8692307692307,0
67282,163398.0,ABSLAMC,20211029,627.0,651.0,622.3,649.1,424720.0,273005916.05,24764.0,UP,3.02,663.7428571428571,663.7428571428571,663.7428571428571,663.7428571428571,0
67687,4796.0,ABSLAMC,20211101,651.0,665.0,646.15,652.35,235406.0,154827232.65,13848.0,UP,0.5,660.3785714285714,662.9833333333333,662.9833333333333,662.9833333333333,WILL_CROSS_1
68181,11014.0,ABSLAMC,20211102,652.35,662.1,645.35,648.7,206419.0,134742225.55,11070.0,DOWN,-0.56,657.9785714285715,662.090625,662.090625,662.090625,WILL_CROSS_1
68324,16768.0,ABSLAMC,20211103,650.0,651.65,639.0,640.6,89927.0,57999215.5,6078.0,DOWN,-1.25,655.2928571428571,660.8264705882352,660.8264705882352,660.8264705882352,WILL_CROSS_1
69209,22983.0,ABSLAMC,20211104,642.0,648.9,638.0,646.35,59104.0,38228872.1,4791.0,UP,0.9,651.6642857142857,660.0222222222222,660.0222222222222,660.0222222222222,WILL_CROSS_1
69451,46955.0,ABSLAMC,20211108,645.65,645.65,631.1,632.4,309066.0,196523657.05,12568.0,DOWN,-2.16,647.9821428571429,658.5684210526315,658.5684210526315,658.5684210526315,WILL_CROSS_1
69766,53128.0,ABSLAMC,20211109,632.45,638.0,630.55,631.15,302366.0,191586826.45,12241.0,DOWN,-0.2,644.5714285714286,657.1975,657.1975,657.1975,WILL_CROSS_1
70624,59371.0,ABSLAMC,20211110,630.1,635.65,624.2,626.0,345759.0,216562795.05,18751.0,DOWN,-0.82,641.9892857142858,655.7119047619047,655.7119047619047,655.7119047619047,WILL_CROSS_1
71003,64174.0,ABSLAMC,20211111,627.2,632.4,623.1,624.45,196212.0,123011631.2,8953.0,DOWN,-0.25,639.5428571428572,652.1404761904762,654.290909090909,654.290909090909,WILL_CROSS_1
71115,69429.0,ABSLAMC,20211112,629.85,629.85,619.05,619.7,352841.0,219000500.4,16463.0,DOWN,-0.76,636.7607142857142,649.1595238095239,652.7869565217392,652.7869565217392,WILL_CROSS_1
71734,85221.0,ABSLAMC,20211115,618.5,623.4,617.0,617.6,338667.0,209762863.1,18850.0,DOWN,-0.34,634.3571428571429,646.2738095238095,651.3208333333333,651.3208333333333,WILL_CROSS_1
72319,90947.0,ABSLAMC,20211116,617.5,619.95,608.0,609.35,394924.0,240949841.85,27186.0,DOWN,-1.34,632.2250000000001,642.0928571428572,649.642,649.642,WILL_CROSS_1
73002,96706.0,ABSLAMC,20211117,609.35,611.55,598.2,603.8,528097.0,318282965.85,50951.0,DOWN,-0.91,630.8285714285714,638.2761904761905,647.8788461538461,647.8788461538461,WILL_CROSS_1
73341,101986.0,ABSLAMC,20211118,602.0,604.35,583.8,584.9,628805.0,369393243.85,43663.0,DOWN,-3.13,627.6035714285715,633.8,645.5462962962963,645.5462962962963,WILL_CROSS_1
73879,123116.0,ABSLAMC,20211122,585.0,598.25,578.05,594.7,341218.0,199989943.95,19095.0,UP,1.68,623.7178571428573,630.5880952380952,643.7303571428572,643.7303571428572,WILL_CROSS_1
74245,129317.0,ABSLAMC,20211123,594.0,600.0,587.2,597.8,168137.0,99788539.25,9857.0,UP,0.52,619.8214285714286,627.6880952380952,642.1465517241379,642.1465517241379,WILL_CROSS_1
74784,135086.0,ABSLAMC,20211124,599.9,605.5,596.5,598.55,153716.0,92486509.0,15129.0,UP,0.13,616.2392857142858,624.8261904761904,640.6933333333333,640.6933333333333,WILL_CROSS_1
75353,140866.0,ABSLAMC,20211125,589.0,599.4,589.0,595.05,75456.0,44919045.6,4713.0,DOWN,-0.58,612.9857142857143,622.15,639.2209677419354,639.2209677419354,WILL_CROSS_1
75665,145654.0,ABSLAMC,20211126,590.0,599.55,588.8,593.45,654445.0,389152608.45,20277.0,DOWN,-0.27,609.2071428571428,619.9714285714286,637.790625,637.790625,WILL_CROSS_1
76300,162919.0,ABSLAMC,20211129,582.05,587.95,570.0,575.9,193867.0,111578433.95,12079.0,DOWN,-2.96,605.1714285714286,617.7119047619047,635.9151515151516,635.9151515151516,WILL_CROSS_1
76508,169105.0,ABSLAMC,20211130,572.0,595.0,572.0,577.15,307291.0,178515899.2,14834.0,UP,0.22,601.3142857142857,615.1928571428572,634.1867647058823,634.1867647058823,WILL_CROSS_1
77056,1462.0,ABSLAMC,20211201,582.0,586.15,573.0,574.5,169375.0,97612281.0,12499.0,DOWN,-0.46,597.6357142857142,611.6404761904762,632.4814285714285,632.4814285714285,WILL_CROSS_1
77592,7645.0,ABSLAMC,20211202,575.0,579.8,574.0,577.95,118834.0,68543651.05,8670.0,UP,0.6,594.3142857142857,608.097619047619,630.9666666666667,630.9666666666667,WILL_CROSS_1
77902,13396.0,ABSLAMC,20211203,579.45,584.8,576.3,581.45,123164.0,71598092.35,6415.0,UP,0.61,591.5821428571428,604.895238095238,629.6283783783783,629.6283783783783,WILL_CROSS_1
78529,30608.0,ABSLAMC,20211206,581.45,587.75,576.0,577.15,140344.0,81575019.35,7554.0,DOWN,-0.74,588.6928571428571,601.8738095238095,628.2473684210527,628.2473684210527,WILL_CROSS_1
79010,36369.0,ABSLAMC,20211207,578.0,583.75,575.0,577.0,86643.0,50097711.7,5728.0,DOWN,-0.03,586.3821428571429,598.5714285714286,626.9333333333334,626.9333333333334,WILL_CROSS_1
79401,43580.0,ABSLAMC,20211208,578.0,585.9,578.0,582.5,119154.0,69297224.4,7524.0,UP,0.95,584.8607142857143,596.195238095238,625.8225,625.8225,WILL_CROSS_1
79879,49770.0,ABSLAMC,20211209,584.95,595.0,583.7,593.55,198486.0,117318320.55,10161.0,UP,1.9,585.4785714285715,594.4047619047619,625.0353658536585,625.0353658536585,WILL_CROSS_1
80190,55512.0,ABSLAMC,20211210,593.55,597.0,587.0,589.45,109805.0,64912065.7,6007.0,DOWN,-0.69,585.1035714285714,592.6642857142857,624.1880952380952,624.1880952380952,WILL_CROSS_1
