,ID,Symbol,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,TOTTRDQTY,TOTTRDVAL,TOTALTRADES,UP_DOWN,CHNAGE_%,SMA_14,SMA_21,SMA_50,SMA_200,ABT_cases
4973,65131.0,AMARAJABAT,20210412,810.0,813.8,795.0,799.45,1591677.0,1276912312.85,46722.0,-,0,799.45,799.45,799.45,799.45,0
5417,70887.0,AMARAJABAT,20210413,800.0,809.9,791.65,805.15,1001740.0,800717805.05,29478.0,UP,0.71,802.3,802.3,802.3,802.3,0
5666,81410.0,AMARAJABAT,20210415,807.95,810.0,788.5,801.9,1006376.0,804445829.65,31990.0,DOWN,-0.4,802.1666666666666,802.1666666666666,802.1666666666666,802.1666666666666,0
6116,86182.0,AMARAJABAT,20210416,801.9,818.1,796.5,809.35,936286.0,757529375.45,29707.0,UP,0.93,803.9625,803.9625,803.9625,803.9625,0
6677,102947.0,AMARAJABAT,20210419,804.0,804.0,780.1,800.0,838876.0,666416557.0,35659.0,DOWN,-1.16,803.17,803.17,803.17,803.17,0
7114,107282.0,AMARAJABAT,20210420,807.65,815.9,798.8,800.85,1062673.0,859114802.85,24330.0,UP,0.11,802.7833333333333,802.7833333333333,802.7833333333333,802.7833333333333,0
7621,118308.0,AMARAJABAT,20210422,786.2,800.9,786.2,796.05,966057.0,768454036.25,28395.0,DOWN,-0.6,801.8214285714286,801.8214285714286,801.8214285714286,801.8214285714286,0
8221,124544.0,AMARAJABAT,20210423,800.15,808.0,796.0,800.55,833458.0,668254722.2,23997.0,UP,0.57,801.6625,801.6625,801.6625,801.6625,0
8380,141831.0,AMARAJABAT,20210426,802.0,811.9,799.6,801.3,714077.0,575616159.9,21324.0,UP,0.09,801.6222222222223,801.6222222222223,801.6222222222223,801.6222222222223,0
9064,146619.0,AMARAJABAT,20210427,805.0,809.1,800.1,802.6,508197.0,408719425.55,15815.0,UP,0.16,801.72,801.72,801.72,801.72,0
9476,152366.0,AMARAJABAT,20210428,806.0,816.95,804.5,813.15,1079441.0,876294259.6,23038.0,UP,1.31,802.7590909090909,802.7590909090909,802.7590909090909,802.7590909090909,0
9772,158590.0,AMARAJABAT,20210429,823.0,826.0,801.0,802.2,1335655.0,1086153179.1,35089.0,DOWN,-1.35,802.7125,802.7125,802.7125,802.7125,0
10579,164351.0,AMARAJABAT,20210430,801.8,814.9,795.6,810.75,917883.0,742223176.5,26569.0,UP,1.07,803.3307692307692,803.3307692307692,803.3307692307692,803.3307692307692,0
10733,16315.0,AMARAJABAT,20210503,785.15,791.45,756.95,782.3,2244826.0,1743760292.15,78872.0,DOWN,-3.51,801.8285714285714,801.8285714285714,801.8285714285714,801.8285714285714,0
11577,22035.0,AMARAJABAT,20210504,782.3,787.7,765.0,766.5,1310320.0,1015186992.25,46389.0,DOWN,-2.02,799.475,799.4733333333334,799.4733333333334,799.4733333333334,CROSSED_2
11610,27283.0,AMARAJABAT,20210505,767.35,776.8,766.0,769.35,622455.0,479289002.7,21703.0,UP,0.37,796.9178571428572,797.590625,797.590625,797.590625,WILL_CROSS_1
12170,33039.0,AMARAJABAT,20210506,770.4,799.0,770.4,780.4,1753948.0,1376360876.6,47174.0,UP,1.44,795.3821428571429,796.5794117647059,796.5794117647059,796.5794117647059,WILL_CROSS_1
12862,40245.0,AMARAJABAT,20210507,788.95,788.95,774.4,776.05,778514.0,606671966.35,26423.0,DOWN,-0.56,793.0035714285714,795.4388888888889,795.4388888888889,795.4388888888889,WILL_CROSS_1
13217,58422.0,AMARAJABAT,20210510,790.0,792.7,778.5,784.7,948258.0,744298616.6,32040.0,UP,1.11,791.9107142857143,794.8736842105263,794.8736842105263,794.8736842105263,WILL_CROSS_1
13801,63721.0,AMARAJABAT,20210511,783.0,791.95,780.85,786.6,889940.0,699321468.9,35327.0,UP,0.24,790.8928571428571,794.46,794.46,794.46,WILL_CROSS_1
14148,68480.0,AMARAJABAT,20210512,788.7,816.0,779.8,803.0,3066669.0,2459051351.1,81195.0,UP,2.08,791.3892857142857,794.8666666666667,794.8666666666667,794.8666666666667,WILL_CROSS_1
14544,80001.0,AMARAJABAT,20210514,810.95,816.0,767.0,770.35,2794882.0,2190038605.1,84158.0,DOWN,-4.07,789.2321428571429,793.4809523809523,793.7522727272727,793.7522727272727,WILL_CROSS_1
15119,95754.0,AMARAJABAT,20210517,780.5,780.8,764.1,772.45,875929.0,676064742.75,28721.0,UP,0.27,787.1714285714286,791.9238095238096,792.8260869565217,792.8260869565217,WILL_CROSS_1
15472,101034.0,AMARAJABAT,20210518,778.55,787.9,777.0,784.75,970075.0,760433023.85,22744.0,UP,1.59,785.8964285714285,791.1071428571429,792.4895833333334,792.4895833333334,WILL_CROSS_1
16123,105846.0,AMARAJABAT,20210519,785.0,801.25,783.75,796.15,1348941.0,1072921976.65,34891.0,UP,1.45,784.6821428571428,790.4785714285714,792.6360000000001,792.6360000000001,WILL_CROSS_1
16408,111114.0,AMARAJABAT,20210520,799.8,805.0,787.55,790.3,620209.0,491933836.85,23769.0,DOWN,-0.73,783.8321428571429,790.0166666666667,792.5461538461539,792.5461538461539,WILL_CROSS_1
16757,116905.0,AMARAJABAT,20210521,795.45,795.45,785.2,791.65,583057.0,461217018.1,25408.0,UP,0.17,782.4678571428573,789.5785714285713,792.5129629629629,792.5129629629629,WILL_CROSS_1
17342,134133.0,AMARAJABAT,20210524,801.9,803.7,771.8,783.05,1978431.0,1566200052.85,52502.0,DOWN,-1.09,782.5214285714285,788.9595238095238,792.1750000000001,792.1750000000001,WILL_CROSS_1
17981,139914.0,AMARAJABAT,20210525,755.25,755.25,732.0,733.6,39123250.0,29146684955.6,262997.0,DOWN,-6.32,780.1714285714286,785.7714285714286,790.1551724137931,790.1551724137931,WILL_CROSS_1
18493,144702.0,AMARAJABAT,20210526,741.2,746.7,738.05,742.1,2848784.0,2115314159.0,69689.0,UP,1.16,778.225,782.952380952381,788.5533333333333,788.5533333333333,WILL_CROSS_1
18921,150461.0,AMARAJABAT,20210527,744.8,744.8,735.0,737.5,2238252.0,1651654272.5,51658.0,DOWN,-0.62,775.1607142857143,779.8523809523809,786.9064516129032,786.9064516129032,WILL_CROSS_1
19502,157184.0,AMARAJABAT,20210528,743.95,745.5,734.0,743.75,1896097.0,1405291600.05,39276.0,UP,0.85,772.8535714285715,776.547619047619,785.5578125,785.5578125,WILL_CROSS_1
19617,172448.0,AMARAJABAT,20210531,744.55,747.45,737.6,741.05,1784471.0,1323256749.25,46595.0,DOWN,-0.36,769.7357142857143,773.6357142857144,784.209090909091,784.209090909091,WILL_CROSS_1
20253,3844.0,AMARAJABAT,20210601,741.5,747.95,738.05,739.1,1517337.0,1126113140.2,33939.0,DOWN,-0.26,766.342857142857,770.2238095238096,782.8823529411765,782.8823529411765,WILL_CROSS_1
20653,9078.0,AMARAJABAT,20210602,737.3,743.0,733.0,741.35,1584221.0,1172283519.05,26297.0,UP,0.3,761.9392857142857,768.2738095238095,781.6957142857142,781.6957142857142,WILL_CROSS_1
21200,14860.0,AMARAJABAT,20210603,744.5,756.9,741.55,752.8,2787636.0,2095295254.65,59889.0,UP,1.54,760.6857142857143,767.6214285714285,780.8930555555556,780.8930555555556,WILL_CROSS_1
21434,21079.0,AMARAJABAT,20210604,757.0,762.4,751.1,758.6,2627489.0,1989995888.4,56538.0,UP,0.77,759.6964285714286,767.1095238095238,780.2905405405405,780.2905405405405,WILL_CROSS_1
22003,38788.0,AMARAJABAT,20210607,761.95,765.7,758.6,760.5,1214766.0,926133189.25,37138.0,UP,0.25,757.9642857142857,766.1619047619048,779.7697368421053,779.7697368421053,WILL_CROSS_1
22719,45512.0,AMARAJABAT,20210608,765.0,765.0,754.2,756.15,1188200.0,899931254.95,27230.0,DOWN,-0.57,755.1071428571429,765.2142857142857,779.1641025641026,779.1641025641026,WILL_CROSS_1
23000,51199.0,AMARAJABAT,20210609,759.9,766.95,750.3,755.05,1519938.0,1155246031.5,44082.0,DOWN,-0.15,752.5892857142857,763.8023809523809,778.56125,778.56125,WILL_CROSS_1
23657,56975.0,AMARAJABAT,20210610,758.95,762.3,755.25,759.35,698636.0,530077557.25,30807.0,UP,0.57,750.2821428571427,762.5047619047618,778.0926829268293,778.0926829268293,WILL_CROSS_1
24088,62774.0,AMARAJABAT,20210611,762.0,764.0,755.5,757.35,441021.0,334765646.05,14383.0,DOWN,-0.26,748.4464285714286,760.3309523809523,777.5988095238096,777.5988095238096,WILL_CROSS_1
24175,78554.0,AMARAJABAT,20210614,764.0,774.95,750.0,769.3,2854192.0,2188091510.5,65301.0,UP,1.58,750.9964285714286,760.2809523809525,777.4058139534883,777.4058139534883,WILL_CROSS_1
24933,83788.0,AMARAJABAT,20210615,776.95,786.75,775.0,784.55,3045431.0,2377039260.85,84017.0,UP,1.98,754.0285714285714,760.8571428571429,777.5681818181819,777.5681818181819,WILL_CROSS_1
25225,89016.0,AMARAJABAT,20210616,791.0,791.0,770.0,772.05,2118926.0,1651399561.0,57347.0,DOWN,-1.59,756.4964285714285,760.2523809523809,777.4455555555556,777.4455555555556,WILL_CROSS_1
25580,94308.0,AMARAJABAT,20210617,766.5,778.65,758.0,763.4,1477262.0,1135254446.05,45069.0,DOWN,-1.12,757.8999999999999,758.6928571428571,777.1402173913043,777.1402173913043,WILL_CROSS_1
26180,100580.0,AMARAJABAT,20210618,768.95,769.75,737.25,748.0,2053190.0,1539517026.4,61837.0,DOWN,-2.02,758.3964285714285,756.6785714285713,776.5202127659574,776.5202127659574,WILL_CROSS_1
26629,115460.0,AMARAJABAT,20210621,743.5,751.95,736.0,750.0,805943.0,601205367.3,23837.0,UP,0.27,759.175,754.695238095238,775.9677083333332,775.9677083333332,WILL_CROSS_1
27236,121685.0,AMARAJABAT,20210622,756.7,756.7,745.25,747.05,737675.0,554223771.7,23749.0,DOWN,-0.39,759.5821428571428,752.9809523809524,775.3775510204082,775.3775510204082,WILL_CROSS_1
27499,127387.0,AMARAJABAT,20210623,751.95,756.0,747.25,750.0,811408.0,609319248.15,23490.0,UP,0.39,759.3821428571429,753.7619047619048,774.87,774.87,WILL_CROSS_1
27768,132687.0,AMARAJABAT,20210624,751.0,754.85,740.0,741.3,871010.0,649008197.2,29368.0,DOWN,-1.16,758.1464285714285,753.7238095238095,773.7070000000001,774.2117647058824,WILL_CROSS_1
28295,138967.0,AMARAJABAT,20210625,741.95,747.25,738.7,745.25,663095.0,493384384.65,19899.0,UP,0.53,757.0571428571428,754.092857142857,772.5090000000001,773.6548076923077,WILL_CROSS_1
28906,155737.0,AMARAJABAT,20210628,751.0,754.9,746.55,750.9,723952.0,544382545.4,22732.0,UP,0.76,756.6821428571428,754.4333333333333,771.4889999999999,773.2254716981131,WILL_CROSS_1
29559,161485.0,AMARAJABAT,20210629,750.9,754.95,745.05,745.9,619799.0,464309023.45,19575.0,DOWN,-0.67,756.0285714285716,754.6642857142857,770.22,772.7194444444444,WILL_CROSS_1
30025,166710.0,AMARAJABAT,20210630,748.0,748.65,743.0,745.05,600291.0,447802603.8,20577.0,DOWN,-0.11,755.0071428571429,754.947619047619,769.1210000000001,772.2163636363637,WILL_CROSS_1
30054,2888.0,AMARAJABAT,20210701,745.1,748.65,742.05,744.85,629776.0,469193568.45,20217.0,DOWN,-0.03,754.1142857142858,755.1142857142856,768.0010000000001,771.7276785714286,WILL_CROSS_1
30895,8622.0,AMARAJABAT,20210702,747.15,752.0,745.0,746.55,579305.0,433268533.4,16960.0,UP,0.23,752.4892857142856,754.8166666666666,767.0110000000001,771.2859649122807,WILL_CROSS_1
30973,26328.0,AMARAJABAT,20210705,749.0,753.65,747.25,749.75,732432.0,549311096.7,25264.0,UP,0.43,750.0035714285714,754.395238095238,765.995,770.9146551724139,WILL_CROSS_1
31606,31585.0,AMARAJABAT,20210706,752.0,752.95,743.0,744.2,757906.0,565803297.75,24513.0,DOWN,-0.74,748.0142857142857,753.6190476190476,764.8530000000001,770.4618644067797,WILL_CROSS_1
31850,37833.0,AMARAJABAT,20210707,744.5,744.5,735.0,738.35,1219238.0,899378586.65,49684.0,DOWN,-0.79,746.2250000000001,752.7714285714286,763.568,769.9266666666666,WILL_CROSS_1
32735,44557.0,AMARAJABAT,20210708,740.0,744.45,736.05,738.45,503867.0,373091601.45,16523.0,UP,0.01,745.5428571428572,751.9809523809524,762.0740000000001,769.4106557377049,WILL_CROSS_1
32897,50747.0,AMARAJABAT,20210709,740.0,741.2,731.65,739.7,490571.0,361875170.15,16491.0,UP,0.17,744.8071428571429,751.0452380952381,760.824,768.9314516129032,WILL_CROSS_1
33436,67526.0,AMARAJABAT,20210712,743.0,745.5,737.5,738.45,505939.0,375214538.75,17447.0,DOWN,-0.17,744.1928571428571,750.145238095238,759.3779999999999,768.447619047619,WILL_CROSS_1
33722,73262.0,AMARAJABAT,20210713,740.0,741.95,736.1,737.95,371365.0,274389193.6,12293.0,DOWN,-0.07,743.3321428571428,748.652380952381,758.4910000000001,767.97109375,WILL_CROSS_1
34318,77603.0,AMARAJABAT,20210714,741.0,743.0,735.75,737.3,554805.0,410152026.9,18316.0,DOWN,-0.09,743.0464285714286,746.4023809523809,757.9069999999999,767.4992307692307,WILL_CROSS_1
34818,82837.0,AMARAJABAT,20210715,740.0,740.0,732.2,733.05,648853.0,476693493.25,24013.0,DOWN,-0.58,742.1750000000001,744.5452380952381,757.181,766.9772727272727,WILL_CROSS_1
35270,88564.0,AMARAJABAT,20210716,734.0,736.0,727.45,727.85,1204632.0,879052702.95,29840.0,DOWN,-0.71,740.5285714285716,742.852380952381,756.13,766.3932835820896,WILL_CROSS_1
35842,104890.0,AMARAJABAT,20210719,727.0,729.35,721.0,722.3,1081682.0,783782291.35,32782.0,DOWN,-0.76,738.842857142857,741.6285714285715,755.055,765.7448529411765,WILL_CROSS_1
36092,109660.0,AMARAJABAT,20210720,720.35,724.9,708.45,713.35,1075401.0,767283496.05,41145.0,DOWN,-1.24,736.5785714285714,739.8833333333334,753.628,764.9855072463768,WILL_CROSS_1
36807,120733.0,AMARAJABAT,20210722,718.95,724.85,716.5,721.8,627778.0,452759173.6,32899.0,UP,1.18,734.9321428571428,738.6809523809524,752.3320000000001,764.3685714285715,WILL_CROSS_1
37037,126933.0,AMARAJABAT,20210723,724.9,728.3,720.1,723.25,463380.0,335829166.8,15155.0,UP,0.2,733.2678571428571,737.4071428571428,750.7370000000001,763.7894366197183,WILL_CROSS_1
37679,143746.0,AMARAJABAT,20210726,723.25,730.0,720.0,724.2,480189.0,348935637.25,15356.0,UP,0.13,731.4428571428572,736.5928571428572,749.814,763.2395833333334,WILL_CROSS_1
38081,149006.0,AMARAJABAT,20210727,725.95,729.65,717.05,718.3,628319.0,454645258.0,26178.0,DOWN,-0.81,729.592857142857,735.3095238095239,748.7310000000001,762.6239726027397,WILL_CROSS_1
38355,154784.0,AMARAJABAT,20210728,719.9,722.1,708.7,713.4,534342.0,380955851.9,19386.0,DOWN,-0.68,727.8107142857142,733.5238095238095,747.304,761.9587837837837,WILL_CROSS_1
