,ID,Symbol,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,TOTTRDQTY,TOTTRDVAL,TOTALTRADES,UP_DOWN,CHNAGE_%,SMA_14,SMA_21,SMA_50,SMA_200,ABT_cases
4976,65134.0,ANURAS,20210412,548.0,586.0,516.35,553.65,1187225.0,665021096.0,39411.0,-,0,553.65,553.65,553.65,553.65,0
5420,70890.0,ANURAS,20210413,559.1,585.0,551.9,580.4,659160.0,375757959.7,28412.0,UP,4.83,567.025,567.025,567.025,567.025,0
5663,81413.0,ANURAS,20210415,581.9,600.95,564.2,594.7,671215.0,394415126.2,27422.0,UP,2.46,576.25,576.25,576.25,576.25,0
6113,86185.0,ANURAS,20210416,594.0,607.0,573.35,579.95,465893.0,275124158.25,23456.0,DOWN,-2.48,577.175,577.175,577.175,577.175,0
6674,102950.0,ANURAS,20210419,567.0,569.4,550.0,552.05,206642.0,114777377.7,10870.0,DOWN,-4.81,572.15,572.15,572.15,572.15,0
7117,107285.0,ANURAS,20210420,563.0,570.65,548.8,556.55,205041.0,114775495.85,9358.0,UP,0.82,569.5500000000001,569.5500000000001,569.5500000000001,569.5500000000001,0
7618,118311.0,ANURAS,20210422,560.9,560.9,549.0,554.4,202740.0,112008959.5,11506.0,DOWN,-0.39,567.3857142857142,567.3857142857142,567.3857142857142,567.3857142857142,0
8218,124547.0,ANURAS,20210423,559.0,599.95,554.15,590.0,946298.0,552089033.5,27912.0,UP,6.42,570.2125,570.2125,570.2125,570.2125,0
8383,141834.0,ANURAS,20210426,599.2,609.9,591.15,602.55,784396.0,470056175.85,26551.0,UP,2.13,573.8055555555555,573.8055555555555,573.8055555555555,573.8055555555555,0
9067,146622.0,ANURAS,20210427,610.0,637.0,603.2,629.6,1399747.0,866542513.7,42645.0,UP,4.49,579.385,579.385,579.385,579.385,0
9473,152369.0,ANURAS,20210428,640.0,662.5,635.0,640.0,1017198.0,660943276.6,32582.0,UP,1.65,584.8954545454545,584.8954545454545,584.8954545454545,584.8954545454545,0
9775,158593.0,ANURAS,20210429,654.0,658.0,622.0,632.2,494639.0,314524063.45,21372.0,DOWN,-1.22,588.8375,588.8375,588.8375,588.8375,0
10576,164354.0,ANURAS,20210430,624.0,639.95,618.35,624.25,396130.0,248420126.7,14787.0,DOWN,-1.26,591.5615384615385,591.5615384615385,591.5615384615385,591.5615384615385,0
10731,16318.0,ANURAS,20210503,624.4,641.5,612.0,629.55,396478.0,246918616.8,14975.0,UP,0.85,594.275,594.275,594.275,594.275,0
11574,22038.0,ANURAS,20210504,635.05,646.85,623.0,636.55,427112.0,271502393.45,15865.0,UP,1.11,600.1964285714286,597.0933333333334,597.0933333333334,597.0933333333334,CROSSED_2
11607,27286.0,ANURAS,20210505,642.65,689.0,633.05,682.85,1272598.0,849923170.1,35615.0,UP,7.27,607.5142857142856,602.453125,602.453125,602.453125,CROSSED_2
12173,33042.0,ANURAS,20210506,689.9,716.8,676.5,703.9,1124629.0,787992726.25,26344.0,UP,3.08,615.3142857142857,608.4205882352941,608.4205882352941,608.4205882352941,CROSSED_2
12865,40248.0,ANURAS,20210507,709.9,726.0,702.05,721.1,580306.0,414901004.75,16155.0,UP,2.44,625.3964285714285,614.6805555555555,614.6805555555555,614.6805555555555,CROSSED_2
