,ID,Symbol,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,TOTTRDQTY,TOTTRDVAL,TOTALTRADES,UP_DOWN,CHNAGE_%,SMA_14,SMA_21,SMA_50,SMA_200,ABT_cases
4979,65137.0,APOLLOHOSP,20210412,3119.0,3119.0,2979.05,3004.75,961549.0,2913548331.5,51087.0,-,0,3004.75,3004.75,3004.75,3004.75,0
5423,70893.0,APOLLOHOSP,20210413,3032.35,3061.9,2951.0,2980.75,544916.0,1636718293.25,31965.0,DOWN,-0.8,2992.75,2992.75,2992.75,2992.75,0
5660,81416.0,APOLLOHOSP,20210415,3037.0,3038.95,2902.3,2993.5,692875.0,2056573496.65,42371.0,UP,0.43,2993.0,2993.0,2993.0,2993.0,0
6110,86188.0,APOLLOHOSP,20210416,2999.75,3073.0,2994.0,3061.0,622872.0,1894262102.8,31265.0,UP,2.25,3010.0,3010.0,3010.0,3010.0,0
6671,102953.0,APOLLOHOSP,20210419,3038.0,3243.15,3005.65,3157.4,3552506.0,11264993141.95,169682.0,UP,3.15,3039.48,3039.48,3039.48,3039.48,0
7120,107288.0,APOLLOHOSP,20210420,3210.0,3309.0,3181.75,3269.65,2575420.0,8407787276.55,124210.0,UP,3.56,3077.8416666666667,3077.8416666666667,3077.8416666666667,3077.8416666666667,0
7615,118314.0,APOLLOHOSP,20210422,3269.0,3334.1,3217.25,3228.95,1307224.0,4280974393.15,71152.0,DOWN,-1.24,3099.4285714285716,3099.4285714285716,3099.4285714285716,3099.4285714285716,0
8316,124550.0,APOLLOHOSP,20210423,3258.0,3299.0,3171.0,3200.05,1030125.0,3332082275.65,69560.0,DOWN,-0.9,3112.00625,3112.00625,3112.00625,3112.00625,0
8386,141837.0,APOLLOHOSP,20210426,3230.35,3253.0,3152.0,3174.65,557667.0,1775584703.15,33769.0,DOWN,-0.79,3118.9666666666667,3118.9666666666667,3118.9666666666667,3118.9666666666667,0
9070,146625.0,APOLLOHOSP,20210427,3200.0,3205.0,3157.8,3191.05,505348.0,1608943594.4,30908.0,UP,0.52,3126.175,3126.175,3126.175,3126.175,0
9470,152372.0,APOLLOHOSP,20210428,3210.0,3249.0,3182.6,3199.25,575824.0,1854506864.05,27911.0,UP,0.26,3132.818181818182,3132.818181818182,3132.818181818182,3132.818181818182,0
9778,158596.0,APOLLOHOSP,20210429,3199.25,3260.0,3199.25,3238.9,589707.0,1907971542.55,28842.0,UP,1.24,3141.6583333333333,3141.6583333333333,3141.6583333333333,3141.6583333333333,0
10573,164357.0,APOLLOHOSP,20210430,3256.0,3310.0,3182.8,3197.5,906562.0,2929881028.1,50466.0,DOWN,-1.28,3145.9538461538464,3145.9538461538464,3145.9538461538464,3145.9538461538464,0
10728,16321.0,APOLLOHOSP,20210503,3208.8,3221.8,3140.0,3204.3,728281.0,2314999424.95,35589.0,UP,0.21,3150.121428571428,3150.121428571428,3150.121428571428,3150.121428571428,0
11571,22041.0,APOLLOHOSP,20210504,3233.15,3243.25,3166.4,3181.25,581864.0,1858449549.0,33862.0,DOWN,-0.72,3162.7285714285713,3152.1966666666663,3152.1966666666663,3152.1966666666663,CROSSED_2
11604,27289.0,APOLLOHOSP,20210505,3199.8,3357.0,3176.15,3332.9,1679977.0,5531363161.7,77831.0,UP,4.77,3187.8821428571428,3163.490625,3163.490625,3163.490625,CROSSED_2
12176,33045.0,APOLLOHOSP,20210506,3357.85,3385.9,3300.7,3347.15,1124908.0,3764856816.3,59216.0,UP,0.43,3213.1428571428573,3174.294117647059,3174.294117647059,3174.294117647059,CROSSED_2
12868,40251.0,APOLLOHOSP,20210507,3347.15,3397.0,3302.0,3310.85,774478.0,2586990784.35,42409.0,DOWN,-1.08,3230.9892857142854,3181.8805555555555,3181.8805555555555,3181.8805555555555,CROSSED_2
13211,58428.0,APOLLOHOSP,20210510,3315.0,3342.6,3261.6,3323.7,627199.0,2077392443.9,32775.0,UP,0.39,3242.8678571428572,3189.3447368421052,3189.3447368421052,3189.3447368421052,CROSSED_2
13795,63727.0,APOLLOHOSP,20210511,3315.0,3315.0,3245.25,3258.2,670759.0,2198429859.8,39266.0,DOWN,-1.97,3242.0499999999997,3192.7875,3192.7875,3192.7875,CROSSED_2
14142,68486.0,APOLLOHOSP,20210512,3274.9,3274.9,3185.6,3196.75,703372.0,2260376041.6,47771.0,DOWN,-1.89,3239.75,3192.9761904761904,3192.9761904761904,3192.9761904761904,CROSSED_2
14550,80007.0,APOLLOHOSP,20210514,3200.0,3211.75,3095.35,3140.95,842794.0,2651424291.8,55827.0,DOWN,-1.75,3235.528571428571,3199.4619047619044,3190.6113636363634,3190.6113636363634,CROSSED_2
15113,95760.0,APOLLOHOSP,20210517,3147.0,3189.95,3115.1,3152.35,847722.0,2670396038.9,54956.0,UP,0.36,3233.9357142857148,3207.6333333333337,3188.947826086957,3188.947826086957,CROSSED_2
15466,101040.0,APOLLOHOSP,20210518,3174.0,3188.45,3140.0,3163.5,639445.0,2020906448.05,38500.0,UP,0.35,3231.967857142857,3215.7285714285717,3187.8875000000003,3187.8875000000003,CROSSED_2
16117,105852.0,APOLLOHOSP,20210519,3180.2,3236.1,3161.7,3229.7,711069.0,2280255523.45,32614.0,UP,2.09,3234.1428571428573,3223.7619047619046,3189.56,3189.56,CROSSED_2
16413,111120.0,APOLLOHOSP,20210520,3245.9,3272.75,3214.0,3219.95,752076.0,2436199348.7,28126.0,DOWN,-0.3,3232.7892857142856,3226.7404761904763,3190.728846153846,3190.728846153846,CROSSED_2
16763,116911.0,APOLLOHOSP,20210521,3246.4,3259.4,3225.0,3247.75,471439.0,1529839142.1,23345.0,UP,0.86,3236.378571428571,3225.697619047619,3192.840740740741,3192.840740740741,CROSSED_2
17348,134139.0,APOLLOHOSP,20210524,3248.0,3285.0,3240.15,3261.1,611909.0,1998632422.65,32626.0,UP,0.41,3240.4357142857148,3227.2285714285717,3195.2785714285715,3195.2785714285715,CROSSED_2
17975,139920.0,APOLLOHOSP,20210525,3266.25,3267.0,3170.65,3199.65,622276.0,1993017997.45,48131.0,DOWN,-1.88,3241.75,3227.2095238095235,3195.4293103448276,3195.4293103448276,CROSSED_2
18487,144708.0,APOLLOHOSP,20210526,3205.0,3220.0,3178.1,3183.6,260821.0,832640498.0,20564.0,DOWN,-0.5,3231.0857142857144,3227.6357142857146,3195.0350000000003,3195.0350000000003,CROSSED_2
18926,150467.0,APOLLOHOSP,20210527,3186.5,3223.6,3153.6,3199.0,1084157.0,3469418728.0,36506.0,UP,0.48,3220.503571428572,3228.014285714286,3195.1629032258065,3195.1629032258065,CROSSED_2
19496,157190.0,APOLLOHOSP,20210528,3199.0,3207.0,3140.0,3149.35,555829.0,1760052854.65,33457.0,DOWN,-1.55,3208.967857142857,3225.638095238095,3193.73125,3193.73125,CROSSED_2
