,ID,Symbol,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,TOTTRDQTY,TOTTRDVAL,TOTALTRADES,UP_DOWN,CHNAGE_%,SMA_14,SMA_21,SMA_50,SMA_200,ABT_cases
4991,65149.0,AVANTIFEED,20210412,475.0,475.0,444.0,451.95,393700.0,180750967.8,14734.0,-,0,451.95,451.95,451.95,451.95,0
5434,70905.0,AVANTIFEED,20210413,451.9,474.3,451.0,463.8,323818.0,150510035.95,11265.0,UP,2.62,457.875,457.875,457.875,457.875,0
5648,81428.0,AVANTIFEED,20210415,463.7,472.0,458.0,462.1,158272.0,73210099.9,8335.0,DOWN,-0.37,459.2833333333333,459.2833333333333,459.2833333333333,459.2833333333333,0
6098,86200.0,AVANTIFEED,20210416,465.1,484.5,463.85,479.25,379809.0,181228112.2,11205.0,UP,3.71,464.275,464.275,464.275,464.275,0
6659,102965.0,AVANTIFEED,20210419,463.85,480.4,456.9,474.75,328589.0,154772561.65,13976.0,DOWN,-0.94,466.37,466.37,466.37,466.37,0
7219,107300.0,AVANTIFEED,20210420,477.15,499.35,477.0,492.9,636975.0,311888677.15,21758.0,UP,3.82,470.7916666666667,470.7916666666667,470.7916666666667,470.7916666666667,0
7603,118326.0,AVANTIFEED,20210422,492.9,498.5,484.05,496.0,337801.0,166269304.7,9865.0,UP,0.63,474.39285714285717,474.39285714285717,474.39285714285717,474.39285714285717,0
8305,124562.0,AVANTIFEED,20210423,496.5,523.0,496.0,512.95,1322349.0,678167389.7,33333.0,UP,3.42,479.2125,479.2125,479.2125,479.2125,0
8398,141849.0,AVANTIFEED,20210426,520.0,524.0,490.0,494.1,401408.0,201942396.9,13478.0,DOWN,-3.67,480.8666666666667,480.8666666666667,480.8666666666667,480.8666666666667,0
9083,146637.0,AVANTIFEED,20210427,490.0,497.65,485.15,487.1,324664.0,159884007.35,9228.0,DOWN,-1.42,481.48999999999995,481.48999999999995,481.48999999999995,481.48999999999995,0
9458,152384.0,AVANTIFEED,20210428,489.6,508.0,487.4,495.2,456843.0,226874843.05,12205.0,UP,1.66,482.73636363636365,482.73636363636365,482.73636363636365,482.73636363636365,0
9790,158608.0,AVANTIFEED,20210429,499.0,507.5,486.6,502.5,689135.0,342803367.6,12597.0,UP,1.47,484.3833333333334,484.3833333333334,484.3833333333334,484.3833333333334,0
10561,164369.0,AVANTIFEED,20210430,494.9,500.6,482.0,486.8,186097.0,91487594.7,5616.0,DOWN,-3.12,484.5692307692307,484.5692307692307,484.5692307692307,484.5692307692307,0
10716,16333.0,AVANTIFEED,20210503,488.0,488.0,477.3,479.5,187745.0,90325123.4,7186.0,DOWN,-1.5,484.20714285714286,484.20714285714286,484.20714285714286,484.20714285714286,0
11559,22053.0,AVANTIFEED,20210504,481.9,502.0,468.2,472.35,927256.0,452730865.25,23608.0,DOWN,-1.49,485.6642857142857,483.4166666666667,483.4166666666667,483.4166666666667,CROSSED_2
11592,27301.0,AVANTIFEED,20210505,476.15,485.4,474.0,477.6,192892.0,92434191.65,5482.0,UP,1.11,486.65000000000003,483.053125,483.053125,483.053125,CROSSED_2
12188,33057.0,AVANTIFEED,20210506,480.5,488.35,476.0,481.3,175617.0,84484136.45,5654.0,UP,0.77,488.0214285714286,482.95,482.95,482.95,CROSSED_2
12880,40263.0,AVANTIFEED,20210507,480.2,491.45,480.2,486.0,256863.0,124886656.95,7515.0,UP,0.98,488.50357142857143,483.1194444444444,483.1194444444444,483.1194444444444,CROSSED_2
13199,58440.0,AVANTIFEED,20210510,482.05,496.0,482.05,492.55,284954.0,140268581.75,10061.0,UP,1.35,489.775,483.61578947368423,483.61578947368423,483.61578947368423,CROSSED_2
13783,63739.0,AVANTIFEED,20210511,487.5,497.5,485.35,490.5,197030.0,96945219.25,6584.0,DOWN,-0.42,489.6035714285714,483.96000000000004,483.96000000000004,483.96000000000004,CROSSED_2
14130,68498.0,AVANTIFEED,20210512,490.5,538.0,490.5,515.0,3425045.0,1782919688.4,79187.0,UP,4.99,490.9607142857143,485.4380952380953,485.4380952380953,485.4380952380953,CROSSED_2
14562,80019.0,AVANTIFEED,20210514,522.7,548.0,516.05,530.95,2869927.0,1541257636.05,83581.0,UP,3.1,492.2464285714286,489.19999999999993,487.5068181818182,487.5068181818182,CROSSED_2
15101,95772.0,AVANTIFEED,20210517,550.95,557.0,534.0,543.0,1523085.0,829211319.0,42587.0,UP,2.27,495.73928571428576,492.97142857142853,489.91956521739127,489.91956521739127,CROSSED_2
15454,101052.0,AVANTIFEED,20210518,544.8,548.5,531.95,546.0,722133.0,391561100.85,23360.0,UP,0.55,499.94642857142856,496.96666666666664,492.25624999999997,492.25624999999997,CROSSED_2
16105,105864.0,AVANTIFEED,20210519,545.8,548.3,537.1,545.05,422161.0,229643272.2,12095.0,DOWN,-0.17,503.5071428571428,500.1,494.36800000000005,494.36800000000005,CROSSED_2
16425,111132.0,AVANTIFEED,20210520,546.7,555.0,535.9,539.0,452549.0,247347385.0,14506.0,DOWN,-1.11,506.1142857142857,503.1595238095238,496.0846153846154,496.0846153846154,CROSSED_2
16775,116923.0,AVANTIFEED,20210521,543.3,544.7,524.0,528.85,236866.0,127194854.4,8132.0,DOWN,-1.88,509.11785714285713,504.8714285714285,497.29814814814813,497.29814814814813,CROSSED_2
17359,134151.0,AVANTIFEED,20210524,534.85,545.0,533.1,539.0,377694.0,204544203.25,11542.0,UP,1.92,513.3678571428571,506.9190476190476,498.78749999999997,498.78749999999997,CROSSED_2
17962,139932.0,AVANTIFEED,20210525,540.5,578.0,540.5,554.2,2474141.0,1398043052.45,65433.0,UP,2.82,519.2142857142857,508.8833333333333,500.69827586206895,500.69827586206895,CROSSED_2
18475,144720.0,AVANTIFEED,20210526,558.0,575.95,556.55,571.8,922746.0,523810595.2,19799.0,UP,3.18,525.9428571428572,512.5833333333334,503.0683333333333,503.0683333333333,CROSSED_2
18938,150479.0,AVANTIFEED,20210527,576.0,596.0,576.0,585.05,1545162.0,905122393.25,44390.0,UP,2.32,533.3535714285714,517.2476190476191,505.7129032258065,505.7129032258065,CROSSED_2
19484,157202.0,AVANTIFEED,20210528,589.7,595.7,570.6,576.9,640162.0,372101683.75,17626.0,DOWN,-1.39,539.8464285714285,521.1380952380953,507.9375,507.9375,CROSSED_2
19635,172466.0,AVANTIFEED,20210531,578.1,617.0,560.0,595.85,1350269.0,800395839.8,39719.0,UP,3.28,547.225,525.5833333333334,510.6015151515151,510.6015151515151,CROSSED_2
20235,3862.0,AVANTIFEED,20210601,599.0,611.0,581.5,603.45,1101781.0,659127639.35,29167.0,UP,1.28,555.2928571428572,531.1380952380953,513.3323529411764,513.3323529411764,CROSSED_2
20694,9096.0,AVANTIFEED,20210602,598.0,620.0,592.2,608.35,884391.0,539085591.1,23233.0,UP,0.81,561.9607142857143,537.2738095238095,516.047142857143,516.047142857143,CROSSED_2
21218,14878.0,AVANTIFEED,20210603,603.0,616.35,603.0,607.35,610121.0,371789676.8,16691.0,DOWN,-0.16,567.4178571428571,543.702380952381,518.5833333333334,518.5833333333334,CROSSED_2
21416,21097.0,AVANTIFEED,20210604,604.0,607.25,593.05,596.55,559558.0,335987979.55,16977.0,DOWN,-1.78,571.2428571428571,549.3666666666667,520.6905405405405,520.6905405405405,CROSSED_2
21985,38806.0,AVANTIFEED,20210607,604.65,604.65,582.85,586.9,417144.0,248642048.15,11716.0,DOWN,-1.62,574.1642857142857,554.3952380952381,522.4328947368422,522.4328947368422,CROSSED_2
22737,45530.0,AVANTIFEED,20210608,589.0,592.6,573.1,575.35,434737.0,252970633.8,14261.0,DOWN,-1.97,576.3285714285714,558.6500000000001,523.7897435897436,523.7897435897436,CROSSED_2
22891,51216.0,AVANTIFEED,20210609,580.5,587.75,560.0,563.65,384759.0,220634973.3,12012.0,DOWN,-2.03,578.0892857142857,562.0357142857143,524.78625,524.78625,CROSSED_2
23689,56992.0,AVANTIFEED,20210610,568.6,583.65,567.2,580.25,410639.0,236786516.8,11313.0,UP,2.95,581.7607142857142,566.3095238095239,526.1390243902439,526.1390243902439,CROSSED_2
24105,62791.0,AVANTIFEED,20210611,589.25,589.7,560.2,567.3,600288.0,343202717.25,17723.0,DOWN,-2.23,583.7821428571428,568.8,527.1190476190476,527.1190476190476,CROSSED_2
24192,78571.0,AVANTIFEED,20210614,569.0,589.0,561.0,576.75,669693.0,388536422.05,16543.0,UP,1.67,585.3928571428571,570.9809523809524,528.2732558139535,528.2732558139535,CROSSED_2
24916,83805.0,AVANTIFEED,20210615,577.8,595.9,577.8,593.1,633363.0,373187000.65,17155.0,UP,2.83,586.9142857142857,573.3666666666667,529.7465909090909,529.7465909090909,CROSSED_2
25242,89033.0,AVANTIFEED,20210616,597.45,599.3,584.95,587.3,302330.0,178991125.0,8555.0,DOWN,-0.98,587.0749999999999,575.3333333333334,531.0255555555556,531.0255555555556,CROSSED_2
25597,94325.0,AVANTIFEED,20210617,581.1,593.7,579.0,587.8,208493.0,122391736.4,7723.0,UP,0.09,587.8535714285715,577.3690476190476,532.2597826086957,532.2597826086957,CROSSED_2
26163,100597.0,AVANTIFEED,20210618,593.0,593.6,562.0,583.0,491644.0,284379761.5,15930.0,DOWN,-0.82,586.9357142857143,579.4642857142857,533.3393617021277,533.3393617021277,CROSSED_2
26612,115477.0,AVANTIFEED,20210621,581.85,584.15,570.0,575.3,241348.0,139142384.45,9101.0,DOWN,-1.32,584.925,581.6761904761905,534.2135416666666,534.2135416666666,CROSSED_2
27253,121702.0,AVANTIFEED,20210622,580.7,591.05,555.1,560.4,1527101.0,873762729.0,41670.0,DOWN,-2.59,581.4999999999999,582.6952380952381,534.7479591836735,534.7479591836735,CROSSED_2
27482,127404.0,AVANTIFEED,20210623,554.75,576.0,548.0,560.05,1314077.0,737669139.2,37682.0,DOWN,-0.06,578.1214285714285,582.9738095238096,535.254,535.254,CROSSED_2
