,ID,Symbol,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,TOTTRDQTY,TOTTRDVAL,TOTALTRADES,UP_DOWN,CHNAGE_%,SMA_14,SMA_21,SMA_50,SMA_200,ABT_cases
5011,65169.0,BERGEPAINT,20210412,746.9,746.9,713.75,728.2,659253.0,480142324.15,22057.0,-,0,728.2,728.2,728.2,728.2,0
5455,70925.0,BERGEPAINT,20210413,724.6,738.9,721.0,725.2,555908.0,405081601.75,16396.0,DOWN,-0.41,726.7,726.7,726.7,726.7,0
5628,81448.0,BERGEPAINT,20210415,724.0,731.25,711.0,727.45,681355.0,491620855.65,21724.0,UP,0.31,726.9500000000002,726.9500000000002,726.9500000000002,726.9500000000002,0
6078,86220.0,BERGEPAINT,20210416,732.0,749.9,731.8,735.3,1322619.0,980981514.75,32648.0,UP,1.08,729.0375,729.0375,729.0375,729.0375,0
6639,102985.0,BERGEPAINT,20210419,729.85,729.85,708.9,715.8,461033.0,329680572.5,17755.0,DOWN,-2.65,726.39,726.39,726.39,726.39,0
7149,107320.0,BERGEPAINT,20210420,716.0,724.75,706.05,709.5,423302.0,302528384.65,15587.0,DOWN,-0.88,723.5749999999999,723.5749999999999,723.5749999999999,723.5749999999999,0
7583,118346.0,BERGEPAINT,20210422,708.0,718.05,691.1,715.05,910696.0,641884372.9,25873.0,UP,0.78,722.3571428571429,722.3571428571429,722.3571428571429,722.3571428571429,0
8285,124582.0,BERGEPAINT,20210423,713.9,720.9,706.05,709.7,483360.0,344461826.55,17396.0,DOWN,-0.75,720.775,720.775,720.775,720.775,0
8418,141869.0,BERGEPAINT,20210426,714.5,726.45,713.05,722.4,568488.0,410312403.15,15089.0,UP,1.79,720.9555555555556,720.9555555555556,720.9555555555556,720.9555555555556,0
9103,146657.0,BERGEPAINT,20210427,728.0,728.0,707.2,712.8,1116123.0,794743826.1,37981.0,DOWN,-1.33,720.14,720.14,720.14,720.14,0
9438,152404.0,BERGEPAINT,20210428,716.3,722.4,711.25,717.8,720651.0,517395098.6,24592.0,UP,0.7,719.9272727272727,719.9272727272727,719.9272727272727,719.9272727272727,0
9810,158628.0,BERGEPAINT,20210429,718.9,726.9,712.3,714.7,528346.0,379005612.05,15344.0,DOWN,-0.43,719.4916666666667,719.4916666666667,719.4916666666667,719.4916666666667,0
