,ID,Symbol,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,TOTTRDQTY,TOTTRDVAL,TOTALTRADES,UP_DOWN,CHNAGE_%,SMA_14,SMA_21,SMA_50,SMA_200,ABT_cases
5016,65174.0,BIRLACORPN,20210412,976.0,976.0,911.15,922.1,201186.0,190509264.8,11350.0,-,0,922.1,922.1,922.1,922.1,0
5460,70930.0,BIRLACORPN,20210413,923.0,950.0,897.25,940.9,170938.0,158172663.9,11760.0,UP,2.04,931.5,931.5,931.5,931.5,0
5623,81453.0,BIRLACORPN,20210415,935.1,954.95,925.55,946.0,126608.0,118759156.85,8278.0,UP,0.54,936.3333333333334,936.3333333333334,936.3333333333334,936.3333333333334,0
6073,86225.0,BIRLACORPN,20210416,938.0,975.0,925.1,956.55,152952.0,146616784.8,8027.0,UP,1.12,941.3875,941.3875,941.3875,941.3875,0
6634,102990.0,BIRLACORPN,20210419,945.0,952.25,918.3,938.7,201131.0,187600606.0,7140.0,DOWN,-1.87,940.85,940.85,940.85,940.85,0
7154,107325.0,BIRLACORPN,20210420,974.0,974.5,930.95,942.2,238070.0,225341881.4,13430.0,UP,0.37,941.0749999999999,941.0749999999999,941.0749999999999,941.0749999999999,0
7578,118351.0,BIRLACORPN,20210422,934.0,944.35,915.0,919.55,85286.0,79137541.2,6067.0,DOWN,-2.4,938.0,938.0,938.0,938.0,0
8279,124587.0,BIRLACORPN,20210423,919.55,937.55,901.2,906.1,73350.0,67334740.55,4911.0,DOWN,-1.46,934.0125,934.0125,934.0125,934.0125,0
8423,141874.0,BIRLACORPN,20210426,907.0,927.35,900.9,910.1,96925.0,88441979.35,5922.0,UP,0.44,931.3555555555556,931.3555555555556,931.3555555555556,931.3555555555556,0
9108,146662.0,BIRLACORPN,20210427,914.9,936.9,910.2,928.3,294622.0,272387772.1,6694.0,UP,2.0,931.05,931.05,931.05,931.05,0
9433,152409.0,BIRLACORPN,20210428,934.95,942.0,912.05,918.8,86924.0,80513536.35,4824.0,DOWN,-1.02,929.9363636363636,929.9363636363636,929.9363636363636,929.9363636363636,0
9815,158633.0,BIRLACORPN,20210429,923.4,934.0,915.05,918.8,86693.0,79967295.55,3911.0,Const,0.0,929.0083333333333,929.0083333333333,929.0083333333333,929.0083333333333,0
10536,164394.0,BIRLACORPN,20210430,919.0,929.8,915.5,918.15,48042.0,44326544.8,2935.0,DOWN,-0.07,928.1730769230769,928.1730769230769,928.1730769230769,928.1730769230769,0
10691,16358.0,BIRLACORPN,20210503,905.0,940.0,905.0,924.6,103421.0,96226163.05,5016.0,UP,0.7,927.9178571428572,927.9178571428572,927.9178571428572,927.9178571428572,0
11534,22078.0,BIRLACORPN,20210504,939.75,963.75,906.4,917.05,264636.0,248834900.6,9758.0,DOWN,-0.82,927.5571428571428,927.1933333333333,927.1933333333333,927.1933333333333,CROSSED_2
11847,27326.0,BIRLACORPN,20210505,920.0,936.8,920.0,933.5,79141.0,73524075.85,5228.0,UP,1.79,927.0285714285714,927.5875,927.5875,927.5875,WILL_CROSS_1
12213,33082.0,BIRLACORPN,20210506,931.1,938.5,921.25,932.1,58494.0,54410836.3,3312.0,DOWN,-0.15,926.0357142857143,927.8529411764706,927.8529411764706,927.8529411764706,WILL_CROSS_1
12905,40288.0,BIRLACORPN,20210507,943.0,943.0,928.75,937.9,102517.0,95738563.45,5408.0,UP,0.62,924.7035714285714,928.4111111111112,928.4111111111112,928.4111111111112,WILL_CROSS_1
13174,58465.0,BIRLACORPN,20210510,948.5,963.0,940.0,943.7,149124.0,141218072.45,10983.0,UP,0.62,925.0607142857143,929.2157894736841,929.2157894736841,929.2157894736841,WILL_CROSS_1
13758,63764.0,BIRLACORPN,20210511,935.0,1003.7,933.0,995.4,382981.0,375241684.45,15523.0,UP,5.48,928.8607142857143,932.525,932.525,932.525,WILL_CROSS_1
14104,68523.0,BIRLACORPN,20210512,1003.0,1050.0,1000.0,1042.95,582719.0,598855539.75,22135.0,UP,4.78,937.6750000000001,937.7833333333334,937.7833333333334,937.7833333333334,WILL_CROSS_1
