,ID,Symbol,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,TOTTRDQTY,TOTTRDVAL,TOTALTRADES,UP_DOWN,CHNAGE_%,SMA_14,SMA_21,SMA_50,SMA_200,ABT_cases
5021,65179.0,BPCL,20210412,417.95,419.4,402.0,403.95,6184047.0,2528651022.35,93097.0,-,0,403.95,403.95,403.95,403.95,0
5465,70935.0,BPCL,20210413,405.0,412.5,402.2,409.4,4032156.0,1648440536.7,48655.0,UP,1.35,406.67499999999995,406.67499999999995,406.67499999999995,406.67499999999995,0
5618,81458.0,BPCL,20210415,409.0,416.4,403.3,404.85,7220179.0,2932843573.7,81822.0,DOWN,-1.11,406.06666666666666,406.06666666666666,406.06666666666666,406.06666666666666,0
6068,86230.0,BPCL,20210416,405.0,422.95,404.3,413.8,11146313.0,4637807210.75,111117.0,UP,2.21,408.0,408.0,408.0,408.0,0
6629,102995.0,BPCL,20210419,405.0,412.4,400.0,408.75,5628231.0,2277648807.2,67115.0,DOWN,-1.22,408.15,408.15,408.15,408.15,0
7159,107330.0,BPCL,20210420,411.9,414.45,406.1,408.1,3513444.0,1443758623.35,46736.0,DOWN,-0.16,408.14166666666665,408.14166666666665,408.14166666666665,408.14166666666665,0
7573,118356.0,BPCL,20210422,405.0,421.3,403.5,418.35,7805674.0,3247104577.2,77426.0,UP,2.51,409.59999999999997,409.59999999999997,409.59999999999997,409.59999999999997,0
8274,124592.0,BPCL,20210423,417.3,424.95,416.0,423.05,23840266.0,10063956125.25,121163.0,UP,1.12,411.28125,411.28125,411.28125,411.28125,0
8428,141879.0,BPCL,20210426,426.0,428.35,417.55,418.9,6444098.0,2715059778.85,68579.0,DOWN,-0.98,412.1277777777778,412.1277777777778,412.1277777777778,412.1277777777778,0
9113,146667.0,BPCL,20210427,417.5,423.1,416.55,420.35,5408165.0,2273853197.15,45282.0,UP,0.35,412.95,412.95,412.95,412.95,0
9428,152414.0,BPCL,20210428,422.0,424.35,414.9,417.5,9902533.0,4152458748.95,59529.0,DOWN,-0.68,413.3636363636364,413.3636363636364,413.3636363636364,413.3636363636364,0
9820,158638.0,BPCL,20210429,422.0,423.0,417.0,419.55,6632804.0,2785774931.05,64676.0,UP,0.49,413.87916666666666,413.87916666666666,413.87916666666666,413.87916666666666,0
10531,164399.0,BPCL,20210430,417.5,437.5,414.65,421.8,16851470.0,7214724147.05,195429.0,UP,0.54,414.4884615384616,414.4884615384616,414.4884615384616,414.4884615384616,0
10686,16363.0,BPCL,20210503,419.0,429.05,415.4,416.0,8059391.0,3385431798.9,108314.0,DOWN,-1.38,414.5964285714286,414.5964285714286,414.5964285714286,414.5964285714286,0
11529,22083.0,BPCL,20210504,420.9,429.45,418.5,421.45,9993939.0,4238857912.5,126972.0,UP,1.31,415.8464285714286,415.05333333333334,415.05333333333334,415.05333333333334,CROSSED_2
11842,27331.0,BPCL,20210505,422.05,431.6,421.0,424.8,6889331.0,2930892753.95,80719.0,UP,0.79,416.94642857142856,415.6625,415.6625,415.6625,CROSSED_2
12219,33087.0,BPCL,20210506,428.0,435.0,424.15,434.0,6393644.0,2756260464.75,79756.0,UP,2.17,419.02857142857147,416.74117647058824,416.74117647058824,416.74117647058824,CROSSED_2
12910,40293.0,BPCL,20210507,435.05,447.0,428.0,443.15,12027364.0,5260421899.35,129087.0,UP,2.11,421.125,418.2083333333333,418.2083333333333,418.2083333333333,CROSSED_2
13169,58470.0,BPCL,20210510,449.0,455.0,445.0,453.7,9702910.0,4377808657.95,118031.0,UP,2.38,424.3357142857143,420.07631578947365,420.07631578947365,420.07631578947365,CROSSED_2
13753,63769.0,BPCL,20210511,449.6,464.0,446.9,462.25,10847939.0,4989275967.95,138818.0,UP,1.88,428.20357142857137,422.18500000000006,422.18500000000006,422.18500000000006,CROSSED_2
14099,68528.0,BPCL,20210512,464.0,468.0,446.5,449.25,7617797.0,3481659086.2,95357.0,DOWN,-2.81,430.4107142857143,423.47380952380956,423.47380952380956,423.47380952380956,CROSSED_2
14592,80049.0,BPCL,20210514,453.5,453.5,439.1,442.25,4899715.0,2180578383.65,62783.0,DOWN,-1.56,431.78214285714284,425.29761904761904,424.32727272727277,424.32727272727277,CROSSED_2
15071,95802.0,BPCL,20210517,445.0,446.55,438.1,443.65,3031731.0,1340612147.2,43498.0,UP,0.32,433.55000000000007,426.92857142857144,425.16739130434786,425.16739130434786,CROSSED_2
15424,101082.0,BPCL,20210518,447.2,452.4,442.7,448.45,4967123.0,2226966080.75,67140.0,UP,1.08,435.5571428571429,429.00476190476184,426.1375,426.1375,CROSSED_2
16074,105894.0,BPCL,20210519,450.0,454.3,442.25,446.45,8107607.0,3633664491.0,83242.0,DOWN,-0.45,437.625,430.5595238095238,426.95,426.95,CROSSED_2
16456,111162.0,BPCL,20210520,448.0,457.85,441.5,454.8,9399907.0,4244793683.8,93461.0,UP,1.87,440.14285714285717,432.7523809523809,428.0211538461538,428.0211538461538,CROSSED_2
16805,116953.0,BPCL,20210521,463.0,468.0,459.05,461.05,11993869.0,5551354670.55,117767.0,UP,1.37,442.94642857142856,435.2738095238095,429.24444444444447,429.24444444444447,CROSSED_2
17389,134181.0,BPCL,20210524,466.95,474.55,460.6,472.85,11470610.0,5381970715.4,118609.0,UP,2.56,447.0071428571428,437.8690476190476,430.80178571428576,430.80178571428576,CROSSED_2
17932,139962.0,BPCL,20210525,476.8,479.0,469.0,474.4,10599676.0,5026212965.9,105275.0,UP,0.33,450.7892857142857,440.31428571428575,432.3051724137931,432.3051724137931,CROSSED_2
18445,144750.0,BPCL,20210526,478.65,480.7,468.5,472.2,12972307.0,6169986742.3,130092.0,DOWN,-0.46,454.175,442.85238095238094,433.635,433.635,CROSSED_2
18968,150509.0,BPCL,20210527,485.0,488.0,466.0,467.85,51494404.0,24519301029.55,479516.0,DOWN,-0.92,456.5928571428571,445.1142857142857,434.73870967741937,434.73870967741937,CROSSED_2
19454,157232.0,BPCL,20210528,475.0,479.9,468.5,471.5,14656852.0,6945379299.25,231072.0,UP,0.78,458.61785714285713,447.68571428571425,435.8875,435.8875,CROSSED_2
19665,172496.0,BPCL,20210531,473.45,473.45,468.3,472.0,6747781.0,3175915336.9,79853.0,UP,0.11,459.925,450.18333333333334,436.9818181818182,436.9818181818182,CROSSED_2
20205,3892.0,BPCL,20210601,473.4,476.7,470.1,470.85,4434765.0,2096612592.8,68470.0,DOWN,-0.24,460.5392857142857,452.5190476190476,437.9779411764706,437.9779411764706,CROSSED_2
20645,9126.0,BPCL,20210602,470.0,475.45,469.0,474.65,6338355.0,2993654428.4,61698.0,UP,0.81,462.3535714285714,455.3119047619047,439.0257142857143,439.0257142857143,CROSSED_2
21248,14908.0,BPCL,20210603,474.5,478.4,473.1,473.9,6092262.0,2898337711.5,81746.0,DOWN,-0.16,464.61428571428576,457.8095238095238,439.9944444444444,439.9944444444444,CROSSED_2
21853,21127.0,BPCL,20210604,474.8,482.8,474.05,478.25,8879733.0,4253721430.5,99782.0,UP,0.92,467.0857142857143,460.35476190476186,441.02837837837836,441.02837837837836,CROSSED_2
21954,38836.0,BPCL,20210607,480.8,485.4,478.75,481.4,6261695.0,3023093623.35,62319.0,UP,0.66,469.4392857142857,462.6119047619048,442.09078947368425,442.09078947368425,CROSSED_2
22767,45560.0,BPCL,20210608,483.8,489.7,476.25,487.45,7599482.0,3672025918.25,80115.0,UP,1.26,472.36785714285713,464.72142857142853,443.2538461538462,443.2538461538462,CROSSED_2
22920,51245.0,BPCL,20210609,492.0,493.9,481.5,485.05,9490181.0,4640401198.2,101469.0,DOWN,-0.49,474.5285714285714,466.2142857142857,444.29875000000004,444.29875000000004,CROSSED_2
23259,57021.0,BPCL,20210610,486.25,487.5,482.75,483.55,3694317.0,1790880335.15,44471.0,DOWN,-0.31,476.13571428571424,467.2285714285714,445.2560975609756,445.2560975609756,CROSSED_2
24134,62820.0,BPCL,20210611,485.7,489.5,481.7,483.6,3719254.0,1805682950.6,43140.0,UP,0.01,476.90357142857147,468.8642857142857,446.1690476190476,446.1690476190476,CROSSED_2
24221,78600.0,BPCL,20210614,483.95,485.0,476.0,483.7,3618826.0,1745762011.25,49244.0,UP,0.02,477.5678571428571,470.83809523809515,447.04186046511626,447.04186046511626,CROSSED_2
25057,83834.0,BPCL,20210615,485.0,487.25,480.8,481.9,3253680.0,1575930083.15,42546.0,DOWN,-0.37,478.26071428571424,472.6595238095238,447.83409090909095,447.83409090909095,CROSSED_2
25271,89062.0,BPCL,20210616,483.45,484.9,479.05,481.25,3997462.0,1927014473.85,52204.0,DOWN,-0.13,479.21785714285716,474.22142857142865,448.5766666666667,448.5766666666667,CROSSED_2
25625,94354.0,BPCL,20210617,477.95,482.9,476.3,476.9,3325538.0,1593285004.25,49717.0,DOWN,-0.9,479.60357142857146,475.6714285714286,449.1923913043478,449.1923913043478,CROSSED_2
26134,100626.0,BPCL,20210618,480.0,480.1,466.75,472.35,5291888.0,2496974054.15,73408.0,DOWN,-0.95,479.62857142857143,476.5071428571429,449.68510638297874,449.68510638297874,CROSSED_2
26582,115506.0,BPCL,20210621,471.7,475.8,468.5,475.05,2698544.0,1277126760.1,40315.0,UP,0.57,479.92857142857144,477.1738095238095,450.2135416666667,450.2135416666667,CROSSED_2
27282,121731.0,BPCL,20210622,477.5,478.75,472.8,473.65,2776710.0,1321229479.1,36183.0,DOWN,-0.29,479.85714285714283,477.2119047619047,450.6918367346939,450.6918367346939,CROSSED_2
27453,127433.0,BPCL,20210623,474.0,475.0,469.15,469.6,2463779.0,1161534470.8,30778.0,DOWN,-0.86,479.55,476.9833333333333,451.07,451.07,CROSSED_2
27951,132733.0,BPCL,20210624,469.5,470.5,465.1,466.1,4231105.0,1978220976.55,49331.0,DOWN,-0.75,478.6821428571429,476.6928571428572,452.31299999999993,451.3647058823529,CROSSED_2
28341,139013.0,BPCL,20210625,468.4,472.1,466.2,470.05,2952120.0,1386682204.75,36451.0,UP,0.85,477.87142857142857,476.79761904761904,453.52600000000007,451.7240384615385,CROSSED_2
28952,155783.0,BPCL,20210628,471.0,472.0,466.55,467.15,2167160.0,1015277780.65,40535.0,DOWN,-0.62,476.42142857142863,476.5904761904762,454.772,452.01509433962264,CROSSED_2
29151,161531.0,BPCL,20210629,469.0,469.5,465.0,466.25,2960797.0,1382876507.25,37290.0,DOWN,-0.19,475.0785714285715,476.31666666666666,455.82099999999997,452.2787037037037,CROSSED_2
29979,166756.0,BPCL,20210630,467.0,470.65,466.0,468.1,2962317.0,1388055070.95,43811.0,UP,0.4,473.97499999999997,476.18571428571425,457.00800000000004,452.5663636363637,CROSSED_2
30100,2934.0,BPCL,20210701,468.1,468.9,462.0,462.75,2878513.0,1336011888.5,40327.0,DOWN,-1.14,472.4857142857142,475.6190476190476,458.10100000000006,452.7482142857143,CROSSED_2
30842,8668.0,BPCL,20210702,463.0,465.6,461.05,462.75,2384746.0,1103540558.25,46038.0,Const,0.0,470.9892857142857,475.08809523809526,458.98900000000003,452.92368421052635,CROSSED_2
31379,26374.0,BPCL,20210705,464.95,467.5,458.5,459.7,5595087.0,2578538830.6,60337.0,DOWN,-0.66,469.40357142857147,474.20476190476194,459.722,453.0405172413793,CROSSED_2
31560,31631.0,BPCL,20210706,460.0,463.0,457.6,458.05,3874696.0,1782883886.5,41463.0,DOWN,-0.36,467.74642857142857,473.0928571428571,460.505,453.1254237288136,CROSSED_2
31896,37879.0,BPCL,20210707,458.05,461.4,452.45,460.5,3000290.0,1372329086.3,56197.0,UP,0.53,466.57499999999993,471.8095238095238,461.30800000000005,453.24833333333333,CROSSED_2
32689,44603.0,BPCL,20210708,460.15,465.4,456.55,458.2,3213389.0,1480481806.95,44888.0,DOWN,-0.5,465.56428571428575,470.5309523809524,462.12199999999996,453.3295081967213,CROSSED_2
32943,50793.0,BPCL,20210709,456.1,458.5,453.3,456.9,3529331.0,1607874633.8,54526.0,DOWN,-0.28,464.26785714285717,469.26190476190476,462.869,453.38709677419354,CROSSED_2
33398,67572.0,BPCL,20210712,457.6,459.3,450.05,451.0,3696855.0,1674789790.2,65616.0,DOWN,-1.29,462.65000000000003,467.7095238095238,463.45300000000003,453.3492063492063,0
33676,73308.0,BPCL,20210713,452.75,455.0,449.75,450.25,3704937.0,1671384646.95,43119.0,DOWN,-0.17,461.26785714285717,466.1166666666667,464.13800000000003,453.30078125,0
34364,77649.0,BPCL,20210714,451.0,453.1,448.2,448.7,2468262.0,1111053811.15,50973.0,DOWN,-0.34,460.025,464.5357142857143,464.68300000000005,453.23,0
34864,82883.0,BPCL,20210715,449.3,450.75,445.05,447.05,3308775.0,1481510195.35,55816.0,DOWN,-0.37,458.38214285714287,462.90714285714284,465.12800000000004,453.1363636363636,0
35224,88610.0,BPCL,20210716,449.05,451.05,445.8,448.0,3363302.0,1506262340.05,56974.0,UP,0.21,457.0142857142857,461.5309523809524,465.408,453.05970149253733,0
35888,104936.0,BPCL,20210719,446.0,459.0,445.2,453.9,7368974.0,3352490717.8,90605.0,UP,1.32,456.1321428571428,460.6523809523809,465.62300000000005,453.07205882352946,0
36137,109705.0,BPCL,20210720,456.8,458.0,449.0,453.8,3844508.0,1740816880.4,50098.0,DOWN,-0.02,455.1107142857143,459.64047619047625,465.625,453.0826086956522,0
36762,120778.0,BPCL,20210722,454.95,463.95,453.0,460.9,6766248.0,3112961193.4,96778.0,UP,1.56,454.97857142857146,459.03333333333336,465.59799999999996,453.1942857142857,0
37082,126978.0,BPCL,20210723,464.8,465.8,459.3,461.35,3477404.0,1607771462.65,56063.0,UP,0.1,454.87857142857143,458.64047619047625,465.84,453.30915492957746,0
37724,143791.0,BPCL,20210726,461.9,462.55,455.1,456.0,2588738.0,1188209724.65,42814.0,DOWN,-1.16,454.6142857142857,458.1595238095238,466.115,453.3465277777778,0
38126,149051.0,BPCL,20210727,456.0,460.4,452.25,453.3,2317628.0,1056891789.85,39887.0,DOWN,-0.59,454.27500000000003,457.3619047619048,466.30800000000005,453.34589041095893,0
38310,154829.0,BPCL,20210728,453.6,455.5,450.3,453.45,2205610.0,999464089.4,35777.0,UP,0.03,453.7714285714286,456.7095238095239,466.408,453.34729729729725,0
38705,160578.0,BPCL,20210729,452.0,454.15,448.5,449.1,2989610.0,1347361374.2,47216.0,DOWN,-0.96,453.12142857142857,455.89285714285717,466.461,453.2906666666667,WILL_CROSS_1
39180,166302.0,BPCL,20210730,449.2,454.2,444.9,445.5,6765935.0,3033522770.9,73247.0,DOWN,-0.8,452.3071428571429,454.81666666666666,466.275,453.1881578947369,WILL_CROSS_1
39849,6749.0,BPCL,20210802,448.05,459.9,446.5,457.8,4982840.0,2261401205.75,66224.0,UP,2.76,452.79285714285714,454.5809523809524,466.21,453.2480519480519,WILL_CROSS_1
40145,12500.0,BPCL,20210803,460.7,464.95,456.5,463.4,3927566.0,1806948717.35,71037.0,UP,1.22,453.73214285714283,454.6119047619048,466.02099999999996,453.37820512820514,0
40487,18247.0,BPCL,20210804,463.0,465.0,456.1,457.15,2596138.0,1195420503.15,43106.0,DOWN,-1.35,454.3357142857143,454.49047619047616,465.67600000000004,453.4259493670886,0
41212,30210.0,BPCL,20210806,454.0,463.0,454.0,455.6,4059302.0,1860232309.4,55500.0,DOWN,-0.34,454.94642857142856,454.37380952380954,465.344,453.453125,0
41626,49372.0,BPCL,20210809,457.5,459.0,450.7,452.5,2277623.0,1033364739.4,31682.0,DOWN,-0.68,455.26785714285717,453.99285714285713,465.037,453.44135802469134,0
41905,54614.0,BPCL,20210810,454.5,454.9,442.75,444.7,3549099.0,1590327421.4,57763.0,DOWN,-1.72,454.6107142857143,453.35,464.501,453.33475609756096,0
42371,60393.0,BPCL,20210811,446.0,451.55,440.55,450.0,5317536.0,2379602358.1,86863.0,UP,1.19,454.3392857142857,453.0214285714286,464.061,453.294578313253,0
43137,66130.0,BPCL,20210812,452.0,455.4,442.1,448.15,6283857.0,2824306264.65,82124.0,DOWN,-0.41,453.42857142857144,452.8857142857143,463.60699999999997,453.2333333333333,0
43483,71886.0,BPCL,20210813,450.0,458.85,448.3,454.9,7116016.0,3235320854.65,123894.0,UP,1.51,452.96785714285716,453.10714285714283,463.212,453.2529411764706,WILL_CROSS_1
43695,86688.0,BPCL,20210816,458.5,467.6,455.05,464.0,8982218.0,4151387571.45,110842.0,UP,2.0,453.5392857142857,453.83571428571423,463.014,453.3779069767442,0
44181,91943.0,BPCL,20210817,465.85,469.75,461.0,465.0,7181750.0,3345518468.65,97230.0,UP,0.22,454.375,454.6904761904762,462.749,453.51149425287355,0
44711,98195.0,BPCL,20210818,466.95,466.95,461.05,463.5,3973617.0,1841918639.35,52722.0,DOWN,-0.32,455.09285714285716,455.42857142857144,462.39099999999996,453.625,0
45185,108282.0,BPCL,20210820,461.8,465.5,453.0,455.2,6057409.0,2774817918.85,99049.0,DOWN,-1.79,455.5285714285714,455.4904761904762,461.746,453.64269662921345,0
45744,125051.0,BPCL,20210823,458.7,459.65,448.1,451.7,3962946.0,1795087801.15,59140.0,DOWN,-0.77,455.97142857142853,455.39047619047614,461.079,453.62111111111113,0
46072,130318.0,BPCL,20210824,453.0,459.25,452.85,456.4,3624344.0,1654744521.9,63432.0,UP,1.04,455.87142857142857,455.1761904761904,460.536,453.65164835164836,0
46440,136582.0,BPCL,20210825,458.0,464.4,457.25,460.7,4852133.0,2235931395.55,97589.0,UP,0.94,455.67857142857144,455.1452380952381,460.07800000000003,453.7282608695652,0
47122,142834.0,BPCL,20210826,460.6,471.4,458.6,466.75,7423649.0,3458135718.35,84496.0,UP,1.31,456.36428571428576,455.65714285714284,459.73900000000003,453.8682795698925,0
47610,147624.0,BPCL,20210827,469.05,473.7,466.15,471.3,6268381.0,2953794280.95,86889.0,UP,0.97,457.4857142857143,456.5142857142857,459.527,454.0537234042553,0
48092,164861.0,BPCL,20210830,474.9,474.9,471.6,472.55,4514920.0,2135812864.25,91851.0,UP,0.27,458.91785714285714,457.4238095238095,459.35299999999995,454.24842105263156,0
48355,170108.0,BPCL,20210831,473.0,475.85,468.35,471.65,9001236.0,4250668396.75,74326.0,DOWN,-0.19,460.84285714285716,458.4976190476191,459.24800000000005,454.4296875,CROSSED_2
49084,5792.0,BPCL,20210901,473.25,479.4,472.2,477.0,5219501.0,2485111608.55,67440.0,UP,1.13,462.7714285714286,459.9976190476191,459.341,454.66237113402065,CROSSED_2
49381,11543.0,BPCL,20210902,478.0,481.55,477.0,479.8,4181314.0,2007003769.65,61255.0,UP,0.59,465.03214285714284,461.04523809523806,459.436,454.91887755102044,CROSSED_2
49636,17297.0,BPCL,20210903,483.0,494.0,480.2,491.3,8186035.0,3990587435.9,96527.0,UP,2.4,467.63214285714287,462.37380952380954,459.78899999999993,455.2863636363636,CROSSED_2
50061,34511.0,BPCL,20210906,495.95,496.5,490.0,490.8,6989779.0,3442580202.75,79473.0,DOWN,-0.1,469.5464285714285,463.9761904761905,460.213,455.6415,CROSSED_2
50702,41222.0,BPCL,20210907,490.7,493.5,481.0,481.95,6710140.0,3263723116.65,120858.0,DOWN,-1.8,470.75714285714287,465.2309523809524,460.53,455.90198019801977,CROSSED_2
50962,47951.0,BPCL,20210908,484.0,493.0,481.9,489.55,6804831.0,3325943012.15,102492.0,UP,1.58,472.61785714285713,466.99523809523805,460.92,456.23186274509806,CROSSED_2
51409,53657.0,BPCL,20210909,489.9,492.0,487.75,491.15,4542492.0,2226603296.65,68264.0,UP,0.33,475.1857142857143,469.2071428571428,461.4,456.5708737864078,CROSSED_2
52264,75729.0,BPCL,20210913,494.0,499.25,491.5,498.1,10730342.0,5309770589.7,125393.0,UP,1.42,478.5,471.49761904761897,462.03700000000003,456.97019230769234,CROSSED_2
52556,80986.0,BPCL,20210914,501.0,503.0,490.5,493.1,12091391.0,6014727277.75,128550.0,DOWN,-1.0,481.12142857142857,473.6380952380952,462.537,457.3142857142857,CROSSED_2
53027,85758.0,BPCL,20210915,494.0,494.95,488.1,489.95,11374253.0,5575920713.7,129541.0,DOWN,-0.64,483.2107142857143,475.3071428571429,463.08099999999996,457.6221698113207,CROSSED_2
53304,97241.0,BPCL,20210917,441.0,442.0,432.1,436.25,12008204.0,5249028365.95,131075.0,DOWN,-10.96,481.03214285714284,473.9857142857143,462.551,457.42242990654205,CROSSED_2
53854,112596.0,BPCL,20210920,431.05,433.65,418.95,420.4,7372138.0,3140529715.2,118332.0,DOWN,-3.63,477.39642857142854,471.8619047619048,461.765,457.0796296296296,CROSSED_2
54532,117888.0,BPCL,20210921,419.9,423.9,412.8,413.8,11481738.0,4783916019.4,137634.0,DOWN,-1.57,473.2,469.49523809523805,460.88,456.68256880733946,CROSSED_2
54742,124124.0,BPCL,20210922,414.5,421.5,414.5,420.15,4820035.0,2021545616.2,74752.0,UP,1.53,469.5214285714286,467.8261904761904,460.073,456.35045454545457,CROSSED_2
55436,129856.0,BPCL,20210923,423.15,424.3,417.15,419.95,5884558.0,2471838614.25,83802.0,DOWN,-0.05,465.44642857142856,466.31428571428575,459.30800000000005,456.02252252252254,CROSSED_2
55739,135625.0,BPCL,20210924,421.0,423.25,412.05,414.8,6337414.0,2642233994.9,87686.0,DOWN,-1.23,460.80357142857144,464.3333333333333,458.466,455.6544642857143,CROSSED_2
56312,151945.0,BPCL,20210927,418.45,422.5,416.55,420.6,4889433.0,2053803244.45,78202.0,UP,1.4,455.75357142857143,462.4238095238095,457.858,455.34424778761064,0
56552,158169.0,BPCL,20210928,424.3,430.25,423.0,429.6,9133471.0,3907591173.25,124560.0,UP,2.14,451.38214285714287,460.6547619047619,457.445,455.11842105263156,WILL_CROSS_1
57031,163930.0,BPCL,20210929,429.5,438.0,426.0,436.9,7625857.0,3308559036.25,115069.0,UP,1.7,448.16428571428565,459.0166666666667,457.209,454.96000000000004,WILL_CROSS_1
57547,169644.0,BPCL,20210930,439.8,440.4,431.0,432.2,4467366.0,1940767516.7,67078.0,DOWN,-1.08,444.0678571428572,457.0952380952381,456.912,454.7637931034483,WILL_CROSS_1
58349,5328.0,BPCL,20211001,431.9,437.6,429.0,433.05,2744990.0,1190526967.05,42421.0,UP,0.2,439.9178571428571,455.25714285714287,456.61300000000006,454.5782051282051,WILL_CROSS_1
58639,23515.0,BPCL,20211004,434.0,438.0,433.5,435.85,2681114.0,1169013829.35,56467.0,UP,0.65,435.4714285714286,453.29761904761904,456.25199999999995,454.4194915254237,WILL_CROSS_1
