,ID,Symbol,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,TOTTRDQTY,TOTTRDVAL,TOTALTRADES,UP_DOWN,CHNAGE_%,SMA_14,SMA_21,SMA_50,SMA_200,ABT_cases
5024,65182.0,BSE,20210412,595.6,595.65,570.5,575.3,396440.0,229769273.25,16939.0,-,0,575.3,575.3,575.3,575.3,0
5468,70938.0,BSE,20210413,579.85,581.65,563.3,572.2,262149.0,150554628.3,7497.0,DOWN,-0.54,573.75,573.75,573.75,573.75,0
5615,81461.0,BSE,20210415,568.0,603.0,568.0,591.5,246573.0,144181664.35,9605.0,UP,3.37,579.6666666666666,579.6666666666666,579.6666666666666,579.6666666666666,0
6064,86233.0,BSE,20210416,591.3,602.7,587.25,590.8,312711.0,186613261.35,9199.0,DOWN,-0.12,582.45,582.45,582.45,582.45,0
6626,102998.0,BSE,20210419,570.0,578.35,565.0,572.7,270591.0,154707603.75,8923.0,DOWN,-3.06,580.5,580.5,580.5,580.5,0
7162,107333.0,BSE,20210420,578.0,598.9,577.0,591.65,418387.0,247197446.15,14218.0,UP,3.31,582.3583333333333,582.3583333333333,582.3583333333333,582.3583333333333,0
7570,118359.0,BSE,20210422,590.55,609.8,583.7,600.85,462307.0,278210154.95,14419.0,UP,1.55,585.0,585.0,585.0,585.0,0
7853,124595.0,BSE,20210423,600.0,607.5,595.0,598.45,203930.0,122728106.7,10624.0,DOWN,-0.4,586.68125,586.68125,586.68125,586.68125,0
8431,141882.0,BSE,20210426,600.1,606.9,595.1,600.1,175460.0,105515093.8,4971.0,UP,0.28,588.1722222222222,588.1722222222222,588.1722222222222,588.1722222222222,0
9116,146670.0,BSE,20210427,600.05,622.0,598.2,617.9,764990.0,470726506.6,20314.0,UP,2.97,591.145,591.145,591.145,591.145,0
9425,152417.0,BSE,20210428,619.0,624.25,614.0,618.6,471858.0,292788160.1,11933.0,UP,0.11,593.6409090909091,593.6409090909091,593.6409090909091,593.6409090909091,0
9823,158641.0,BSE,20210429,619.05,624.9,602.25,605.4,195071.0,119417100.85,6866.0,DOWN,-2.13,594.6208333333333,594.6208333333333,594.6208333333333,594.6208333333333,0
10527,164402.0,BSE,20210430,602.0,613.5,594.95,600.65,209734.0,126717112.95,6457.0,DOWN,-0.78,595.0846153846154,595.0846153846154,595.0846153846154,595.0846153846154,0
10683,16366.0,BSE,20210503,596.0,622.0,594.0,617.65,388720.0,238748249.65,12559.0,UP,2.83,596.6964285714286,596.6964285714286,596.6964285714286,596.6964285714286,0
11526,22086.0,BSE,20210504,625.1,641.75,615.5,620.95,1206428.0,760174256.55,31720.0,UP,0.53,599.9571428571428,598.3133333333334,598.3133333333334,598.3133333333334,CROSSED_2
11839,27334.0,BSE,20210505,629.85,630.0,619.0,625.9,240502.0,150262194.4,7018.0,UP,0.8,603.7928571428572,600.0375,600.0375,600.0375,CROSSED_2
12222,33090.0,BSE,20210506,626.0,693.0,623.1,683.0,3564501.0,2380881256.8,99287.0,UP,9.12,610.3285714285714,604.9176470588236,604.9176470588236,604.9176470588236,CROSSED_2
12913,40296.0,BSE,20210507,690.5,723.95,690.0,701.9,2627289.0,1858490121.4,65648.0,UP,2.77,618.2642857142857,610.3055555555555,610.3055555555555,610.3055555555555,CROSSED_2
13166,58473.0,BSE,20210510,710.2,716.6,695.0,698.6,513413.0,361862514.45,17834.0,DOWN,-0.47,627.2571428571429,614.9526315789474,614.9526315789474,614.9526315789474,CROSSED_2
13750,63772.0,BSE,20210511,685.0,716.0,682.1,706.7,675239.0,473737614.3,29109.0,UP,1.16,635.475,619.54,619.54,619.54,CROSSED_2
14096,68531.0,BSE,20210512,710.0,749.45,709.0,735.8,1910024.0,1405909497.15,54925.0,UP,4.12,645.1142857142858,625.0761904761905,625.0761904761905,625.0761904761905,CROSSED_2
14595,80052.0,BSE,20210514,743.7,770.0,723.05,752.25,1823697.0,1364932739.7,54011.0,UP,2.24,656.1,633.502380952381,630.8568181818182,630.8568181818182,CROSSED_2
15068,95805.0,BSE,20210517,757.3,768.7,741.2,749.5,785302.0,592269440.1,22915.0,DOWN,-0.37,666.7714285714286,641.9452380952381,636.0152173913044,636.0152173913044,CROSSED_2
15420,101085.0,BSE,20210518,752.0,777.5,746.15,756.7,889776.0,679231699.3,25856.0,UP,0.96,676.6857142857142,649.8119047619048,641.0437499999999,641.0437499999999,CROSSED_2
16071,105897.0,BSE,20210519,756.0,766.0,746.3,757.6,533934.0,404562774.4,14820.0,UP,0.12,686.6142857142858,657.754761904762,645.706,645.706,CROSSED_2
16459,111165.0,BSE,20210520,758.35,763.3,747.1,751.45,376102.0,283278710.35,10748.0,DOWN,-0.81,697.0464285714286,666.2666666666667,649.7730769230768,649.7730769230768,CROSSED_2
16808,116956.0,BSE,20210521,756.7,772.95,744.0,747.1,473065.0,358724688.5,14274.0,DOWN,-0.58,707.5071428571429,673.6690476190477,653.3777777777779,653.3777777777779,CROSSED_2
17392,134184.0,BSE,20210524,753.1,794.0,746.5,787.75,1454691.0,1131065302.6,36006.0,UP,5.44,719.657142857143,682.5690476190476,658.1767857142858,658.1767857142858,CROSSED_2
17929,139965.0,BSE,20210525,794.95,803.5,784.7,799.05,1360779.0,1083475724.8,32355.0,UP,1.43,732.3785714285714,692.1214285714285,663.0344827586207,663.0344827586207,CROSSED_2
18442,144753.0,BSE,20210526,821.0,942.3,820.0,911.35,8568978.0,7539189582.5,220332.0,UP,14.05,752.7678571428571,706.9428571428572,671.3116666666666,671.3116666666666,CROSSED_2
18898,150512.0,BSE,20210527,930.3,948.0,893.0,910.6,4162524.0,3821063847.9,119960.0,DOWN,-0.08,769.025,720.8809523809524,679.0306451612903,679.0306451612903,CROSSED_2
19451,157235.0,BSE,20210528,921.0,949.0,910.0,936.75,2434619.0,2259726378.8,64288.0,UP,2.87,785.8000000000001,736.0309523809525,687.084375,687.084375,CROSSED_2
19668,172499.0,BSE,20210531,937.0,977.8,925.25,962.2,2695609.0,2585616824.65,78436.0,UP,2.72,804.6285714285714,753.0214285714285,695.4212121212122,695.4212121212122,CROSSED_2
20202,3895.0,BSE,20210601,965.9,968.9,917.55,932.7,1282670.0,1202346392.2,43962.0,DOWN,-3.07,820.7714285714286,768.8333333333334,702.4,702.4,CROSSED_2
20642,9129.0,BSE,20210602,931.45,939.5,916.0,920.2,728092.0,672133003.8,25726.0,DOWN,-1.34,833.9428571428572,783.2404761904761,708.6228571428571,708.6228571428571,CROSSED_2
21251,14911.0,BSE,20210603,924.0,946.0,920.75,930.65,620461.0,577382524.35,19701.0,UP,1.14,846.6857142857143,797.9880952380952,714.7902777777778,714.7902777777778,CROSSED_2
21850,21130.0,BSE,20210604,931.0,947.45,921.3,928.95,603089.0,562285914.05,18671.0,DOWN,-0.18,859.5035714285714,812.4190476190475,720.5783783783784,720.5783783783784,CROSSED_2
21951,38839.0,BSE,20210607,932.0,944.0,921.0,931.5,535334.0,498954360.2,17092.0,UP,0.27,871.9892857142858,824.2523809523809,726.1289473684211,726.1289473684211,CROSSED_2
22770,45563.0,BSE,20210608,928.1,937.95,918.05,925.05,442840.0,410069728.85,14669.0,DOWN,-0.69,883.95,834.8785714285715,731.2294871794873,731.2294871794873,CROSSED_2
22923,51248.0,BSE,20210609,929.9,929.9,895.1,911.6,568701.0,520700298.05,21527.0,DOWN,-1.45,895.3892857142857,845.0214285714286,735.73875,735.73875,CROSSED_2
23262,57024.0,BSE,20210610,917.05,953.7,912.0,933.15,1250865.0,1171299739.75,35096.0,UP,2.36,908.6785714285714,855.8047619047618,740.5536585365854,740.5536585365854,CROSSED_2
24137,62823.0,BSE,20210611,940.0,947.75,922.0,924.25,464113.0,432490562.9,15649.0,DOWN,-0.95,918.4285714285714,864.7785714285714,744.927380952381,744.927380952381,CROSSED_2
24224,78603.0,BSE,20210614,928.9,941.0,896.15,930.6,593876.0,547768575.5,20567.0,UP,0.69,927.825,873.2714285714286,749.2453488372092,749.2453488372092,CROSSED_2
25054,83837.0,BSE,20210615,934.9,958.4,925.4,945.15,1596003.0,1511110053.7,46050.0,UP,1.56,930.2392857142858,882.5880952380952,753.6977272727272,753.6977272727272,CROSSED_2
25274,89065.0,BSE,20210616,945.15,949.7,926.2,928.9,469870.0,438983762.0,19954.0,DOWN,-1.72,931.5464285714286,890.7880952380953,757.5911111111111,757.5911111111111,CROSSED_2
25628,94357.0,BSE,20210617,925.0,931.0,904.25,907.85,547529.0,502238522.6,21792.0,DOWN,-2.27,929.4821428571429,897.9428571428571,760.8576086956521,760.8576086956521,CROSSED_2
26131,100629.0,BSE,20210618,916.05,925.0,856.9,895.7,735199.0,655968626.75,35885.0,DOWN,-1.34,924.7321428571429,904.8119047619048,763.7265957446809,763.7265957446809,CROSSED_2
26579,115509.0,BSE,20210621,880.0,909.9,873.35,899.25,450059.0,402443234.65,18530.0,UP,0.4,922.342857142857,912.0571428571429,766.5500000000001,766.5500000000001,CROSSED_2
27285,121734.0,BSE,20210622,908.9,916.9,885.0,893.15,373690.0,337051207.15,16312.0,DOWN,-0.68,920.4107142857143,917.0761904761906,769.1336734693878,769.1336734693878,CROSSED_2
27450,127436.0,BSE,20210623,899.0,904.15,884.4,889.35,217102.0,194637340.65,10118.0,DOWN,-0.43,917.4607142857142,921.3761904761903,771.538,771.538,CROSSED_2
27948,132736.0,BSE,20210624,896.5,897.0,877.8,880.75,215136.0,190780376.05,10199.0,DOWN,-0.97,914.0178571428571,919.9190476190475,777.6469999999999,773.679411764706,CROSSED_2
28344,139016.0,BSE,20210625,886.9,918.0,880.0,907.75,476549.0,428734697.3,19037.0,UP,3.07,912.3214285714286,919.7833333333334,784.3580000000001,776.2576923076923,CROSSED_2
28955,155786.0,BSE,20210628,914.0,929.4,903.3,923.75,846331.0,778992887.25,26184.0,UP,1.76,912.2285714285714,919.1642857142857,791.003,779.0405660377359,CROSSED_2
