,ID,Symbol,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,TOTTRDQTY,TOTTRDVAL,TOTALTRADES,UP_DOWN,CHNAGE_%,SMA_14,SMA_21,SMA_50,SMA_200,ABT_cases
382,2500.0,CDSL,20210101,538.0,538.0,530.0,531.6,419379.0,223612053.2,15606.0,-,0,531.6,531.6,531.6,531.6,0
507,19702.0,CDSL,20210104,534.2,536.45,525.0,526.25,632141.0,335242215.65,20502.0,DOWN,-1.01,528.925,528.925,528.925,528.925,0
1201,167726.0,CDSL,20210330,645.0,662.0,645.0,653.4,640186.0,418333589.1,25502.0,UP,24.16,570.4166666666666,570.4166666666666,570.4166666666666,570.4166666666666,0
1567,171554.0,CDSL,20210331,653.45,674.0,621.35,656.05,1044488.0,692540790.95,39546.0,UP,0.41,591.825,591.825,591.825,591.825,0
2251,82.0,CDSL,20210401,661.05,671.7,652.1,655.65,712734.0,472011592.8,34165.0,DOWN,-0.06,604.5899999999999,604.5899999999999,604.5899999999999,604.5899999999999,0
2467,23996.0,CDSL,20210405,659.0,659.5,639.0,652.5,751642.0,488331124.75,30029.0,DOWN,-0.48,612.5749999999999,612.5749999999999,612.5749999999999,612.5749999999999,0
3016,29272.0,CDSL,20210406,658.0,732.85,650.55,720.05,6581017.0,4652789059.7,204934.0,UP,10.35,627.9285714285714,627.9285714285714,627.9285714285714,627.9285714285714,0
3400,35486.0,CDSL,20210407,721.0,764.0,713.5,744.0,3415202.0,2564435839.05,103524.0,UP,3.33,642.4375,642.4375,642.4375,642.4375,0
4054,42197.0,CDSL,20210408,745.95,769.95,745.0,756.8,1430343.0,1082791043.7,46161.0,UP,1.72,655.1444444444445,655.1444444444445,655.1444444444445,655.1444444444445,0
4319,48926.0,CDSL,20210409,760.0,760.25,748.05,750.85,442664.0,332866598.25,15463.0,DOWN,-0.79,664.7149999999999,664.7149999999999,664.7149999999999,664.7149999999999,0
5033,65191.0,CDSL,20210412,739.95,739.95,691.25,706.15,986310.0,704268904.35,34914.0,DOWN,-5.95,668.4818181818182,668.4818181818182,668.4818181818182,668.4818181818182,0
5477,70947.0,CDSL,20210413,712.0,736.85,706.0,710.2,667034.0,479948014.9,20277.0,UP,0.57,671.9583333333334,671.9583333333334,671.9583333333334,671.9583333333334,0
5606,81470.0,CDSL,20210415,709.0,724.0,699.0,719.05,558408.0,397764513.75,19816.0,UP,1.25,675.5807692307692,675.5807692307692,675.5807692307692,675.5807692307692,0
6055,86242.0,CDSL,20210416,721.45,735.75,713.3,725.2,461112.0,335104181.75,15928.0,UP,0.86,679.125,679.125,679.125,679.125,0
6617,103007.0,CDSL,20210419,715.2,734.0,696.0,712.6,585556.0,418842008.9,26232.0,DOWN,-1.74,692.0535714285714,681.3566666666667,681.3566666666667,681.3566666666667,CROSSED_2
7171,107342.0,CDSL,20210420,722.8,727.95,711.1,718.7,320280.0,230902686.65,12270.0,UP,0.86,705.8,683.690625,683.690625,683.690625,CROSSED_2
7561,118368.0,CDSL,20210422,717.0,735.5,712.25,721.1,507527.0,368318847.65,20002.0,UP,0.33,710.6357142857142,685.8911764705882,685.8911764705882,685.8911764705882,CROSSED_2
7862,124604.0,CDSL,20210423,719.5,732.0,717.55,720.65,340819.0,247005420.6,11350.0,DOWN,-0.06,715.25,687.8222222222222,687.8222222222222,687.8222222222222,CROSSED_2
8440,141891.0,CDSL,20210426,725.0,734.9,725.0,731.35,299287.0,218316351.35,11231.0,UP,1.48,720.6571428571427,690.1131578947368,690.1131578947368,690.1131578947368,CROSSED_2
9125,146679.0,CDSL,20210427,741.0,792.0,740.05,780.75,1520954.0,1173910809.7,49073.0,UP,6.75,729.8178571428571,694.645,694.645,694.645,CROSSED_2
9416,152426.0,CDSL,20210428,784.9,825.0,782.0,813.65,1517094.0,1228315345.0,44672.0,UP,4.21,736.5035714285714,700.3119047619048,700.3119047619048,700.3119047619048,CROSSED_2
9832,158650.0,CDSL,20210429,820.5,825.85,785.6,803.45,709933.0,569619250.45,29759.0,DOWN,-1.25,740.75,713.2571428571429,705.0,705.0,CROSSED_2
10519,164411.0,CDSL,20210430,803.0,827.0,802.0,806.8,725914.0,592191480.55,24613.0,UP,0.42,744.3214285714286,726.6166666666666,709.4260869565217,709.4260869565217,CROSSED_2
10674,16375.0,CDSL,20210503,806.95,819.9,789.0,795.85,749365.0,600717429.45,31580.0,DOWN,-1.36,747.5357142857143,733.4,713.0270833333334,713.0270833333334,CROSSED_2
