,ID,Symbol,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,TOTTRDQTY,TOTTRDVAL,TOTALTRADES,UP_DOWN,CHNAGE_%,SMA_14,SMA_21,SMA_50,SMA_200,ABT_cases
5039,65197.0,CESC,20210412,604.0,608.95,588.1,590.15,670794.0,398470900.35,17719.0,-,0,590.15,590.15,590.15,590.15,0
5483,70953.0,CESC,20210413,595.0,603.5,589.1,590.8,211815.0,125624520.9,10537.0,UP,0.11,590.4749999999999,590.4749999999999,590.4749999999999,590.4749999999999,0
5600,81476.0,CESC,20210415,597.0,619.55,588.7,616.85,380051.0,230693603.25,15472.0,UP,4.41,599.2666666666667,599.2666666666667,599.2666666666667,599.2666666666667,0
6050,86248.0,CESC,20210416,616.0,616.0,605.0,610.15,208359.0,127077852.5,16263.0,DOWN,-1.09,601.9875,601.9875,601.9875,601.9875,0
6611,103013.0,CESC,20210419,604.0,604.8,588.0,589.65,206410.0,122208110.85,7742.0,DOWN,-3.36,599.52,599.52,599.52,599.52,0
7177,107348.0,CESC,20210420,595.0,603.0,581.2,583.45,501571.0,295399614.05,18279.0,DOWN,-1.05,596.8416666666667,596.8416666666667,596.8416666666667,596.8416666666667,0
7555,118374.0,CESC,20210422,584.85,589.45,577.15,580.8,211133.0,122941935.6,11169.0,DOWN,-0.45,594.5500000000001,594.5500000000001,594.5500000000001,594.5500000000001,0
7868,124610.0,CESC,20210423,583.5,603.35,583.3,596.95,609856.0,363669919.75,18605.0,UP,2.78,594.85,594.85,594.85,594.85,0
8446,141897.0,CESC,20210426,602.5,620.0,594.15,616.6,498673.0,304503497.55,14787.0,UP,3.29,597.2666666666667,597.2666666666667,597.2666666666667,597.2666666666667,0
9131,146685.0,CESC,20210427,611.0,632.0,609.0,612.9,722896.0,449056492.3,29905.0,DOWN,-0.6,598.83,598.83,598.83,598.83,0
9410,152432.0,CESC,20210428,617.8,620.9,608.75,611.25,252363.0,154748990.55,4765.0,DOWN,-0.27,599.959090909091,599.959090909091,599.959090909091,599.959090909091,0
9838,158656.0,CESC,20210429,625.0,631.2,617.4,623.15,536560.0,335068622.45,18293.0,UP,1.95,601.8916666666667,601.8916666666667,601.8916666666667,601.8916666666667,0
10513,164417.0,CESC,20210430,615.0,622.3,604.15,607.95,346497.0,212350162.9,12867.0,DOWN,-2.44,602.3576923076923,602.3576923076923,602.3576923076923,602.3576923076923,0
10668,16381.0,CESC,20210503,612.0,636.0,612.0,631.45,999335.0,628257680.45,22612.0,UP,3.87,604.4357142857143,604.4357142857143,604.4357142857143,604.4357142857143,0
11511,22101.0,CESC,20210504,636.0,646.9,620.4,623.5,1025464.0,652697133.6,22103.0,DOWN,-1.26,606.8178571428572,605.7066666666667,605.7066666666667,605.7066666666667,CROSSED_2
11633,27349.0,CESC,20210505,627.3,635.7,621.15,633.1,182254.0,114635318.6,5314.0,UP,1.54,609.8392857142857,607.41875,607.41875,607.41875,CROSSED_2
