,ID,Symbol,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,TOTTRDQTY,TOTTRDVAL,TOTALTRADES,UP_DOWN,CHNAGE_%,SMA_14,SMA_21,SMA_50,SMA_200,ABT_cases
5043,65201.0,CHAMBLFERT,20210412,229.6,230.0,221.35,225.35,502538.0,113256098.85,14394.0,-,0,225.35,225.35,225.35,225.35,0
5487,70957.0,CHAMBLFERT,20210413,224.5,228.5,222.05,225.4,572961.0,129012222.8,12686.0,UP,0.02,225.375,225.375,225.375,225.375,0
5596,81480.0,CHAMBLFERT,20210415,228.0,239.4,223.5,230.95,1859405.0,431695571.55,24619.0,UP,2.46,227.23333333333335,227.23333333333335,227.23333333333335,227.23333333333335,0
6046,86252.0,CHAMBLFERT,20210416,231.0,233.1,225.0,226.65,895009.0,204167438.7,13928.0,DOWN,-1.86,227.0875,227.0875,227.0875,227.0875,0
6607,103017.0,CHAMBLFERT,20210419,223.9,223.95,216.5,218.05,385182.0,84259809.35,7611.0,DOWN,-3.79,225.28000000000003,225.28000000000003,225.28000000000003,225.28000000000003,0
7181,107352.0,CHAMBLFERT,20210420,220.1,221.2,215.3,216.45,195384.0,42648640.35,4749.0,DOWN,-0.73,223.8083333333333,223.8083333333333,223.8083333333333,223.8083333333333,0
7551,118378.0,CHAMBLFERT,20210422,214.05,215.8,212.05,213.35,452732.0,96759561.85,8268.0,DOWN,-1.43,222.31428571428572,222.31428571428572,222.31428571428572,222.31428571428572,0
7872,124614.0,CHAMBLFERT,20210423,213.0,214.7,209.8,211.65,557545.0,118420299.8,16736.0,DOWN,-0.8,220.98125,220.98125,220.98125,220.98125,0
8450,141901.0,CHAMBLFERT,20210426,213.7,220.5,210.9,219.75,573422.0,124762658.25,9329.0,UP,3.83,220.84444444444443,220.84444444444443,220.84444444444443,220.84444444444443,0
9135,146689.0,CHAMBLFERT,20210427,219.75,225.45,217.45,224.65,583942.0,130064578.65,10812.0,UP,2.23,221.225,221.225,221.225,221.225,0
9406,152436.0,CHAMBLFERT,20210428,225.4,228.0,221.7,225.0,681650.0,153189933.1,7453.0,UP,0.16,221.5681818181818,221.5681818181818,221.5681818181818,221.5681818181818,0
9842,158660.0,CHAMBLFERT,20210429,225.0,226.45,218.5,219.45,392735.0,86936469.7,19061.0,DOWN,-2.47,221.39166666666665,221.39166666666665,221.39166666666665,221.39166666666665,0
10509,164421.0,CHAMBLFERT,20210430,218.9,221.7,214.6,217.35,807759.0,176555918.15,11330.0,DOWN,-0.96,221.08076923076925,221.08076923076925,221.08076923076925,221.08076923076925,0
10664,16385.0,CHAMBLFERT,20210503,215.4,219.5,215.15,218.55,276519.0,60317421.5,8568.0,UP,0.55,220.9,220.9,220.9,220.9,0
11507,22105.0,CHAMBLFERT,20210504,219.5,222.65,212.4,213.25,613578.0,133052599.35,12836.0,DOWN,-2.43,220.03571428571428,220.39,220.39,220.39,WILL_CROSS_1
11821,27353.0,CHAMBLFERT,20210505,215.2,218.5,214.0,216.45,432000.0,93327708.25,8935.0,UP,1.5,219.39642857142857,220.14375,220.14375,220.14375,WILL_CROSS_1
12241,33109.0,CHAMBLFERT,20210506,217.2,226.7,216.5,221.85,1337092.0,295614686.75,17624.0,UP,2.49,218.7464285714286,220.24411764705883,220.24411764705883,220.24411764705883,WILL_CROSS_1
12932,40315.0,CHAMBLFERT,20210507,222.0,224.7,217.5,219.05,664812.0,146599669.25,8954.0,DOWN,-1.26,218.20357142857142,220.17777777777778,220.17777777777778,220.17777777777778,WILL_CROSS_1
13147,58492.0,CHAMBLFERT,20210510,223.0,227.15,222.0,223.6,1177709.0,263446610.15,14743.0,UP,2.08,218.6,220.35789473684213,220.35789473684213,220.35789473684213,WILL_CROSS_1
