,ID,Symbol,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,TOTTRDQTY,TOTTRDVAL,TOTALTRADES,UP_DOWN,CHNAGE_%,SMA_14,SMA_21,SMA_50,SMA_200,ABT_cases
35913,104961.0,CLEAN,20210719,1755.0,1770.65,1555.05,1585.25,13548172.0,22224043311.0,590802.0,-,0,1585.25,1585.25,1585.25,1585.25,0
36162,109730.0,CLEAN,20210720,1585.8,1760.0,1576.8,1737.55,6980467.0,11843827666.1,315143.0,UP,9.61,1661.4,1661.4,1661.4,1661.4,0
36738,120802.0,CLEAN,20210722,1751.0,1779.0,1672.15,1694.45,1731678.0,2981459465.1,93236.0,DOWN,-2.48,1672.4166666666667,1672.4166666666667,1672.4166666666667,1672.4166666666667,0
37106,127002.0,CLEAN,20210723,1700.0,1701.05,1605.0,1635.4,1084767.0,1776748251.95,65707.0,DOWN,-3.48,1663.1625,1663.1625,1663.1625,1663.1625,0
37294,143815.0,CLEAN,20210726,1635.0,1688.0,1620.0,1652.5,747225.0,1241084568.0,44666.0,UP,1.05,1661.03,1661.03,1661.03,1661.03,0
38150,149075.0,CLEAN,20210727,1664.5,1715.2,1620.05,1677.25,676427.0,1128151261.5,36913.0,UP,1.5,1663.7333333333333,1663.7333333333333,1663.7333333333333,1663.7333333333333,0
38286,154853.0,CLEAN,20210728,1672.25,1674.8,1628.55,1634.55,256379.0,421990473.75,16196.0,DOWN,-2.55,1659.564285714286,1659.564285714286,1659.564285714286,1659.564285714286,0
38730,160602.0,CLEAN,20210729,1636.0,1651.1,1600.0,1622.45,351507.0,571715904.95,22412.0,DOWN,-0.74,1654.925,1654.925,1654.925,1654.925,0
39204,166326.0,CLEAN,20210730,1629.5,1726.85,1626.1,1682.0,1271880.0,2149767847.1,58943.0,UP,3.67,1657.9333333333334,1657.9333333333334,1657.9333333333334,1657.9333333333334,0
39825,6773.0,CLEAN,20210802,1693.5,1709.9,1660.0,1666.45,288875.0,486322083.25,22013.0,DOWN,-0.92,1658.7849999999999,1658.7849999999999,1658.7849999999999,1658.7849999999999,0
40169,12524.0,CLEAN,20210803,1673.5,1707.0,1666.65,1672.65,234059.0,394364997.25,16974.0,UP,0.37,1660.0454545454545,1660.0454545454545,1660.0454545454545,1660.0454545454545,0
40511,18271.0,CLEAN,20210804,1680.0,1683.5,1640.0,1645.25,172637.0,286034824.4,11443.0,DOWN,-1.64,1658.8125,1658.8125,1658.8125,1658.8125,0
41236,30234.0,CLEAN,20210806,1640.0,1679.0,1623.0,1656.95,312272.0,516485050.1,16675.0,UP,0.71,1658.6692307692308,1658.6692307692308,1658.6692307692308,1658.6692307692308,0
41650,49396.0,CLEAN,20210809,1664.9,1681.0,1575.7,1602.4,499926.0,813074077.15,30270.0,DOWN,-3.29,1654.6499999999999,1654.6499999999999,1654.6499999999999,1654.6499999999999,0
41929,54638.0,CLEAN,20210810,1617.9,1629.0,1510.0,1520.45,643538.0,996812377.85,47296.0,DOWN,-5.11,1650.0214285714285,1645.7033333333334,1645.7033333333334,1645.7033333333334,CROSSED_2
42395,60417.0,CLEAN,20210811,1520.0,1593.5,1435.6,1575.35,678501.0,1031161062.75,47352.0,UP,3.61,1638.4357142857145,1641.30625,1641.30625,1641.30625,WILL_CROSS_1
43161,66154.0,CLEAN,20210812,1580.0,1598.0,1557.4,1576.95,153642.0,242229400.25,13039.0,UP,0.1,1630.042857142857,1637.520588235294,1637.520588235294,1637.520588235294,WILL_CROSS_1
43507,71910.0,CLEAN,20210813,1582.0,1635.0,1570.45,1612.35,289245.0,467251638.05,28861.0,UP,2.24,1628.3964285714285,1636.1222222222223,1636.1222222222223,1636.1222222222223,WILL_CROSS_1
