,ID,Symbol,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,TOTTRDQTY,TOTTRDVAL,TOTALTRADES,UP_DOWN,CHNAGE_%,SMA_14,SMA_21,SMA_50,SMA_200,ABT_cases
5056,65214.0,CSBBANK,20210412,261.05,266.3,249.0,253.55,596663.0,153202176.55,20122.0,-,0,253.55,253.55,253.55,253.55,0
5500,70970.0,CSBBANK,20210413,250.1,255.0,248.0,251.2,136109.0,34255268.0,3365.0,DOWN,-0.93,252.375,252.375,252.375,252.375,0
5583,81493.0,CSBBANK,20210415,257.0,260.6,248.1,259.25,180968.0,46364398.5,7492.0,UP,3.2,254.66666666666666,254.66666666666666,254.66666666666666,254.66666666666666,0
6033,86265.0,CSBBANK,20210416,259.25,264.75,252.0,263.1,272539.0,71726925.7,8679.0,UP,1.49,256.775,256.775,256.775,256.775,0
6594,103030.0,CSBBANK,20210419,256.1,256.1,247.5,249.2,138654.0,34914238.5,7006.0,DOWN,-5.28,255.26,255.26,255.26,255.26,0
7194,107365.0,CSBBANK,20210420,252.5,259.0,250.4,253.6,159989.0,40972252.5,6208.0,UP,1.77,254.98333333333335,254.98333333333335,254.98333333333335,254.98333333333335,0
7538,118391.0,CSBBANK,20210422,250.0,259.35,250.0,256.95,135835.0,34830784.2,4012.0,UP,1.32,255.2642857142857,255.2642857142857,255.2642857142857,255.2642857142857,0
7885,124627.0,CSBBANK,20210423,256.95,259.9,250.05,254.0,251108.0,64277291.95,14137.0,DOWN,-1.15,255.10625,255.10625,255.10625,255.10625,0
8463,141914.0,CSBBANK,20210426,253.0,258.0,243.8,255.95,110409.0,27994232.35,2471.0,UP,0.77,255.20000000000002,255.20000000000002,255.20000000000002,255.20000000000002,0
9148,146702.0,CSBBANK,20210427,256.0,259.9,250.0,253.05,85767.0,21896953.35,1878.0,DOWN,-1.13,254.98499999999999,254.98499999999999,254.98499999999999,254.98499999999999,0
9393,152449.0,CSBBANK,20210428,253.2,257.0,252.75,256.0,250702.0,64079604.25,2978.0,UP,1.17,255.0772727272727,255.0772727272727,255.0772727272727,255.0772727272727,0
9856,158673.0,CSBBANK,20210429,256.0,266.5,255.0,261.05,350841.0,91855102.3,8159.0,UP,1.97,255.57500000000002,255.57500000000002,255.57500000000002,255.57500000000002,0
10496,164434.0,CSBBANK,20210430,259.95,268.0,255.0,258.25,394895.0,104200809.3,8941.0,DOWN,-1.07,255.78076923076924,255.78076923076924,255.78076923076924,255.78076923076924,0
10651,16398.0,CSBBANK,20210503,259.0,259.4,255.0,257.5,158276.0,40719564.2,3128.0,DOWN,-0.29,255.90357142857144,255.90357142857144,255.90357142857144,255.90357142857144,0
11494,22118.0,CSBBANK,20210504,260.0,268.7,245.8,251.15,397943.0,102988291.9,6739.0,DOWN,-2.47,255.73214285714286,255.58666666666667,255.58666666666667,255.58666666666667,CROSSED_2
11808,27366.0,CSBBANK,20210505,255.0,269.5,253.5,263.65,456310.0,119376379.1,7795.0,UP,4.98,256.62142857142857,256.090625,256.090625,256.090625,CROSSED_2
12141,33122.0,CSBBANK,20210506,265.45,265.45,258.8,262.55,369280.0,96856834.55,3943.0,DOWN,-0.42,256.85714285714283,256.47058823529414,256.47058823529414,256.47058823529414,CROSSED_2
12945,40328.0,CSBBANK,20210507,263.0,263.45,255.0,257.6,350352.0,91277068.75,3701.0,DOWN,-1.89,256.4642857142857,256.53333333333336,256.53333333333336,256.53333333333336,WILL_CROSS_1
13135,58505.0,CSBBANK,20210510,268.95,285.45,265.0,272.2,3365007.0,932504142.85,48402.0,UP,5.67,258.10714285714283,257.3578947368421,257.3578947368421,257.3578947368421,CROSSED_2
13717,63804.0,CSBBANK,20210511,271.6,278.75,266.5,274.05,631281.0,171234722.65,10762.0,UP,0.68,259.5678571428571,258.1925,258.1925,258.1925,CROSSED_2
14064,68563.0,CSBBANK,20210512,274.2,277.7,270.2,275.65,441629.0,120960621.55,8505.0,UP,0.58,260.9035714285714,259.0238095238095,259.0238095238095,259.0238095238095,CROSSED_2
14627,80084.0,CSBBANK,20210514,280.0,281.9,266.1,268.15,304680.0,83230626.9,5808.0,DOWN,-2.72,261.9142857142857,259.7190476190476,259.43863636363636,259.43863636363636,CROSSED_2
15037,95837.0,CSBBANK,20210517,269.9,274.75,269.3,273.0,361636.0,98372482.15,9325.0,UP,1.81,263.13214285714287,260.75714285714287,260.0282608695652,260.0282608695652,CROSSED_2
15653,101117.0,CSBBANK,20210518,272.2,296.5,270.2,286.6,2534746.0,730012452.8,34796.0,UP,4.98,265.5285714285714,262.0595238095238,261.1354166666667,261.1354166666667,CROSSED_2
16039,105929.0,CSBBANK,20210519,284.0,325.0,279.7,320.0,5115600.0,1598170379.95,66487.0,UP,11.65,270.1,264.7690476190476,263.49,263.49,CROSSED_2
16490,111197.0,CSBBANK,20210520,324.0,346.2,300.5,305.7,6919062.0,2264914373.55,102033.0,DOWN,-4.47,273.2892857142857,267.4595238095238,265.11346153846154,265.11346153846154,CROSSED_2
16840,116988.0,CSBBANK,20210521,312.2,318.85,309.0,314.5,1902340.0,597954085.65,37527.0,UP,2.88,277.3071428571429,270.3595238095238,266.9425925925926,266.9425925925926,CROSSED_2
17424,134216.0,CSBBANK,20210524,317.5,317.5,302.65,305.8,545826.0,168805788.1,8902.0,DOWN,-2.77,280.75714285714287,272.68571428571425,268.33035714285717,268.33035714285717,CROSSED_2
17897,139997.0,CSBBANK,20210525,308.0,317.0,306.25,314.8,964999.0,301715211.8,17974.0,UP,2.94,285.30357142857144,275.5809523809524,269.93275862068964,269.93275862068964,CROSSED_2
18409,144785.0,CSBBANK,20210526,314.15,331.5,314.1,324.05,1688244.0,548017536.05,24434.0,UP,2.94,289.61785714285713,278.82380952380953,271.7366666666667,271.7366666666667,CROSSED_2
18866,150544.0,CSBBANK,20210527,327.0,327.0,312.5,316.05,524427.0,168157406.75,9454.0,DOWN,-2.47,293.4392857142857,281.8238095238095,273.166129032258,273.166129032258,CROSSED_2
19418,157267.0,CSBBANK,20210528,320.0,320.25,312.0,312.55,290315.0,91844797.95,6310.0,DOWN,-1.11,297.36428571428576,284.51666666666665,274.396875,274.396875,CROSSED_2
19699,172531.0,CSBBANK,20210531,313.9,316.55,307.25,309.85,335119.0,104498883.8,6673.0,DOWN,-0.86,300.05357142857144,286.84047619047624,275.4712121212121,275.4712121212121,CROSSED_2
20169,3927.0,CSBBANK,20210601,310.8,314.45,303.5,304.8,351567.0,108142986.0,7876.0,DOWN,-1.63,302.25,289.0571428571429,276.3338235294118,276.3338235294118,CROSSED_2
20610,9161.0,CSBBANK,20210602,306.7,323.0,304.5,319.0,546172.0,171699916.35,9648.0,UP,4.66,305.3464285714286,291.9857142857143,277.55285714285714,277.55285714285714,CROSSED_2
21283,14943.0,CSBBANK,20210603,331.4,331.4,324.0,327.8,967464.0,316251617.3,14327.0,UP,2.76,309.60714285714283,295.6357142857143,278.9486111111111,278.9486111111111,CROSSED_2
21818,21162.0,CSBBANK,20210604,327.0,327.0,320.0,322.45,304485.0,98354160.05,5123.0,DOWN,-1.63,313.1392857142857,298.4357142857143,280.12432432432433,280.12432432432433,CROSSED_2
21920,38871.0,CSBBANK,20210607,328.0,333.0,325.55,327.0,392423.0,129089839.65,8421.0,UP,1.41,316.025,301.50476190476195,281.3578947368421,281.3578947368421,CROSSED_2
22335,45595.0,CSBBANK,20210608,326.85,327.25,322.7,324.45,150448.0,48862806.3,4698.0,DOWN,-0.78,316.3428571428571,304.68809523809523,282.4628205128205,282.4628205128205,CROSSED_2
22955,51279.0,CSBBANK,20210609,324.1,338.9,321.05,330.9,874749.0,291335117.75,15499.0,UP,1.99,318.14285714285717,307.4833333333333,283.67375000000004,283.67375000000004,CROSSED_2
