,ID,Symbol,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,TOTTRDQTY,TOTTRDVAL,TOTALTRADES,UP_DOWN,CHNAGE_%,SMA_14,SMA_21,SMA_50,SMA_200,ABT_cases
5059,65217.0,CYIENT,20210412,691.9,691.9,656.15,662.55,150105.0,100986642.8,9141.0,-,0,662.55,662.55,662.55,662.55,0
5503,70973.0,CYIENT,20210413,660.0,704.0,660.0,690.65,195807.0,134561777.7,14860.0,UP,4.24,676.5999999999999,676.5999999999999,676.5999999999999,676.5999999999999,0
5580,81496.0,CYIENT,20210415,691.0,696.95,665.0,687.05,153641.0,104690730.75,12254.0,DOWN,-0.52,680.0833333333334,680.0833333333334,680.0833333333334,680.0833333333334,0
6030,86268.0,CYIENT,20210416,681.2,697.8,681.2,685.15,95888.0,66319382.25,7832.0,DOWN,-0.28,681.3499999999999,681.3499999999999,681.3499999999999,681.3499999999999,0
6591,103033.0,CYIENT,20210419,674.95,679.3,667.0,670.35,139752.0,93973136.7,8391.0,DOWN,-2.16,679.15,679.15,679.15,679.15,0
7197,107368.0,CYIENT,20210420,673.1,695.0,671.0,684.65,109907.0,74800653.55,7882.0,UP,2.13,680.0666666666666,680.0666666666666,680.0666666666666,680.0666666666666,0
7535,118394.0,CYIENT,20210422,687.0,696.0,678.45,688.1,227885.0,157274771.3,12668.0,UP,0.5,681.2142857142857,681.2142857142857,681.2142857142857,681.2142857142857,0
7888,124630.0,CYIENT,20210423,710.0,721.55,670.0,686.4,838787.0,581047438.3,38319.0,DOWN,-0.25,681.8625,681.8625,681.8625,681.8625,0
8466,141917.0,CYIENT,20210426,695.2,708.7,690.8,695.2,388797.0,271700278.5,24036.0,UP,1.28,683.3444444444444,683.3444444444444,683.3444444444444,683.3444444444444,0
9151,146705.0,CYIENT,20210427,701.0,717.95,687.7,698.75,546832.0,384562058.85,32168.0,UP,0.51,684.885,684.885,684.885,684.885,0
9390,152452.0,CYIENT,20210428,700.0,713.0,699.0,708.25,226249.0,160023369.65,17767.0,UP,1.36,687.0090909090909,687.0090909090909,687.0090909090909,687.0090909090909,0
9859,158676.0,CYIENT,20210429,708.25,774.8,708.25,734.9,1078424.0,798387118.2,45003.0,UP,3.76,691.0,691.0,691.0,691.0,0
10493,164437.0,CYIENT,20210430,739.0,751.5,730.0,737.05,235198.0,174453811.55,14662.0,UP,0.29,694.5423076923076,694.5423076923076,694.5423076923076,694.5423076923076,0
11114,16401.0,CYIENT,20210503,730.0,759.4,725.95,749.65,242733.0,181430826.7,14263.0,UP,1.71,698.4785714285715,698.4785714285715,698.4785714285715,698.4785714285715,0
11491,22121.0,CYIENT,20210504,751.0,793.5,749.6,785.6,616695.0,475620444.25,27400.0,UP,4.8,707.2678571428571,704.2866666666666,704.2866666666666,704.2866666666666,CROSSED_2
