,ID,Symbol,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,TOTTRDQTY,TOTTRDVAL,TOTALTRADES,UP_DOWN,CHNAGE_%,SMA_14,SMA_21,SMA_50,SMA_200,ABT_cases
5061,65219.0,DALBHARAT,20210412,1540.0,1540.0,1438.9,1479.75,51296.0,76350133.65,6158.0,-,0,1479.75,1479.75,1479.75,1479.75,0
5279,70975.0,DALBHARAT,20210413,1481.0,1558.0,1479.45,1541.1,95170.0,146086177.65,10244.0,UP,4.15,1510.425,1510.425,1510.425,1510.425,0
5578,81498.0,DALBHARAT,20210415,1555.0,1600.0,1542.0,1578.25,334169.0,527636711.35,17625.0,UP,2.41,1533.0333333333335,1533.0333333333335,1533.0333333333335,1533.0333333333335,0
6028,86270.0,DALBHARAT,20210416,1593.0,1600.0,1538.1,1559.95,197968.0,314259105.5,23816.0,DOWN,-1.16,1539.7625,1539.7625,1539.7625,1539.7625,0
6589,103035.0,DALBHARAT,20210419,1530.0,1530.0,1488.0,1503.5,79579.0,120180989.5,6658.0,DOWN,-3.62,1532.51,1532.51,1532.51,1532.51,0
7199,107370.0,DALBHARAT,20210420,1525.0,1564.75,1428.0,1447.35,260999.0,386902482.65,20793.0,DOWN,-3.73,1518.3166666666666,1518.3166666666666,1518.3166666666666,1518.3166666666666,0
7533,118396.0,DALBHARAT,20210422,1465.0,1499.85,1456.05,1478.95,87264.0,129602836.35,6766.0,UP,2.18,1512.6928571428573,1512.6928571428573,1512.6928571428573,1512.6928571428573,0
7890,124632.0,DALBHARAT,20210423,1450.55,1494.2,1405.1,1424.4,171673.0,247535654.1,13110.0,DOWN,-3.69,1501.65625,1501.65625,1501.65625,1501.65625,0
8468,141919.0,DALBHARAT,20210426,1435.0,1477.6,1434.9,1471.15,154949.0,228121151.8,4744.0,UP,3.28,1498.2666666666667,1498.2666666666667,1498.2666666666667,1498.2666666666667,0
9153,146707.0,DALBHARAT,20210427,1480.0,1547.0,1474.7,1529.8,356182.0,535098492.5,9816.0,UP,3.99,1501.42,1501.42,1501.42,1501.42,0
9388,152454.0,DALBHARAT,20210428,1532.5,1548.7,1507.45,1510.3,88442.0,134867553.8,5027.0,DOWN,-1.27,1502.2272727272727,1502.2272727272727,1502.2272727272727,1502.2272727272727,0
9861,158678.0,DALBHARAT,20210429,1530.0,1543.9,1520.05,1537.5,92812.0,142548970.4,6041.0,UP,1.8,1505.1666666666667,1505.1666666666667,1505.1666666666667,1505.1666666666667,0
10491,164439.0,DALBHARAT,20210430,1544.95,1564.0,1480.8,1506.35,228082.0,343400925.05,13312.0,DOWN,-2.03,1505.2576923076922,1505.2576923076922,1505.2576923076922,1505.2576923076922,0
11112,16403.0,DALBHARAT,20210503,1534.0,1599.25,1502.95,1546.45,239057.0,374197730.9,14210.0,UP,2.66,1508.2,1508.2,1508.2,1508.2,0
11489,22123.0,DALBHARAT,20210504,1569.0,1576.55,1541.15,1552.3,106907.0,166475111.35,18832.0,UP,0.38,1513.3821428571428,1511.1399999999999,1511.1399999999999,1511.1399999999999,CROSSED_2
11803,27371.0,DALBHARAT,20210505,1560.0,1590.0,1530.85,1538.5,103402.0,160726726.75,6907.0,DOWN,-0.89,1513.1964285714287,1512.85,1512.85,1512.85,CROSSED_2
12136,33127.0,DALBHARAT,20210506,1547.8,1585.0,1540.0,1567.2,114935.0,180858354.45,11065.0,UP,1.87,1512.4071428571428,1516.0470588235294,1516.0470588235294,1516.0470588235294,WILL_CROSS_1
12950,40333.0,DALBHARAT,20210507,1582.6,1676.35,1571.95,1631.9,385874.0,630925140.55,24574.0,UP,4.13,1517.5464285714286,1522.4833333333333,1522.4833333333333,1522.4833333333333,WILL_CROSS_1
