,ID,Symbol,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,TOTTRDQTY,TOTTRDVAL,TOTALTRADES,UP_DOWN,CHNAGE_%,SMA_14,SMA_21,SMA_50,SMA_200,ABT_cases
5062,65220.0,DBL,20210412,577.0,577.0,542.25,558.45,323817.0,179768610.55,12270.0,-,0,558.45,558.45,558.45,558.45,0
5278,70976.0,DBL,20210413,558.45,569.0,550.0,554.2,235074.0,131157450.65,12644.0,DOWN,-0.76,556.325,556.325,556.325,556.325,0
5577,81499.0,DBL,20210415,545.0,556.9,534.45,547.6,170067.0,92360962.95,8090.0,DOWN,-1.19,553.4166666666666,553.4166666666666,553.4166666666666,553.4166666666666,0
6027,86271.0,DBL,20210416,548.0,597.0,547.55,585.0,414439.0,236471306.0,20801.0,UP,6.83,561.3125,561.3125,561.3125,561.3125,0
6588,103036.0,DBL,20210419,578.0,586.85,551.15,578.1,231732.0,131752293.65,9627.0,DOWN,-1.18,564.6700000000001,564.6700000000001,564.6700000000001,564.6700000000001,0
7200,107371.0,DBL,20210420,578.0,607.0,577.95,595.25,500730.0,297504288.55,21354.0,UP,2.97,569.7666666666668,569.7666666666668,569.7666666666668,569.7666666666668,0
7532,118397.0,DBL,20210422,585.1,606.8,575.0,584.9,256046.0,152300853.75,12687.0,DOWN,-1.74,571.9285714285714,571.9285714285714,571.9285714285714,571.9285714285714,0
7891,124633.0,DBL,20210423,583.0,606.9,580.1,600.55,283837.0,168384708.4,16357.0,UP,2.68,575.50625,575.50625,575.50625,575.50625,0
8469,141920.0,DBL,20210426,601.9,606.3,587.25,594.55,247928.0,147959517.2,22677.0,DOWN,-1.0,577.6222222222223,577.6222222222223,577.6222222222223,577.6222222222223,0
9154,146708.0,DBL,20210427,596.6,604.9,588.0,592.2,226137.0,134710475.95,19491.0,DOWN,-0.4,579.08,579.08,579.08,579.08,0
9387,152455.0,DBL,20210428,582.0,586.7,535.05,542.05,1816601.0,994099929.0,42748.0,DOWN,-8.47,575.7136363636364,575.7136363636364,575.7136363636364,575.7136363636364,0
9862,158679.0,DBL,20210429,548.8,559.8,543.5,546.55,477922.0,262668023.15,10835.0,UP,0.83,573.2833333333333,573.2833333333333,573.2833333333333,573.2833333333333,0
10490,164440.0,DBL,20210430,544.0,554.0,538.45,546.35,408000.0,222934713.95,9362.0,DOWN,-0.04,571.2115384615385,571.2115384615385,571.2115384615385,571.2115384615385,0
11111,16404.0,DBL,20210503,541.0,544.65,533.25,541.2,226502.0,122448419.7,5129.0,DOWN,-0.94,569.0678571428572,569.0678571428572,569.0678571428572,569.0678571428572,0
11488,22124.0,DBL,20210504,546.0,546.05,525.5,537.2,408181.0,219232585.9,10784.0,DOWN,-0.74,567.5500000000001,566.9433333333333,566.9433333333333,566.9433333333333,CROSSED_2
11802,27372.0,DBL,20210505,537.95,537.95,523.75,532.2,153490.0,81427305.7,4299.0,DOWN,-0.93,565.9785714285714,564.771875,564.771875,564.771875,CROSSED_2
12135,33128.0,DBL,20210506,536.3,536.3,526.2,532.9,135273.0,71864712.45,5016.0,UP,0.13,564.9285714285714,562.8970588235294,562.8970588235294,562.8970588235294,CROSSED_2
12951,40334.0,DBL,20210507,538.9,548.0,529.0,531.2,392445.0,211973105.2,8353.0,DOWN,-0.32,561.0857142857143,561.1361111111112,561.1361111111112,561.1361111111112,WILL_CROSS_1
13129,58511.0,DBL,20210510,531.2,541.8,531.2,535.5,150876.0,80887029.75,8549.0,UP,0.81,558.0428571428571,559.7868421052632,559.7868421052632,559.7868421052632,WILL_CROSS_1
13711,63810.0,DBL,20210511,534.0,545.0,531.9,540.4,196889.0,106326993.8,5772.0,UP,0.92,554.125,558.8175,558.8175,558.8175,WILL_CROSS_1
14058,68569.0,DBL,20210512,539.95,544.5,533.0,534.7,312292.0,168910400.35,6743.0,DOWN,-1.05,550.5392857142857,557.6690476190475,557.6690476190475,557.6690476190475,WILL_CROSS_1
14633,80090.0,DBL,20210514,540.0,551.0,525.0,526.85,518607.0,280095883.05,13249.0,DOWN,-1.47,545.275,556.1642857142857,556.2681818181818,556.2681818181818,WILL_CROSS_1
