,ID,Symbol,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,TOTTRDQTY,TOTTRDVAL,TOTALTRADES,UP_DOWN,CHNAGE_%,SMA_14,SMA_21,SMA_50,SMA_200,ABT_cases
5064,65222.0,DEEPAKNTR,20210412,1670.0,1670.0,1573.35,1582.8,815976.0,1315097537.65,53096.0,-,0,1582.8,1582.8,1582.8,1582.8,0
5276,70978.0,DEEPAKNTR,20210413,1596.0,1627.5,1568.4,1587.1,785135.0,1252491592.35,40111.0,UP,0.27,1584.9499999999998,1584.9499999999998,1584.9499999999998,1584.9499999999998,0
5575,81501.0,DEEPAKNTR,20210415,1587.0,1615.85,1557.0,1608.15,651992.0,1033693747.8,38134.0,UP,1.33,1592.6833333333334,1592.6833333333334,1592.6833333333334,1592.6833333333334,0
6025,86273.0,DEEPAKNTR,20210416,1614.95,1625.0,1582.0,1587.95,790412.0,1269889172.15,39082.0,DOWN,-1.26,1591.5,1591.5,1591.5,1591.5,0
6586,103038.0,DEEPAKNTR,20210419,1549.6,1571.9,1533.25,1558.85,469972.0,730150918.3,29687.0,DOWN,-1.83,1584.97,1584.97,1584.97,1584.97,0
7202,107373.0,DEEPAKNTR,20210420,1585.6,1595.75,1550.0,1559.85,430408.0,677583683.95,22992.0,UP,0.06,1580.7833333333335,1580.7833333333335,1580.7833333333335,1580.7833333333335,0
7530,118399.0,DEEPAKNTR,20210422,1552.0,1609.0,1550.0,1598.55,598104.0,949896607.75,29051.0,UP,2.48,1583.3214285714287,1583.3214285714287,1583.3214285714287,1583.3214285714287,0
7893,124635.0,DEEPAKNTR,20210423,1611.55,1673.85,1607.35,1627.85,1531076.0,2521661876.9,72075.0,UP,1.83,1588.8875,1588.8875,1588.8875,1588.8875,0
8471,141922.0,DEEPAKNTR,20210426,1648.4,1654.6,1607.0,1637.5,1464576.0,2378667403.7,40659.0,UP,0.59,1594.288888888889,1594.288888888889,1594.288888888889,1594.288888888889,0
9156,146710.0,DEEPAKNTR,20210427,1650.0,1795.0,1650.0,1782.55,4531215.0,7896606569.05,149692.0,UP,8.86,1613.115,1613.115,1613.115,1613.115,0
9385,152457.0,DEEPAKNTR,20210428,1805.0,1850.0,1755.0,1780.45,3388293.0,6150745277.6,121517.0,DOWN,-0.12,1628.3272727272727,1628.3272727272727,1628.3272727272727,1628.3272727272727,0
9864,158681.0,DEEPAKNTR,20210429,1800.0,1827.7,1775.05,1787.25,1225613.0,2203469136.8,57561.0,UP,0.38,1641.5708333333332,1641.5708333333332,1641.5708333333332,1641.5708333333332,0
10488,164442.0,DEEPAKNTR,20210430,1787.0,1900.0,1767.9,1865.6,2623486.0,4874044123.95,103173.0,UP,4.38,1658.8038461538463,1658.8038461538463,1658.8038461538463,1658.8038461538463,0
11109,16406.0,DEEPAKNTR,20210503,1865.6,1955.0,1855.6,1904.1,2911349.0,5572567072.9,118840.0,UP,2.06,1676.325,1676.325,1676.325,1676.325,0
11486,22126.0,DEEPAKNTR,20210504,1923.05,1943.9,1840.55,1863.75,1554705.0,2953068962.35,62036.0,DOWN,-2.12,1696.392857142857,1688.82,1688.82,1688.82,CROSSED_2
11800,27374.0,DEEPAKNTR,20210505,1864.0,1924.9,1845.0,1904.0,1257678.0,2364731423.25,54032.0,UP,2.16,1719.0285714285712,1702.26875,1702.26875,1702.26875,CROSSED_2
12133,33130.0,DEEPAKNTR,20210506,1960.0,1988.0,1881.0,1891.2,3165908.0,6078267194.15,122578.0,DOWN,-0.67,1739.2464285714286,1713.3823529411766,1713.3823529411766,1713.3823529411766,CROSSED_2
12953,40336.0,DEEPAKNTR,20210507,1900.7,1918.6,1792.15,1803.05,2537304.0,4654340351.55,123943.0,DOWN,-4.66,1754.6107142857143,1718.3638888888888,1718.3638888888888,1718.3638888888888,CROSSED_2
13127,58513.0,DEEPAKNTR,20210510,1820.05,1825.0,1771.0,1775.8,1501458.0,2687601817.0,69621.0,DOWN,-1.51,1770.107142857143,1721.386842105263,1721.386842105263,1721.386842105263,CROSSED_2
13709,63812.0,DEEPAKNTR,20210511,1768.0,1829.2,1755.8,1797.45,1270066.0,2277362426.35,54548.0,UP,1.22,1787.0785714285714,1725.19,1725.19,1725.19,CROSSED_2
14056,68571.0,DEEPAKNTR,20210512,1797.45,1813.65,1776.35,1791.3,893835.0,1605325691.15,43626.0,DOWN,-0.34,1800.8464285714285,1728.338095238095,1728.338095238095,1728.338095238095,CROSSED_2
14635,80092.0,DEEPAKNTR,20210514,1806.0,1809.35,1712.0,1728.1,1047386.0,1830130306.25,72794.0,DOWN,-3.53,1808.007142857143,1735.2571428571425,1728.3272727272727,1728.3272727272727,CROSSED_2
15029,95845.0,DEEPAKNTR,20210517,1734.95,1764.5,1714.0,1718.65,854158.0,1478178301.0,42082.0,DOWN,-0.55,1813.8035714285713,1741.5214285714285,1727.9065217391303,1727.9065217391303,CROSSED_2
15645,101125.0,DEEPAKNTR,20210518,1742.95,1837.0,1729.2,1794.3,2668035.0,4813459258.75,111384.0,UP,4.4,1814.6428571428569,1750.3857142857141,1730.6729166666667,1730.6729166666667,CROSSED_2
16031,105937.0,DEEPAKNTR,20210519,1800.0,1824.0,1765.2,1775.4,916464.0,1642779659.1,48659.0,DOWN,-1.05,1814.2821428571428,1759.311904761905,1732.4620000000002,1732.4620000000002,CROSSED_2
16498,111205.0,DEEPAKNTR,20210520,1791.65,1809.5,1755.0,1774.2,670793.0,1189158381.5,38741.0,DOWN,-0.07,1813.3500000000001,1769.5666666666668,1734.0673076923076,1734.0673076923076,CROSSED_2
16848,116996.0,DEEPAKNTR,20210521,1791.0,1798.75,1756.75,1762.15,840640.0,1488586613.85,43386.0,DOWN,-0.68,1805.9607142857142,1779.2000000000003,1735.1074074074074,1735.1074074074074,CROSSED_2
17432,134224.0,DEEPAKNTR,20210524,1771.65,1802.0,1750.0,1787.15,850547.0,1511811843.85,42253.0,UP,1.42,1797.607142857143,1788.1809523809525,1736.9660714285715,1736.9660714285715,CROSSED_2
17889,140005.0,DEEPAKNTR,20210525,1801.3,1834.8,1790.0,1805.35,994769.0,1803400838.15,43764.0,UP,1.02,1793.435714285714,1796.6333333333334,1739.3241379310346,1739.3241379310346,CROSSED_2
18401,144793.0,DEEPAKNTR,20210526,1805.35,1817.9,1779.2,1784.85,497889.0,893953298.85,26199.0,DOWN,-1.14,1784.925,1803.65,1740.8416666666667,1740.8416666666667,CROSSED_2
18858,150552.0,DEEPAKNTR,20210527,1796.95,1796.95,1755.35,1765.3,876441.0,1548875834.25,36941.0,DOWN,-1.1,1775.9321428571427,1802.8285714285714,1741.6306451612904,1741.6306451612904,CROSSED_2
19410,157275.0,DEEPAKNTR,20210528,1774.9,1800.0,1770.4,1794.3,679580.0,1216355150.1,28619.0,UP,1.64,1775.3071428571427,1803.4880952380952,1743.2765625,1743.2765625,CROSSED_2
19707,172539.0,DEEPAKNTR,20210531,1800.0,1817.1,1780.05,1785.4,600264.0,1079331351.05,30071.0,DOWN,-0.5,1775.9928571428572,1803.4,1744.5530303030303,1744.5530303030303,CROSSED_2
20161,3935.0,DEEPAKNTR,20210601,1785.4,1800.0,1756.0,1760.35,695025.0,1232506792.9,34871.0,DOWN,-1.4,1773.3428571428572,1798.3880952380953,1745.0176470588235,1745.0176470588235,CROSSED_2
20602,9169.0,DEEPAKNTR,20210602,1750.0,1783.3,1747.35,1752.35,849987.0,1496219902.4,41920.0,DOWN,-0.45,1770.5607142857145,1791.1619047619045,1745.2271428571428,1745.2271428571428,CROSSED_2
21291,14951.0,DEEPAKNTR,20210603,1768.15,1779.95,1732.6,1740.25,1204687.0,2114795007.15,51956.0,DOWN,-0.69,1771.4285714285713,1785.2809523809522,1745.0888888888887,1745.0888888888887,CROSSED_2
21811,21170.0,DEEPAKNTR,20210604,1746.0,1755.0,1718.0,1731.65,886686.0,1534743791.25,47272.0,DOWN,-0.49,1772.357142857143,1777.0738095238094,1744.7256756756756,1744.7256756756756,CROSSED_2
21912,38879.0,DEEPAKNTR,20210607,1741.0,1760.0,1736.15,1754.15,771077.0,1351365497.25,38779.0,UP,1.3,1769.4892857142859,1770.547619047619,1744.9736842105262,1744.9736842105262,CROSSED_2
22343,45603.0,DEEPAKNTR,20210608,1761.0,1847.9,1749.15,1825.65,3410946.0,6191047774.3,137670.0,UP,4.08,1773.0785714285714,1771.6238095238095,1747.0423076923075,1747.0423076923075,CROSSED_2
22963,51287.0,DEEPAKNTR,20210609,1841.8,1871.75,1751.1,1778.5,2961106.0,5399966621.65,129089.0,DOWN,-2.58,1773.3857142857144,1771.7523809523811,1747.82875,1747.82875,CROSSED_2
23301,57063.0,DEEPAKNTR,20210610,1792.0,1806.8,1762.1,1785.7,875861.0,1564756743.95,38257.0,UP,0.4,1775.0678571428568,1771.1928571428568,1748.7524390243905,1748.7524390243905,CROSSED_2
23723,62862.0,DEEPAKNTR,20210611,1797.8,1823.5,1786.55,1791.8,813359.0,1466896082.2,42217.0,UP,0.34,1775.3999999999999,1771.2166666666667,1749.7773809523808,1749.7773809523808,CROSSED_2
24263,78642.0,DEEPAKNTR,20210614,1792.0,1800.0,1755.55,1769.8,921598.0,1633798793.4,56754.0,DOWN,-1.23,1772.8607142857145,1773.202380952381,1750.2430232558138,1750.2430232558138,CROSSED_2
25015,83876.0,DEEPAKNTR,20210615,1770.0,1820.0,1770.0,1775.1,1171025.0,2101227708.45,50818.0,UP,0.3,1772.1642857142856,1775.8904761904764,1750.8079545454545,1750.8079545454545,CROSSED_2
25313,89104.0,DEEPAKNTR,20210616,1782.4,1814.95,1765.0,1774.6,1028848.0,1835631152.15,44157.0,DOWN,-0.03,1772.8285714285714,1774.952380952381,1751.3366666666666,1751.3366666666666,CROSSED_2
25668,94396.0,DEEPAKNTR,20210617,1764.95,1789.45,1749.05,1772.85,911870.0,1617098693.15,46966.0,DOWN,-0.1,1771.2964285714286,1774.8309523809523,1751.804347826087,1751.804347826087,CROSSED_2
26093,100668.0,DEEPAKNTR,20210618,1785.0,1792.0,1715.0,1754.8,1169907.0,2045298638.7,62886.0,DOWN,-1.02,1769.1107142857143,1773.907142857143,1751.868085106383,1751.868085106383,CROSSED_2
26736,115548.0,DEEPAKNTR,20210621,1730.0,1768.0,1710.0,1746.55,804129.0,1402580092.15,44961.0,DOWN,-0.47,1768.125,1773.1642857142856,1751.7572916666668,1751.7572916666668,CROSSED_2
26874,121773.0,DEEPAKNTR,20210622,1760.0,1788.8,1750.0,1764.05,812688.0,1439938430.25,36290.0,UP,1.0,1768.9607142857142,1772.0642857142857,1752.008163265306,1752.008163265306,CROSSED_2
27411,127475.0,DEEPAKNTR,20210623,1776.9,1779.0,1750.0,1758.9,553644.0,975143820.9,28678.0,DOWN,-0.29,1770.292857142857,1769.8523809523806,1752.146,1752.146,CROSSED_2
27907,132775.0,DEEPAKNTR,20210624,1755.0,1775.0,1729.35,1742.25,799147.0,1392536384.05,45480.0,DOWN,-0.95,1771.05,1767.8238095238096,1755.335,1751.9519607843138,CROSSED_2
28383,139055.0,DEEPAKNTR,20210625,1748.8,1803.0,1737.1,1785.3,1128077.0,2007394389.95,51660.0,UP,2.47,1773.2749999999999,1768.7761904761903,1759.2990000000002,1752.5932692307692,CROSSED_2
28994,155825.0,DEEPAKNTR,20210628,1794.3,1814.0,1771.05,1775.95,947197.0,1696428132.6,44024.0,DOWN,-0.52,1769.725,1767.9023809523808,1762.655,1753.033962264151,CROSSED_2
29193,161573.0,DEEPAKNTR,20210629,1777.0,1789.9,1747.6,1760.3,647060.0,1141397167.3,41234.0,DOWN,-0.88,1768.425,1766.7071428571428,1766.102,1753.1685185185186,CROSSED_2
29936,166798.0,DEEPAKNTR,20210630,1767.8,1825.5,1761.6,1808.55,2130502.0,3847874606.05,84949.0,UP,2.74,1770.0571428571427,1769.0023809523811,1771.0959999999998,1754.1754545454544,0
30142,2976.0,DEEPAKNTR,20210701,1824.95,1889.95,1815.1,1882.35,3511656.0,6523233761.35,124228.0,UP,4.08,1776.525,1775.1928571428573,1777.546,1756.4642857142858,0
30798,8710.0,DEEPAKNTR,20210702,1898.0,1943.0,1892.35,1927.6,3059621.0,5884522432.8,109275.0,UP,2.4,1787.7964285714284,1784.1142857142859,1784.1270000000002,1759.4666666666667,CROSSED_2
31337,26416.0,DEEPAKNTR,20210705,1943.45,1944.95,1902.4,1926.4,1443361.0,2779456592.75,57140.0,DOWN,-0.06,1798.6035714285715,1793.3880952380953,1790.098,1762.344827586207,CROSSED_2
31518,31673.0,DEEPAKNTR,20210706,1927.0,1938.2,1872.0,1885.85,994745.0,1892770267.4,50795.0,DOWN,-2.1,1806.55,1799.6595238095238,1795.065,1764.4381355932205,CROSSED_2
31938,37921.0,DEEPAKNTR,20210707,1894.8,1950.0,1886.85,1942.35,1965632.0,3801786560.15,75513.0,UP,3.0,1818.6571428571426,1805.2166666666665,1798.261,1767.4033333333332,CROSSED_2
32647,44645.0,DEEPAKNTR,20210708,1947.7,1977.65,1928.1,1937.0,1684727.0,3293851385.9,61284.0,DOWN,-0.28,1831.6714285714286,1812.7642857142855,1801.3919999999998,1770.183606557377,CROSSED_2
32874,50835.0,DEEPAKNTR,20210709,1930.0,1953.85,1918.1,1940.75,613501.0,1188084578.8,26201.0,UP,0.19,1845.542857142857,1820.147619047619,1804.4619999999998,1772.9346774193548,CROSSED_2
33463,67614.0,DEEPAKNTR,20210712,1955.0,1983.0,1945.4,1952.05,1047253.0,2058797466.6,41820.0,UP,0.58,1858.9714285714288,1827.7785714285715,1806.191,1775.7777777777778,CROSSED_2
33853,73350.0,DEEPAKNTR,20210713,1969.65,1976.0,1935.6,1947.85,615436.0,1199504453.95,31944.0,DOWN,-0.22,1872.4678571428572,1836.257142857143,1807.066,1778.46640625,CROSSED_2
34150,77691.0,DEEPAKNTR,20210714,1946.0,1999.5,1945.0,1958.35,1472141.0,2903363502.8,59539.0,UP,0.54,1887.9035714285712,1844.9833333333331,1808.9579999999999,1781.2338461538461,CROSSED_2
34905,82925.0,DEEPAKNTR,20210715,1969.0,1974.65,1937.4,1946.85,489056.0,953669638.3,25055.0,DOWN,-0.59,1899.4428571428573,1853.185714285714,1809.815,1783.743181818182,CROSSED_2
35182,88652.0,DEEPAKNTR,20210716,1954.0,1974.0,1945.0,1951.5,491113.0,961511427.2,21851.0,UP,0.24,1911.982142857143,1861.6928571428568,1811.021,1786.2470149253732,CROSSED_2
35477,104979.0,DEEPAKNTR,20210719,1948.95,1970.7,1938.45,1958.05,623242.0,1218739448.1,30560.0,UP,0.34,1926.107142857143,1871.3714285714286,1814.1209999999999,1788.7735294117647,CROSSED_2
36181,109748.0,DEEPAKNTR,20210720,1958.0,1969.0,1880.35,1907.7,826807.0,1587184427.3,52678.0,DOWN,-2.57,1933.189285714286,1879.045238095238,1816.759,1790.4971014492753,CROSSED_2
36720,120820.0,DEEPAKNTR,20210722,1927.75,1948.4,1910.0,1929.45,601608.0,1161419827.3,35019.0,UP,1.14,1936.5535714285713,1886.9214285714286,1819.399,1792.482142857143,CROSSED_2
37123,127020.0,DEEPAKNTR,20210723,1936.0,1954.85,1925.0,1933.4,608475.0,1179395748.35,37090.0,UP,0.2,1936.9678571428572,1895.2309523809522,1822.2409999999998,1794.4669014084507,CROSSED_2
37312,143833.0,DEEPAKNTR,20210726,1939.9,1962.0,1915.0,1921.8,825468.0,1599353047.85,46324.0,DOWN,-0.6,1936.6392857142855,1903.7809523809524,1826.115,1796.2354166666667,CROSSED_2
38168,149093.0,DEEPAKNTR,20210727,1933.0,1947.8,1891.4,1909.25,651804.0,1253493022.65,32864.0,DOWN,-0.65,1938.310714285714,1909.6833333333332,1829.927,1797.7835616438358,CROSSED_2
38268,154871.0,DEEPAKNTR,20210728,1917.0,1917.0,1882.0,1900.0,600790.0,1142589309.65,35588.0,DOWN,-0.48,1935.2857142857142,1915.590476190476,1832.0410000000002,1799.164864864865,CROSSED_2
38748,160620.0,DEEPAKNTR,20210729,1906.8,1914.9,1884.05,1900.85,856479.0,1626706537.1,32160.0,UP,0.04,1932.7035714285716,1922.2833333333333,1834.55,1800.5206666666666,CROSSED_2
