,ID,Symbol,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,TOTTRDQTY,TOTTRDVAL,TOTALTRADES,UP_DOWN,CHNAGE_%,SMA_14,SMA_21,SMA_50,SMA_200,ABT_cases
4601,65223.0,DELTACORP,20210412,162.0,162.0,150.1,151.6,3493910.0,541305788.3,30645.0,-,0,151.6,151.6,151.6,151.6,0
5275,70979.0,DELTACORP,20210413,153.0,157.4,152.4,155.25,1609884.0,250079543.4,18447.0,UP,2.41,153.425,153.425,153.425,153.425,0
5574,81502.0,DELTACORP,20210415,152.2,156.1,151.0,152.45,1837038.0,281370021.4,21201.0,DOWN,-1.8,153.1,153.1,153.1,153.1,0
6024,86274.0,DELTACORP,20210416,152.4,156.6,151.55,152.6,1636779.0,252311265.8,15927.0,UP,0.1,152.975,152.975,152.975,152.975,0
6585,103039.0,DELTACORP,20210419,146.0,147.45,142.2,143.05,1984013.0,285961747.7,23460.0,DOWN,-6.26,150.99,150.99,150.99,150.99,0
7203,107374.0,DELTACORP,20210420,145.5,147.9,144.1,146.4,1204135.0,176133299.35,11621.0,UP,2.34,150.225,150.225,150.225,150.225,0
7529,118400.0,DELTACORP,20210422,143.85,158.45,142.75,155.0,3651466.0,556191109.75,34884.0,UP,5.87,150.90714285714284,150.90714285714284,150.90714285714284,150.90714285714284,0
7894,124636.0,DELTACORP,20210423,154.7,158.7,153.1,155.5,2594899.0,404913315.1,27813.0,UP,0.32,151.48125,151.48125,151.48125,151.48125,0
8472,141923.0,DELTACORP,20210426,157.7,163.95,156.2,162.0,3913398.0,626700025.6,34578.0,UP,4.18,152.64999999999998,152.64999999999998,152.64999999999998,152.64999999999998,0
9157,146711.0,DELTACORP,20210427,166.05,166.55,155.55,157.0,5377123.0,864125454.8,40209.0,DOWN,-3.09,153.08499999999998,153.08499999999998,153.08499999999998,153.08499999999998,0
9384,152458.0,DELTACORP,20210428,158.0,159.65,152.25,154.5,3926290.0,611853212.95,32811.0,DOWN,-1.59,153.21363636363637,153.21363636363637,153.21363636363637,153.21363636363637,0
9865,158682.0,DELTACORP,20210429,154.2,156.0,152.6,153.7,1650406.0,253994665.0,12967.0,DOWN,-0.52,153.25416666666666,153.25416666666666,153.25416666666666,153.25416666666666,0
10487,164443.0,DELTACORP,20210430,152.9,152.9,149.3,150.2,1829365.0,276459950.35,20779.0,DOWN,-2.28,153.01923076923077,153.01923076923077,153.01923076923077,153.01923076923077,0
11108,16407.0,DELTACORP,20210503,147.2,155.9,147.2,154.65,2473466.0,376884769.4,18288.0,UP,2.96,153.1357142857143,153.1357142857143,153.1357142857143,153.1357142857143,0
11485,22127.0,DELTACORP,20210504,154.0,154.35,149.65,151.35,2251132.0,342104219.25,21620.0,DOWN,-2.13,153.11785714285716,153.01666666666668,153.01666666666668,153.01666666666668,CROSSED_2
11799,27375.0,DELTACORP,20210505,151.8,152.8,148.2,148.8,1259729.0,188626254.1,12213.0,DOWN,-1.68,152.65714285714287,152.753125,152.753125,152.753125,WILL_CROSS_1
12132,33131.0,DELTACORP,20210506,148.8,151.0,146.15,146.9,1785535.0,263725160.8,16951.0,DOWN,-1.28,152.2607142857143,152.40882352941176,152.40882352941176,152.40882352941176,WILL_CROSS_1
12954,40337.0,DELTACORP,20210507,148.0,149.7,146.25,146.65,1260214.0,185769389.0,10871.0,DOWN,-0.17,151.83571428571432,152.08888888888887,152.08888888888887,152.08888888888887,WILL_CROSS_1
13126,58514.0,DELTACORP,20210510,146.0,149.0,146.0,147.8,1241975.0,183700756.55,9552.0,UP,0.78,152.17499999999998,151.86315789473684,151.86315789473684,151.86315789473684,CROSSED_2
13708,63813.0,DELTACORP,20210511,147.0,152.3,145.4,148.35,3375803.0,502125732.55,25349.0,UP,0.37,152.31428571428572,151.6875,151.6875,151.6875,CROSSED_2
14055,68572.0,DELTACORP,20210512,149.3,153.0,147.8,149.2,2069645.0,311704128.2,17777.0,UP,0.57,151.9,151.5690476190476,151.5690476190476,151.5690476190476,CROSSED_2
14636,80093.0,DELTACORP,20210514,150.2,151.95,148.0,148.55,1182041.0,176927402.3,11236.0,DOWN,-0.44,151.40357142857144,151.42380952380952,151.4318181818182,151.4318181818182,WILL_CROSS_1
