,ID,Symbol,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,TOTTRDQTY,TOTTRDVAL,TOTALTRADES,UP_DOWN,CHNAGE_%,SMA_14,SMA_21,SMA_50,SMA_200,ABT_cases
4602,65224.0,DHANI,20210412,214.8,214.8,211.35,211.35,3842907.0,812536926.8,9930.0,-,0,211.35,211.35,211.35,211.35,0
5274,70980.0,DHANI,20210413,206.05,208.85,200.8,204.1,3084719.0,624745367.7,23435.0,DOWN,-3.43,207.725,207.725,207.725,207.725,0
5573,81503.0,DHANI,20210415,203.4,203.4,193.9,200.75,1651446.0,327053626.05,17481.0,DOWN,-1.64,205.4,205.4,205.4,205.4,0
6023,86275.0,DHANI,20210416,204.8,209.65,201.55,204.4,988313.0,203027000.4,10376.0,UP,1.82,205.15,205.15,205.15,205.15,0
6584,103040.0,DHANI,20210419,195.55,197.0,194.2,194.2,2010738.0,390656830.7,6178.0,DOWN,-4.99,202.95999999999998,202.95999999999998,202.95999999999998,202.95999999999998,0
7204,107375.0,DHANI,20210420,198.0,199.85,185.5,187.05,1135889.0,217498867.0,13118.0,DOWN,-3.68,200.3083333333333,200.3083333333333,200.3083333333333,200.3083333333333,0
7528,118401.0,DHANI,20210422,187.0,196.4,178.2,189.05,1624486.0,311825069.25,14078.0,UP,1.07,198.70000000000002,198.70000000000002,198.70000000000002,198.70000000000002,0
7895,124637.0,DHANI,20210423,189.9,192.7,182.7,185.3,940344.0,175413385.8,10804.0,DOWN,-1.98,197.025,197.025,197.025,197.025,0
8473,141924.0,DHANI,20210426,189.0,193.4,184.4,185.4,821022.0,154018952.15,10042.0,UP,0.05,195.73333333333332,195.73333333333332,195.73333333333332,195.73333333333332,0
9158,146712.0,DHANI,20210427,187.5,194.65,183.5,185.1,1912599.0,360556576.75,15629.0,DOWN,-0.16,194.67000000000002,194.67000000000002,194.67000000000002,194.67000000000002,0
9383,152459.0,DHANI,20210428,187.5,191.9,182.8,185.2,1490694.0,279957157.75,16824.0,UP,0.05,193.8090909090909,193.8090909090909,193.8090909090909,193.8090909090909,0
9866,158683.0,DHANI,20210429,187.35,188.85,176.75,179.55,2255123.0,415682589.55,15341.0,DOWN,-3.05,192.6208333333333,192.6208333333333,192.6208333333333,192.6208333333333,0
10486,164444.0,DHANI,20210430,174.75,183.5,173.05,176.55,2216564.0,394307955.35,11423.0,DOWN,-1.67,191.3846153846154,191.3846153846154,191.3846153846154,191.3846153846154,0
11107,16408.0,DHANI,20210503,178.7,179.65,172.85,173.6,630076.0,110787639.95,6999.0,DOWN,-1.67,190.1142857142857,190.1142857142857,190.1142857142857,190.1142857142857,0
11484,22128.0,DHANI,20210504,175.9,177.55,165.5,167.2,893159.0,152645577.55,10704.0,DOWN,-3.69,186.96071428571432,188.58666666666667,188.58666666666667,188.58666666666667,WILL_CROSS_1
11798,27376.0,DHANI,20210505,168.95,175.5,165.45,169.35,823652.0,139944579.85,9605.0,UP,1.29,184.47857142857146,187.384375,187.384375,187.384375,WILL_CROSS_1
12131,33132.0,DHANI,20210506,170.45,172.7,167.05,169.05,1438519.0,243721261.0,10920.0,DOWN,-0.18,182.21428571428572,186.30588235294115,186.30588235294115,186.30588235294115,WILL_CROSS_1
12955,40338.0,DHANI,20210507,170.0,171.0,166.0,167.0,824512.0,138300618.4,11419.0,DOWN,-1.21,179.54285714285714,185.23333333333332,185.23333333333332,185.23333333333332,WILL_CROSS_1
13125,58515.0,DHANI,20210510,167.1,175.35,167.0,175.35,879502.0,151900038.25,9137.0,UP,5.0,178.19642857142858,184.71315789473684,184.71315789473684,184.71315789473684,WILL_CROSS_1
13707,63814.0,DHANI,20210511,176.1,182.0,176.0,180.85,858330.0,154052305.95,10942.0,UP,3.14,177.75357142857143,184.52,184.52,184.52,WILL_CROSS_1
14054,68573.0,DHANI,20210512,180.9,183.0,176.0,176.95,506093.0,90464559.45,8704.0,DOWN,-2.16,176.8892857142857,184.15952380952382,184.15952380952382,184.15952380952382,WILL_CROSS_1
14637,80094.0,DHANI,20210514,177.45,179.8,173.45,178.45,486063.0,86095397.75,7432.0,UP,0.85,176.40000000000003,182.59285714285716,183.9,183.9,WILL_CROSS_1
15027,95847.0,DHANI,20210517,179.9,184.0,178.8,180.75,440523.0,79946718.85,5075.0,UP,1.29,176.06785714285715,181.4809523809524,183.76304347826087,183.76304347826087,WILL_CROSS_1
15643,101127.0,DHANI,20210518,180.3,183.55,177.2,178.55,525583.0,94640035.7,9371.0,DOWN,-1.22,175.6,180.42380952380952,183.54583333333335,183.54583333333335,WILL_CROSS_1
16029,105939.0,DHANI,20210519,180.75,180.75,174.0,175.55,484710.0,85896550.85,9220.0,DOWN,-1.68,174.91071428571428,179.05,183.226,183.226,WILL_CROSS_1
16500,111207.0,DHANI,20210520,175.55,181.9,174.0,178.15,1369536.0,245893304.75,15732.0,UP,1.48,174.8107142857143,178.28571428571428,183.03076923076924,183.03076923076924,WILL_CROSS_1
16736,116998.0,DHANI,20210521,178.25,180.15,175.25,176.7,837647.0,149532824.55,11133.0,DOWN,-0.81,174.82142857142858,177.79285714285714,182.7962962962963,182.7962962962963,WILL_CROSS_1
17434,134226.0,DHANI,20210524,176.0,181.0,174.1,177.85,652588.0,116502567.8,5731.0,UP,0.65,175.125,177.2595238095238,182.61964285714288,182.61964285714288,WILL_CROSS_1
17887,140007.0,DHANI,20210525,179.9,180.35,175.5,175.8,620019.0,110011626.05,7613.0,DOWN,-1.15,175.7392857142857,176.80714285714288,182.38448275862066,182.38448275862066,WILL_CROSS_1
18399,144795.0,DHANI,20210526,176.0,180.15,174.3,178.75,975992.0,173954832.25,13656.0,UP,1.68,176.41071428571428,176.4904761904762,182.26333333333332,182.26333333333332,WILL_CROSS_1
18856,150554.0,DHANI,20210527,178.75,179.55,174.55,175.45,757152.0,133610378.2,10625.0,DOWN,-1.85,176.86785714285716,176.03095238095239,182.0435483870968,182.0435483870968,WILL_CROSS_1
19408,157277.0,DHANI,20210528,177.05,177.75,171.5,171.95,861704.0,149551771.85,9741.0,DOWN,-1.99,177.2214285714286,175.4,181.728125,181.728125,WILL_CROSS_1
19709,172541.0,DHANI,20210531,172.05,176.5,170.0,174.35,811882.0,141659700.95,11968.0,UP,1.4,177.15,175.15238095238095,181.50454545454545,181.50454545454545,WILL_CROSS_1
20159,3937.0,DHANI,20210601,175.0,175.8,170.5,171.4,462220.0,79549114.4,8480.0,DOWN,-1.69,176.475,174.90714285714287,181.20735294117648,181.20735294117648,WILL_CROSS_1
20600,9171.0,DHANI,20210602,172.0,172.5,167.3,168.95,775949.0,131262100.3,17017.0,DOWN,-1.43,175.90357142857144,174.68571428571428,180.85714285714286,180.85714285714286,WILL_CROSS_1
21293,14953.0,DHANI,20210603,170.0,177.35,169.0,177.35,1613276.0,278966125.3,13808.0,UP,4.97,175.825,175.1690476190476,180.75972222222222,180.75972222222222,WILL_CROSS_1
21809,21172.0,DHANI,20210604,180.0,186.2,179.9,186.2,758682.0,139463831.5,4844.0,UP,4.99,176.21428571428572,175.97142857142856,180.90675675675675,180.90675675675675,WILL_CROSS_1
