,ID,Symbol,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,TOTTRDQTY,TOTTRDVAL,TOTALTRADES,UP_DOWN,CHNAGE_%,SMA_14,SMA_21,SMA_50,SMA_200,ABT_cases
4604,65226.0,DIXON,20210412,3636.6,3640.0,3500.0,3557.55,374246.0,1333309252.25,72095.0,-,0,3557.55,3557.55,3557.55,3557.55,0
5272,70982.0,DIXON,20210413,3533.0,3598.0,3505.0,3520.8,194924.0,690443339.35,34865.0,DOWN,-1.03,3539.175,3539.175,3539.175,3539.175,0
5571,81505.0,DIXON,20210415,3510.0,3545.75,3460.0,3497.1,227889.0,798937923.95,32076.0,DOWN,-0.67,3525.15,3525.15,3525.15,3525.15,0
6021,86277.0,DIXON,20210416,3520.0,3775.0,3502.2,3736.35,442400.0,1617681035.7,49869.0,UP,6.84,3577.95,3577.95,3577.95,3577.95,0
6582,103042.0,DIXON,20210419,3560.0,3860.0,3535.0,3830.45,613612.0,2295102962.5,73369.0,UP,2.52,3628.45,3628.45,3628.45,3628.45,0
7206,107377.0,DIXON,20210420,3848.0,3973.8,3843.0,3934.75,585780.0,2296315606.7,57002.0,UP,2.72,3679.5,3679.5,3679.5,3679.5,0
7526,118403.0,DIXON,20210422,3949.0,3988.0,3850.0,3940.3,244326.0,960557290.5,33536.0,UP,0.14,3716.7571428571428,3716.7571428571428,3716.7571428571428,3716.7571428571428,0
7897,124639.0,DIXON,20210423,3919.0,3950.0,3870.0,3895.55,187206.0,732705285.1,29135.0,DOWN,-1.14,3739.10625,3739.10625,3739.10625,3739.10625,0
8475,141926.0,DIXON,20210426,3890.0,3965.0,3840.1,3895.2,243171.0,950121850.25,33309.0,DOWN,-0.01,3756.4500000000003,3756.4500000000003,3756.4500000000003,3756.4500000000003,0
9160,146714.0,DIXON,20210427,3931.0,4057.85,3902.1,4033.7,357654.0,1430031516.4,40228.0,UP,3.56,3784.175,3784.175,3784.175,3784.175,0
9381,152461.0,DIXON,20210428,4089.0,4207.0,4080.0,4172.85,334186.0,1385528707.05,44895.0,UP,3.45,3819.509090909091,3819.509090909091,3819.509090909091,3819.509090909091,0
9868,158685.0,DIXON,20210429,4215.0,4265.65,4090.0,4235.35,319077.0,1343195611.95,44202.0,UP,1.5,3854.1625,3854.1625,3854.1625,3854.1625,0
10484,164446.0,DIXON,20210430,4175.0,4248.0,4150.0,4201.8,228750.0,961300779.6,31238.0,DOWN,-0.79,3880.903846153846,3880.903846153846,3880.903846153846,3880.903846153846,0
11105,16410.0,DIXON,20210503,4150.0,4278.0,4122.2,4250.95,189552.0,798795595.35,22918.0,UP,1.17,3907.335714285714,3907.335714285714,3907.335714285714,3907.335714285714,0
11482,22130.0,DIXON,20210504,4281.25,4320.0,4105.25,4134.1,231441.0,975013459.55,37649.0,DOWN,-2.75,3948.5178571428573,3922.4533333333334,3922.4533333333334,3922.4533333333334,CROSSED_2
11796,27378.0,DIXON,20210505,4134.0,4207.1,4062.0,4118.2,141151.0,583094255.05,20400.0,DOWN,-0.38,3991.1892857142857,3934.6875,3934.6875,3934.6875,CROSSED_2
12129,33134.0,DIXON,20210506,4170.0,4185.0,4104.35,4119.5,102790.0,425635771.5,15771.0,UP,0.03,4035.6464285714287,3945.5588235294117,3945.5588235294117,3945.5588235294117,CROSSED_2
12957,40340.0,DIXON,20210507,4137.25,4150.0,3901.0,3954.75,264832.0,1059816536.45,55213.0,DOWN,-4.0,4051.246428571428,3946.0694444444443,3946.0694444444443,3946.0694444444443,CROSSED_2
13123,58517.0,DIXON,20210510,3960.0,4010.5,3816.0,3866.6,268649.0,1048083012.2,44627.0,DOWN,-2.23,4053.828571428571,3941.8868421052634,3941.8868421052634,3941.8868421052634,CROSSED_2
13705,63816.0,DIXON,20210511,3887.95,3988.95,3830.0,3963.4,191647.0,754625600.85,24847.0,UP,2.5,4055.875,3942.9625,3942.9625,3942.9625,CROSSED_2
14052,68575.0,DIXON,20210512,3986.0,3999.0,3906.1,3955.3,126100.0,498026194.45,18326.0,DOWN,-0.2,4056.9464285714284,3943.55,3943.55,3943.55,CROSSED_2
14639,80096.0,DIXON,20210514,3960.0,3996.6,3900.0,3954.0,108287.0,425970213.9,16457.0,DOWN,-0.03,4061.121428571429,3962.4285714285716,3944.025,3944.025,CROSSED_2
15025,95849.0,DIXON,20210517,3952.0,3969.85,3905.1,3950.85,115367.0,454500222.1,16177.0,DOWN,-0.08,4065.0964285714285,3982.9071428571424,3944.3217391304347,3944.3217391304347,CROSSED_2
15641,101129.0,DIXON,20210518,3950.0,3990.0,3905.0,3926.65,165018.0,649261549.45,23106.0,DOWN,-0.61,4057.4500000000003,4003.361904761905,3943.585416666667,3943.585416666667,CROSSED_2
16027,105941.0,DIXON,20210519,3943.0,3970.0,3890.65,3920.2,174422.0,684932575.1,25009.0,DOWN,-0.16,4039.4035714285715,4012.1166666666663,3942.65,3942.65,CROSSED_2
16502,111209.0,DIXON,20210520,3925.0,3929.05,3852.65,3903.7,159197.0,618611423.25,24343.0,DOWN,-0.42,4015.714285714286,4015.6047619047617,3941.151923076923,3941.151923076923,CROSSED_2
16852,117000.0,DIXON,20210521,3930.0,3979.0,3907.0,3944.85,128784.0,506794537.4,17119.0,UP,1.05,3997.3607142857145,4016.0857142857144,3941.288888888889,3941.288888888889,CROSSED_2
17436,134228.0,DIXON,20210524,3979.0,4040.0,3895.25,3906.35,210338.0,827885273.95,32157.0,DOWN,-0.98,3972.746428571429,4014.469047619047,3940.0410714285713,3940.0410714285713,CROSSED_2
17886,140009.0,DIXON,20210525,3941.55,3960.0,3895.0,3923.15,174960.0,685561881.3,22951.0,UP,0.43,3957.6785714285716,4015.7833333333333,3939.458620689655,3939.458620689655,CROSSED_2
18397,144797.0,DIXON,20210526,3947.8,3967.75,3895.0,3902.55,116664.0,456994249.95,16080.0,DOWN,-0.53,3942.275,4016.1333333333337,3938.2283333333335,3938.2283333333335,CROSSED_2
18854,150556.0,DIXON,20210527,3924.95,4005.0,3910.0,3993.4,279612.0,1110725829.5,34131.0,UP,2.33,3933.2678571428573,4014.214285714286,3940.0080645161293,3940.0080645161293,WILL_CROSS_1
19406,157279.0,DIXON,20210528,3950.0,4100.0,3850.0,3996.65,395716.0,1584273057.3,51554.0,UP,0.08,3936.2607142857146,4005.823809523809,3941.778125,3941.778125,WILL_CROSS_1
19711,172543.0,DIXON,20210531,4019.95,4050.0,3950.45,4028.8,184225.0,739403346.8,26360.0,UP,0.8,3947.846428571429,3995.9880952380954,3944.4151515151516,3944.4151515151516,CROSSED_2
20157,3939.0,DIXON,20210601,4050.0,4199.0,4020.5,4107.4,469661.0,1934987184.55,51632.0,UP,1.95,3958.1321428571428,3991.4928571428572,3949.208823529412,3949.208823529412,CROSSED_2
20598,9173.0,DIXON,20210602,4110.0,4260.0,4110.0,4236.85,438230.0,1850064174.55,48158.0,UP,3.15,3978.242857142857,3990.8214285714284,3957.4271428571433,3957.4271428571433,CROSSED_2
21295,14955.0,DIXON,20210603,4280.0,4375.0,4268.25,4324.25,338124.0,1465902868.7,41761.0,UP,2.06,4004.6892857142852,3999.87619047619,3967.616666666667,3967.616666666667,CROSSED_2
21807,21174.0,DIXON,20210604,4372.0,4395.0,4250.0,4287.25,261199.0,1129415667.4,36382.0,DOWN,-0.86,4028.717857142857,4007.92619047619,3976.255405405406,3976.255405405406,CROSSED_2
21908,38883.0,DIXON,20210607,4318.8,4330.2,4209.05,4267.2,170078.0,724313453.05,24571.0,DOWN,-0.47,4053.042857142857,4014.9595238095235,3983.911842105263,3983.911842105263,CROSSED_2
22347,45607.0,DIXON,20210608,4268.95,4293.45,4194.15,4226.3,158150.0,668757578.6,19937.0,DOWN,-0.96,4074.907142857143,4027.890476190476,3990.1269230769235,3990.1269230769235,CROSSED_2
22967,51291.0,DIXON,20210609,4239.0,4239.0,4159.6,4195.85,177947.0,746809750.0,21860.0,DOWN,-0.72,4095.7750000000005,4043.5690476190475,3995.2699999999995,3995.2699999999995,CROSSED_2
23305,57067.0,DIXON,20210610,4196.0,4285.0,4175.25,4193.35,196321.0,827565065.8,28007.0,DOWN,-0.06,4113.525,4054.5190476190473,4000.101219512195,4000.101219512195,CROSSED_2
23727,62866.0,DIXON,20210611,4198.9,4235.0,4141.35,4189.5,133044.0,556250060.45,17484.0,DOWN,-0.09,4133.75,4065.671428571429,4004.610714285714,4004.610714285714,CROSSED_2
24267,78646.0,DIXON,20210614,4175.0,4211.0,4092.5,4177.6,143615.0,595367069.1,21793.0,DOWN,-0.28,4151.925,4076.3190476190475,4008.6337209302324,4008.6337209302324,CROSSED_2
25011,83880.0,DIXON,20210615,4199.8,4260.0,4180.05,4244.85,158088.0,669619375.35,17875.0,UP,1.61,4176.375,4090.319047619048,4014.002272727273,4014.002272727273,CROSSED_2
25317,89108.0,DIXON,20210616,4257.0,4257.0,4154.05,4193.35,127603.0,535497964.35,17934.0,DOWN,-1.21,4190.657142857143,4103.019047619047,4017.987777777778,4017.987777777778,CROSSED_2
25672,94400.0,DIXON,20210617,4155.0,4335.0,4125.0,4299.15,345021.0,1476296312.45,37254.0,UP,2.52,4212.2642857142855,4121.064285714286,4024.1,4024.1,CROSSED_2
26089,100672.0,DIXON,20210618,4348.0,4480.0,4285.0,4427.15,580400.0,2551866168.9,68452.0,UP,2.98,4240.717857142857,4145.990476190476,4032.675531914894,4032.675531914894,CROSSED_2
26732,115552.0,DIXON,20210621,4425.1,4644.9,4351.1,4588.25,585887.0,2678963873.6,71713.0,UP,3.64,4275.064285714286,4176.628571428571,4044.25,4044.25,CROSSED_2
26878,121777.0,DIXON,20210622,4629.85,4682.6,4505.1,4554.55,278384.0,1281677344.9,41499.0,DOWN,-0.73,4297.757142857144,4207.495238095238,4054.6642857142856,4054.6642857142856,CROSSED_2
27407,127479.0,DIXON,20210623,4589.9,4625.0,4451.7,4483.35,254051.0,1146506998.45,42235.0,DOWN,-1.56,4309.121428571429,4234.171428571429,4063.238,4063.238,CROSSED_2
27903,132779.0,DIXON,20210624,4490.0,4585.3,4426.0,4554.25,173101.0,783831248.65,22903.0,UP,1.58,4328.192857142857,4265.204761904762,4083.172,4072.8656862745097,CROSSED_2
28387,139059.0,DIXON,20210625,4570.0,4585.0,4486.0,4499.1,168343.0,758873674.15,28047.0,DOWN,-1.21,4344.757142857143,4289.285714285715,4102.738,4081.0625,CROSSED_2
28998,155829.0,DIXON,20210628,4515.0,4540.5,4457.9,4474.7,109722.0,493009611.9,20165.0,DOWN,-0.54,4362.500000000001,4312.05,4122.29,4088.48962264151,CROSSED_2
29197,161577.0,DIXON,20210629,4501.0,4542.0,4451.0,4477.75,92226.0,413900692.5,15054.0,UP,0.07,4382.635714285714,4333.428571428572,4137.118,4095.6981481481484,CROSSED_2
29933,166802.0,DIXON,20210630,4510.0,4510.0,4410.0,4421.05,116078.0,516702160.85,22229.0,DOWN,-1.27,4398.9,4348.364285714286,4148.93,4101.613636363636,CROSSED_2
30146,2980.0,DIXON,20210701,4434.0,4452.8,4370.0,4411.5,109260.0,480379776.7,15137.0,DOWN,-0.22,4414.757142857143,4356.6809523809525,4158.465,4107.147321428572,CROSSED_2
30794,8714.0,DIXON,20210702,4480.0,4611.0,4460.0,4518.85,394815.0,1789844278.3,45602.0,UP,2.43,4439.132142857144,4365.94761904762,4170.036,4114.370175438597,CROSSED_2
31333,26420.0,DIXON,20210705,4555.0,4645.0,4555.0,4609.45,206435.0,951416076.75,28306.0,UP,2.0,4465.175,4381.2904761904765,4184.314,4122.9060344827585,CROSSED_2
31514,31677.0,DIXON,20210706,4635.0,4655.55,4571.2,4609.95,113324.0,521741870.85,16675.0,UP,0.01,4494.932142857143,4397.611904761905,4198.609,4131.161016949152,CROSSED_2
31942,37925.0,DIXON,20210707,4613.5,4613.5,4477.7,4524.45,291088.0,1313339392.85,41215.0,DOWN,-1.85,4511.025,4411.809523809524,4208.424,4137.715833333334,CROSSED_2
32643,44649.0,DIXON,20210708,4549.0,4584.0,4509.0,4530.5,159704.0,724177377.35,20042.0,UP,0.13,4518.407142857143,4427.745238095238,4215.577,4144.1549180327875,CROSSED_2
32870,50839.0,DIXON,20210709,4516.0,4607.7,4516.0,4585.65,166351.0,761571644.4,16940.0,UP,1.22,4518.221428571429,4446.426190476191,4222.583,4151.275806451613,CROSSED_2
33467,67618.0,DIXON,20210712,4594.0,4617.7,4485.05,4551.15,172835.0,786181020.5,17900.0,DOWN,-0.75,4517.978571428571,4463.64761904762,4229.57,4157.623015873016,CROSSED_2
33849,73354.0,DIXON,20210713,4570.95,4700.0,4527.0,4586.2,277795.0,1282556709.25,28605.0,UP,0.77,4525.325,4483.104761904762,4236.275,4164.31953125,CROSSED_2
34155,77695.0,DIXON,20210714,4609.85,4639.7,4551.0,4593.1,135496.0,623831979.9,18651.0,UP,0.15,4528.1,4499.688095238095,4245.455,4170.916153846154,CROSSED_2
34909,82929.0,DIXON,20210715,4592.0,4670.0,4550.0,4645.5,233013.0,1079475734.4,20871.0,UP,1.14,4538.557142857143,4521.219047619048,4256.001,4178.106818181818,CROSSED_2
