,ID,Symbol,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,TOTTRDQTY,TOTTRDVAL,TOTALTRADES,UP_DOWN,CHNAGE_%,SMA_14,SMA_21,SMA_50,SMA_200,ABT_cases
5,2539.0,ECLERX,20210101,889.9,898.4,876.0,886.15,39609.0,35174394.45,2658.0,-,0,886.15,886.15,886.15,886.15,0
546,19741.0,ECLERX,20210104,886.15,893.0,873.0,883.35,46701.0,41242793.4,3101.0,DOWN,-0.32,884.75,884.75,884.75,884.75,0
1240,167766.0,ECLERX,20210330,1055.0,1110.0,1053.0,1075.65,384678.0,415915898.05,31664.0,UP,21.77,948.3833333333333,948.3833333333333,948.3833333333333,948.3833333333333,0
1607,171594.0,ECLERX,20210331,1090.0,1130.0,1081.75,1103.0,314695.0,350320702.6,22394.0,UP,2.54,987.0375,987.0375,987.0375,987.0375,0
1830,122.0,ECLERX,20210401,1119.0,1130.0,1099.95,1108.4,54768.0,61158066.4,4858.0,UP,0.49,1011.3100000000001,1011.3100000000001,1011.3100000000001,1011.3100000000001,0
2427,24036.0,ECLERX,20210405,1120.9,1150.0,1094.5,1120.95,87730.0,98868177.8,7991.0,UP,1.13,1029.5833333333333,1029.5833333333333,1029.5833333333333,1029.5833333333333,0
3056,29312.0,ECLERX,20210406,1110.8,1149.0,1103.05,1135.1,62392.0,70453605.35,4990.0,UP,1.26,1044.6571428571428,1044.6571428571428,1044.6571428571428,1044.6571428571428,0
3440,35526.0,ECLERX,20210407,1138.0,1165.0,1116.05,1140.7,57157.0,65443627.05,5442.0,UP,0.49,1056.6625,1056.6625,1056.6625,1056.6625,0
4014,42237.0,ECLERX,20210408,1158.0,1214.0,1148.35,1202.6,105223.0,124361320.7,9218.0,UP,5.43,1072.8777777777777,1072.8777777777777,1072.8777777777777,1072.8777777777777,0
4279,48966.0,ECLERX,20210409,1200.0,1225.0,1194.15,1220.9,77016.0,93536659.05,6715.0,UP,1.52,1087.6799999999998,1087.6799999999998,1087.6799999999998,1087.6799999999998,0
4609,65231.0,ECLERX,20210412,1201.0,1243.8,1160.0,1205.0,103637.0,124728961.75,7506.0,DOWN,-1.3,1098.3454545454545,1098.3454545454545,1098.3454545454545,1098.3454545454545,0
5267,70987.0,ECLERX,20210413,1205.0,1248.0,1125.0,1154.35,105616.0,124166995.9,11865.0,DOWN,-4.2,1103.0125,1103.0125,1103.0125,1103.0125,0
5566,81510.0,ECLERX,20210415,1162.95,1169.9,1112.2,1134.25,32574.0,37007656.0,3990.0,DOWN,-1.74,1105.4153846153845,1105.4153846153845,1105.4153846153845,1105.4153846153845,0
6017,86282.0,ECLERX,20210416,1144.5,1193.7,1144.05,1165.95,69619.0,81698790.5,5243.0,UP,2.79,1109.7392857142856,1109.7392857142856,1109.7392857142856,1109.7392857142856,0
6577,103047.0,ECLERX,20210419,1150.0,1208.65,1110.0,1196.35,94056.0,109911527.2,7670.0,UP,2.61,1131.8964285714287,1115.5133333333333,1115.5133333333333,1115.5133333333333,CROSSED_2
7211,107382.0,ECLERX,20210420,1208.0,1245.0,1190.05,1222.45,72240.0,88170812.4,6613.0,UP,2.18,1156.117857142857,1122.196875,1122.196875,1122.196875,CROSSED_2
7521,118408.0,ECLERX,20210422,1215.0,1220.0,1181.2,1207.05,29484.0,35482074.7,3608.0,DOWN,-1.26,1165.5035714285716,1127.1882352941177,1127.1882352941177,1127.1882352941177,CROSSED_2
7902,124644.0,ECLERX,20210423,1196.1,1271.0,1180.25,1195.7,114694.0,141856909.0,11781.0,DOWN,-0.94,1172.125,1130.9944444444445,1130.9944444444445,1130.9944444444445,CROSSED_2
8480,141931.0,ECLERX,20210426,1195.0,1213.35,1162.9,1171.25,36465.0,43246007.6,4609.0,DOWN,-2.04,1176.6142857142856,1133.113157894737,1133.113157894737,1133.113157894737,CROSSED_2
9165,146719.0,ECLERX,20210427,1171.0,1194.5,1160.0,1165.65,25673.0,30180698.45,2214.0,DOWN,-0.48,1179.8071428571427,1134.74,1134.74,1134.74,CROSSED_2
9376,152466.0,ECLERX,20210428,1168.0,1207.0,1168.0,1177.8,26774.0,31795131.45,2345.0,UP,1.04,1182.857142857143,1136.790476190476,1136.790476190476,1136.790476190476,CROSSED_2
9873,158690.0,ECLERX,20210429,1188.75,1248.0,1173.0,1230.6,81227.0,97484860.6,7297.0,UP,4.48,1189.2785714285712,1153.192857142857,1141.0545454545454,1141.0545454545454,CROSSED_2
