,ID,Symbol,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,TOTTRDQTY,TOTTRDVAL,TOTALTRADES,UP_DOWN,CHNAGE_%,SMA_14,SMA_21,SMA_50,SMA_200,ABT_cases
4619,65241.0,EQUITAS,20210412,82.0,82.0,75.2,77.55,2008895.0,158887256.9,31805.0,-,0,77.55,77.55,77.55,77.55,0
5257,70997.0,EQUITAS,20210413,78.5,82.95,78.5,82.3,2071890.0,168558652.65,31789.0,UP,6.13,79.925,79.925,79.925,79.925,0
5556,81520.0,EQUITAS,20210415,82.0,83.4,78.7,79.3,3673501.0,295997079.4,27502.0,DOWN,-3.65,79.71666666666665,79.71666666666665,79.71666666666665,79.71666666666665,0
6007,86292.0,EQUITAS,20210416,80.0,81.35,79.3,80.05,553918.0,44488398.25,19278.0,UP,0.95,79.8,79.8,79.8,79.8,0
6567,103057.0,EQUITAS,20210419,79.0,79.0,75.35,75.7,1185061.0,90988312.25,27016.0,DOWN,-5.43,78.97999999999999,78.97999999999999,78.97999999999999,78.97999999999999,0
7222,107392.0,EQUITAS,20210420,78.25,78.25,75.55,76.15,793288.0,61005668.55,6791.0,UP,0.59,78.50833333333334,78.50833333333334,78.50833333333334,78.50833333333334,0
7511,118418.0,EQUITAS,20210422,75.5,76.6,75.1,75.55,565430.0,42859985.95,5645.0,DOWN,-0.79,78.08571428571429,78.08571428571429,78.08571428571429,78.08571428571429,0
7912,124654.0,EQUITAS,20210423,75.5,77.45,75.15,77.05,756595.0,57894086.35,24395.0,UP,1.99,77.95625,77.95625,77.95625,77.95625,0
8490,141941.0,EQUITAS,20210426,77.5,79.0,77.1,78.0,590277.0,45971313.7,7763.0,UP,1.23,77.96111111111111,77.96111111111111,77.96111111111111,77.96111111111111,0
9175,146729.0,EQUITAS,20210427,78.0,79.8,77.2,79.15,910650.0,71915946.8,11443.0,UP,1.47,78.08,78.08,78.08,78.08,0
9662,152476.0,EQUITAS,20210428,79.5,81.2,79.2,80.15,913507.0,73404499.1,10152.0,UP,1.26,78.26818181818182,78.26818181818182,78.26818181818182,78.26818181818182,0
9716,158700.0,EQUITAS,20210429,81.85,84.0,79.85,81.3,1377968.0,112786905.2,11643.0,UP,1.43,78.52083333333333,78.52083333333333,78.52083333333333,78.52083333333333,0
10469,164461.0,EQUITAS,20210430,78.5,82.5,78.5,81.0,1163228.0,94346524.2,7906.0,DOWN,-0.37,78.71153846153847,78.71153846153847,78.71153846153847,78.71153846153847,0
11090,16425.0,EQUITAS,20210503,81.0,82.7,79.7,81.95,774204.0,62939528.45,8424.0,UP,1.17,78.94285714285715,78.94285714285715,78.94285714285715,78.94285714285715,0
11467,22145.0,EQUITAS,20210504,82.0,83.25,81.6,82.65,945707.0,78113957.55,10895.0,UP,0.85,79.30714285714285,79.19,79.19,79.19,CROSSED_2
11781,27393.0,EQUITAS,20210505,83.5,85.2,81.6,84.55,1953382.0,164118897.25,18010.0,UP,2.3,79.46785714285716,79.525,79.525,79.525,WILL_CROSS_1
12114,33149.0,EQUITAS,20210506,85.5,86.4,84.5,84.75,919677.0,78476060.05,11521.0,UP,0.24,79.85714285714286,79.83235294117648,79.83235294117648,79.83235294117648,CROSSED_2
12972,40355.0,EQUITAS,20210507,85.95,86.5,83.5,84.3,1113305.0,94685680.35,13306.0,DOWN,-0.53,80.16071428571429,80.08055555555556,80.08055555555556,80.08055555555556,CROSSED_2
13108,58532.0,EQUITAS,20210510,85.9,86.0,83.1,83.9,1021398.0,86366580.9,13677.0,DOWN,-0.47,80.74642857142855,80.28157894736842,80.28157894736842,80.28157894736842,CROSSED_2
13690,63831.0,EQUITAS,20210511,82.9,83.6,80.3,81.6,2934778.0,240100861.75,20206.0,DOWN,-2.74,81.13571428571429,80.3475,80.3475,80.3475,CROSSED_2
14037,68590.0,EQUITAS,20210512,82.4,83.0,81.1,82.0,936444.0,76956180.75,11407.0,UP,0.49,81.59642857142858,80.42619047619048,80.42619047619048,80.42619047619048,CROSSED_2
14654,80111.0,EQUITAS,20210514,84.9,89.65,84.15,87.15,5541107.0,484704680.25,35382.0,UP,6.28,82.31785714285714,80.88333333333333,80.73181818181818,80.73181818181818,CROSSED_2
15011,95864.0,EQUITAS,20210517,87.95,88.95,87.1,88.0,1825200.0,160794190.4,15753.0,UP,0.98,83.03214285714284,81.1547619047619,81.04782608695652,81.04782608695652,CROSSED_2
15625,101144.0,EQUITAS,20210518,87.5,89.9,87.5,87.95,1050546.0,93040229.5,9204.0,DOWN,-0.06,83.66071428571429,81.56666666666666,81.33541666666666,81.33541666666666,CROSSED_2
16012,105956.0,EQUITAS,20210519,87.2,90.2,87.0,88.95,1130248.0,100479034.55,9372.0,UP,1.14,84.28928571428571,81.99047619047619,81.64,81.64,CROSSED_2
16385,111224.0,EQUITAS,20210520,88.95,89.8,87.35,88.3,809530.0,71591235.0,7995.0,DOWN,-0.73,84.78928571428571,82.59047619047618,81.89615384615385,81.89615384615385,CROSSED_2
16867,117015.0,EQUITAS,20210521,89.0,89.3,87.6,87.95,789157.0,69674730.6,6835.0,DOWN,-0.4,85.28571428571429,83.15238095238095,82.12037037037037,82.12037037037037,CROSSED_2
17451,134243.0,EQUITAS,20210524,89.3,89.5,88.0,88.3,988903.0,87809786.0,7722.0,UP,0.4,85.73928571428571,83.75952380952381,82.34107142857144,82.34107142857144,CROSSED_2
17871,140024.0,EQUITAS,20210525,88.3,93.6,88.3,91.45,3409674.0,311995479.0,19956.0,UP,3.57,86.36785714285715,84.4452380952381,82.65517241379311,82.65517241379311,CROSSED_2
18382,144812.0,EQUITAS,20210526,93.3,95.8,90.85,91.35,5055670.0,473569993.65,29861.0,DOWN,-0.11,86.85357142857141,85.08095238095237,82.945,82.945,CROSSED_2
18838,150571.0,EQUITAS,20210527,93.1,93.45,91.6,92.4,1364723.0,126252932.25,10927.0,UP,1.15,87.39999999999999,85.71190476190476,83.25,83.25,CROSSED_2
19391,157294.0,EQUITAS,20210528,92.4,94.4,91.9,92.5,1380170.0,128434332.15,12312.0,UP,0.11,87.98571428571428,86.3,83.5390625,83.5390625,CROSSED_2
19726,172558.0,EQUITAS,20210531,93.35,93.4,91.25,91.95,1243087.0,114589688.35,12065.0,DOWN,-0.59,88.5607142857143,86.80714285714286,83.79393939393938,83.79393939393938,CROSSED_2
20142,3954.0,EQUITAS,20210601,92.0,92.95,88.7,89.0,1523045.0,137093154.85,16961.0,DOWN,-3.21,89.08928571428571,87.18809523809524,83.9470588235294,83.9470588235294,CROSSED_2
20583,9188.0,EQUITAS,20210602,88.5,89.25,87.55,88.05,1037233.0,91486792.3,10602.0,DOWN,-1.07,89.52142857142857,87.47857142857143,84.06428571428572,84.06428571428572,CROSSED_2
21310,14970.0,EQUITAS,20210603,88.7,91.65,88.15,90.25,2728927.0,244488354.1,13821.0,UP,2.5,89.74285714285715,87.8404761904762,84.23611111111111,84.23611111111111,CROSSED_2
21792,21189.0,EQUITAS,20210604,89.95,92.0,89.25,91.25,2000464.0,182195783.75,12392.0,UP,1.11,89.97500000000001,88.1595238095238,84.42567567567568,84.42567567567568,CROSSED_2
21893,38898.0,EQUITAS,20210607,90.2,96.0,90.2,94.35,3306312.0,312059983.4,22596.0,UP,3.4,90.43214285714285,88.61666666666666,84.68684210526315,84.68684210526315,CROSSED_2
22362,45622.0,EQUITAS,20210608,94.35,97.0,92.5,95.9,3156512.0,301378887.9,15061.0,UP,1.64,90.92857142857143,89.16904761904762,84.97435897435898,84.97435897435898,CROSSED_2
22981,51306.0,EQUITAS,20210609,96.75,97.8,94.1,95.9,2810783.0,269580399.25,16485.0,Const,0.0,91.47142857142858,89.7404761904762,85.2475,85.2475,CROSSED_2
23320,57082.0,EQUITAS,20210610,95.85,97.0,95.0,95.45,1238062.0,118556461.05,11237.0,DOWN,-0.47,92.00714285714285,90.4,85.49634146341464,85.49634146341464,CROSSED_2
23742,62881.0,EQUITAS,20210611,95.6,96.7,94.0,94.5,1040958.0,98835080.0,7177.0,DOWN,-1.0,92.45000000000002,90.9952380952381,85.71071428571429,85.71071428571429,CROSSED_2
24281,78661.0,EQUITAS,20210614,94.55,95.2,91.8,94.0,937535.0,87667595.1,8740.0,DOWN,-0.53,92.63214285714285,91.32142857142857,85.90348837209302,85.90348837209302,CROSSED_2
24996,83895.0,EQUITAS,20210615,93.95,96.45,93.9,95.65,1014565.0,96377991.15,9401.0,UP,1.76,92.93928571428572,91.68571428571428,86.125,86.125,CROSSED_2
25332,89123.0,EQUITAS,20210616,96.2,96.6,95.0,95.15,1895478.0,181516471.15,9917.0,DOWN,-0.52,93.13571428571429,92.02857142857144,86.32555555555555,86.32555555555555,CROSSED_2
25687,94415.0,EQUITAS,20210617,94.3,96.05,93.5,94.0,1102138.0,104236029.45,11112.0,DOWN,-1.21,93.24285714285715,92.26904761904763,86.49239130434783,86.49239130434783,CROSSED_2
26075,100686.0,EQUITAS,20210618,93.55,94.7,91.2,91.9,1419351.0,130843706.6,15211.0,DOWN,-2.23,93.23928571428571,92.44047619047619,86.60744680851064,86.60744680851064,CROSSED_2
26717,115566.0,EQUITAS,20210621,91.0,91.6,89.2,91.25,1088998.0,98690695.15,11991.0,DOWN,-0.71,93.39999999999999,92.59761904761905,86.70416666666667,86.70416666666667,CROSSED_2
26892,121791.0,EQUITAS,20210622,91.45,98.0,91.45,94.8,2620959.0,246831872.1,17528.0,UP,3.89,93.88214285714287,92.90714285714287,86.86938775510205,86.86938775510205,CROSSED_2
27393,127493.0,EQUITAS,20210623,95.8,96.6,93.45,94.25,1024050.0,97236151.2,19523.0,DOWN,-0.58,94.16785714285716,93.0404761904762,87.01700000000001,87.01700000000001,CROSSED_2
27889,132793.0,EQUITAS,20210624,95.0,95.95,92.1,93.75,1324889.0,124626127.85,20781.0,DOWN,-0.53,94.34642857142858,93.15476190476191,87.34100000000001,87.14901960784314,CROSSED_2
28401,139073.0,EQUITAS,20210625,93.5,95.0,93.25,94.45,889017.0,83856092.15,14806.0,UP,0.75,94.35357142857143,93.25238095238095,87.584,87.28942307692309,CROSSED_2
29012,155843.0,EQUITAS,20210628,95.5,95.5,93.05,94.1,941444.0,88445652.5,10345.0,DOWN,-0.37,94.22500000000001,93.32857142857144,87.88,87.41792452830188,CROSSED_2
29211,161591.0,EQUITAS,20210629,94.05,95.5,92.7,94.95,1947232.0,182973888.7,12133.0,UP,0.9,94.15714285714286,93.47142857142858,88.17800000000001,87.55740740740741,CROSSED_2
29919,166816.0,EQUITAS,20210630,93.6,95.4,93.5,94.0,684086.0,64507999.2,8456.0,DOWN,-1.0,94.05357142857143,93.70952380952382,88.54400000000001,87.67454545454547,CROSSED_2
30160,2994.0,EQUITAS,20210701,94.0,94.0,92.0,92.45,701204.0,65181199.75,8083.0,DOWN,-1.65,93.90714285714284,93.91904761904762,88.87,87.75982142857143,CROSSED_2
30780,8728.0,EQUITAS,20210702,93.5,94.4,92.7,93.6,1100227.0,103135815.85,20012.0,UP,1.24,93.87857142857142,94.07857142857144,89.23099999999998,87.86228070175439,CROSSED_2
31319,26434.0,EQUITAS,20210705,94.5,95.35,93.0,93.9,1719638.0,162472400.85,12237.0,UP,0.32,93.75357142857142,94.20476190476191,89.56800000000001,87.96637931034483,CROSSED_2
31500,31691.0,EQUITAS,20210706,93.9,94.55,93.25,94.0,733231.0,68849667.55,7592.0,UP,0.11,93.67142857142856,94.18809523809524,89.888,88.06864406779661,CROSSED_2
