,ID,Symbol,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,TOTTRDQTY,TOTTRDVAL,TOTALTRADES,UP_DOWN,CHNAGE_%,SMA_14,SMA_21,SMA_50,SMA_200,ABT_cases
4620,65242.0,EQUITASBNK,20210412,55.05,55.7,51.0,52.05,2797051.0,145333720.1,19499.0,-,0,52.05,52.05,52.05,52.05,0
5256,70998.0,EQUITASBNK,20210413,52.25,56.35,52.0,53.85,1367567.0,73629496.5,9350.0,UP,3.46,52.95,52.95,52.95,52.95,0
5555,81521.0,EQUITASBNK,20210415,51.0,55.0,51.0,52.7,876454.0,46054807.05,5188.0,DOWN,-2.14,52.86666666666667,52.86666666666667,52.86666666666667,52.86666666666667,0
6006,86293.0,EQUITASBNK,20210416,54.95,54.95,52.6,53.0,438657.0,23425903.55,4924.0,UP,0.57,52.9,52.9,52.9,52.9,0
6566,103058.0,EQUITASBNK,20210419,50.55,51.9,50.0,51.0,2067933.0,105462461.15,24823.0,DOWN,-3.77,52.52,52.52,52.52,52.52,0
7223,107393.0,EQUITASBNK,20210420,50.65,52.0,50.4,51.05,745917.0,38070937.5,6968.0,UP,0.1,52.275,52.275,52.275,52.275,0
7510,118419.0,EQUITASBNK,20210422,51.1,52.9,50.0,51.15,926166.0,47128792.45,8009.0,UP,0.2,52.114285714285714,52.114285714285714,52.114285714285714,52.114285714285714,0
7913,124655.0,EQUITASBNK,20210423,51.1,51.7,50.6,51.1,405240.0,20778855.9,3608.0,DOWN,-0.1,51.9875,51.9875,51.9875,51.9875,0
8317,141942.0,EQUITASBNK,20210426,51.1,54.45,51.1,51.8,581962.0,30631450.4,3439.0,UP,1.37,51.96666666666667,51.96666666666667,51.96666666666667,51.96666666666667,0
9176,146730.0,EQUITASBNK,20210427,52.0,53.6,52.0,53.2,454266.0,24114347.1,2651.0,UP,2.7,52.089999999999996,52.089999999999996,52.089999999999996,52.089999999999996,0
9661,152477.0,EQUITASBNK,20210428,53.95,54.55,53.65,54.25,420639.0,22754486.45,2539.0,UP,1.97,52.28636363636363,52.28636363636363,52.28636363636363,52.28636363636363,0
9883,158701.0,EQUITASBNK,20210429,54.95,56.35,54.5,54.75,840435.0,46374064.7,5949.0,UP,0.92,52.49166666666667,52.49166666666667,52.49166666666667,52.49166666666667,0
10468,164462.0,EQUITASBNK,20210430,55.75,56.9,55.0,55.5,1702914.0,94525233.85,8199.0,UP,1.37,52.723076923076924,52.723076923076924,52.723076923076924,52.723076923076924,0
11089,16426.0,EQUITASBNK,20210503,55.5,55.55,54.1,54.65,558279.0,30507358.55,3473.0,DOWN,-1.53,52.86071428571428,52.86071428571428,52.86071428571428,52.86071428571428,0
11466,22146.0,EQUITASBNK,20210504,55.0,57.5,54.7,56.0,998373.0,56294458.9,6799.0,UP,2.47,53.142857142857146,53.07,53.07,53.07,CROSSED_2
11780,27394.0,EQUITASBNK,20210505,56.6,58.75,56.3,58.05,1595650.0,92456996.4,8537.0,UP,3.66,53.44285714285714,53.38125,53.38125,53.38125,CROSSED_2
12113,33150.0,EQUITASBNK,20210506,59.4,59.4,57.2,57.75,2640904.0,153339300.45,4812.0,DOWN,-0.52,53.80357142857143,53.63823529411765,53.63823529411765,53.63823529411765,CROSSED_2
12973,40356.0,EQUITASBNK,20210507,58.05,58.85,57.1,57.35,1438588.0,83115048.4,3550.0,DOWN,-0.69,54.114285714285714,53.84444444444445,53.84444444444445,53.84444444444445,CROSSED_2
13107,58533.0,EQUITASBNK,20210510,58.5,58.7,56.5,56.8,2196279.0,126151541.15,6134.0,DOWN,-0.96,54.528571428571425,54.0,54.0,54.0,CROSSED_2
13689,63832.0,EQUITASBNK,20210511,55.75,56.6,55.75,56.1,368459.0,20657250.85,4132.0,DOWN,-1.23,54.88928571428572,54.105,54.105,54.105,CROSSED_2
14036,68591.0,EQUITASBNK,20210512,56.2,57.45,56.1,56.3,1639264.0,92610998.65,2875.0,UP,0.36,55.25714285714286,54.209523809523816,54.209523809523816,54.209523809523816,CROSSED_2
14655,80112.0,EQUITASBNK,20210514,57.0,57.1,55.5,55.8,753264.0,42301370.0,9370.0,DOWN,-0.89,55.59285714285714,54.38809523809524,54.28181818181818,54.28181818181818,CROSSED_2
15010,95865.0,EQUITASBNK,20210517,56.9,56.9,55.4,55.6,378772.0,21160594.05,4974.0,DOWN,-0.36,55.86428571428571,54.47142857142857,54.339130434782604,54.339130434782604,CROSSED_2
15624,101145.0,EQUITASBNK,20210518,56.5,56.5,55.3,55.5,3465775.0,193113525.85,5737.0,DOWN,-0.18,56.028571428571425,54.60476190476191,54.387499999999996,54.387499999999996,CROSSED_2
16011,105957.0,EQUITASBNK,20210519,55.65,55.9,55.3,55.4,239765.0,13327853.95,1739.0,DOWN,-0.18,56.11071428571428,54.71904761904763,54.428000000000004,54.428000000000004,CROSSED_2
16384,111225.0,EQUITASBNK,20210520,56.0,56.9,55.45,56.65,995238.0,55994272.8,3761.0,UP,2.26,56.246428571428574,54.98809523809524,54.513461538461534,54.513461538461534,CROSSED_2
16868,117016.0,EQUITASBNK,20210521,57.0,58.3,56.9,58.05,870287.0,50454176.85,4387.0,UP,2.47,56.42857142857143,55.32142857142857,54.644444444444446,54.644444444444446,CROSSED_2
17452,134244.0,EQUITASBNK,20210524,60.0,60.0,59.05,59.5,779641.0,46403758.65,5816.0,UP,2.5,56.775,55.71904761904763,54.81785714285714,54.81785714285714,CROSSED_2
17870,140025.0,EQUITASBNK,20210525,59.95,60.9,59.5,60.05,721350.0,43386379.8,4280.0,UP,0.92,57.06428571428571,56.14523809523809,54.998275862068965,54.998275862068965,CROSSED_2
18381,144813.0,EQUITASBNK,20210526,61.2,64.5,60.1,63.8,2956272.0,187007930.1,11791.0,UP,6.24,57.475,56.71666666666666,55.291666666666664,55.291666666666664,CROSSED_2
18837,150572.0,EQUITASBNK,20210527,64.5,64.5,62.0,62.55,855267.0,54036026.45,4585.0,DOWN,-1.96,57.817857142857136,57.16190476190476,55.5258064516129,55.5258064516129,CROSSED_2
19225,157295.0,EQUITASBNK,20210528,63.5,63.75,60.65,61.05,504060.0,31332657.05,3126.0,DOWN,-2.4,58.082142857142856,57.48571428571428,55.6984375,55.6984375,CROSSED_2
19727,172559.0,EQUITASBNK,20210531,61.15,61.35,58.0,59.15,582823.0,34843478.6,3584.0,DOWN,-3.11,58.25,57.69523809523809,55.803030303030305,55.803030303030305,CROSSED_2
20141,3955.0,EQUITASBNK,20210601,59.2,60.5,58.65,60.1,643097.0,38521207.0,3683.0,UP,1.61,58.535714285714285,57.914285714285704,55.92941176470588,55.92941176470588,CROSSED_2
20582,9189.0,EQUITASBNK,20210602,60.5,61.2,59.4,60.45,442866.0,26698812.25,2664.0,UP,0.58,58.832142857142856,58.19047619047619,56.058571428571426,56.058571428571426,CROSSED_2
21311,14971.0,EQUITASBNK,20210603,60.9,62.0,60.6,60.9,395012.0,24212750.35,2618.0,UP,0.74,59.19642857142856,58.42380952380953,56.19305555555556,56.19305555555556,CROSSED_2
21791,21190.0,EQUITASBNK,20210604,61.9,61.9,60.5,60.95,354405.0,21676863.65,2095.0,UP,0.08,59.57857142857143,58.56190476190477,56.321621621621624,56.321621621621624,CROSSED_2
21892,38899.0,EQUITASBNK,20210607,62.0,63.0,60.1,60.3,3541793.0,217682558.5,6269.0,DOWN,-1.07,59.92142857142857,58.68333333333334,56.426315789473676,56.426315789473676,CROSSED_2
22363,45623.0,EQUITASBNK,20210608,60.8,61.05,60.0,60.4,413030.0,24966257.55,2418.0,UP,0.17,60.27857142857143,58.82857142857142,56.52820512820512,56.52820512820512,CROSSED_2
22982,51307.0,EQUITASBNK,20210609,60.9,61.0,58.15,58.9,518427.0,31076782.8,3621.0,DOWN,-2.48,60.43928571428571,58.92857142857143,56.5875,56.5875,CROSSED_2
23321,57083.0,EQUITASBNK,20210610,59.95,61.9,58.7,59.6,723279.0,43383548.6,3921.0,UP,1.19,60.550000000000004,59.095238095238095,56.66097560975609,56.66097560975609,CROSSED_2
