,ID,Symbol,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,TOTTRDQTY,TOTTRDVAL,TOTALTRADES,UP_DOWN,CHNAGE_%,SMA_14,SMA_21,SMA_50,SMA_200,ABT_cases
4621,65243.0,ERIS,20210412,604.75,620.0,587.75,592.05,216025.0,130507963.85,10819.0,-,0,592.05,592.05,592.05,592.05,0
5255,70999.0,ERIS,20210413,591.15,603.0,587.0,592.7,73288.0,43675627.5,4114.0,UP,0.11,592.375,592.375,592.375,592.375,0
5554,81522.0,ERIS,20210415,592.7,604.95,589.2,595.35,148874.0,88236430.7,2636.0,UP,0.45,593.3666666666667,593.3666666666667,593.3666666666667,593.3666666666667,0
6005,86294.0,ERIS,20210416,598.0,598.75,585.1,588.35,56644.0,33464335.65,2799.0,DOWN,-1.18,592.1125,592.1125,592.1125,592.1125,0
6565,103059.0,ERIS,20210419,582.0,594.5,576.6,580.6,75644.0,44245702.55,3822.0,DOWN,-1.32,589.8100000000001,589.8100000000001,589.8100000000001,589.8100000000001,0
7224,107394.0,ERIS,20210420,581.1,607.35,581.0,594.0,124585.0,74081229.9,5534.0,UP,2.31,590.5083333333333,590.5083333333333,590.5083333333333,590.5083333333333,0
7509,118420.0,ERIS,20210422,597.6,615.6,593.55,601.85,170332.0,103390954.2,11137.0,UP,1.32,592.1285714285714,592.1285714285714,592.1285714285714,592.1285714285714,0
7914,124656.0,ERIS,20210423,596.8,611.5,596.8,606.25,92693.0,56092696.2,7450.0,UP,0.73,593.89375,593.89375,593.89375,593.89375,0
8492,141943.0,ERIS,20210426,612.6,614.5,596.2,601.6,36857.0,22325899.9,3177.0,DOWN,-0.77,594.75,594.75,594.75,594.75,0
9177,146731.0,ERIS,20210427,600.0,611.75,590.0,604.75,73627.0,44253184.5,4654.0,UP,0.52,595.75,595.75,595.75,595.75,0
9660,152478.0,ERIS,20210428,610.75,612.0,601.1,608.15,65855.0,40096078.35,4077.0,UP,0.56,596.8772727272727,596.8772727272727,596.8772727272727,596.8772727272727,0
9884,158702.0,ERIS,20210429,611.4,611.8,600.0,603.45,38082.0,23052431.0,3662.0,DOWN,-0.77,597.4250000000001,597.4250000000001,597.4250000000001,597.4250000000001,0
10467,164463.0,ERIS,20210430,603.45,606.0,595.2,601.95,37569.0,22584326.25,3122.0,DOWN,-0.25,597.7730769230769,597.7730769230769,597.7730769230769,597.7730769230769,0
11088,16427.0,ERIS,20210503,601.95,604.95,593.5,596.35,35375.0,21130082.75,3053.0,DOWN,-0.93,597.6714285714286,597.6714285714286,597.6714285714286,597.6714285714286,0
11465,22147.0,ERIS,20210504,596.35,602.05,586.0,587.65,55577.0,32870174.5,2625.0,DOWN,-1.46,597.3571428571429,597.0033333333333,597.0033333333333,597.0033333333333,CROSSED_2
11779,27395.0,ERIS,20210505,594.0,601.7,586.4,597.4,44900.0,26763300.55,2915.0,UP,1.66,597.6928571428572,597.028125,597.028125,597.028125,CROSSED_2
12112,33151.0,ERIS,20210506,601.9,609.0,592.05,602.6,58621.0,35200488.2,4348.0,UP,0.87,598.2107142857143,597.3558823529411,597.3558823529411,597.3558823529411,CROSSED_2
12974,40357.0,ERIS,20210507,610.6,685.0,610.55,641.05,3640920.0,2412065136.2,107002.0,UP,6.38,601.975,599.7833333333333,599.7833333333333,599.7833333333333,CROSSED_2
13106,58534.0,ERIS,20210510,652.4,675.0,647.05,653.3,685011.0,455343396.7,28325.0,UP,1.91,607.1678571428572,602.6,602.6,602.6,CROSSED_2
13688,63833.0,ERIS,20210511,647.4,671.0,645.0,661.3,289680.0,191682782.95,10687.0,UP,1.22,611.975,605.5350000000001,605.5350000000001,605.5350000000001,CROSSED_2
14035,68592.0,ERIS,20210512,651.3,681.6,650.0,653.85,442267.0,294403819.1,15981.0,DOWN,-1.13,615.6892857142857,607.8357142857143,607.8357142857143,607.8357142857143,CROSSED_2
14656,80113.0,ERIS,20210514,655.5,674.95,646.25,670.35,445521.0,295185194.15,15429.0,UP,2.52,620.2678571428571,611.5642857142857,610.6772727272727,610.6772727272727,CROSSED_2
15009,95866.0,ERIS,20210517,674.0,719.0,663.05,709.1,1178117.0,822521871.85,41255.0,UP,5.78,627.9464285714286,617.1071428571429,614.9565217391304,614.9565217391304,CROSSED_2
15623,101146.0,ERIS,20210518,708.0,726.0,690.0,721.3,527770.0,375345890.4,28054.0,UP,1.72,636.2714285714285,623.1047619047619,619.3874999999999,619.3874999999999,CROSSED_2
16010,105958.0,ERIS,20210519,721.5,730.8,713.1,720.4,365532.0,263683797.45,20003.0,DOWN,-0.12,644.2892857142858,629.3928571428571,623.428,623.428,CROSSED_2
16383,111226.0,ERIS,20210520,722.0,725.4,711.0,717.8,283630.0,203583232.25,6671.0,DOWN,-0.36,652.4571428571428,635.9261904761905,627.0576923076923,627.0576923076923,CROSSED_2
16869,117017.0,ERIS,20210521,717.8,734.9,701.15,708.7,170364.0,121939983.4,10169.0,DOWN,-1.27,660.0821428571429,641.3880952380953,630.0814814814815,630.0814814814815,CROSSED_2
17453,134245.0,ERIS,20210524,713.85,721.1,700.0,704.9,83184.0,58913196.7,6541.0,DOWN,-0.54,667.8357142857143,646.2952380952381,632.7535714285714,632.7535714285714,CROSSED_2
17869,140026.0,ERIS,20210525,706.0,719.0,703.0,707.65,130956.0,93135871.1,13040.0,UP,0.39,676.4071428571427,651.1238095238095,635.3362068965517,635.3362068965517,CROSSED_2
18380,144814.0,ERIS,20210526,713.3,716.7,695.0,697.65,55980.0,39489544.15,5214.0,DOWN,-1.41,683.5678571428571,655.697619047619,637.4133333333334,637.4133333333334,CROSSED_2
18836,150573.0,ERIS,20210527,695.05,710.5,680.0,693.5,122266.0,84646547.45,8649.0,DOWN,-0.59,690.0607142857142,659.9238095238095,639.2225806451613,639.2225806451613,CROSSED_2
19390,157296.0,ERIS,20210528,700.7,714.45,689.6,702.0,114533.0,80479329.8,6176.0,UP,1.23,694.4142857142857,664.3928571428571,641.184375,641.184375,CROSSED_2
19728,172560.0,ERIS,20210531,691.4,711.9,690.2,709.4,82927.0,58236143.35,4428.0,UP,1.05,698.4214285714286,669.4380952380952,643.2515151515152,643.2515151515152,CROSSED_2
20140,3956.0,ERIS,20210601,711.0,713.85,695.0,708.8,67407.0,47580667.2,3358.0,DOWN,-0.08,701.8142857142857,674.5261904761905,645.1794117647058,645.1794117647058,CROSSED_2
20581,9190.0,ERIS,20210602,701.55,705.85,692.0,698.65,96209.0,67083446.55,6984.0,DOWN,-1.43,705.0142857142857,679.3976190476191,646.7071428571429,646.7071428571429,CROSSED_2
21312,14972.0,ERIS,20210603,701.8,704.35,693.0,697.55,70107.0,48891025.65,4504.0,DOWN,-0.16,706.9571428571428,684.6309523809524,648.1194444444444,648.1194444444444,CROSSED_2
21790,21191.0,ERIS,20210604,705.0,730.0,695.0,718.55,327154.0,232767450.15,14599.0,UP,3.01,707.6321428571429,690.4,650.022972972973,650.022972972973,CROSSED_2
21891,38900.0,ERIS,20210607,722.0,726.0,717.1,719.85,202069.0,145737748.35,6932.0,UP,0.18,707.5285714285716,695.9833333333332,651.8605263157895,651.8605263157895,CROSSED_2
22364,45624.0,ERIS,20210608,720.0,724.0,714.0,716.9,83250.0,59803047.3,3989.0,DOWN,-0.41,707.2785714285714,699.5952380952381,653.5282051282051,653.5282051282051,CROSSED_2
22983,51308.0,ERIS,20210609,716.9,716.9,700.0,707.35,99175.0,70434287.2,6075.0,DOWN,-1.33,706.532142857143,702.1690476190475,654.87375,654.87375,CROSSED_2
23322,57084.0,ERIS,20210610,707.35,715.85,705.65,707.9,100536.0,71353961.5,6059.0,UP,0.08,706.475,704.3880952380953,656.1670731707317,656.1670731707317,CROSSED_2
23744,62883.0,ERIS,20210611,710.0,711.7,703.0,705.45,136513.0,96532911.15,9684.0,DOWN,-0.35,706.5142857142856,706.8452380952381,657.3404761904761,657.3404761904761,CROSSED_2
24283,78663.0,ERIS,20210614,710.9,710.95,691.0,709.25,91868.0,64696951.25,6248.0,UP,0.54,706.6285714285714,708.697619047619,658.5476744186046,658.5476744186046,CROSSED_2
24994,83897.0,ERIS,20210615,715.6,717.65,696.7,700.1,86695.0,61091312.3,6030.0,DOWN,-1.29,706.8035714285714,708.2690476190476,659.4920454545455,659.4920454545455,CROSSED_2
25334,89125.0,ERIS,20210616,700.0,710.0,700.0,706.9,74444.0,52562187.05,5661.0,UP,0.97,707.7607142857142,707.5833333333334,660.5455555555556,660.5455555555556,CROSSED_2
25689,94417.0,ERIS,20210617,703.4,712.95,700.25,706.4,59821.0,42298766.4,6084.0,DOWN,-0.07,708.0749999999999,706.9166666666666,661.5423913043478,661.5423913043478,CROSSED_2
26073,100688.0,ERIS,20210618,712.5,714.0,682.35,711.45,127688.0,89908977.4,9370.0,UP,0.71,708.2214285714286,706.6142857142856,662.6042553191489,662.6042553191489,CROSSED_2
26715,115568.0,ERIS,20210621,691.15,720.4,691.15,711.45,117953.0,83980350.55,8929.0,Const,0.0,708.4107142857143,706.745238095238,663.6218749999999,663.6218749999999,CROSSED_2
26894,121793.0,ERIS,20210622,712.2,718.0,694.0,697.45,128770.0,90545831.2,13905.0,DOWN,-1.97,708.3249999999999,706.3904761904762,664.3122448979592,664.3122448979592,CROSSED_2
27391,127495.0,ERIS,20210623,700.95,706.95,695.05,699.05,94032.0,65982734.6,18556.0,UP,0.23,708.4321428571429,705.9809523809524,665.007,665.007,CROSSED_2
27887,132795.0,ERIS,20210624,696.0,703.1,690.0,699.95,56196.0,39211360.25,4063.0,UP,0.13,707.1035714285714,706.0904761904761,667.165,665.6921568627452,CROSSED_2
28403,139075.0,ERIS,20210625,697.95,700.8,693.0,697.65,160494.0,111789795.45,3752.0,DOWN,-0.33,705.5178571428571,706.2880952380953,669.2639999999999,666.3067307692307,CROSSED_2
29014,155845.0,ERIS,20210628,698.0,708.4,695.0,701.95,169385.0,118545711.25,7004.0,UP,0.62,704.4499999999999,706.2857142857143,671.3960000000001,666.9792452830189,CROSSED_2
29213,161593.0,ERIS,20210629,704.95,709.4,690.0,696.4,38881.0,27319534.9,3701.0,DOWN,-0.79,703.6678571428572,705.6666666666666,673.5570000000001,667.5240740740742,CROSSED_2
29917,166818.0,ERIS,20210630,696.55,714.0,695.6,707.5,137639.0,97271117.4,10274.0,UP,1.59,703.6392857142856,705.6047619047619,676.095,668.2509090909091,CROSSED_2
