,ID,Symbol,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,TOTTRDQTY,TOTTRDVAL,TOTALTRADES,UP_DOWN,CHNAGE_%,SMA_14,SMA_21,SMA_50,SMA_200,ABT_cases
4632,65254.0,FSL,20210412,118.75,119.35,109.3,111.8,5584577.0,636930768.45,40168.0,-,0,111.8,111.8,111.8,111.8,0
5244,71010.0,FSL,20210413,113.7,116.95,111.05,116.4,3622671.0,416717120.45,45009.0,UP,4.11,114.1,114.1,114.1,114.1,0
5543,81533.0,FSL,20210415,114.8,117.25,112.7,115.2,3774941.0,432280614.65,43339.0,DOWN,-1.03,114.46666666666665,114.46666666666665,114.46666666666665,114.46666666666665,0
5994,86305.0,FSL,20210416,116.0,117.8,115.15,116.65,2669990.0,311114206.5,17201.0,UP,1.26,115.0125,115.0125,115.0125,115.0125,0
6554,103070.0,FSL,20210419,114.0,114.55,110.6,113.05,5350998.0,600670389.65,30519.0,DOWN,-3.09,114.62,114.62,114.62,114.62,0
7235,107405.0,FSL,20210420,115.15,115.75,111.1,111.9,2189464.0,248504353.3,14949.0,DOWN,-1.02,114.16666666666667,114.16666666666667,114.16666666666667,114.16666666666667,0
7498,118431.0,FSL,20210422,111.9,112.7,110.25,110.8,1652532.0,184414753.0,12561.0,DOWN,-0.98,113.68571428571428,113.68571428571428,113.68571428571428,113.68571428571428,0
7925,124667.0,FSL,20210423,110.45,113.5,109.2,110.3,3918914.0,438999702.45,23646.0,DOWN,-0.45,113.2625,113.2625,113.2625,113.2625,0
8503,141954.0,FSL,20210426,110.85,117.0,110.35,113.95,4012031.0,458106224.45,28361.0,UP,3.31,113.33888888888889,113.33888888888889,113.33888888888889,113.33888888888889,0
9188,146742.0,FSL,20210427,114.4,116.1,113.85,114.95,2821163.0,324431944.35,14900.0,UP,0.88,113.5,113.5,113.5,113.5,0
9649,152489.0,FSL,20210428,115.0,115.65,112.6,113.0,1663463.0,189910837.4,10235.0,DOWN,-1.7,113.45454545454545,113.45454545454545,113.45454545454545,113.45454545454545,0
9895,158713.0,FSL,20210429,114.0,114.3,112.35,113.45,1650252.0,187060121.85,11608.0,UP,0.4,113.45416666666667,113.45416666666667,113.45416666666667,113.45416666666667,0
10456,164474.0,FSL,20210430,112.25,114.45,112.0,112.8,1786114.0,201996395.9,11521.0,DOWN,-0.57,113.40384615384616,113.40384615384616,113.40384615384616,113.40384615384616,0
11077,16438.0,FSL,20210503,113.8,124.85,112.1,123.4,9440337.0,1125718193.65,52452.0,UP,9.4,114.11785714285715,114.11785714285715,114.11785714285715,114.11785714285715,0
11454,22158.0,FSL,20210504,124.85,129.7,122.15,124.0,10667993.0,1345135412.6,52876.0,UP,0.49,114.98928571428573,114.77666666666667,114.77666666666667,114.77666666666667,CROSSED_2
11767,27406.0,FSL,20210505,123.8,130.8,122.5,127.6,6948485.0,883351844.0,40028.0,UP,2.9,115.78928571428571,115.578125,115.578125,115.578125,CROSSED_2
12101,33162.0,FSL,20210506,128.4,133.9,126.7,131.0,6626877.0,868015484.55,37988.0,UP,2.66,116.91785714285713,116.48529411764706,116.48529411764706,116.48529411764706,CROSSED_2
12525,40368.0,FSL,20210507,131.85,132.4,129.15,130.85,3104840.0,406750213.7,18820.0,DOWN,-0.11,117.93214285714285,117.28333333333333,117.28333333333333,117.28333333333333,CROSSED_2
13095,58545.0,FSL,20210510,131.75,131.75,125.0,126.55,2746283.0,351516678.45,16293.0,DOWN,-3.29,118.89642857142859,117.77105263157895,117.77105263157895,117.77105263157895,CROSSED_2
13677,63844.0,FSL,20210511,126.0,131.5,122.15,123.15,9702008.0,1223656818.35,62785.0,DOWN,-2.69,119.7,118.04,118.04,118.04,CROSSED_2
14024,68603.0,FSL,20210512,120.25,130.75,119.3,127.95,7882451.0,995191119.0,49028.0,UP,3.9,120.925,118.51190476190476,118.51190476190476,118.51190476190476,CROSSED_2
14667,80124.0,FSL,20210514,129.8,129.9,123.1,125.15,3828101.0,479458136.35,26509.0,DOWN,-2.19,121.9857142857143,119.14761904761905,118.81363636363636,118.81363636363636,CROSSED_2
14998,95877.0,FSL,20210517,125.15,128.95,124.4,127.05,2402103.0,304971766.55,17613.0,UP,1.52,122.92142857142858,119.6547619047619,119.17173913043477,119.17173913043477,CROSSED_2
15612,101157.0,FSL,20210518,128.2,135.85,128.0,129.85,6353984.0,837407336.15,49084.0,UP,2.2,123.98571428571428,120.35238095238095,119.61666666666667,119.61666666666667,CROSSED_2
15999,105969.0,FSL,20210519,130.75,138.5,129.0,137.4,10180340.0,1377287973.5,63573.0,UP,5.81,125.72857142857143,121.34047619047617,120.32799999999999,120.32799999999999,CROSSED_2
16372,111237.0,FSL,20210520,137.65,142.0,134.95,140.95,5779894.0,805564721.45,38845.0,UP,2.58,127.69285714285715,122.66904761904763,121.12115384615385,121.12115384615385,CROSSED_2
