,ID,Symbol,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,TOTTRDQTY,TOTTRDVAL,TOTALTRADES,UP_DOWN,CHNAGE_%,SMA_14,SMA_21,SMA_50,SMA_200,ABT_cases
4638,65260.0,GICRE,20210412,204.0,207.4,195.25,196.35,701682.0,140336497.0,11951.0,-,0,196.35,196.35,196.35,196.35,0
5238,71016.0,GICRE,20210413,200.0,210.9,200.0,205.9,1497546.0,308507572.3,27824.0,UP,4.86,201.125,201.125,201.125,201.125,0
5537,81539.0,GICRE,20210415,200.55,205.65,199.05,201.25,448290.0,90306797.15,10917.0,DOWN,-2.26,201.16666666666666,201.16666666666666,201.16666666666666,201.16666666666666,0
6300,86311.0,GICRE,20210416,203.0,211.7,200.75,209.75,1118448.0,232661575.05,21485.0,UP,4.22,203.3125,203.3125,203.3125,203.3125,0
6548,103076.0,GICRE,20210419,205.6,206.0,197.4,203.1,423043.0,85165252.4,7147.0,DOWN,-3.17,203.27,203.27,203.27,203.27,0
7241,107411.0,GICRE,20210420,203.3,211.0,201.0,203.45,1090404.0,225956873.7,17033.0,UP,0.17,203.29999999999998,203.29999999999998,203.29999999999998,203.29999999999998,0
7492,118437.0,GICRE,20210422,200.45,205.5,200.15,203.4,520796.0,105258097.9,7631.0,DOWN,-0.02,203.31428571428572,203.31428571428572,203.31428571428572,203.31428571428572,0
7931,124673.0,GICRE,20210423,201.0,205.5,201.0,202.75,202521.0,41214436.05,3522.0,DOWN,-0.32,203.24375,203.24375,203.24375,203.24375,0
8509,141960.0,GICRE,20210426,202.25,206.4,198.5,202.0,184387.0,37530996.45,3153.0,DOWN,-0.37,203.10555555555555,203.10555555555555,203.10555555555555,203.10555555555555,0
9194,146748.0,GICRE,20210427,204.0,211.35,203.0,206.45,1091944.0,226768932.6,14755.0,UP,2.2,203.44,203.44,203.44,203.44,0
9643,152495.0,GICRE,20210428,209.8,210.75,205.1,205.85,409162.0,84740458.95,6445.0,DOWN,-0.29,203.6590909090909,203.6590909090909,203.6590909090909,203.6590909090909,0
9901,158719.0,GICRE,20210429,208.0,209.5,199.5,202.2,321737.0,65837325.25,4339.0,DOWN,-1.77,203.5375,203.5375,203.5375,203.5375,0
10450,164480.0,GICRE,20210430,204.2,208.0,202.05,204.75,584384.0,120115492.75,11987.0,UP,1.26,203.6307692307692,203.6307692307692,203.6307692307692,203.6307692307692,0
11071,16444.0,GICRE,20210503,205.2,209.55,202.3,204.75,485659.0,99855955.8,9440.0,Const,0.0,203.71071428571426,203.71071428571426,203.71071428571426,203.71071428571426,0
11448,22164.0,GICRE,20210504,208.05,216.85,207.3,208.75,2181028.0,462817270.3,28986.0,UP,1.95,204.59642857142856,204.04666666666665,204.04666666666665,204.04666666666665,CROSSED_2
11761,27412.0,GICRE,20210505,209.9,210.35,205.0,205.8,215608.0,44747283.8,4595.0,DOWN,-1.41,204.58928571428572,204.15625,204.15625,204.15625,CROSSED_2
12095,33168.0,GICRE,20210506,209.4,210.0,203.4,204.45,283357.0,58353178.9,5226.0,DOWN,-0.66,204.81785714285712,204.1735294117647,204.1735294117647,204.1735294117647,CROSSED_2
12674,40374.0,GICRE,20210507,207.0,208.3,203.55,203.9,253694.0,51904230.15,5625.0,DOWN,-0.27,204.4,204.15833333333333,204.15833333333333,204.15833333333333,CROSSED_2
13088,58551.0,GICRE,20210510,206.45,207.3,200.05,200.45,540429.0,109280867.0,13636.0,DOWN,-1.69,204.21071428571426,203.96315789473684,203.96315789473684,203.96315789473684,CROSSED_2
13671,63850.0,GICRE,20210511,199.0,205.7,198.1,202.05,441382.0,89211869.35,7400.0,UP,0.8,204.11071428571427,203.8675,203.8675,203.8675,CROSSED_2
14018,68609.0,GICRE,20210512,202.9,203.7,200.0,201.15,305234.0,61550518.65,5773.0,DOWN,-0.45,203.95000000000002,203.73809523809524,203.73809523809524,203.73809523809524,CROSSED_2
14673,80130.0,GICRE,20210514,202.0,202.85,198.5,199.95,196014.0,39270684.05,3715.0,DOWN,-0.6,203.75,203.90952380952382,203.5659090909091,203.5659090909091,CROSSED_2
14992,95883.0,GICRE,20210517,202.0,202.0,192.0,195.2,620289.0,121829195.55,11264.0,DOWN,-2.38,203.26428571428573,203.39999999999998,203.20217391304345,203.20217391304345,CROSSED_2
15606,101163.0,GICRE,20210518,196.3,198.2,195.6,197.1,305425.0,60121733.2,6605.0,UP,0.97,202.59642857142856,203.20238095238096,202.94791666666666,202.94791666666666,WILL_CROSS_1
15993,105975.0,GICRE,20210519,197.25,204.2,195.55,197.25,2133872.0,425179543.4,27850.0,UP,0.08,201.98214285714286,202.60714285714286,202.72,202.72,WILL_CROSS_1
16366,111243.0,GICRE,20210520,198.65,202.7,194.7,195.85,832040.0,165298966.0,16607.0,DOWN,-0.71,201.52857142857144,202.26190476190476,202.45576923076925,202.45576923076925,WILL_CROSS_1
16886,117034.0,GICRE,20210521,197.45,197.8,193.6,194.05,459892.0,89719711.25,8288.0,DOWN,-0.92,200.76428571428573,201.8142857142857,202.14444444444442,202.14444444444442,WILL_CROSS_1
17470,134262.0,GICRE,20210524,196.0,196.75,193.0,193.4,233283.0,45345031.6,4913.0,DOWN,-0.33,199.95357142857145,201.33809523809526,201.83214285714286,201.83214285714286,WILL_CROSS_1
17852,140043.0,GICRE,20210525,196.0,197.5,193.05,193.65,467376.0,91239071.95,9090.0,UP,0.13,198.875,200.9047619047619,201.54999999999998,201.54999999999998,WILL_CROSS_1
18363,144831.0,GICRE,20210526,194.8,195.35,193.0,193.4,187815.0,36374871.75,4010.0,DOWN,-0.13,197.9892857142857,200.4952380952381,201.27833333333334,201.27833333333334,WILL_CROSS_1
18819,150590.0,GICRE,20210527,193.75,195.6,188.95,189.85,318428.0,60880667.2,9590.0,DOWN,-1.84,196.94642857142858,199.7047619047619,200.90967741935484,200.90967741935484,WILL_CROSS_1
19373,157313.0,GICRE,20210528,193.0,195.0,190.1,192.95,427754.0,82398926.65,7379.0,UP,1.63,196.16428571428574,199.09047619047618,200.6609375,200.6609375,WILL_CROSS_1
19745,172577.0,GICRE,20210531,194.4,199.35,192.0,196.8,1095516.0,215113117.45,15911.0,UP,2.0,195.90357142857144,198.83333333333334,200.54393939393938,200.54393939393938,WILL_CROSS_1
20123,3973.0,GICRE,20210601,197.0,200.75,194.6,196.75,555102.0,109753923.25,9378.0,DOWN,-0.03,195.525,198.45238095238096,200.43235294117648,200.43235294117648,WILL_CROSS_1
