,ID,Symbol,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,TOTTRDQTY,TOTTRDVAL,TOTALTRADES,UP_DOWN,CHNAGE_%,SMA_14,SMA_21,SMA_50,SMA_200,ABT_cases
4648,65270.0,GODREJIND,20210412,521.05,540.4,501.7,510.0,189809.0,97512343.3,5610.0,-,0,510.0,510.0,510.0,510.0,0
5228,71026.0,GODREJIND,20210413,503.6,520.0,502.25,516.0,64520.0,32969914.45,3632.0,UP,1.18,513.0,513.0,513.0,513.0,0
5702,81549.0,GODREJIND,20210415,517.0,517.0,501.0,509.2,65848.0,33447189.6,2928.0,DOWN,-1.32,511.73333333333335,511.73333333333335,511.73333333333335,511.73333333333335,0
6216,86321.0,GODREJIND,20210416,509.35,549.0,507.15,537.95,162042.0,85156348.8,5629.0,UP,5.65,518.2875,518.2875,518.2875,518.2875,0
6538,103086.0,GODREJIND,20210419,530.0,530.0,510.0,524.1,138211.0,71600672.55,5623.0,DOWN,-2.57,519.45,519.45,519.45,519.45,0
7251,107421.0,GODREJIND,20210420,518.5,544.5,510.1,515.9,87716.0,45528718.35,4768.0,DOWN,-1.56,518.8583333333333,518.8583333333333,518.8583333333333,518.8583333333333,0
7482,118447.0,GODREJIND,20210422,512.5,527.0,505.85,517.0,104234.0,54160739.45,4720.0,UP,0.21,518.5928571428572,518.5928571428572,518.5928571428572,518.5928571428572,0
7941,124683.0,GODREJIND,20210423,512.0,520.0,512.0,512.35,44583.0,22955781.6,2861.0,DOWN,-0.9,517.8125,517.8125,517.8125,517.8125,0
8519,141970.0,GODREJIND,20210426,513.0,517.9,508.05,509.05,48149.0,24642206.05,2408.0,DOWN,-0.64,516.838888888889,516.838888888889,516.838888888889,516.838888888889,0
9204,146758.0,GODREJIND,20210427,510.0,519.3,507.0,515.8,69041.0,35528881.8,2737.0,UP,1.33,516.735,516.735,516.735,516.735,0
9633,152505.0,GODREJIND,20210428,519.5,519.5,512.0,514.3,46741.0,24087810.2,2165.0,DOWN,-0.29,516.5136363636364,516.5136363636364,516.5136363636364,516.5136363636364,0
9910,158729.0,GODREJIND,20210429,512.3,518.65,508.05,514.7,63566.0,32547558.85,3180.0,UP,0.08,516.3625000000001,516.3625000000001,516.3625000000001,516.3625000000001,0
10440,164490.0,GODREJIND,20210430,504.7,515.9,504.7,509.95,50927.0,26013613.95,2393.0,DOWN,-0.92,515.8692307692307,515.8692307692307,515.8692307692307,515.8692307692307,0
11061,16454.0,GODREJIND,20210503,510.0,510.0,505.0,505.65,37957.0,19228646.1,1965.0,DOWN,-0.84,515.1392857142857,515.1392857142857,515.1392857142857,515.1392857142857,0
11438,22174.0,GODREJIND,20210504,507.05,524.0,491.55,502.5,157185.0,80630402.95,5487.0,DOWN,-0.62,514.6035714285714,514.2966666666666,514.2966666666666,514.2966666666666,CROSSED_2
