,ID,Symbol,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,TOTTRDQTY,TOTTRDVAL,TOTALTRADES,UP_DOWN,CHNAGE_%,SMA_14,SMA_21,SMA_50,SMA_200,ABT_cases
4649,65271.0,GODREJPROP,20210412,1305.0,1321.7,1244.55,1269.45,1024560.0,1306459710.45,34824.0,-,0,1269.45,1269.45,1269.45,1269.45,0
5227,71027.0,GODREJPROP,20210413,1276.1,1316.9,1272.05,1304.0,727731.0,944710629.2,21011.0,UP,2.72,1286.725,1286.725,1286.725,1286.725,0
5701,81550.0,GODREJPROP,20210415,1291.0,1354.9,1278.0,1347.75,1214044.0,1614632571.75,34961.0,UP,3.36,1307.0666666666666,1307.0666666666666,1307.0666666666666,1307.0666666666666,0
6289,86322.0,GODREJPROP,20210416,1346.0,1354.85,1329.0,1336.9,291390.0,390903815.55,12585.0,DOWN,-0.81,1314.525,1314.525,1314.525,1314.525,0
6537,103087.0,GODREJPROP,20210419,1280.0,1319.5,1280.0,1302.95,687636.0,897586901.65,20964.0,DOWN,-2.54,1312.21,1312.21,1312.21,1312.21,0
7252,107422.0,GODREJPROP,20210420,1313.1,1352.0,1313.1,1327.55,688204.0,918468014.55,25841.0,UP,1.89,1314.7666666666667,1314.7666666666667,1314.7666666666667,1314.7666666666667,0
7481,118448.0,GODREJPROP,20210422,1311.0,1336.55,1286.35,1330.25,665791.0,870750902.0,29733.0,UP,0.2,1316.9785714285715,1316.9785714285715,1316.9785714285715,1316.9785714285715,0
7942,124684.0,GODREJPROP,20210423,1325.0,1335.0,1300.05,1312.95,651780.0,860237214.7,56527.0,DOWN,-1.3,1316.475,1316.475,1316.475,1316.475,0
8520,141971.0,GODREJPROP,20210426,1316.2,1375.85,1316.2,1366.25,1086164.0,1472033799.3,37924.0,UP,4.06,1322.0055555555555,1322.0055555555555,1322.0055555555555,1322.0055555555555,0
9205,146759.0,GODREJPROP,20210427,1375.0,1385.0,1360.2,1367.05,444623.0,608920206.7,18791.0,UP,0.06,1326.51,1326.51,1326.51,1326.51,0
9632,152506.0,GODREJPROP,20210428,1368.0,1391.45,1347.45,1355.7,622291.0,850808763.1,23238.0,DOWN,-0.83,1329.1636363636362,1329.1636363636362,1329.1636363636362,1329.1636363636362,0
9911,158730.0,GODREJPROP,20210429,1364.0,1397.0,1358.1,1379.75,898427.0,1239932873.95,35251.0,UP,1.77,1333.3791666666666,1333.3791666666666,1333.3791666666666,1333.3791666666666,0
10439,164491.0,GODREJPROP,20210430,1366.0,1394.0,1357.9,1368.35,407058.0,560410203.0,16292.0,DOWN,-0.83,1336.069230769231,1336.069230769231,1336.069230769231,1336.069230769231,0
11060,16455.0,GODREJPROP,20210503,1335.55,1357.0,1300.0,1309.7,1058171.0,1396105620.6,33626.0,DOWN,-4.29,1334.185714285714,1334.185714285714,1334.185714285714,1334.185714285714,0
11437,22175.0,GODREJPROP,20210504,1309.7,1345.0,1280.15,1283.85,774417.0,1006186119.4,30211.0,DOWN,-1.97,1335.2142857142858,1330.8300000000002,1330.8300000000002,1330.8300000000002,CROSSED_2
11750,27423.0,GODREJPROP,20210505,1288.0,1308.0,1210.15,1223.4,1105279.0,1381825354.25,37000.0,DOWN,-4.71,1329.4571428571428,1324.115625,1324.115625,1324.115625,CROSSED_2
