,ID,Symbol,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,TOTTRDQTY,TOTTRDVAL,TOTALTRADES,UP_DOWN,CHNAGE_%,SMA_14,SMA_21,SMA_50,SMA_200,ABT_cases
35531,105033.0,GRINFRA,20210719,1715.85,1838.0,1550.0,1747.1,14023521.0,23984898101.3,589324.0,-,0,1747.1,1747.1,1747.1,1747.1,0
36235,109802.0,GRINFRA,20210720,1734.0,1775.0,1685.0,1719.5,2391188.0,4140164540.25,125942.0,DOWN,-1.58,1733.3,1733.3,1733.3,1733.3,0
36666,120874.0,GRINFRA,20210722,1721.75,1757.4,1702.0,1741.35,640184.0,1108391757.85,35215.0,UP,1.27,1735.9833333333333,1735.9833333333333,1735.9833333333333,1735.9833333333333,0
37178,127074.0,GRINFRA,20210723,1741.35,1765.0,1723.0,1730.1,422588.0,732455169.05,26165.0,DOWN,-0.65,1734.5124999999998,1734.5124999999998,1734.5124999999998,1734.5124999999998,0
37366,143887.0,GRINFRA,20210726,1734.95,1734.95,1700.0,1706.8,189177.0,323601127.7,14210.0,DOWN,-1.35,1728.97,1728.97,1728.97,1728.97,0
37768,149147.0,GRINFRA,20210727,1705.0,1744.0,1689.0,1725.75,330655.0,568276986.6,22522.0,UP,1.11,1728.4333333333334,1728.4333333333334,1728.4333333333334,1728.4333333333334,0
38214,154925.0,GRINFRA,20210728,1724.0,1765.85,1684.5,1743.5,350683.0,605441495.7,18435.0,UP,1.03,1730.5857142857144,1730.5857142857144,1730.5857142857144,1730.5857142857144,0
38802,160674.0,GRINFRA,20210729,1739.95,1779.9,1720.2,1726.6,305632.0,534546984.2,21240.0,DOWN,-0.97,1730.0874999999999,1730.0874999999999,1730.0874999999999,1730.0874999999999,0
39276,166398.0,GRINFRA,20210730,1730.0,1745.0,1711.0,1732.3,89249.0,154506452.1,8018.0,UP,0.33,1730.3333333333333,1730.3333333333333,1730.3333333333333,1730.3333333333333,0
39753,6845.0,GRINFRA,20210802,1740.0,1751.8,1711.05,1715.75,85049.0,147304303.3,7508.0,DOWN,-0.96,1728.875,1728.875,1728.875,1728.875,0
40241,12596.0,GRINFRA,20210803,1725.35,1743.45,1717.05,1732.0,132034.0,228572858.8,9500.0,UP,0.95,1729.159090909091,1729.159090909091,1729.159090909091,1729.159090909091,0
40583,18343.0,GRINFRA,20210804,1755.0,1764.9,1705.0,1721.95,329014.0,565261612.75,15494.0,DOWN,-0.58,1728.5583333333334,1728.5583333333334,1728.5583333333334,1728.5583333333334,0
41309,30307.0,GRINFRA,20210806,1699.0,1733.0,1680.0,1692.6,89811.0,153493743.8,8863.0,DOWN,-1.7,1725.7923076923075,1725.7923076923075,1725.7923076923075,1725.7923076923075,0
41722,49469.0,GRINFRA,20210809,1692.6,1703.35,1555.55,1609.75,154900.0,253619307.75,18932.0,DOWN,-4.89,1717.5035714285714,1717.5035714285714,1717.5035714285714,1717.5035714285714,0
42002,54711.0,GRINFRA,20210810,1606.0,1651.0,1575.0,1596.4,164676.0,268163642.95,18928.0,DOWN,-0.83,1706.7392857142859,1709.43,1709.43,1709.43,WILL_CROSS_1
42468,60490.0,GRINFRA,20210811,1585.0,1643.1,1553.0,1620.2,158559.0,252056027.1,10367.0,UP,1.49,1699.6464285714287,1703.853125,1703.853125,1703.853125,WILL_CROSS_1
42780,66227.0,GRINFRA,20210812,1620.25,1661.95,1620.25,1650.1,71501.0,117971330.95,6685.0,UP,1.85,1693.1285714285714,1700.6911764705883,1700.6911764705883,1700.6911764705883,WILL_CROSS_1
43579,71983.0,GRINFRA,20210813,1679.95,1737.85,1645.0,1662.1,543444.0,922806500.1,43859.0,UP,0.73,1688.2714285714285,1698.5472222222222,1698.5472222222222,1698.5472222222222,WILL_CROSS_1
43792,86786.0,GRINFRA,20210816,1663.3,1665.0,1590.25,1601.7,88917.0,144486359.2,12428.0,DOWN,-3.63,1680.7642857142857,1693.45,1693.45,1693.45,WILL_CROSS_1
44279,92041.0,GRINFRA,20210817,1606.0,1624.8,1587.35,1597.15,139059.0,222857538.25,19527.0,DOWN,-0.28,1671.5785714285716,1688.6349999999998,1688.6349999999998,1688.6349999999998,WILL_CROSS_1
44808,98293.0,GRINFRA,20210818,1598.0,1614.95,1598.0,1600.55,80139.0,128718644.8,6428.0,UP,0.21,1661.3678571428572,1684.4404761904761,1684.4404761904761,1684.4404761904761,WILL_CROSS_1
45088,108380.0,GRINFRA,20210820,1600.0,1623.4,1589.95,1604.75,98157.0,157458131.6,9147.0,UP,0.26,1652.6642857142856,1677.661904761905,1680.8181818181818,1680.8181818181818,WILL_CROSS_1
45842,125149.0,GRINFRA,20210823,1615.6,1617.9,1564.0,1598.75,235548.0,376913112.8,10911.0,DOWN,-0.37,1643.125,1671.911904761905,1677.25,1677.25,WILL_CROSS_1
45972,130417.0,GRINFRA,20210824,1597.0,1619.7,1577.1,1608.9,84724.0,135110578.6,8679.0,UP,0.63,1635.4928571428572,1665.6047619047622,1674.4020833333334,1674.4020833333334,WILL_CROSS_1
46537,136681.0,GRINFRA,20210825,1609.6,1614.55,1576.5,1583.6,95201.0,152430368.15,3729.0,DOWN,-1.57,1624.892857142857,1658.6285714285714,1670.77,1670.77,WILL_CROSS_1
47221,142933.0,GRINFRA,20210826,1586.0,1594.95,1560.5,1579.45,27255.0,42964400.1,3539.0,DOWN,-0.26,1614.7142857142858,1652.5642857142857,1667.2576923076922,1667.2576923076922,WILL_CROSS_1
47709,147723.0,GRINFRA,20210827,1579.45,1579.45,1543.0,1570.85,53066.0,82847062.8,8781.0,DOWN,-0.54,1606.017857142857,1645.1880952380955,1663.687037037037,1663.687037037037,WILL_CROSS_1
47993,164960.0,GRINFRA,20210830,1580.0,1598.85,1560.95,1592.55,57018.0,90294046.75,9200.0,UP,1.38,1604.7892857142856,1638.0,1661.1464285714285,1661.1464285714285,WILL_CROSS_1
48636,170207.0,GRINFRA,20210831,1616.8,1616.8,1581.05,1592.3,135361.0,215810674.3,6023.0,DOWN,-0.02,1604.4964285714284,1631.6047619047617,1658.7724137931034,1658.7724137931034,WILL_CROSS_1
48725,5891.0,GRINFRA,20210901,1592.3,1604.45,1562.0,1571.3,60957.0,96592277.9,5382.0,DOWN,-1.32,1601.0035714285716,1623.938095238095,1655.8566666666666,1655.8566666666666,WILL_CROSS_1
49258,11642.0,GRINFRA,20210902,1564.0,1604.0,1564.0,1580.8,20691.0,32855884.35,3323.0,UP,0.6,1596.0535714285713,1617.5119047619048,1653.4354838709678,1653.4354838709678,WILL_CROSS_1
49734,17396.0,GRINFRA,20210903,1584.0,1644.9,1578.55,1639.85,66117.0,107270276.95,7564.0,UP,3.74,1594.4642857142858,1613.1238095238095,1653.0109375,1653.0109375,WILL_CROSS_1
50289,34610.0,GRINFRA,20210906,1622.0,1649.9,1601.15,1613.0,67561.0,109597534.6,7426.0,DOWN,-1.64,1595.2714285714285,1607.9357142857143,1651.7984848484848,1651.7984848484848,WILL_CROSS_1
50801,41321.0,GRINFRA,20210907,1624.0,1644.45,1580.0,1597.8,63834.0,103008997.55,7001.0,DOWN,-0.94,1595.3178571428568,1603.4214285714286,1650.2102941176472,1650.2102941176472,WILL_CROSS_1
51062,48050.0,GRINFRA,20210908,1599.95,1612.55,1586.0,1591.15,14360.0,22967134.0,1960.0,DOWN,-0.42,1594.6464285714285,1602.5357142857142,1648.5228571428572,1648.5228571428572,WILL_CROSS_1
51768,53756.0,GRINFRA,20210909,1587.2,1608.05,1581.0,1587.95,19693.0,31314236.55,4303.0,DOWN,-0.2,1593.4464285714287,1602.1333333333332,1646.8402777777778,1646.8402777777778,WILL_CROSS_1
52164,75829.0,GRINFRA,20210913,1585.0,1585.0,1567.15,1580.1,21936.0,34593815.25,4877.0,DOWN,-0.49,1592.1142857142856,1600.2238095238097,1645.0364864864864,1645.0364864864864,WILL_CROSS_1
52656,81086.0,GRINFRA,20210914,1585.0,1608.0,1553.6,1568.4,117017.0,186012002.15,5639.0,DOWN,-0.74,1589.2214285714285,1596.3333333333333,1643.0197368421052,1643.0197368421052,WILL_CROSS_1
53126,85858.0,GRINFRA,20210915,1574.9,1599.0,1563.8,1589.05,78214.0,124085707.1,7207.0,UP,1.32,1589.6107142857143,1592.8547619047617,1641.6358974358975,1641.6358974358975,WILL_CROSS_1
53403,97340.0,GRINFRA,20210917,1596.9,1596.9,1559.0,1575.8,48899.0,77144853.35,6110.0,DOWN,-0.83,1589.35,1591.6214285714286,1639.9900000000002,1639.9900000000002,WILL_CROSS_1
53761,112696.0,GRINFRA,20210920,1575.0,1640.0,1570.0,1589.95,87001.0,140043059.95,8462.0,UP,0.9,1590.7142857142858,1591.2785714285715,1638.769512195122,1638.769512195122,WILL_CROSS_1
54631,117988.0,GRINFRA,20210921,1597.9,1811.0,1589.75,1769.45,335157.0,566755462.7,26567.0,UP,11.29,1603.3500000000001,1599.3214285714287,1641.8809523809523,1641.8809523809523,WILL_CROSS_1
54841,124224.0,GRINFRA,20210922,1800.0,2047.0,1781.0,1948.05,1191254.0,2312518314.8,106067.0,UP,10.09,1628.7607142857144,1615.6690476190477,1649.0011627906977,1649.0011627906977,WILL_CROSS_1
55535,129956.0,GRINFRA,20210923,1956.8,2016.0,1896.0,1936.4,448283.0,877944817.05,45146.0,DOWN,-0.6,1654.8392857142858,1631.7476190476189,1655.5329545454545,1655.5329545454545,WILL_CROSS_1
