,ID,Symbol,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,TOTTRDQTY,TOTTRDVAL,TOTALTRADES,UP_DOWN,CHNAGE_%,SMA_14,SMA_21,SMA_50,SMA_200,ABT_cases
4658,65280.0,GUJGASLTD,20210412,556.1,559.75,527.05,535.05,1387888.0,747169116.9,34871.0,-,0,535.05,535.05,535.05,535.05,0
5218,71036.0,GUJGASLTD,20210413,534.5,546.1,510.3,526.0,1153450.0,609624954.9,26456.0,DOWN,-1.69,530.525,530.525,530.525,530.525,0
5692,81559.0,GUJGASLTD,20210415,530.0,535.0,524.0,528.65,702600.0,371505067.8,17803.0,UP,0.5,529.9,529.9,529.9,529.9,0
6280,86331.0,GUJGASLTD,20210416,528.65,551.35,528.1,543.4,1254873.0,682448375.4,32073.0,UP,2.79,533.275,533.275,533.275,533.275,0
6528,103096.0,GUJGASLTD,20210419,532.0,537.2,517.0,532.85,875827.0,459940490.9,24655.0,DOWN,-1.94,533.1899999999999,533.1899999999999,533.1899999999999,533.1899999999999,0
7261,107431.0,GUJGASLTD,20210420,534.0,555.95,534.0,543.05,1726190.0,945438245.95,41572.0,UP,1.91,534.8333333333334,534.8333333333334,534.8333333333334,534.8333333333334,0
7472,118457.0,GUJGASLTD,20210422,537.9,537.9,518.95,531.4,1040244.0,552451415.8,34100.0,DOWN,-2.15,534.342857142857,534.342857142857,534.342857142857,534.342857142857,0
7951,124693.0,GUJGASLTD,20210423,534.1,548.0,531.4,545.5,896258.0,486946764.75,24981.0,UP,2.65,535.7375,535.7375,535.7375,535.7375,0
8529,141980.0,GUJGASLTD,20210426,552.55,565.0,543.5,545.75,1673259.0,932346775.6,38336.0,UP,0.05,536.8499999999999,536.8499999999999,536.8499999999999,536.8499999999999,0
9214,146768.0,GUJGASLTD,20210427,547.0,548.8,534.2,543.45,668481.0,362885347.85,19712.0,DOWN,-0.42,537.51,537.51,537.51,537.51,0
9623,152515.0,GUJGASLTD,20210428,545.0,550.5,534.4,540.25,868385.0,473660459.4,29073.0,DOWN,-0.59,537.7590909090909,537.7590909090909,537.7590909090909,537.7590909090909,0
9920,158739.0,GUJGASLTD,20210429,539.0,545.75,528.4,529.4,855851.0,456462809.45,18712.0,DOWN,-2.01,537.0625,537.0625,537.0625,537.0625,0
10430,164500.0,GUJGASLTD,20210430,519.45,539.5,519.45,530.95,785408.0,417820949.8,16151.0,UP,0.29,536.5923076923077,536.5923076923077,536.5923076923077,536.5923076923077,0
11051,16464.0,GUJGASLTD,20210503,530.0,538.95,523.3,532.35,768297.0,407581743.15,18474.0,UP,0.26,536.2892857142857,536.2892857142857,536.2892857142857,536.2892857142857,0
11123,22184.0,GUJGASLTD,20210504,537.55,544.5,526.4,528.45,732668.0,393623925.15,15514.0,DOWN,-0.73,535.8178571428572,535.7666666666667,535.7666666666667,535.7666666666667,CROSSED_2
11741,27432.0,GUJGASLTD,20210505,534.15,539.25,526.0,531.7,412272.0,219350600.25,9969.0,UP,0.62,536.225,535.5125,535.5125,535.5125,CROSSED_2
12074,33188.0,GUJGASLTD,20210506,533.0,537.0,528.9,534.95,339031.0,180684512.2,9657.0,UP,0.61,536.6750000000001,535.4794117647059,535.4794117647059,535.4794117647059,CROSSED_2
12551,40394.0,GUJGASLTD,20210507,540.0,548.85,529.3,531.25,925621.0,497586892.15,19497.0,DOWN,-0.69,535.8071428571429,535.2444444444444,535.2444444444444,535.2444444444444,CROSSED_2
13068,58571.0,GUJGASLTD,20210510,537.0,537.0,525.65,526.95,649073.0,343763159.6,19055.0,DOWN,-0.81,535.3857142857144,534.8078947368422,534.8078947368422,534.8078947368422,CROSSED_2
13651,63870.0,GUJGASLTD,20210511,531.15,533.0,522.2,523.0,675138.0,355463630.8,17254.0,DOWN,-0.75,533.9535714285714,534.2175,534.2175,534.2175,WILL_CROSS_1
13998,68629.0,GUJGASLTD,20210512,525.6,529.7,515.0,517.65,682356.0,356354003.5,36631.0,DOWN,-1.02,532.9714285714286,533.4285714285714,533.4285714285714,533.4285714285714,WILL_CROSS_1
14693,80150.0,GUJGASLTD,20210514,520.85,521.3,497.0,515.4,1227491.0,624656941.65,32586.0,DOWN,-0.43,530.8214285714286,532.4928571428571,532.6090909090909,532.6090909090909,WILL_CROSS_1
14972,95903.0,GUJGASLTD,20210517,521.0,533.8,516.4,528.4,905941.0,477049677.1,27200.0,UP,2.52,529.5821428571429,532.6071428571429,532.4260869565217,532.4260869565217,WILL_CROSS_1
15586,101183.0,GUJGASLTD,20210518,531.0,542.0,525.8,531.05,969374.0,517474093.2,35348.0,UP,0.5,528.6964285714287,532.7214285714285,532.36875,532.36875,WILL_CROSS_1
15973,105995.0,GUJGASLTD,20210519,532.5,535.0,519.5,520.6,712128.0,372937093.95,20987.0,DOWN,-1.97,527.2928571428571,531.6357142857144,531.898,531.898,WILL_CROSS_1
16346,111263.0,GUJGASLTD,20210520,522.0,523.5,511.0,512.1,534524.0,275146496.15,15033.0,DOWN,-1.63,526.0571428571428,530.647619047619,531.1365384615384,531.1365384615384,WILL_CROSS_1
16906,117054.0,GUJGASLTD,20210521,514.0,521.0,506.0,512.0,1866328.0,957834719.3,37789.0,DOWN,-0.02,524.7035714285714,529.1690476190475,530.4277777777778,530.4277777777778,WILL_CROSS_1
17490,134282.0,GUJGASLTD,20210524,515.0,523.05,512.5,522.0,979699.0,507114237.9,25084.0,UP,1.95,523.9642857142857,528.7214285714285,530.1267857142857,530.1267857142857,WILL_CROSS_1
17832,140063.0,GUJGASLTD,20210525,525.0,530.0,514.1,515.25,1285378.0,671941340.75,35333.0,DOWN,-1.29,523.0214285714286,527.2809523809524,529.6137931034483,529.6137931034483,WILL_CROSS_1
18343,144851.0,GUJGASLTD,20210526,518.7,520.4,511.0,513.9,756861.0,390506746.0,20978.0,DOWN,-0.26,521.75,525.7642857142857,529.09,529.09,WILL_CROSS_1
18799,150610.0,GUJGASLTD,20210527,515.0,518.05,511.3,512.75,859086.0,441487795.5,18529.0,DOWN,-0.22,520.1642857142857,524.302380952381,528.5629032258065,528.5629032258065,WILL_CROSS_1
19353,157333.0,GUJGASLTD,20210528,515.45,518.5,509.5,510.7,576867.0,296253381.9,12852.0,DOWN,-0.4,518.6964285714286,522.895238095238,528.0046875,528.0046875,WILL_CROSS_1
19765,172597.0,GUJGASLTD,20210531,512.9,539.7,508.85,536.3,3228410.0,1711860553.55,55689.0,UP,5.01,519.3642857142856,523.2238095238096,528.2560606060606,528.2560606060606,WILL_CROSS_1
