,ID,Symbol,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,TOTTRDQTY,TOTTRDVAL,TOTALTRADES,UP_DOWN,CHNAGE_%,SMA_14,SMA_21,SMA_50,SMA_200,ABT_cases
56,2590.0,HAPPSTMNDS,20210101,345.8,350.0,334.1,338.35,1184098.0,405423891.0,16459.0,-,0,338.35,338.35,338.35,338.35,0
597,19792.0,HAPPSTMNDS,20210104,339.0,345.8,338.2,342.55,1703579.0,582700718.8,21084.0,UP,1.24,340.45000000000005,340.45000000000005,340.45000000000005,340.45000000000005,0
1290,167817.0,HAPPSTMNDS,20210330,526.95,538.95,523.1,536.6,1082286.0,575800843.65,23758.0,UP,56.65,405.8333333333333,405.8333333333333,405.8333333333333,405.8333333333333,0
1453,171645.0,HAPPSTMNDS,20210331,538.65,546.2,531.65,540.05,1020926.0,550440187.45,20243.0,UP,0.64,439.3875,439.3875,439.3875,439.3875,0
1881,173.0,HAPPSTMNDS,20210401,544.8,613.0,543.05,594.55,7937821.0,4588236345.6,144065.0,UP,10.09,470.41999999999996,470.41999999999996,470.41999999999996,470.41999999999996,0
2376,24087.0,HAPPSTMNDS,20210405,617.0,648.7,610.25,618.8,13320286.0,8407337948.7,280497.0,UP,4.08,495.1499999999999,495.1499999999999,495.1499999999999,495.1499999999999,0
3107,29363.0,HAPPSTMNDS,20210406,628.0,676.8,625.6,668.25,8075873.0,5275192803.7,167339.0,UP,7.99,519.8785714285714,519.8785714285714,519.8785714285714,519.8785714285714,0
3491,35577.0,HAPPSTMNDS,20210407,671.0,685.9,651.1,672.2,4477055.0,3002409317.2,101014.0,UP,0.59,538.91875,538.91875,538.91875,538.91875,0
3686,42288.0,HAPPSTMNDS,20210408,679.3,694.9,660.0,664.55,3699937.0,2515080695.95,81276.0,DOWN,-1.14,552.8777777777777,552.8777777777777,552.8777777777777,552.8777777777777,0
4228,49017.0,HAPPSTMNDS,20210409,661.5,668.8,641.5,647.45,2258926.0,1469412182.75,64813.0,DOWN,-2.57,562.335,562.335,562.335,562.335,0
4660,65282.0,HAPPSTMNDS,20210412,640.0,657.95,610.05,621.65,3252648.0,2053951092.45,95056.0,DOWN,-3.98,567.7272727272727,567.7272727272727,567.7272727272727,567.7272727272727,0
5216,71038.0,HAPPSTMNDS,20210413,625.0,646.8,621.15,638.45,2120853.0,1344372428.55,54795.0,UP,2.7,573.6208333333333,573.6208333333333,573.6208333333333,573.6208333333333,0
5690,81561.0,HAPPSTMNDS,20210415,634.0,651.75,626.3,630.0,1876429.0,1193396335.35,67816.0,DOWN,-1.32,577.9576923076922,577.9576923076922,577.9576923076922,577.9576923076922,0
6278,86333.0,HAPPSTMNDS,20210416,634.0,658.95,632.5,644.15,3222589.0,2092585546.8,82321.0,UP,2.25,582.6857142857143,582.6857142857143,582.6857142857143,582.6857142857143,0
6526,103098.0,HAPPSTMNDS,20210419,627.95,643.75,618.8,634.5,1613078.0,1022007576.1,43995.0,DOWN,-1.5,603.8392857142857,586.14,586.14,586.14,CROSSED_2
7263,107433.0,HAPPSTMNDS,20210420,640.4,657.4,636.5,642.25,2081693.0,1349486395.25,48357.0,UP,1.22,625.2464285714286,589.646875,589.646875,589.646875,CROSSED_2
7470,118459.0,HAPPSTMNDS,20210422,641.7,664.4,639.0,648.45,1932371.0,1262099483.1,45881.0,UP,0.97,633.2357142857143,593.1058823529411,593.1058823529411,593.1058823529411,CROSSED_2
7953,124695.0,HAPPSTMNDS,20210423,652.65,662.0,642.6,646.2,1119514.0,730919683.4,30122.0,DOWN,-0.35,640.8178571428572,596.0555555555555,596.0555555555555,596.0555555555555,CROSSED_2
8531,141982.0,HAPPSTMNDS,20210426,651.9,656.9,641.25,644.15,805186.0,523287242.25,23331.0,DOWN,-0.32,644.3607142857143,598.5868421052631,598.5868421052631,598.5868421052631,CROSSED_2
9216,146770.0,HAPPSTMNDS,20210427,647.95,654.7,645.0,648.2,782641.0,508108295.65,19502.0,UP,0.63,646.4607142857143,601.0675,601.0675,601.0675,CROSSED_2
9621,152517.0,HAPPSTMNDS,20210428,653.85,679.4,651.6,662.45,3130636.0,2095138740.15,68537.0,UP,2.2,646.0464285714286,603.9904761904761,603.9904761904761,603.9904761904761,CROSSED_2
9922,158741.0,HAPPSTMNDS,20210429,668.45,714.8,668.0,703.95,5234111.0,3623988115.15,111769.0,UP,6.26,648.3142857142857,621.4,608.5340909090909,608.5340909090909,CROSSED_2
10428,164502.0,HAPPSTMNDS,20210430,705.0,744.0,704.0,724.45,7621798.0,5539566778.65,154684.0,UP,2.91,652.5928571428573,639.5857142857143,613.5739130434783,613.5739130434783,CROSSED_2
11049,16466.0,HAPPSTMNDS,20210503,719.0,757.8,718.8,751.0,5260024.0,3931440031.2,100597.0,UP,3.66,659.9892857142858,649.7952380952381,619.3000000000001,619.3000000000001,CROSSED_2
11125,22186.0,HAPPSTMNDS,20210504,766.1,775.9,740.0,750.15,3678132.0,2805371610.5,79687.0,DOWN,-0.11,669.1678571428572,659.8000000000001,624.534,624.534,CROSSED_2
11739,27434.0,HAPPSTMNDS,20210505,757.5,765.1,737.1,746.65,1815878.0,1359154341.95,44894.0,DOWN,-0.47,676.8964285714285,667.0428571428571,629.2307692307693,629.2307692307693,CROSSED_2
12072,33190.0,HAPPSTMNDS,20210506,750.0,817.0,740.0,810.25,8629623.0,6822768308.0,172955.0,UP,8.52,689.7714285714285,676.1595238095239,635.9351851851852,635.9351851851852,CROSSED_2
12554,40396.0,HAPPSTMNDS,20210507,816.75,858.75,812.35,833.55,8673811.0,7288441596.65,169850.0,UP,2.88,703.3,684.0309523809524,642.9928571428571,642.9928571428571,CROSSED_2
13066,58573.0,HAPPSTMNDS,20210510,846.0,868.85,841.55,860.2,3372704.0,2893933424.15,82889.0,UP,3.2,719.4214285714286,692.9833333333333,650.4827586206897,650.4827586206897,CROSSED_2
13649,63872.0,HAPPSTMNDS,20210511,859.95,866.0,835.15,841.95,2351224.0,1997253291.6,66143.0,DOWN,-2.12,733.6857142857143,701.4309523809525,656.865,656.865,CROSSED_2
13996,68631.0,HAPPSTMNDS,20210512,847.9,850.0,787.05,794.1,3665129.0,2982314999.5,141323.0,DOWN,-5.68,744.0892857142857,708.4142857142857,661.2919354838709,661.2919354838709,CROSSED_2
14695,80152.0,HAPPSTMNDS,20210514,792.9,792.9,720.05,728.5,6521846.0,4872557061.05,211500.0,DOWN,-8.26,749.967857142857,713.5023809523809,663.3921875,663.3921875,CROSSED_2
14970,95905.0,HAPPSTMNDS,20210517,735.1,775.0,735.0,745.2,5725929.0,4321964327.1,155544.0,UP,2.29,757.1857142857143,718.5857142857143,665.8712121212121,665.8712121212121,CROSSED_2
15584,101185.0,HAPPSTMNDS,20210518,755.0,765.75,745.55,748.05,1986283.0,1501379051.55,58324.0,UP,0.38,764.3178571428572,724.2071428571428,668.2882352941176,668.2882352941176,CROSSED_2
15971,105997.0,HAPPSTMNDS,20210519,751.0,772.65,738.15,759.35,4215400.0,3200398098.55,110260.0,UP,1.51,771.2392857142858,729.6928571428571,670.89,670.89,CROSSED_2
16344,111265.0,HAPPSTMNDS,20210520,767.0,774.45,745.1,749.15,2386375.0,1812339959.1,71927.0,DOWN,-1.34,774.467857142857,735.152380952381,673.0638888888889,673.0638888888889,CROSSED_2
16908,117056.0,HAPPSTMNDS,20210521,757.8,769.75,754.0,761.5,1724206.0,1315231346.35,40707.0,UP,1.65,777.1142857142856,740.8309523809525,675.454054054054,675.454054054054,CROSSED_2
17492,134284.0,HAPPSTMNDS,20210524,765.65,768.6,747.4,749.4,1644665.0,1239073467.6,56997.0,DOWN,-1.59,777.0,745.6380952380953,677.4,677.4,CROSSED_2
17830,140065.0,HAPPSTMNDS,20210525,755.7,783.7,752.9,769.0,4663246.0,3598608940.0,108604.0,UP,2.62,778.3464285714286,751.4857142857143,679.748717948718,679.748717948718,CROSSED_2
18341,144853.0,HAPPSTMNDS,20210526,772.0,808.0,770.0,802.25,5493275.0,4358047036.0,116065.0,UP,4.32,782.3178571428572,759.0142857142857,682.81125,682.81125,CROSSED_2
18797,150612.0,HAPPSTMNDS,20210527,809.1,874.0,805.95,853.95,9396784.0,7851380886.0,198364.0,UP,6.44,785.4392857142857,768.8119047619048,686.9853658536585,686.9853658536585,CROSSED_2
19351,157335.0,HAPPSTMNDS,20210528,883.0,910.0,860.0,876.1,9845189.0,8762788488.0,232518.0,UP,2.59,788.4785714285715,778.9857142857143,691.4880952380952,691.4880952380952,CROSSED_2
19767,172599.0,HAPPSTMNDS,20210531,872.0,889.0,846.05,867.55,5025981.0,4368214323.95,129750.0,DOWN,-0.98,789.0035714285714,786.7761904761904,695.5825581395349,695.5825581395349,CROSSED_2
20101,3995.0,HAPPSTMNDS,20210601,874.0,884.0,840.2,844.0,2976733.0,2567972565.05,81976.0,DOWN,-2.71,789.1499999999999,792.4690476190475,698.9556818181818,698.9556818181818,CROSSED_2
20542,9229.0,HAPPSTMNDS,20210602,848.4,899.0,846.0,888.1,3877846.0,3381677524.2,83904.0,UP,5.23,795.8642857142858,798.9976190476191,703.1588888888889,703.1588888888889,CROSSED_2
21351,15011.0,HAPPSTMNDS,20210603,909.0,918.45,892.2,903.35,4042105.0,3659405773.8,104326.0,UP,1.72,808.3535714285714,806.2928571428572,707.5108695652174,707.5108695652174,CROSSED_2
21752,21230.0,HAPPSTMNDS,20210604,904.0,911.4,892.05,901.6,1790837.0,1613594474.15,50049.0,DOWN,-0.19,819.525,813.6714285714285,711.6404255319148,711.6404255319148,CROSSED_2
22136,38939.0,HAPPSTMNDS,20210607,905.9,909.8,890.0,894.75,1532649.0,1377225684.2,46352.0,DOWN,-0.76,830.0035714285714,817.695238095238,715.4552083333333,715.4552083333333,CROSSED_2
22403,45663.0,HAPPSTMNDS,20210608,895.0,948.45,890.35,925.5,6849050.0,6378166607.8,182806.0,UP,3.44,841.8714285714286,822.0738095238095,719.7418367346938,719.7418367346938,CROSSED_2
22853,51347.0,HAPPSTMNDS,20210609,933.7,954.5,905.5,921.9,3493298.0,3260806588.55,106185.0,DOWN,-0.39,854.2107142857142,825.0119047619048,723.785,723.785,CROSSED_2
23360,57123.0,HAPPSTMNDS,20210610,927.0,948.8,924.05,939.65,2068256.0,1941051943.6,54016.0,UP,1.93,866.9357142857143,829.6642857142857,735.811,728.0176470588235,CROSSED_2
23783,62922.0,HAPPSTMNDS,20210611,945.5,954.95,932.15,937.3,1576885.0,1487381269.8,45200.0,DOWN,-0.25,880.3571428571429,836.4833333333333,747.7059999999999,732.0423076923076,CROSSED_2
24322,78702.0,HAPPSTMNDS,20210614,943.0,943.0,906.0,922.4,1938310.0,1791843542.3,65425.0,DOWN,-1.59,891.3142857142857,845.7166666666666,755.422,735.6339622641509,CROSSED_2
24955,83936.0,HAPPSTMNDS,20210615,928.1,942.6,918.1,921.35,1447415.0,1344177016.4,45479.0,DOWN,-0.11,899.8214285714286,854.104761904762,763.0479999999999,739.0731481481481,CROSSED_2
25373,89164.0,HAPPSTMNDS,20210616,927.0,937.4,912.0,915.8,1565860.0,1443901112.75,56238.0,DOWN,-0.6,904.2392857142858,862.0928571428572,769.4730000000001,742.2863636363636,CROSSED_2
