,ID,Symbol,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,TOTTRDQTY,TOTTRDVAL,TOTALTRADES,UP_DOWN,CHNAGE_%,SMA_14,SMA_21,SMA_50,SMA_200,ABT_cases
4661,65283.0,HATHWAY,20210412,24.1,24.1,22.15,22.25,1376105.0,31356230.8,7297.0,-,0,22.25,22.25,22.25,22.25,0
5215,71039.0,HATHWAY,20210413,22.4,23.2,22.2,22.75,851793.0,19239834.45,3611.0,UP,2.25,22.5,22.5,22.5,22.5,0
5688,81562.0,HATHWAY,20210415,23.0,23.0,22.3,22.5,550294.0,12374306.75,3383.0,DOWN,-1.1,22.5,22.5,22.5,22.5,0
6277,86334.0,HATHWAY,20210416,22.5,23.9,22.2,23.1,1846638.0,42544414.55,6920.0,UP,2.67,22.65,22.65,22.65,22.65,0
6525,103099.0,HATHWAY,20210419,23.0,23.0,21.1,22.3,955907.0,21213510.65,5028.0,DOWN,-3.46,22.580000000000002,22.580000000000002,22.580000000000002,22.580000000000002,0
7264,107434.0,HATHWAY,20210420,22.4,22.8,21.7,21.8,2024858.0,44484967.8,7559.0,DOWN,-2.24,22.45,22.45,22.45,22.45,0
7469,118460.0,HATHWAY,20210422,21.9,22.4,20.55,21.8,4854749.0,104587770.45,15727.0,Const,0.0,22.357142857142858,22.357142857142858,22.357142857142858,22.357142857142858,0
7954,124696.0,HATHWAY,20210423,21.9,22.45,21.5,21.65,2655543.0,58284766.45,9351.0,DOWN,-0.69,22.26875,22.26875,22.26875,22.26875,0
8532,141983.0,HATHWAY,20210426,21.65,22.45,21.65,22.05,17152097.0,377713701.0,19719.0,UP,1.85,22.244444444444444,22.244444444444444,22.244444444444444,22.244444444444444,0
9217,146771.0,HATHWAY,20210427,21.8,22.75,21.75,22.25,45314400.0,1002873812.85,12786.0,UP,0.91,22.244999999999997,22.244999999999997,22.244999999999997,22.244999999999997,0
9620,152518.0,HATHWAY,20210428,22.7,25.15,22.65,23.95,59037288.0,1397207565.65,55504.0,UP,7.64,22.400000000000002,22.400000000000002,22.400000000000002,22.400000000000002,0
9923,158742.0,HATHWAY,20210429,24.0,24.4,23.2,23.4,14573599.0,343787999.25,16247.0,DOWN,-2.3,22.483333333333334,22.483333333333334,22.483333333333334,22.483333333333334,0
10427,164503.0,HATHWAY,20210430,23.15,24.1,22.85,23.45,7383743.0,173898712.25,12086.0,UP,0.21,22.557692307692307,22.557692307692307,22.557692307692307,22.557692307692307,0
11048,16467.0,HATHWAY,20210503,23.1,24.0,22.85,23.7,6372511.0,150112038.55,7766.0,UP,1.07,22.639285714285712,22.639285714285712,22.639285714285712,22.639285714285712,0
11126,22187.0,HATHWAY,20210504,23.9,24.2,23.1,23.2,4845073.0,114746286.0,6230.0,DOWN,-2.11,22.707142857142856,22.676666666666666,22.676666666666666,22.676666666666666,CROSSED_2
11738,27435.0,HATHWAY,20210505,23.45,23.5,22.95,23.0,2499861.0,57849191.1,5325.0,DOWN,-0.86,22.724999999999998,22.696875,22.696875,22.696875,CROSSED_2
12071,33191.0,HATHWAY,20210506,22.95,23.55,22.9,23.0,3517285.0,81405422.4,5277.0,Const,0.0,22.760714285714283,22.71470588235294,22.71470588235294,22.71470588235294,CROSSED_2
