,ID,Symbol,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,TOTTRDQTY,TOTTRDVAL,TOTALTRADES,UP_DOWN,CHNAGE_%,SMA_14,SMA_21,SMA_50,SMA_200,ABT_cases
4662,65284.0,HATSUN,20210412,755.0,755.0,725.0,747.8,267313.0,195497609.9,1691.0,-,0,747.8,747.8,747.8,747.8,0
5214,71040.0,HATSUN,20210413,751.3,756.75,735.0,742.9,36681.0,27285937.4,3167.0,DOWN,-0.66,745.3499999999999,745.3499999999999,745.3499999999999,745.3499999999999,0
5703,81563.0,HATSUN,20210415,730.05,758.95,730.05,748.8,15834.0,11826906.15,1240.0,UP,0.79,746.5,746.5,746.5,746.5,0
6276,86335.0,HATSUN,20210416,759.9,759.9,742.85,750.5,12996.0,9748625.1,664.0,UP,0.23,747.5,747.5,747.5,747.5,0
6524,103100.0,HATSUN,20210419,750.5,750.5,735.0,741.4,32014.0,23697241.7,1836.0,DOWN,-1.21,746.28,746.28,746.28,746.28,0
7265,107435.0,HATSUN,20210420,750.0,758.0,737.05,745.9,12674.0,9475053.0,1319.0,UP,0.61,746.2166666666667,746.2166666666667,746.2166666666667,746.2166666666667,0
7468,118461.0,HATSUN,20210422,750.0,754.0,744.1,748.05,10544.0,7899072.1,1239.0,UP,0.29,746.4785714285714,746.4785714285714,746.4785714285714,746.4785714285714,0
7955,124697.0,HATSUN,20210423,749.05,751.95,745.1,749.55,11901.0,8914714.3,929.0,UP,0.2,746.8625,746.8625,746.8625,746.8625,0
8533,141984.0,HATSUN,20210426,760.0,812.7,755.5,785.2,442059.0,351729597.95,15753.0,UP,4.76,751.1222222222221,751.1222222222221,751.1222222222221,751.1222222222221,0
9218,146772.0,HATSUN,20210427,792.5,815.0,790.0,810.35,165915.0,133886674.3,6619.0,UP,3.2,757.045,757.045,757.045,757.045,0
9619,152519.0,HATSUN,20210428,855.1,864.7,795.95,813.7,435337.0,362160911.2,20555.0,UP,0.41,762.1954545454545,762.1954545454545,762.1954545454545,762.1954545454545,0
9924,158743.0,HATSUN,20210429,814.9,815.0,793.7,800.4,70993.0,56929580.95,3790.0,DOWN,-1.63,765.3791666666666,765.3791666666666,765.3791666666666,765.3791666666666,0
10426,164504.0,HATSUN,20210430,793.1,807.8,789.9,796.45,28944.0,23147801.95,1779.0,DOWN,-0.49,767.7692307692307,767.7692307692307,767.7692307692307,767.7692307692307,0
11047,16468.0,HATSUN,20210503,793.0,846.0,772.3,838.1,251027.0,208139856.65,9164.0,UP,5.23,772.7928571428572,772.7928571428572,772.7928571428572,772.7928571428572,0
11127,22188.0,HATSUN,20210504,838.0,852.15,825.05,837.25,94241.0,79251926.6,4466.0,DOWN,-0.1,779.1821428571429,777.09,777.09,777.09,CROSSED_2
11737,27436.0,HATSUN,20210505,849.85,849.85,827.0,830.5,29681.0,24764050.7,2059.0,DOWN,-0.81,785.4392857142857,780.428125,780.428125,780.428125,CROSSED_2
12070,33192.0,HATSUN,20210506,840.0,840.0,822.65,826.7,22243.0,18420956.45,1549.0,DOWN,-0.46,791.0035714285714,783.15,783.15,783.15,CROSSED_2
12556,40398.0,HATSUN,20210507,830.0,834.0,819.05,820.75,15139.0,12473686.8,1282.0,DOWN,-0.72,796.0214285714285,785.2388888888888,785.2388888888888,785.2388888888888,CROSSED_2
13064,58575.0,HATSUN,20210510,815.25,828.85,815.25,819.95,23006.0,18925925.55,2103.0,DOWN,-0.1,801.6321428571429,787.0657894736842,787.0657894736842,787.0657894736842,CROSSED_2
13647,63874.0,HATSUN,20210511,823.95,848.0,821.05,838.85,61981.0,51883960.0,4335.0,UP,2.31,808.2714285714286,789.655,789.655,789.655,CROSSED_2
13994,68633.0,HATSUN,20210512,845.0,847.0,833.05,837.95,29905.0,25148191.4,3595.0,DOWN,-0.11,814.6928571428571,791.9547619047619,791.9547619047619,791.9547619047619,CROSSED_2
14697,80154.0,HATSUN,20210514,842.1,848.0,821.0,825.55,28981.0,24298486.5,2997.0,DOWN,-1.48,820.1214285714286,795.6571428571428,793.4818181818181,793.4818181818181,CROSSED_2
14968,95907.0,HATSUN,20210517,828.85,846.0,825.8,830.2,16920.0,14081318.9,1598.0,UP,0.56,823.3357142857142,799.8142857142857,795.0782608695652,795.0782608695652,CROSSED_2
