,ID,Symbol,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,TOTTRDQTY,TOTTRDVAL,TOTALTRADES,UP_DOWN,CHNAGE_%,SMA_14,SMA_21,SMA_50,SMA_200,ABT_cases
4666,65288.0,HDFCAMC,20210412,2880.0,2915.0,2756.0,2844.7,330160.0,935019798.95,30467.0,-,0,2844.7,2844.7,2844.7,2844.7,0
5210,71044.0,HDFCAMC,20210413,2842.0,2890.0,2827.0,2873.0,190538.0,544651408.35,13532.0,UP,0.99,2858.85,2858.85,2858.85,2858.85,0
5707,81567.0,HDFCAMC,20210415,2855.25,2959.0,2855.25,2949.5,314438.0,918156400.65,31139.0,UP,2.66,2889.066666666667,2889.066666666667,2889.066666666667,2889.066666666667,0
6272,86339.0,HDFCAMC,20210416,2945.0,2977.0,2922.9,2929.8,116436.0,342841035.95,11695.0,DOWN,-0.67,2899.25,2899.25,2899.25,2899.25,0
6520,103104.0,HDFCAMC,20210419,2850.0,2871.0,2803.0,2819.35,219420.0,621515459.3,20819.0,DOWN,-3.77,2883.27,2883.27,2883.27,2883.27,0
7269,107439.0,HDFCAMC,20210420,2834.0,2855.0,2775.0,2790.9,236066.0,663278361.45,19168.0,DOWN,-1.01,2867.875,2867.875,2867.875,2867.875,0
7464,118465.0,HDFCAMC,20210422,2772.0,2848.0,2772.0,2783.35,265533.0,744951736.6,20892.0,DOWN,-0.27,2855.7999999999997,2855.7999999999997,2855.7999999999997,2855.7999999999997,0
7959,124701.0,HDFCAMC,20210423,2777.0,2845.0,2777.0,2822.4,256696.0,724446530.15,22730.0,UP,1.4,2851.625,2851.625,2851.625,2851.625,0
8537,141988.0,HDFCAMC,20210426,2858.0,2858.0,2813.0,2832.4,124493.0,352849927.05,16182.0,UP,0.35,2849.488888888889,2849.488888888889,2849.488888888889,2849.488888888889,0
9222,146776.0,HDFCAMC,20210427,2839.0,2880.0,2838.0,2865.15,250086.0,716494698.25,21420.0,UP,1.16,2851.055,2851.055,2851.055,2851.055,0
9615,152523.0,HDFCAMC,20210428,2852.9,2854.9,2778.2,2806.0,624328.0,1753174314.3,34912.0,DOWN,-2.06,2846.9590909090907,2846.9590909090907,2846.9590909090907,2846.9590909090907,0
9928,158747.0,HDFCAMC,20210429,2854.0,2855.0,2780.2,2792.2,297386.0,833991117.55,27829.0,DOWN,-0.49,2842.3958333333335,2842.3958333333335,2842.3958333333335,2842.3958333333335,0
10422,164508.0,HDFCAMC,20210430,2779.0,2825.0,2757.05,2776.35,326476.0,912073770.25,25985.0,DOWN,-0.57,2837.3153846153846,2837.3153846153846,2837.3153846153846,2837.3153846153846,0
11043,16472.0,HDFCAMC,20210503,2769.1,2771.85,2735.75,2753.95,249016.0,685995779.55,37677.0,DOWN,-0.81,2831.3607142857145,2831.3607142857145,2831.3607142857145,2831.3607142857145,0
11131,22192.0,HDFCAMC,20210504,2755.0,2789.5,2724.0,2728.35,282871.0,780324797.55,34317.0,DOWN,-0.93,2823.05,2824.4933333333333,2824.4933333333333,2824.4933333333333,WILL_CROSS_1
11733,27440.0,HDFCAMC,20210505,2728.0,2750.0,2715.05,2729.95,195994.0,534748549.8,19249.0,UP,0.06,2812.832142857143,2818.584375,2818.584375,2818.584375,WILL_CROSS_1
12066,33196.0,HDFCAMC,20210506,2735.0,2768.0,2725.0,2732.15,276736.0,758298736.35,27413.0,UP,0.08,2797.307142857143,2813.5,2813.5,2813.5,WILL_CROSS_1
12560,40402.0,HDFCAMC,20210507,2739.0,2749.0,2699.65,2718.65,420702.0,1143602316.8,54314.0,DOWN,-0.49,2782.225,2808.230555555556,2808.230555555556,2808.230555555556,WILL_CROSS_1
13093,58579.0,HDFCAMC,20210510,2720.0,2804.35,2720.0,2794.6,627361.0,1731317488.3,29975.0,UP,2.79,2780.457142857143,2807.5131578947367,2807.5131578947367,2807.5131578947367,WILL_CROSS_1
13643,63878.0,HDFCAMC,20210511,2794.6,2820.2,2760.1,2796.1,240617.0,672718188.4,16876.0,UP,0.05,2780.828571428571,2806.9425,2806.9425,2806.9425,WILL_CROSS_1
13990,68637.0,HDFCAMC,20210512,2790.0,2833.85,2764.6,2814.85,233169.0,654383865.45,17751.0,UP,0.67,2783.078571428571,2807.3190476190475,2807.3190476190475,2807.3190476190475,WILL_CROSS_1
14701,80158.0,HDFCAMC,20210514,2827.0,2840.8,2786.0,2799.45,171158.0,480169086.2,12569.0,DOWN,-0.55,2781.4392857142857,2805.164285714286,2806.961363636364,2806.961363636364,WILL_CROSS_1
14964,95911.0,HDFCAMC,20210517,2795.0,2835.0,2793.2,2822.15,141860.0,399972654.5,10554.0,UP,0.81,2780.7071428571426,2802.7428571428572,2807.621739130435,2807.621739130435,WILL_CROSS_1
15577,101191.0,HDFCAMC,20210518,2842.2,2844.7,2817.7,2835.05,154842.0,438551270.2,10265.0,UP,0.46,2778.5571428571425,2797.2928571428574,2808.7645833333336,2808.7645833333336,WILL_CROSS_1
15965,106003.0,HDFCAMC,20210519,2821.0,2869.0,2819.95,2848.5,133667.0,381067366.9,11158.0,UP,0.47,2781.5928571428567,2793.4214285714284,2810.3540000000003,2810.3540000000003,WILL_CROSS_1
16338,111271.0,HDFCAMC,20210520,2848.0,2859.0,2809.0,2812.9,121818.0,343974252.7,14319.0,DOWN,-1.25,2783.0714285714284,2793.114285714286,2810.451923076923,2810.451923076923,WILL_CROSS_1
16914,117062.0,HDFCAMC,20210521,2829.0,2833.8,2800.05,2813.6,130135.0,366407033.15,11095.0,UP,0.02,2785.7321428571427,2794.195238095238,2810.568518518519,2810.568518518519,WILL_CROSS_1
17498,134290.0,HDFCAMC,20210524,2820.0,2829.35,2790.15,2821.2,122041.0,343002304.7,12900.0,UP,0.27,2790.535714285714,2795.997619047619,2810.9482142857146,2810.9482142857146,WILL_CROSS_1
17824,140071.0,HDFCAMC,20210525,2835.1,2838.0,2813.05,2824.95,133553.0,376921181.4,10405.0,UP,0.13,2797.4357142857143,2796.1190476190477,2811.4310344827586,2811.4310344827586,WILL_CROSS_1
18335,144859.0,HDFCAMC,20210526,2825.5,2835.0,2815.0,2819.95,87468.0,247070572.75,9139.0,DOWN,-0.18,2803.8642857142854,2795.52619047619,2811.7149999999997,2811.7149999999997,WILL_CROSS_1
18791,150618.0,HDFCAMC,20210527,2831.0,2865.0,2800.0,2839.8,261342.0,740100259.4,17066.0,UP,0.7,2811.5535714285716,2794.3190476190475,2812.6209677419356,2812.6209677419356,WILL_CROSS_1
19345,157341.0,HDFCAMC,20210528,2865.0,2981.95,2865.0,2969.75,934408.0,2754184338.6,54307.0,UP,4.58,2829.4892857142854,2802.1166666666663,2817.53125,2817.53125,CROSSED_2
19773,172605.0,HDFCAMC,20210531,2984.95,3012.0,2932.1,2982.15,360601.0,1074186615.4,25465.0,UP,0.42,2842.8857142857146,2811.1619047619047,2822.5196969696967,2822.5196969696967,CROSSED_2
20095,4001.0,HDFCAMC,20210601,2985.0,3012.0,2952.05,2964.9,198733.0,592513941.55,20204.0,DOWN,-0.58,2854.942857142857,2820.140476190476,2826.7073529411764,2826.7073529411764,CROSSED_2
20536,9235.0,HDFCAMC,20210602,2965.0,3024.0,2965.0,3014.6,369058.0,1110095603.25,25151.0,UP,1.68,2869.2107142857144,2832.552380952381,2832.075714285714,2832.075714285714,CROSSED_2
21357,15017.0,HDFCAMC,20210603,3045.0,3080.0,3016.05,3051.1,290567.0,885141278.2,19460.0,UP,1.21,2887.1857142857143,2847.9214285714284,2838.159722222222,2838.159722222222,CROSSED_2
21746,21236.0,HDFCAMC,20210604,3079.0,3100.0,3060.0,3067.6,223282.0,687194088.4,16965.0,UP,0.54,2904.7178571428567,2864.0,2844.360810810811,2844.360810810811,CROSSED_2
22130,38945.0,HDFCAMC,20210607,3068.0,3069.95,3004.0,3032.7,142526.0,431696132.1,17392.0,DOWN,-1.14,2918.835714285714,2878.3119047619048,2849.317105263158,2849.317105263158,CROSSED_2
22409,45669.0,HDFCAMC,20210608,3050.0,3134.0,3050.0,3069.05,537456.0,1664759053.5,44745.0,UP,1.2,2934.589285714286,2894.997619047619,2854.9512820512823,2854.9512820512823,CROSSED_2
22847,51353.0,HDFCAMC,20210609,3077.0,3087.6,3010.0,3029.7,212418.0,647093390.9,15412.0,DOWN,-1.28,2950.075,2906.192857142857,2859.32,2859.32,CROSSED_2
23366,57129.0,HDFCAMC,20210610,3030.0,3114.8,3015.75,3077.75,382533.0,1175477705.15,32899.0,UP,1.59,2968.942857142857,2919.6047619047617,2864.64756097561,2864.64756097561,CROSSED_2
23789,62928.0,HDFCAMC,20210611,3080.1,3105.0,3041.0,3093.0,280663.0,865987178.4,22377.0,UP,0.5,2988.3571428571427,2932.85,2870.084523809524,2870.084523809524,CROSSED_2
24328,78708.0,HDFCAMC,20210614,3094.9,3094.9,3015.25,3085.05,121196.0,372539845.75,12409.0,DOWN,-0.26,3006.9357142857143,2946.45,2875.0837209302326,2875.0837209302326,CROSSED_2
24608,83942.0,HDFCAMC,20210615,3098.9,3119.8,3070.95,3083.75,149903.0,464069909.45,14776.0,DOWN,-0.04,3025.7785714285715,2958.907142857143,2879.8261363636366,2879.8261363636366,CROSSED_2
