,ID,Symbol,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,TOTTRDQTY,TOTTRDVAL,TOTALTRADES,UP_DOWN,CHNAGE_%,SMA_14,SMA_21,SMA_50,SMA_200,ABT_cases
4669,65291.0,HEG,20210412,2189.0,2190.0,2044.8,2044.8,641353.0,1345371929.4,48141.0,-,0,2044.8,2044.8,2044.8,2044.8,0
5207,71047.0,HEG,20210413,2064.0,2200.0,1985.0,2064.7,1076989.0,2273894762.45,84673.0,UP,0.97,2054.75,2054.75,2054.75,2054.75,0
5710,81570.0,HEG,20210415,2067.0,2210.0,2066.0,2174.6,898453.0,1930208784.4,69664.0,UP,5.32,2094.7000000000003,2094.7000000000003,2094.7000000000003,2094.7000000000003,0
6269,86342.0,HEG,20210416,2204.7,2250.0,2130.0,2143.8,463050.0,1011212774.25,35140.0,DOWN,-1.42,2106.975,2106.975,2106.975,2106.975,0
6517,103107.0,HEG,20210419,2040.0,2047.85,1930.0,1999.75,571615.0,1143530493.15,41420.0,DOWN,-6.72,2085.5299999999997,2085.5299999999997,2085.5299999999997,2085.5299999999997,0
7272,107442.0,HEG,20210420,2040.0,2124.95,2006.0,2044.3,568224.0,1180016206.65,37597.0,UP,2.23,2078.6583333333333,2078.6583333333333,2078.6583333333333,2078.6583333333333,0
7461,118468.0,HEG,20210422,2028.0,2078.65,2010.0,2020.8,328775.0,670836495.8,27741.0,DOWN,-1.15,2070.3928571428573,2070.3928571428573,2070.3928571428573,2070.3928571428573,0
7962,124704.0,HEG,20210423,2020.0,2107.0,2006.7,2031.75,452129.0,930030114.85,35146.0,UP,0.54,2065.5625,2065.5625,2065.5625,2065.5625,0
8540,141991.0,HEG,20210426,2055.0,2180.0,2052.3,2094.4,1081746.0,2289412130.05,79551.0,UP,3.08,2068.766666666667,2068.766666666667,2068.766666666667,2068.766666666667,0
9225,146779.0,HEG,20210427,2113.9,2209.0,2108.0,2188.9,1055303.0,2293754237.7,66468.0,UP,4.51,2080.7799999999997,2080.7799999999997,2080.7799999999997,2080.7799999999997,0
9612,152526.0,HEG,20210428,2210.0,2248.1,2155.35,2168.75,457561.0,1007095866.3,34044.0,DOWN,-0.92,2088.7772727272727,2088.7772727272727,2088.7772727272727,2088.7772727272727,0
