,ID,Symbol,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,TOTTRDQTY,TOTTRDVAL,TOTALTRADES,UP_DOWN,CHNAGE_%,SMA_14,SMA_21,SMA_50,SMA_200,ABT_cases
69,2603.0,HGS,20210101,1133.75,1189.1,1124.0,1163.65,85881.0,100357576.9,6966.0,-,0,1163.65,1163.65,1163.65,1163.65,0
610,19805.0,HGS,20210104,1180.0,1182.95,1140.0,1164.9,19693.0,22905274.1,2051.0,UP,0.11,1164.275,1164.275,1164.275,1164.275,0
1302,167829.0,HGS,20210330,1524.0,1754.4,1505.35,1739.2,725992.0,1228812578.7,59456.0,UP,49.3,1355.9166666666667,1355.9166666666667,1355.9166666666667,1355.9166666666667,0
1441,171657.0,HGS,20210331,1778.0,1858.9,1682.85,1726.2,459511.0,814622884.1,35715.0,DOWN,-0.75,1448.4875000000002,1448.4875000000002,1448.4875000000002,1448.4875000000002,0
1893,185.0,HGS,20210401,1715.0,1890.0,1684.0,1798.8,155968.0,280922904.55,14481.0,UP,4.21,1518.55,1518.55,1518.55,1518.55,0
2364,24099.0,HGS,20210405,1817.9,1828.9,1702.85,1768.55,57809.0,102360552.05,5851.0,DOWN,-1.68,1560.2166666666665,1560.2166666666665,1560.2166666666665,1560.2166666666665,0
3119,29375.0,HGS,20210406,1778.25,1825.0,1758.0,1791.35,51801.0,92767018.75,5522.0,UP,1.29,1593.2357142857143,1593.2357142857143,1593.2357142857143,1593.2357142857143,0
3503,35589.0,HGS,20210407,1801.0,1876.05,1783.45,1811.95,71789.0,130963187.55,5688.0,UP,1.15,1620.575,1620.575,1620.575,1620.575,0
3698,42300.0,HGS,20210408,1830.0,1845.0,1785.3,1811.85,42398.0,76858480.15,4738.0,DOWN,-0.01,1641.8277777777778,1641.8277777777778,1641.8277777777778,1641.8277777777778,0
4216,49029.0,HGS,20210409,1816.55,1874.9,1814.55,1850.05,50068.0,92693065.35,4571.0,UP,2.11,1662.65,1662.65,1662.65,1662.65,0
4672,65294.0,HGS,20210412,1856.15,1869.0,1682.45,1700.7,91828.0,159976570.55,11930.0,DOWN,-8.07,1666.109090909091,1666.109090909091,1666.109090909091,1666.109090909091,0
5204,71050.0,HGS,20210413,1728.0,1762.0,1676.2,1719.6,42556.0,73072576.3,4577.0,UP,1.11,1670.5666666666666,1670.5666666666666,1670.5666666666666,1670.5666666666666,0
5713,81573.0,HGS,20210415,1715.0,1735.0,1608.15,1668.75,95789.0,158650591.8,8110.0,DOWN,-2.96,1670.426923076923,1670.426923076923,1670.426923076923,1670.426923076923,0
6266,86345.0,HGS,20210416,1725.0,1797.95,1650.0,1678.25,304724.0,525512440.65,25226.0,UP,0.57,1670.9857142857143,1670.9857142857143,1670.9857142857143,1670.9857142857143,0
6514,103110.0,HGS,20210419,1616.25,1689.0,1606.0,1660.1,87629.0,143999829.95,10482.0,DOWN,-1.08,1706.4464285714287,1670.26,1670.26,1670.26,CROSSED_2
7275,107445.0,HGS,20210420,1694.15,1695.0,1633.1,1641.3,66878.0,111405700.15,6294.0,DOWN,-1.13,1740.4750000000001,1668.45,1668.45,1668.45,CROSSED_2
7458,118471.0,HGS,20210422,1625.2,1639.8,1600.0,1604.6,82020.0,132601570.6,6322.0,DOWN,-2.24,1730.8607142857143,1664.6941176470589,1664.6941176470589,1664.6941176470589,CROSSED_2
7965,124707.0,HGS,20210423,1600.0,1645.0,1600.0,1618.1,38419.0,62657553.2,2930.0,UP,0.84,1723.1392857142855,1662.1055555555556,1662.1055555555556,1662.1055555555556,CROSSED_2
8543,141994.0,HGS,20210426,1585.0,1640.0,1585.0,1614.25,44719.0,72051418.75,3847.0,DOWN,-0.24,1709.957142857143,1659.5868421052633,1659.5868421052633,1659.5868421052633,CROSSED_2
9229,146783.0,HGS,20210427,1622.2,1680.0,1619.2,1673.8,26286.0,43546123.4,3548.0,UP,3.69,1703.189285714286,1660.2975,1660.2975,1660.2975,CROSSED_2
9608,152530.0,HGS,20210428,1679.0,1775.0,1677.0,1750.85,73922.0,128851633.7,6142.0,UP,4.6,1700.2964285714284,1664.609523809524,1664.609523809524,1664.609523809524,CROSSED_2
9935,158754.0,HGS,20210429,1775.5,1797.0,1707.25,1746.2,34633.0,60336898.55,3671.0,DOWN,-0.27,1695.6000000000001,1692.35,1668.3181818181818,1668.3181818181818,CROSSED_2
10415,164515.0,HGS,20210430,1765.0,1765.0,1695.0,1717.95,32284.0,55464219.85,3073.0,DOWN,-1.62,1688.892857142857,1718.685714285714,1670.4760869565216,1670.4760869565216,CROSSED_2
11036,16479.0,HGS,20210503,1700.0,1734.95,1683.1,1709.05,25813.0,44111412.25,2973.0,DOWN,-0.52,1678.8214285714287,1717.25,1672.0833333333333,1672.0833333333333,CROSSED_2
11138,22199.0,HGS,20210504,1731.85,1749.7,1670.0,1686.7,33463.0,57265100.45,3624.0,DOWN,-1.31,1677.8214285714287,1715.3690476190477,1672.668,1672.668,CROSSED_2
11726,27447.0,HGS,20210505,1680.0,1775.5,1670.45,1682.3,15463.0,26158305.05,1996.0,DOWN,-0.26,1675.1571428571428,1709.8214285714287,1673.0384615384614,1673.0384615384614,CROSSED_2
12059,33203.0,HGS,20210506,1700.0,1750.0,1614.8,1677.1,30439.0,51063091.45,3525.0,DOWN,-0.31,1675.7535714285714,1705.4666666666665,1673.1888888888889,1673.1888888888889,CROSSED_2
12567,40409.0,HGS,20210507,1698.0,1707.55,1654.0,1662.1,17869.0,30042605.7,2190.0,DOWN,-0.89,1674.6000000000001,1699.3119047619045,1672.792857142857,1672.792857142857,CROSSED_2
13054,58586.0,HGS,20210510,1700.0,1709.7,1665.8,1680.6,30907.0,52030415.9,4350.0,UP,1.11,1676.0642857142855,1693.0571428571427,1673.0620689655173,1673.0620689655173,CROSSED_2
