,ID,Symbol,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,TOTTRDQTY,TOTTRDVAL,TOTALTRADES,UP_DOWN,CHNAGE_%,SMA_14,SMA_21,SMA_50,SMA_200,ABT_cases
4673,65295.0,HIKAL,20210412,166.0,169.75,158.6,159.9,905877.0,149875282.55,14524.0,-,0,159.9,159.9,159.9,159.9,0
5203,71051.0,HIKAL,20210413,160.3,179.25,160.3,173.15,1681597.0,290339521.35,24505.0,UP,8.29,166.525,166.525,166.525,166.525,0
5714,81574.0,HIKAL,20210415,170.5,176.25,168.6,171.05,786001.0,134866141.65,20516.0,DOWN,-1.21,168.03333333333333,168.03333333333333,168.03333333333333,168.03333333333333,0
6265,86346.0,HIKAL,20210416,172.0,180.9,169.35,179.55,2197722.0,390976603.6,22823.0,UP,4.97,170.91250000000002,170.91250000000002,170.91250000000002,170.91250000000002,0
6513,103111.0,HIKAL,20210419,178.9,194.75,174.0,189.6,5286910.0,992036786.75,53385.0,UP,5.6,174.65,174.65,174.65,174.65,0
7276,107446.0,HIKAL,20210420,192.0,202.55,186.4,194.9,4906902.0,959507774.3,46691.0,UP,2.8,178.025,178.025,178.025,178.025,0
7457,118472.0,HIKAL,20210422,195.0,214.75,194.9,210.95,5878486.0,1220403603.3,54682.0,UP,8.23,182.72857142857143,182.72857142857143,182.72857142857143,182.72857142857143,0
7966,124708.0,HIKAL,20210423,214.5,219.7,203.0,208.15,3157666.0,671099890.85,35841.0,DOWN,-1.33,185.90625,185.90625,185.90625,185.90625,0
8544,141995.0,HIKAL,20210426,213.9,221.4,211.7,218.15,3415492.0,740086039.0,43007.0,UP,4.8,189.4888888888889,189.4888888888889,189.4888888888889,189.4888888888889,0
9230,146784.0,HIKAL,20210427,219.8,259.0,215.75,250.85,6090864.0,1440706072.35,69167.0,UP,14.99,195.625,195.625,195.625,195.625,0
9607,152531.0,HIKAL,20210428,256.7,276.0,254.0,262.9,5962024.0,1587651701.15,73761.0,UP,4.8,201.7409090909091,201.7409090909091,201.7409090909091,201.7409090909091,0
9936,158755.0,HIKAL,20210429,264.0,277.8,247.0,256.65,3012794.0,794088749.0,44906.0,DOWN,-2.38,206.3166666666667,206.3166666666667,206.3166666666667,206.3166666666667,0
10414,164516.0,HIKAL,20210430,253.0,272.0,252.1,265.15,1457174.0,386137165.95,20217.0,UP,3.31,210.84230769230768,210.84230769230768,210.84230769230768,210.84230769230768,0
11035,16480.0,HIKAL,20210503,265.55,287.0,264.0,282.0,2402166.0,670330907.4,28318.0,UP,6.35,215.92499999999998,215.92499999999998,215.92499999999998,215.92499999999998,0
11139,22200.0,HIKAL,20210504,284.0,291.0,274.0,285.45,1689361.0,478263475.6,20659.0,UP,1.22,224.89285714285714,220.56,220.56,220.56,CROSSED_2
11725,27448.0,HIKAL,20210505,295.55,313.95,295.55,313.95,1454533.0,452705600.95,8760.0,UP,9.98,234.95,226.396875,226.396875,226.396875,CROSSED_2
12058,33204.0,HIKAL,20210506,334.7,345.3,310.6,343.05,4738649.0,1585263220.05,56371.0,UP,9.27,247.2357142857143,233.25882352941176,233.25882352941176,233.25882352941176,CROSSED_2
12568,40410.0,HIKAL,20210507,338.4,345.8,325.9,326.2,1646986.0,549233303.35,27911.0,DOWN,-4.91,257.7107142857143,238.42222222222225,238.42222222222225,238.42222222222225,CROSSED_2
13053,58587.0,HIKAL,20210510,328.0,342.5,326.0,342.5,1533079.0,519385309.1,16077.0,UP,5.0,268.63214285714287,243.9,243.9,243.9,CROSSED_2
13635,63886.0,HIKAL,20210511,342.0,359.6,333.25,359.6,1186580.0,421400739.1,12935.0,UP,4.99,280.39642857142854,249.685,249.685,249.685,CROSSED_2
13982,68645.0,HIKAL,20210512,364.35,374.4,341.65,343.25,1729369.0,615888500.95,35724.0,DOWN,-4.55,289.8464285714286,254.1404761904762,254.1404761904762,254.1404761904762,CROSSED_2
14709,80166.0,HIKAL,20210514,349.9,356.0,326.5,338.0,741410.0,248481034.5,20423.0,DOWN,-1.53,299.12142857142857,262.62142857142857,257.9522727272727,257.9522727272727,CROSSED_2
14956,95919.0,HIKAL,20210517,341.05,352.0,331.5,346.35,783364.0,270326866.0,17869.0,UP,2.47,308.2785714285714,270.8690476190476,261.795652173913,261.795652173913,CROSSED_2
15569,101199.0,HIKAL,20210518,348.3,353.2,340.0,343.5,348747.0,120987644.05,9424.0,DOWN,-0.82,314.8964285714286,279.0809523809524,265.2,265.2,CROSSED_2
15957,106011.0,HIKAL,20210519,343.5,360.0,342.0,354.45,689665.0,244620877.25,10637.0,UP,3.19,321.4357142857143,287.4095238095238,268.77,268.77,CROSSED_2
16330,111279.0,HIKAL,20210520,352.0,371.0,348.8,367.5,945479.0,345092544.2,20649.0,UP,3.68,329.3535714285714,295.8809523809524,272.5673076923077,272.5673076923077,CROSSED_2
16922,117070.0,HIKAL,20210521,372.4,385.85,364.0,385.85,856529.0,324222713.35,14373.0,UP,4.99,337.975,304.97380952380956,276.762962962963,276.762962962963,CROSSED_2
17506,134298.0,HIKAL,20210524,401.0,405.1,400.0,405.1,934081.0,377404795.05,7905.0,UP,4.99,346.76785714285717,314.2190476190476,281.3464285714286,281.3464285714286,CROSSED_2
17816,140079.0,HIKAL,20210525,415.0,423.6,388.85,399.75,1486431.0,605129062.15,30973.0,DOWN,-1.32,354.9321428571429,323.34285714285716,285.4293103448276,285.4293103448276,CROSSED_2
18122,144867.0,HIKAL,20210526,404.75,419.7,403.85,419.7,335712.0,140096672.65,3619.0,UP,4.99,362.4857142857143,332.9404761904762,289.905,289.905,CROSSED_2
18783,150626.0,HIKAL,20210527,429.4,440.65,421.1,429.35,1154428.0,499010379.2,23745.0,UP,2.3,368.65000000000003,341.4404761904762,294.4032258064516,294.4032258064516,CROSSED_2
19337,157349.0,HIKAL,20210528,434.0,438.8,411.0,414.15,845097.0,355688388.0,27806.0,DOWN,-3.54,374.9321428571428,348.64285714285717,298.1453125,298.1453125,CROSSED_2
19781,172613.0,HIKAL,20210531,416.9,422.45,393.45,393.8,722296.0,289728983.2,18898.0,DOWN,-4.91,378.59642857142853,355.1738095238095,301.0439393939394,301.0439393939394,CROSSED_2
20087,4009.0,HIKAL,20210601,393.8,399.95,374.15,382.45,1201827.0,459745593.0,28466.0,DOWN,-2.88,380.2285714285714,360.7595238095238,303.43823529411765,303.43823529411765,CROSSED_2
20528,9243.0,HIKAL,20210602,384.0,401.55,376.65,401.55,547830.0,216071694.1,11621.0,UP,4.99,384.39285714285717,366.45238095238096,306.24142857142857,306.24142857142857,CROSSED_2
21365,15025.0,HIKAL,20210603,421.6,421.6,411.3,421.6,808190.0,339473181.45,9134.0,UP,4.99,390.36428571428576,372.9357142857143,309.4458333333333,309.4458333333333,CROSSED_2
21738,21244.0,HIKAL,20210604,430.0,442.65,422.1,442.65,1836955.0,805532981.8,23936.0,UP,4.99,397.24285714285713,379.06428571428575,313.04594594594596,313.04594594594596,CROSSED_2
22122,38953.0,HIKAL,20210607,454.3,520.8,448.65,502.8,4236207.0,2083247777.35,99069.0,UP,13.59,408.62142857142857,386.6714285714286,318.0394736842105,318.0394736842105,CROSSED_2
22417,45677.0,HIKAL,20210608,505.0,519.0,480.8,497.8,1994043.0,994099988.7,53123.0,DOWN,-0.99,418.8607142857143,394.8428571428571,322.64871794871794,322.64871794871794,CROSSED_2
22839,51361.0,HIKAL,20210609,498.8,509.0,472.55,484.25,1100199.0,540188159.9,27200.0,DOWN,-2.72,427.2,401.5928571428571,326.68874999999997,326.68874999999997,CROSSED_2
23374,57137.0,HIKAL,20210610,485.0,493.75,476.2,479.25,528114.0,255465101.15,15861.0,DOWN,-1.03,433.87142857142857,407.2904761904762,330.40975609756094,330.40975609756094,CROSSED_2
23797,62936.0,HIKAL,20210611,480.0,487.65,467.15,469.35,440881.0,208826052.15,13043.0,DOWN,-2.07,438.4607142857143,413.2952380952381,333.71785714285716,333.71785714285716,CROSSED_2
24336,78716.0,HIKAL,20210614,473.25,477.8,441.05,457.15,647303.0,295451930.35,19101.0,DOWN,-2.6,442.5607142857143,418.9690476190476,336.5883720930232,336.5883720930232,CROSSED_2
24616,83950.0,HIKAL,20210615,461.3,499.0,457.85,478.2,1455961.0,708350751.15,33028.0,UP,4.6,446.73928571428576,425.2476190476191,339.8068181818182,339.8068181818182,CROSSED_2
25386,89178.0,HIKAL,20210616,480.8,486.3,461.1,464.4,447386.0,210992590.8,14182.0,DOWN,-2.89,449.24285714285713,431.00476190476195,342.5755555555555,342.5755555555555,CROSSED_2
25741,94469.0,HIKAL,20210617,459.8,479.75,450.0,465.15,560830.0,262485249.55,17929.0,UP,0.16,452.8857142857143,436.27619047619055,345.2402173913043,345.2402173913043,CROSSED_2
26022,100740.0,HIKAL,20210618,469.3,476.3,441.05,455.65,547665.0,249046152.5,14569.0,DOWN,-2.04,457.30357142857144,440.47380952380956,347.5893617021277,347.5893617021277,CROSSED_2
26663,115620.0,HIKAL,20210621,448.0,473.15,445.0,460.8,598428.0,277172670.1,21661.0,UP,1.13,462.90000000000003,444.04285714285714,349.9479166666667,349.9479166666667,CROSSED_2
26946,121845.0,HIKAL,20210622,465.0,498.9,463.55,485.65,1775722.0,863545655.1,52228.0,UP,5.39,468.90714285714284,447.8785714285715,352.71734693877556,352.71734693877556,CROSSED_2
27339,127547.0,HIKAL,20210623,489.0,490.0,469.3,471.55,301374.0,143768285.35,11406.0,DOWN,-2.9,472.47499999999997,451.29761904761904,355.094,355.094,CROSSED_2
27818,132847.0,HIKAL,20210624,472.0,484.0,470.05,474.7,277944.0,132262681.35,14793.0,UP,0.67,474.7642857142857,453.9166666666667,361.39,357.43921568627457,CROSSED_2
28455,139127.0,HIKAL,20210625,476.8,478.2,459.05,470.6,226951.0,106476873.3,9772.0,DOWN,-0.86,472.4642857142857,455.8809523809524,367.339,359.61538461538464,CROSSED_2
29065,155897.0,HIKAL,20210628,471.0,492.0,471.0,479.7,455809.0,219348935.1,21916.0,UP,1.93,471.1714285714285,459.0023809523809,373.51200000000006,361.8811320754717,CROSSED_2
29265,161645.0,HIKAL,20210629,482.95,503.2,477.0,489.9,830803.0,408487638.9,25809.0,UP,2.13,471.57499999999993,463.5785714285714,379.71899999999994,364.2518518518518,CROSSED_2
29866,166870.0,HIKAL,20210630,493.8,505.95,488.0,490.85,418262.0,207195144.7,10996.0,UP,0.19,472.4035714285714,468.74047619047616,385.744,366.5536363636364,CROSSED_2
30214,3048.0,HIKAL,20210701,490.85,498.5,490.1,494.9,237889.0,117676411.85,6667.0,UP,0.83,474.22857142857146,473.18571428571425,391.7439999999999,368.8455357142857,CROSSED_2
30937,8782.0,HIKAL,20210702,495.0,569.0,495.0,525.6,3100113.0,1661272284.6,81593.0,UP,6.2,479.11785714285713,478.1380952380952,398.03700000000003,371.59561403508775,CROSSED_2
31265,26488.0,HIKAL,20210705,530.5,559.0,529.95,552.75,1069446.0,584428721.15,35959.0,UP,5.17,484.4428571428571,483.3809523809524,404.92900000000003,374.7189655172414,CROSSED_2
31446,31745.0,HIKAL,20210706,551.8,556.5,528.0,531.95,409362.0,221757653.1,19683.0,DOWN,-3.76,489.26785714285717,484.7690476190477,411.205,377.38389830508476,CROSSED_2
32010,37993.0,HIKAL,20210707,529.7,548.0,520.0,524.9,274273.0,145446271.55,14176.0,DOWN,-1.33,493.5357142857143,486.0595238095238,416.686,379.8425,CROSSED_2
32367,44717.0,HIKAL,20210708,524.9,534.75,505.55,511.6,345593.0,179259650.55,12436.0,DOWN,-2.53,497.53214285714284,487.3619047619048,421.66,382.00245901639346,CROSSED_2
32803,50906.0,HIKAL,20210709,510.8,516.5,508.0,512.95,180217.0,92204640.5,7416.0,UP,0.26,501.25714285714287,488.96666666666664,426.786,384.1145161290322,CROSSED_2
33534,67685.0,HIKAL,20210712,517.9,548.0,517.0,524.0,648333.0,345695635.05,22693.0,UP,2.15,503.9964285714286,491.5690476190476,431.96299999999997,386.3349206349206,CROSSED_2
33780,73421.0,HIKAL,20210713,528.2,533.95,516.0,520.05,188288.0,98723553.15,7874.0,DOWN,-0.75,507.4607142857143,494.56428571428575,436.724,388.42421875,CROSSED_2
34222,77762.0,HIKAL,20210714,520.05,528.0,516.0,518.5,132338.0,68766983.1,5072.0,DOWN,-0.3,510.5892857142857,496.4833333333334,441.385,390.42538461538464,CROSSED_2
34976,82996.0,HIKAL,20210715,522.0,529.95,512.0,516.65,182819.0,95245762.6,6770.0,DOWN,-0.36,513.8785714285715,498.97142857142853,445.439,392.33787878787876,CROSSED_2
35415,88723.0,HIKAL,20210716,516.75,527.35,516.75,519.05,162788.0,84648949.9,5745.0,UP,0.46,516.6892857142857,501.5380952380952,448.95899999999995,394.22910447761194,CROSSED_2
35549,105051.0,HIKAL,20210719,518.0,572.7,514.4,555.7,886082.0,481574694.9,26634.0,UP,7.06,521.3892857142857,506.302380952381,453.54900000000004,396.6036764705882,CROSSED_2
36252,109820.0,HIKAL,20210720,552.5,554.0,521.1,530.65,395660.0,212625242.95,15223.0,DOWN,-4.51,524.2321428571429,509.6285714285715,457.31200000000007,398.5463768115942,CROSSED_2
36648,120892.0,HIKAL,20210722,533.0,543.85,525.35,527.65,291564.0,154511091.85,9226.0,DOWN,-0.57,526.5714285714286,511.6285714285714,460.67299999999994,400.39071428571424,CROSSED_2
37196,127092.0,HIKAL,20210723,529.8,540.0,522.45,528.45,457163.0,243422708.8,10682.0,UP,0.15,526.775,514.3380952380952,464.37699999999995,402.1943661971831,CROSSED_2
37384,143905.0,HIKAL,20210726,519.0,527.6,518.0,520.8,268634.0,140247012.35,12055.0,DOWN,-1.45,524.4928571428571,516.5333333333333,468.03299999999996,403.84166666666664,CROSSED_2
