,ID,Symbol,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,TOTTRDQTY,TOTTRDVAL,TOTALTRADES,UP_DOWN,CHNAGE_%,SMA_14,SMA_21,SMA_50,SMA_200,ABT_cases
4674,65296.0,HINDALCO,20210412,352.1,354.0,331.6,336.2,16096812.0,5515674971.8,122937.0,-,0,336.2,336.2,336.2,336.2,0
5202,71052.0,HINDALCO,20210413,336.2,350.3,336.2,348.7,12942071.0,4461731786.1,163479.0,UP,3.72,342.45,342.45,342.45,342.45,0
5715,81575.0,HINDALCO,20210415,354.0,366.8,349.75,353.55,21825520.0,7775058060.25,209937.0,UP,1.39,346.15000000000003,346.15000000000003,346.15000000000003,346.15000000000003,0
6264,86347.0,HINDALCO,20210416,356.75,376.5,352.7,370.0,28438547.0,10510727748.4,214882.0,UP,4.65,352.1125,352.1125,352.1125,352.1125,0
6512,103112.0,HINDALCO,20210419,358.7,366.0,353.85,361.4,15435944.0,5568529050.0,121256.0,DOWN,-2.32,353.96999999999997,353.96999999999997,353.96999999999997,353.96999999999997,0
7277,107447.0,HINDALCO,20210420,368.6,371.5,354.55,359.35,15526407.0,5635566578.5,107836.0,DOWN,-0.57,354.8666666666666,354.8666666666666,354.8666666666666,354.8666666666666,0
7456,118473.0,HINDALCO,20210422,360.8,365.6,354.7,355.85,12756931.0,4586175695.8,120469.0,DOWN,-0.97,355.00714285714287,355.00714285714287,355.00714285714287,355.00714285714287,0
7967,124709.0,HINDALCO,20210423,354.05,362.65,345.3,349.5,12805877.0,4548068157.0,102303.0,DOWN,-1.78,354.31875,354.31875,354.31875,354.31875,0
8545,141996.0,HINDALCO,20210426,353.0,358.25,345.5,348.35,16472269.0,5796822358.95,113431.0,DOWN,-0.33,353.65555555555557,353.65555555555557,353.65555555555557,353.65555555555557,0
9231,146785.0,HINDALCO,20210427,350.1,370.0,350.1,366.25,41263319.0,15064671476.7,307599.0,UP,5.14,354.915,354.915,354.915,354.915,0
9606,152532.0,HINDALCO,20210428,368.85,368.9,358.0,362.6,15197329.0,5495570970.35,126873.0,DOWN,-1.0,355.6136363636364,355.6136363636364,355.6136363636364,355.6136363636364,0
9937,158756.0,HINDALCO,20210429,367.4,377.3,364.6,372.15,34391622.0,12748978540.9,237157.0,UP,2.63,356.9916666666666,356.9916666666666,356.9916666666666,356.9916666666666,0
10413,164517.0,HINDALCO,20210430,368.9,377.0,361.3,364.4,19935239.0,7355373678.3,149528.0,DOWN,-2.08,357.5615384615385,357.5615384615385,357.5615384615385,357.5615384615385,0
11034,16481.0,HINDALCO,20210503,364.4,373.2,357.65,369.95,15890242.0,5838278984.1,116737.0,UP,1.52,358.44642857142856,358.44642857142856,358.44642857142856,358.44642857142856,0
11140,22201.0,HINDALCO,20210504,372.0,384.45,359.7,362.55,29767756.0,11090733132.1,208719.0,DOWN,-2.0,360.3285714285715,358.72,358.72,358.72,CROSSED_2
