,ID,Symbol,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,TOTTRDQTY,TOTTRDVAL,TOTALTRADES,UP_DOWN,CHNAGE_%,SMA_14,SMA_21,SMA_50,SMA_200,ABT_cases
4676,65298.0,HINDPETRO,20210412,230.0,232.75,222.8,226.4,6712891.0,1522934697.9,55331.0,-,0,226.4,226.4,226.4,226.4,0
5200,71054.0,HINDPETRO,20210413,225.6,232.65,225.6,231.55,7350007.0,1694794195.65,69844.0,UP,2.27,228.97500000000002,228.97500000000002,228.97500000000002,228.97500000000002,0
5717,81577.0,HINDPETRO,20210415,228.65,237.9,228.65,237.15,4342810.0,1020885621.65,51493.0,UP,2.42,231.70000000000002,231.70000000000002,231.70000000000002,231.70000000000002,0
6262,86349.0,HINDPETRO,20210416,237.0,240.0,234.75,236.55,6273984.0,1486463316.1,61560.0,DOWN,-0.25,232.91250000000002,232.91250000000002,232.91250000000002,232.91250000000002,0
6510,103114.0,HINDPETRO,20210419,231.15,234.0,228.55,231.4,6729672.0,1556395542.9,51513.0,DOWN,-2.18,232.60999999999999,232.60999999999999,232.60999999999999,232.60999999999999,0
7279,107449.0,HINDPETRO,20210420,231.5,234.8,231.25,232.7,4407677.0,1026657225.55,55115.0,UP,0.56,232.625,232.625,232.625,232.625,0
7454,118475.0,HINDPETRO,20210422,231.0,234.3,229.35,233.5,3701961.0,862115049.95,47024.0,UP,0.34,232.75,232.75,232.75,232.75,0
7969,124711.0,HINDPETRO,20210423,233.0,235.45,231.5,233.7,4228621.0,987692310.9,46068.0,UP,0.09,232.86875,232.86875,232.86875,232.86875,0
8547,141998.0,HINDPETRO,20210426,234.15,234.8,230.5,232.5,6247178.0,1452088645.7,60107.0,DOWN,-0.51,232.82777777777775,232.82777777777775,232.82777777777775,232.82777777777775,0
9233,146787.0,HINDPETRO,20210427,233.45,234.0,232.05,232.95,3446734.0,803701627.9,51098.0,UP,0.19,232.84,232.84,232.84,232.84,0
9604,152534.0,HINDPETRO,20210428,233.8,233.9,230.85,231.35,5053936.0,1172025722.85,53207.0,DOWN,-0.69,232.70454545454547,232.70454545454547,232.70454545454547,232.70454545454547,0
9939,158758.0,HINDPETRO,20210429,233.0,233.2,229.25,229.7,6138668.0,1415011004.15,66545.0,DOWN,-0.71,232.45416666666665,232.45416666666665,232.45416666666665,232.45416666666665,0
10411,164519.0,HINDPETRO,20210430,228.25,245.25,228.2,234.65,15563433.0,3712741800.7,113600.0,UP,2.15,232.62307692307692,232.62307692307692,232.62307692307692,232.62307692307692,0
11032,16483.0,HINDPETRO,20210503,232.95,237.1,231.0,235.85,4030072.0,946944502.85,40751.0,UP,0.51,232.85357142857143,232.85357142857143,232.85357142857143,232.85357142857143,0
11142,22203.0,HINDPETRO,20210504,236.8,244.8,236.6,241.5,7080182.0,1716904081.1,59525.0,UP,2.4,233.93214285714285,233.42999999999998,233.42999999999998,233.42999999999998,CROSSED_2
11722,27451.0,HINDPETRO,20210505,242.8,246.5,239.0,244.8,7377341.0,1804983782.75,80629.0,UP,1.37,234.87857142857143,234.140625,234.140625,234.140625,CROSSED_2
12055,33207.0,HINDPETRO,20210506,247.4,249.8,244.25,245.4,6375146.0,1569811631.1,60854.0,UP,0.25,235.46785714285716,234.8029411764706,234.8029411764706,234.8029411764706,CROSSED_2
12571,40413.0,HINDPETRO,20210507,246.45,252.65,241.0,251.45,8651192.0,2137842419.75,46687.0,UP,2.47,236.53214285714284,235.7277777777778,235.7277777777778,235.7277777777778,CROSSED_2
