,ID,Symbol,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,TOTTRDQTY,TOTTRDVAL,TOTALTRADES,UP_DOWN,CHNAGE_%,SMA_14,SMA_21,SMA_50,SMA_200,ABT_cases
4679,65301.0,HLEGLAS,20210412,2424.9,2424.9,2328.2,2328.2,11106.0,25882230.2,611.0,-,0,2328.2,2328.2,2328.2,2328.2,0
5197,71057.0,HLEGLAS,20210413,2250.1,2444.6,2220.2,2391.85,13448.0,31683632.4,1444.0,UP,2.73,2360.0249999999996,2360.0249999999996,2360.0249999999996,2360.0249999999996,0
5720,81580.0,HLEGLAS,20210415,2444.9,2444.9,2272.3,2299.9,7682.0,17623606.85,1195.0,DOWN,-3.84,2339.983333333333,2339.983333333333,2339.983333333333,2339.983333333333,0
6258,86352.0,HLEGLAS,20210416,2299.0,2399.0,2280.0,2374.2,5780.0,13638693.2,842.0,UP,3.23,2348.5375,2348.5375,2348.5375,2348.5375,0
6507,103117.0,HLEGLAS,20210419,2355.0,2355.0,2266.3,2287.05,4081.0,9361791.5,921.0,DOWN,-3.67,2336.2400000000002,2336.2400000000002,2336.2400000000002,2336.2400000000002,0
7282,107452.0,HLEGLAS,20210420,2307.35,2380.0,2280.0,2292.6,4578.0,10608943.75,810.0,UP,0.24,2328.9666666666667,2328.9666666666667,2328.9666666666667,2328.9666666666667,0
7451,118478.0,HLEGLAS,20210422,2271.0,2347.0,2235.0,2246.85,7036.0,16012027.65,1318.0,DOWN,-2.0,2317.235714285714,2317.235714285714,2317.235714285714,2317.235714285714,0
7972,124714.0,HLEGLAS,20210423,2265.0,2323.0,2225.0,2239.1,7130.0,16216628.2,949.0,DOWN,-0.34,2307.46875,2307.46875,2307.46875,2307.46875,0
8550,142001.0,HLEGLAS,20210426,2242.0,2299.0,2165.75,2231.35,6935.0,15504322.9,889.0,DOWN,-0.35,2299.011111111111,2299.011111111111,2299.011111111111,2299.011111111111,0
9236,146790.0,HLEGLAS,20210427,2251.0,2318.0,2245.0,2287.8,6786.0,15440608.1,921.0,UP,2.53,2297.8900000000003,2297.8900000000003,2297.8900000000003,2297.8900000000003,0
9601,152537.0,HLEGLAS,20210428,2330.0,2402.15,2295.3,2402.15,10139.0,24177799.65,1062.0,UP,5.0,2307.3681818181817,2307.3681818181817,2307.3681818181817,2307.3681818181817,0
9942,158761.0,HLEGLAS,20210429,2488.0,2522.25,2413.0,2522.25,19308.0,48182470.05,1570.0,UP,5.0,2325.275,2325.275,2325.275,2325.275,0
10408,164522.0,HLEGLAS,20210430,2522.25,2648.35,2522.2,2613.3,20618.0,54173761.35,2300.0,UP,3.61,2347.4307692307693,2347.4307692307693,2347.4307692307693,2347.4307692307693,0
11029,16486.0,HLEGLAS,20210503,2620.0,2743.95,2520.0,2730.65,23007.0,61465632.85,2635.0,UP,4.49,2374.8035714285716,2374.8035714285716,2374.8035714285716,2374.8035714285716,0
11145,22206.0,HLEGLAS,20210504,2757.0,2867.15,2750.0,2827.2,31934.0,90883047.75,2742.0,UP,3.54,2410.4464285714284,2404.963333333333,2404.963333333333,2404.963333333333,CROSSED_2
11719,27454.0,HLEGLAS,20210505,2872.6,2968.55,2872.6,2952.25,24749.0,72737509.45,2228.0,UP,4.42,2450.475,2439.16875,2439.16875,2439.16875,CROSSED_2
12052,33210.0,HLEGLAS,20210506,2978.0,2978.7,2804.65,2804.65,5217.0,14851778.35,928.0,DOWN,-5.0,2486.5285714285715,2460.6676470588236,2460.6676470588236,2460.6676470588236,CROSSED_2
12574,40416.0,HLEGLAS,20210507,2671.0,2919.0,2664.45,2838.9,27018.0,75688183.95,3166.0,UP,1.22,2519.721428571429,2481.6805555555557,2481.6805555555557,2481.6805555555557,CROSSED_2
13047,58593.0,HLEGLAS,20210510,2875.05,2980.8,2845.75,2980.8,23483.0,69492857.0,1884.0,UP,5.0,2569.275,2507.9500000000003,2507.9500000000003,2507.9500000000003,CROSSED_2
13629,63892.0,HLEGLAS,20210511,3000.0,3129.8,2831.8,2848.6,42094.0,128309609.45,4784.0,DOWN,-4.44,2608.9892857142854,2524.9825,2524.9825,2524.9825,CROSSED_2
13976,68651.0,HLEGLAS,20210512,2798.9,2985.0,2725.05,2923.85,42893.0,124476092.35,4313.0,UP,2.64,2657.346428571429,2543.9761904761904,2543.9761904761904,2543.9761904761904,CROSSED_2
14715,80172.0,HLEGLAS,20210514,2989.0,3009.0,2876.2,2962.0,19694.0,58496112.45,2637.0,UP,1.3,2708.9821428571427,2574.157142857143,2562.9772727272725,2562.9772727272725,CROSSED_2
14950,95925.0,HLEGLAS,20210517,3029.0,3029.0,2940.0,2988.6,12115.0,36359122.2,2266.0,UP,0.9,2763.0714285714284,2602.5738095238094,2581.4826086956523,2581.4826086956523,CROSSED_2
15563,101205.0,HLEGLAS,20210518,3012.0,3050.0,2960.0,3034.6,16392.0,49519693.9,2304.0,UP,1.54,2816.414285714286,2637.559523809524,2600.3624999999997,2600.3624999999997,CROSSED_2
15951,106017.0,HLEGLAS,20210519,2965.05,3186.3,2965.05,3134.55,26926.0,84574762.05,3824.0,UP,3.29,2868.7285714285713,2673.7666666666664,2621.73,2621.73,CROSSED_2
16324,111285.0,HLEGLAS,20210520,3195.0,3260.0,3155.6,3217.05,14500.0,46605858.75,2589.0,UP,2.63,2918.3571428571427,2718.052380952381,2644.626923076923,2644.626923076923,CROSSED_2
16928,117076.0,HLEGLAS,20210521,3289.0,3377.9,3251.7,3376.1,38256.0,128803288.25,3598.0,UP,4.94,2972.8428571428567,2769.647619047619,2671.7185185185185,2671.7185185185185,CROSSED_2
17512,134304.0,HLEGLAS,20210524,3401.25,3450.0,3207.3,3261.15,30021.0,99106742.05,5033.0,DOWN,-3.4,3010.735714285714,2817.947619047619,2692.769642857143,2692.769642857143,CROSSED_2
17810,140085.0,HLEGLAS,20210525,3310.0,3400.0,3245.15,3385.2,18586.0,62582113.1,2692.0,UP,3.8,3050.592857142857,2872.5238095238096,2716.646551724138,2716.646551724138,CROSSED_2
18321,144873.0,HLEGLAS,20210526,3448.95,3501.05,3400.0,3431.95,11711.0,40423194.75,1841.0,UP,1.38,3084.8571428571427,2929.695238095238,2740.49,2740.49,CROSSED_2
18777,150632.0,HLEGLAS,20210527,3475.0,3482.0,3376.15,3423.95,12099.0,41575207.3,1919.0,DOWN,-0.23,3129.0928571428567,2983.7976190476193,2762.5370967741933,2762.5370967741933,CROSSED_2
19331,157355.0,HLEGLAS,20210528,3425.0,3520.0,3361.0,3391.25,12864.0,44421624.75,2421.0,DOWN,-0.96,3168.5464285714284,3030.897619047619,2782.184375,2782.184375,CROSSED_2
19787,172619.0,HLEGLAS,20210531,3340.05,3425.0,3240.0,3260.25,13417.0,44139956.6,2776.0,DOWN,-3.86,3188.5071428571428,3066.040476190476,2796.6712121212117,2796.6712121212117,CROSSED_2
20081,4015.0,HLEGLAS,20210601,3374.0,3374.0,3240.0,3297.65,13393.0,44585362.5,1998.0,UP,1.15,3220.582142857143,3098.628571428572,2811.4058823529413,2811.4058823529413,CROSSED_2
20522,9249.0,HLEGLAS,20210602,3344.9,3419.9,3303.55,3395.7,9033.0,30453816.75,1276.0,UP,2.97,3254.285714285714,3130.2976190476193,2828.1,2828.1,CROSSED_2
21371,15031.0,HLEGLAS,20210603,3428.0,3475.0,3370.6,3397.05,9710.0,33332911.05,1565.0,UP,0.04,3285.3607142857145,3157.4333333333334,2843.9041666666667,2843.9041666666667,CROSSED_2
21732,21250.0,HLEGLAS,20210604,3420.0,3444.8,3350.0,3380.9,5154.0,17483489.1,1201.0,DOWN,-0.48,3313.3821428571428,3177.845238095238,2858.4175675675674,2858.4175675675674,CROSSED_2
22116,38959.0,HLEGLAS,20210607,3449.0,3515.0,3160.05,3371.0,22218.0,75678917.9,3524.0,DOWN,-0.29,3337.410714285714,3204.814285714286,2871.9065789473684,2871.9065789473684,CROSSED_2
22423,45683.0,HLEGLAS,20210608,3375.0,3445.0,3350.0,3411.45,5822.0,19848857.95,1200.0,UP,1.2,3357.1892857142852,3232.078571428571,2885.7410256410253,2885.7410256410253,CROSSED_2
22833,51367.0,HLEGLAS,20210609,3479.9,3520.0,3381.05,3440.65,16049.0,55860344.85,2329.0,UP,0.86,3373.160714285714,3253.9761904761904,2899.61375,2899.61375,CROSSED_2
23380,57143.0,HLEGLAS,20210610,3500.0,3660.0,3476.05,3628.7,28845.0,103045050.75,3153.0,UP,5.47,3391.203571428571,3291.123809523809,2917.3963414634145,2917.3963414634145,CROSSED_2
23803,62942.0,HLEGLAS,20210611,3680.0,3790.95,3652.05,3701.2,27354.0,101881013.6,3545.0,UP,2.0,3422.6357142857146,3328.140476190477,2936.0583333333334,2936.0583333333334,CROSSED_2
24342,78722.0,HLEGLAS,20210614,3720.05,3791.95,3500.0,3698.45,18012.0,66634148.85,3585.0,DOWN,-0.07,3445.0107142857137,3363.2095238095244,2953.788372093023,2953.788372093023,CROSSED_2
24622,83956.0,HLEGLAS,20210615,3772.45,3772.45,3650.0,3665.65,6618.0,24427964.2,1597.0,DOWN,-0.89,3461.703571428571,3395.45,2969.9670454545453,2969.9670454545453,CROSSED_2
25392,89184.0,HLEGLAS,20210616,3699.85,3699.85,3560.0,3617.1,7102.0,25584147.15,1913.0,DOWN,-1.32,3475.5,3423.1880952380952,2984.3477777777775,2984.3477777777775,CROSSED_2
25747,94475.0,HLEGLAS,20210617,3540.0,3699.0,3540.0,3640.7,6323.0,23098440.95,1920.0,UP,0.65,3493.3178571428575,3447.2904761904756,2998.6163043478264,2998.6163043478264,CROSSED_2
26016,100746.0,HLEGLAS,20210618,3678.0,3689.95,3489.55,3600.3,9167.0,32762849.8,2886.0,DOWN,-1.11,3517.6071428571427,3465.5404761904765,3011.418085106383,3011.418085106383,CROSSED_2
26657,115626.0,HLEGLAS,20210621,3599.95,3630.0,3465.6,3527.15,6604.0,23497316.75,2146.0,DOWN,-2.03,3534.0,3472.733333333333,3022.1625,3022.1625,CROSSED_2
26952,121851.0,HLEGLAS,20210622,3544.8,3572.0,3450.0,3481.8,6146.0,21672564.75,1474.0,DOWN,-1.29,3540.1500000000005,3483.2404761904763,3031.5428571428574,3031.5428571428574,CROSSED_2
27333,127553.0,HLEGLAS,20210623,3530.0,3542.1,3412.2,3457.6,5062.0,17645287.45,1976.0,DOWN,-0.7,3544.475,3486.6880952380957,3040.0640000000003,3040.0640000000003,CROSSED_2
27812,132853.0,HLEGLAS,20210624,3457.6,3532.0,3425.05,3443.95,3273.0,11358875.6,1203.0,DOWN,-0.39,3548.9785714285713,3487.2595238095237,3062.3789999999995,3047.983333333333,CROSSED_2
28461,139133.0,HLEGLAS,20210625,3464.0,3496.45,3415.0,3441.75,3578.0,12326353.95,1301.0,DOWN,-0.06,3554.032142857143,3488.1071428571427,3083.377,3055.5557692307693,CROSSED_2
29071,155903.0,HLEGLAS,20210628,3497.0,3497.0,3411.35,3425.4,2879.0,9909596.6,1041.0,DOWN,-0.48,3555.0285714285715,3489.733333333333,3105.8869999999997,3062.533962264151,CROSSED_2
29271,161651.0,HLEGLAS,20210629,3425.0,3435.2,3333.0,3373.75,5750.0,19463534.7,1661.0,DOWN,-1.51,3550.25,3495.138095238095,3125.8779999999997,3068.297222222222,CROSSED_2
29860,166876.0,HLEGLAS,20210630,3373.75,3499.0,3328.25,3486.1,7726.0,26691920.55,1954.0,UP,3.33,3540.0642857142857,3504.111904761905,3149.8589999999995,3075.8936363636362,CROSSED_2
30219,3054.0,HLEGLAS,20210701,3514.9,3514.9,3414.95,3423.0,2452.0,8458982.2,990.0,DOWN,-1.81,3520.192857142857,3505.411904761905,3172.467,3082.0919642857143,CROSSED_2
30931,8788.0,HLEGLAS,20210702,3450.0,3600.05,3431.6,3579.0,17291.0,61391142.25,2523.0,UP,4.56,3511.660714285714,3514.0761904761907,3199.11,3090.809649122807,CROSSED_2
31259,26494.0,HLEGLAS,20210705,3600.0,3624.95,3578.0,3609.2,6837.0,24638537.7,1464.0,UP,0.84,3507.628571428572,3524.947619047619,3226.512,3099.7474137931035,CROSSED_2
31440,31751.0,HLEGLAS,20210706,3624.0,3665.0,3600.0,3645.95,8897.0,32409205.8,1310.0,UP,1.02,3509.6892857142857,3538.0404761904756,3254.8039999999996,3109.0050847457624,CROSSED_2
32016,37999.0,HLEGLAS,20210707,3672.0,3672.0,3540.0,3555.7,7004.0,24964972.15,2287.0,DOWN,-2.48,3503.617857142857,3544.9095238095233,3280.1620000000003,3116.45,CROSSED_2
32373,44723.0,HLEGLAS,20210708,3579.95,3609.0,3521.55,3530.25,2885.0,10242274.0,895.0,DOWN,-0.72,3498.6142857142854,3549.17619047619,3302.724,3123.2336065573772,CROSSED_2
32797,50912.0,HLEGLAS,20210709,3511.0,3630.0,3511.0,3586.85,4177.0,14988023.45,1244.0,UP,1.6,3502.878571428572,3547.1833333333334,3324.0160000000005,3130.7112903225807,CROSSED_2
33540,67691.0,HLEGLAS,20210712,3639.8,3639.8,3547.05,3563.55,3304.0,11912143.75,979.0,DOWN,-0.65,3508.7178571428567,3540.6285714285714,3343.0209999999997,3137.5817460317458,CROSSED_2
33773,73427.0,HLEGLAS,20210713,3607.2,3607.45,3500.0,3529.95,3927.0,13920511.95,1176.0,DOWN,-0.94,3513.8857142857137,3532.6047619047617,3359.007,3143.7125,CROSSED_2
34228,77768.0,HLEGLAS,20210714,3529.95,3555.95,3495.0,3502.95,3055.0,10770691.8,931.0,DOWN,-0.76,3518.1,3524.8571428571427,3372.5219999999995,3149.2392307692307,CROSSED_2
34982,83002.0,HLEGLAS,20210715,3539.0,3569.55,3434.45,3471.0,4768.0,16670688.4,1369.0,DOWN,-0.91,3520.1892857142857,3517.8999999999996,3382.8969999999995,3154.1143939393937,CROSSED_2
35409,88729.0,HLEGLAS,20210716,3549.0,3549.0,3440.0,3464.5,3419.0,11889327.65,1082.0,DOWN,-0.19,3522.9821428571427,3509.5095238095237,3396.0939999999996,3158.747014925373,CROSSED_2
35555,105057.0,HLEGLAS,20210719,3479.25,3515.5,3431.05,3452.4,3533.0,12257677.8,1051.0,DOWN,-0.35,3528.6,3502.4666666666667,3408.364,3163.065441176471,CROSSED_2
36258,109826.0,HLEGLAS,20210720,3466.0,3478.15,3361.0,3421.9,5777.0,19656453.85,1390.0,DOWN,-0.88,3524.0142857142855,3497.454761904762,3417.186,3166.8166666666666,CROSSED_2
36642,120898.0,HLEGLAS,20210722,3480.0,3574.4,3433.95,3550.95,6031.0,21224008.45,1202.0,UP,3.77,3533.1535714285715,3500.747619047619,3431.2329999999997,3172.3042857142855,CROSSED_2
