,ID,Symbol,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,TOTTRDQTY,TOTTRDVAL,TOTALTRADES,UP_DOWN,CHNAGE_%,SMA_14,SMA_21,SMA_50,SMA_200,ABT_cases
4683,65305.0,IBREALEST,20210412,82.75,82.75,74.7,77.1,10877902.0,850603011.8,42075.0,-,0,77.1,77.1,77.1,77.1,0
5193,71061.0,IBREALEST,20210413,78.2,80.9,76.8,79.7,6150099.0,486436706.95,27290.0,UP,3.37,78.4,78.4,78.4,78.4,0
5724,81584.0,IBREALEST,20210415,79.0,79.7,76.5,78.1,4211760.0,328581295.7,20246.0,DOWN,-2.01,78.3,78.3,78.3,78.3,0
6254,86356.0,IBREALEST,20210416,78.15,82.4,78.15,79.35,7982525.0,639716907.5,27011.0,UP,1.6,78.5625,78.5625,78.5625,78.5625,0
6503,103121.0,IBREALEST,20210419,75.5,76.3,72.5,73.95,5947172.0,440666074.65,24139.0,DOWN,-6.81,77.64,77.64,77.64,77.64,0
7286,107456.0,IBREALEST,20210420,75.5,77.5,74.8,76.05,5173126.0,393919966.0,20967.0,UP,2.84,77.375,77.375,77.375,77.375,0
7447,118482.0,IBREALEST,20210422,75.25,81.65,74.7,79.8,11957533.0,950988562.0,44129.0,UP,4.93,77.72142857142856,77.72142857142856,77.72142857142856,77.72142857142856,0
7976,124718.0,IBREALEST,20210423,79.5,81.3,77.6,79.55,4874360.0,388171898.6,21606.0,DOWN,-0.31,77.95,77.95,77.95,77.95,0
8554,142005.0,IBREALEST,20210426,82.0,84.4,81.15,82.05,12385844.0,1022794340.7,46663.0,UP,3.14,78.40555555555555,78.40555555555555,78.40555555555555,78.40555555555555,0
9240,146794.0,IBREALEST,20210427,81.9,82.9,81.05,81.5,4182029.0,342721424.35,16288.0,DOWN,-0.67,78.715,78.715,78.715,78.715,0
9597,152541.0,IBREALEST,20210428,82.15,83.9,79.8,80.1,7968171.0,650111653.15,25581.0,DOWN,-1.72,78.8409090909091,78.8409090909091,78.8409090909091,78.8409090909091,0
9946,158765.0,IBREALEST,20210429,80.9,81.7,77.4,77.9,5568774.0,439540288.95,26157.0,DOWN,-2.75,78.7625,78.7625,78.7625,78.7625,0
10404,164526.0,IBREALEST,20210430,76.8,79.0,76.5,77.3,4902922.0,382637556.3,19938.0,DOWN,-0.77,78.64999999999999,78.64999999999999,78.64999999999999,78.64999999999999,0
11025,16490.0,IBREALEST,20210503,76.5,81.2,76.3,79.2,6054822.0,478972738.05,28428.0,UP,2.46,78.68928571428572,78.68928571428572,78.68928571428572,78.68928571428572,0
11149,22210.0,IBREALEST,20210504,80.0,80.8,77.0,77.45,4553537.0,360088986.9,21293.0,DOWN,-2.21,78.71428571428571,78.60666666666665,78.60666666666665,78.60666666666665,CROSSED_2
11715,27458.0,IBREALEST,20210505,78.3,79.65,76.0,77.45,7275823.0,562943590.75,30140.0,Const,0.0,78.55357142857143,78.534375,78.534375,78.534375,CROSSED_2
12514,33214.0,IBREALEST,20210506,78.2,78.5,75.85,76.8,3072589.0,237739870.8,13335.0,DOWN,-0.84,78.46071428571429,78.43235294117646,78.43235294117646,78.43235294117646,CROSSED_2
12578,40420.0,IBREALEST,20210507,77.7,80.4,77.0,78.7,7735607.0,612126623.55,25398.0,UP,2.47,78.41428571428571,78.44722222222222,78.44722222222222,78.44722222222222,WILL_CROSS_1
13043,58597.0,IBREALEST,20210510,79.45,88.55,78.65,85.45,17175534.0,1452369579.75,68676.0,UP,8.58,79.23571428571428,78.8157894736842,78.8157894736842,78.8157894736842,CROSSED_2
13625,63896.0,IBREALEST,20210511,84.7,89.2,83.1,86.8,11999905.0,1048407978.55,42540.0,UP,1.58,80.00357142857142,79.215,79.215,79.215,CROSSED_2
13972,68655.0,IBREALEST,20210512,87.6,88.3,83.35,84.95,8658457.0,740666014.4,31464.0,DOWN,-2.13,80.37142857142858,79.48809523809524,79.48809523809524,79.48809523809524,CROSSED_2
14719,80176.0,IBREALEST,20210514,85.5,86.7,79.7,81.35,6926342.0,572383850.0,31091.0,DOWN,-4.24,80.5,79.69047619047619,79.57272727272726,79.57272727272726,CROSSED_2
14946,95929.0,IBREALEST,20210517,81.75,83.85,81.75,82.75,3062002.0,253609522.3,14047.0,UP,1.72,80.54999999999998,79.83571428571429,79.7108695652174,79.7108695652174,CROSSED_2
15559,101209.0,IBREALEST,20210518,83.6,86.4,82.85,83.45,5474537.0,462696564.45,26855.0,UP,0.85,80.6892857142857,80.09047619047618,79.86666666666666,79.86666666666666,CROSSED_2
15947,106021.0,IBREALEST,20210519,83.4,86.5,82.9,84.5,5818374.0,493328748.6,22269.0,UP,1.26,81.00357142857142,80.33571428571429,80.05199999999999,80.05199999999999,CROSSED_2
16519,111289.0,IBREALEST,20210520,85.0,92.85,83.65,91.85,28314144.0,2547199093.2,105935.0,UP,8.7,82.0,81.18809523809523,80.50576923076923,80.50576923076923,CROSSED_2
16932,117080.0,IBREALEST,20210521,92.8,96.4,90.1,92.15,15391404.0,1445952477.05,68229.0,UP,0.33,83.06071428571428,81.95476190476191,80.93703703703704,80.93703703703704,CROSSED_2
17516,134308.0,IBREALEST,20210524,92.7,94.05,90.6,91.55,6987009.0,645410914.4,32305.0,DOWN,-0.65,83.94285714285715,82.5142857142857,81.31607142857142,81.31607142857142,CROSSED_2
17806,140089.0,IBREALEST,20210525,92.5,98.15,90.7,94.85,18889412.0,1798290130.5,70380.0,UP,3.6,85.1857142857143,83.24285714285715,81.78275862068965,81.78275862068965,CROSSED_2
18317,144877.0,IBREALEST,20210526,96.0,104.5,96.0,103.15,35832605.0,3619591979.7,128726.0,UP,8.75,87.02142857142857,84.24761904761905,82.49499999999999,82.49499999999999,CROSSED_2
18773,150636.0,IBREALEST,20210527,102.5,102.8,98.65,100.45,12418120.0,1252006768.45,55272.0,DOWN,-2.62,88.71071428571429,85.14999999999999,83.0741935483871,83.0741935483871,CROSSED_2
19327,157359.0,IBREALEST,20210528,100.65,102.5,97.15,97.9,10686555.0,1067143516.75,45904.0,DOWN,-2.54,90.08214285714287,85.99761904761905,83.5375,83.5375,CROSSED_2
19791,172623.0,IBREALEST,20210531,97.9,103.9,96.25,101.8,13798075.0,1395936806.1,59369.0,UP,3.98,91.25,87.13571428571429,84.0909090909091,84.0909090909091,CROSSED_2
20444,4019.0,IBREALEST,20210601,102.5,102.75,97.85,99.1,7428800.0,742209612.15,38748.0,DOWN,-2.65,92.12857142857142,88.17380952380952,84.53235294117647,84.53235294117647,CROSSED_2
20518,9253.0,IBREALEST,20210602,99.0,102.15,98.65,100.5,7113855.0,716849359.3,33111.0,UP,1.41,93.23928571428571,89.18809523809523,84.98857142857143,84.98857142857143,CROSSED_2
21375,15035.0,IBREALEST,20210603,101.4,108.5,101.1,106.25,26792581.0,2837291251.3,101059.0,UP,5.72,95.01785714285714,90.55952380952381,85.57916666666667,85.57916666666667,CROSSED_2
21728,21254.0,IBREALEST,20210604,106.9,114.0,104.05,112.75,27880963.0,3062575338.25,104452.0,UP,6.12,97.16071428571429,92.24047619047619,86.31351351351351,86.31351351351351,CROSSED_2
22112,38963.0,IBREALEST,20210607,114.0,117.9,111.55,112.35,19709085.0,2257883705.4,90453.0,DOWN,-0.35,99.22500000000001,93.93333333333334,86.9986842105263,86.9986842105263,CROSSED_2
22427,45687.0,IBREALEST,20210608,112.0,113.0,105.9,106.55,15448961.0,1674617430.9,66590.0,DOWN,-5.16,100.8,95.25952380952381,87.5,87.5,CROSSED_2
22829,51371.0,IBREALEST,20210609,107.5,112.7,102.65,105.2,21314552.0,2311233791.05,87376.0,DOWN,-1.27,101.75357142857142,96.2,87.9425,87.9425,CROSSED_2
23384,57147.0,IBREALEST,20210610,106.2,114.5,106.0,113.15,24204184.0,2697797949.55,97785.0,UP,7.56,103.25357142857142,97.45476190476191,88.55731707317074,88.55731707317074,CROSSED_2
23807,62946.0,IBREALEST,20210611,114.0,114.75,108.6,109.7,13542987.0,1511031324.8,57290.0,DOWN,-3.05,104.55,98.63333333333334,89.06071428571428,89.06071428571428,CROSSED_2
24346,78726.0,IBREALEST,20210614,109.2,111.5,105.0,109.6,11660614.0,1267505131.9,62472.0,DOWN,-0.09,105.60357142857141,99.97857142857144,89.53837209302326,89.53837209302326,CROSSED_2
24626,83960.0,IBREALEST,20210615,110.0,112.55,109.45,110.65,7943422.0,882524176.3,34321.0,UP,0.96,106.13928571428572,101.30714285714286,90.01818181818182,90.01818181818182,CROSSED_2
25396,89188.0,IBREALEST,20210616,110.5,111.4,107.0,108.7,8514574.0,930852199.85,36014.0,DOWN,-1.76,106.72857142857143,102.5095238095238,90.43333333333334,90.43333333333334,CROSSED_2
25751,94479.0,IBREALEST,20210617,107.0,114.2,106.05,108.15,18380147.0,2037626489.55,69453.0,DOWN,-0.51,107.46071428571429,103.63571428571429,90.81847826086955,90.81847826086955,CROSSED_2
