,ID,Symbol,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,TOTTRDQTY,TOTTRDVAL,TOTALTRADES,UP_DOWN,CHNAGE_%,SMA_14,SMA_21,SMA_50,SMA_200,ABT_cases
4684,65306.0,IBULHSGFIN,20210412,186.5,186.9,166.55,168.6,23457223.0,4068693838.0,141619.0,-,0,168.6,168.6,168.6,168.6,0
5192,71062.0,IBULHSGFIN,20210413,172.0,173.4,166.5,171.85,16528864.0,2819848979.1,94471.0,UP,1.93,170.225,170.225,170.225,170.225,0
5725,81585.0,IBULHSGFIN,20210415,169.1,171.7,161.1,164.95,19875117.0,3285212777.55,112831.0,DOWN,-4.02,168.46666666666667,168.46666666666667,168.46666666666667,168.46666666666667,0
6253,86357.0,IBULHSGFIN,20210416,166.0,168.5,164.0,165.8,12193525.0,2025932683.5,68382.0,UP,0.52,167.8,167.8,167.8,167.8,0
6502,103122.0,IBULHSGFIN,20210419,156.2,162.65,154.2,160.85,19449239.0,3091084220.55,111117.0,DOWN,-2.99,166.41,166.41,166.41,166.41,0
7287,107457.0,IBULHSGFIN,20210420,163.8,168.0,163.0,165.1,14995164.0,2483133548.5,77063.0,UP,2.64,166.19166666666666,166.19166666666666,166.19166666666666,166.19166666666666,0
7684,118483.0,IBULHSGFIN,20210422,170.0,185.7,169.25,176.95,60072483.0,10780182870.4,317469.0,UP,7.18,167.72857142857143,167.72857142857143,167.72857142857143,167.72857142857143,0
7977,124719.0,IBULHSGFIN,20210423,176.05,179.0,173.35,177.1,14258664.0,2514528367.55,81985.0,UP,0.08,168.9,168.9,168.9,168.9,0
8555,142006.0,IBULHSGFIN,20210426,179.6,181.4,174.1,179.25,10635194.0,1896102451.05,70699.0,UP,1.21,170.05,170.05,170.05,170.05,0
9241,146795.0,IBULHSGFIN,20210427,179.0,183.15,177.0,181.95,11959297.0,2161901175.25,80621.0,UP,1.51,171.23999999999998,171.23999999999998,171.23999999999998,171.23999999999998,0
