,ID,Symbol,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,TOTTRDQTY,TOTTRDVAL,TOTALTRADES,UP_DOWN,CHNAGE_%,SMA_14,SMA_21,SMA_50,SMA_200,ABT_cases
4686,65308.0,ICICIGI,20210412,1419.6,1419.6,1329.9,1351.05,902033.0,1223946945.5,36589.0,-,0,1351.05,1351.05,1351.05,1351.05,0
5190,71064.0,ICICIGI,20210413,1365.6,1387.9,1345.85,1364.0,748685.0,1016699682.25,51585.0,UP,0.96,1357.525,1357.525,1357.525,1357.525,0
5727,81587.0,ICICIGI,20210415,1364.0,1395.65,1334.55,1386.6,597218.0,813707842.75,48760.0,UP,1.66,1367.2166666666665,1367.2166666666665,1367.2166666666665,1367.2166666666665,0
6251,86359.0,ICICIGI,20210416,1375.0,1428.0,1375.0,1417.15,825956.0,1167724590.3,34127.0,UP,2.2,1379.7,1379.7,1379.7,1379.7,0
6500,103124.0,ICICIGI,20210419,1410.0,1410.0,1333.65,1360.7,1174639.0,1597737396.45,78402.0,DOWN,-3.98,1375.9,1375.9,1375.9,1375.9,0
7289,107459.0,ICICIGI,20210420,1390.0,1418.0,1366.1,1399.0,928686.0,1283816587.95,41540.0,UP,2.81,1379.75,1379.75,1379.75,1379.75,0
7445,118485.0,ICICIGI,20210422,1380.7,1400.0,1372.3,1380.05,443394.0,612245052.15,27693.0,DOWN,-1.35,1379.792857142857,1379.792857142857,1379.792857142857,1379.792857142857,0
7979,124721.0,ICICIGI,20210423,1375.0,1404.9,1375.0,1381.2,463636.0,644331646.05,23903.0,UP,0.08,1379.96875,1379.96875,1379.96875,1379.96875,0
8557,142008.0,ICICIGI,20210426,1411.2,1462.15,1390.05,1451.6,1698950.0,2428095525.8,54022.0,UP,5.1,1387.927777777778,1387.927777777778,1387.927777777778,1387.927777777778,0
9243,146797.0,ICICIGI,20210427,1464.65,1482.0,1421.2,1439.7,541749.0,780214667.05,28551.0,DOWN,-0.82,1393.105,1393.105,1393.105,1393.105,0
9594,152544.0,ICICIGI,20210428,1451.7,1454.5,1421.65,1424.9,273683.0,392410963.3,16034.0,DOWN,-1.03,1395.9954545454545,1395.9954545454545,1395.9954545454545,1395.9954545454545,0
9949,158768.0,ICICIGI,20210429,1431.0,1446.55,1412.55,1417.85,244982.0,349216928.25,17879.0,DOWN,-0.49,1397.8166666666666,1397.8166666666666,1397.8166666666666,1397.8166666666666,0
10401,164529.0,ICICIGI,20210430,1413.6,1424.1,1400.0,1414.0,512509.0,722966164.65,29105.0,DOWN,-0.27,1399.0615384615385,1399.0615384615385,1399.0615384615385,1399.0615384615385,0
11022,16493.0,ICICIGI,20210503,1415.0,1443.0,1390.2,1435.6,375833.0,536017081.95,26750.0,UP,1.53,1401.6714285714286,1401.6714285714286,1401.6714285714286,1401.6714285714286,0
11152,22213.0,ICICIGI,20210504,1438.0,1471.95,1422.9,1443.2,425540.0,615987550.3,30856.0,UP,0.53,1408.2535714285714,1404.4399999999998,1404.4399999999998,1404.4399999999998,CROSSED_2
11712,27461.0,ICICIGI,20210505,1457.75,1472.0,1440.9,1451.7,273192.0,397141020.05,28548.0,UP,0.59,1414.517857142857,1407.39375,1407.39375,1407.39375,CROSSED_2
