,ID,Symbol,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,TOTTRDQTY,TOTTRDVAL,TOTALTRADES,UP_DOWN,CHNAGE_%,SMA_14,SMA_21,SMA_50,SMA_200,ABT_cases
4688,65310.0,ICIL,20210412,129.1,129.75,123.65,125.5,135766.0,17261884.6,2075.0,-,0,125.5,125.5,125.5,125.5,0
5188,71066.0,ICIL,20210413,127.7,128.6,124.3,126.0,98999.0,12473692.1,2374.0,UP,0.4,125.75,125.75,125.75,125.75,0
5729,81589.0,ICIL,20210415,129.0,129.0,121.25,123.0,121408.0,14962823.1,2197.0,DOWN,-2.38,124.83333333333333,124.83333333333333,124.83333333333333,124.83333333333333,0
6249,86361.0,ICIL,20210416,120.05,129.0,120.05,127.15,90612.0,11330392.45,2228.0,UP,3.37,125.4125,125.4125,125.4125,125.4125,0
6498,103126.0,ICIL,20210419,126.0,126.0,117.0,121.75,122044.0,14805141.95,3019.0,DOWN,-4.25,124.67999999999999,124.67999999999999,124.67999999999999,124.67999999999999,0
7291,107461.0,ICIL,20210420,122.0,125.1,121.1,121.55,85467.0,10494387.85,2558.0,DOWN,-0.16,124.15833333333335,124.15833333333335,124.15833333333335,124.15833333333335,0
7443,118487.0,ICIL,20210422,122.0,132.2,120.05,130.95,269907.0,34499066.1,4325.0,UP,7.73,125.12857142857142,125.12857142857142,125.12857142857142,125.12857142857142,0
7981,124723.0,ICIL,20210423,130.25,132.8,125.25,126.35,161616.0,20912450.15,4292.0,DOWN,-3.51,125.28125,125.28125,125.28125,125.28125,0
8559,142010.0,ICIL,20210426,126.7,129.55,125.65,127.3,79489.0,10159503.2,1962.0,UP,0.75,125.50555555555555,125.50555555555555,125.50555555555555,125.50555555555555,0
9245,146799.0,ICIL,20210427,127.6,134.85,127.0,132.95,387562.0,50777944.95,4156.0,UP,4.44,126.25,126.25,126.25,126.25,0
9592,152546.0,ICIL,20210428,135.9,135.9,131.05,132.3,194915.0,26050934.3,4428.0,DOWN,-0.49,126.8,126.8,126.8,126.8,0
9951,158770.0,ICIL,20210429,133.6,134.35,130.0,130.35,117059.0,15462594.8,2565.0,DOWN,-1.47,127.09583333333332,127.09583333333332,127.09583333333332,127.09583333333332,0
10399,164531.0,ICIL,20210430,129.0,133.5,128.0,131.6,205419.0,26739053.8,3273.0,UP,0.96,127.4423076923077,127.4423076923077,127.4423076923077,127.4423076923077,0
11020,16495.0,ICIL,20210503,128.35,142.1,128.35,137.15,726241.0,100495700.55,8637.0,UP,4.22,128.13571428571427,128.13571428571427,128.13571428571427,128.13571428571427,0
11154,22215.0,ICIL,20210504,141.0,148.65,135.0,142.15,851974.0,122461994.0,9108.0,UP,3.65,129.325,129.07,129.07,129.07,CROSSED_2
11710,27463.0,ICIL,20210505,143.15,146.9,135.3,138.2,333310.0,47419855.7,5865.0,DOWN,-2.78,130.19642857142858,129.640625,129.640625,129.640625,CROSSED_2
12509,33219.0,ICIL,20210506,140.75,142.6,138.5,139.3,256447.0,36005707.85,3724.0,UP,0.8,131.3607142857143,130.20882352941177,130.20882352941177,130.20882352941177,CROSSED_2
12583,40425.0,ICIL,20210507,140.05,148.1,140.05,145.2,567814.0,82345486.9,6580.0,UP,4.24,132.65,131.04166666666666,131.04166666666666,131.04166666666666,CROSSED_2
13038,58602.0,ICIL,20210510,146.75,154.4,146.75,152.55,943433.0,142938991.4,8422.0,UP,5.06,134.85,132.17368421052632,132.17368421052632,132.17368421052632,CROSSED_2
13620,63901.0,ICIL,20210511,151.5,156.0,146.1,148.4,494781.0,74772547.95,8092.0,DOWN,-2.72,136.76785714285714,132.98499999999999,132.98499999999999,132.98499999999999,CROSSED_2
13967,68660.0,ICIL,20210512,149.9,154.7,148.0,150.5,488444.0,74459097.35,9112.0,UP,1.42,138.16428571428574,133.8190476190476,133.8190476190476,133.8190476190476,CROSSED_2
14724,80181.0,ICIL,20210514,153.15,153.8,146.1,149.1,332025.0,49757299.5,6476.0,DOWN,-0.93,139.7892857142857,134.94285714285715,134.51363636363638,134.51363636363638,CROSSED_2
14941,95934.0,ICIL,20210517,152.0,159.0,148.95,155.45,2363671.0,367135469.75,23593.0,UP,4.26,141.8,136.3452380952381,135.42391304347825,135.42391304347825,CROSSED_2
15554,101214.0,ICIL,20210518,151.95,153.7,148.1,152.25,960321.0,144520495.8,13123.0,DOWN,-2.06,143.17857142857142,137.73809523809524,136.125,136.125,CROSSED_2
15942,106026.0,ICIL,20210519,152.45,157.15,151.75,154.05,802814.0,124561915.95,12696.0,UP,1.18,144.73214285714286,139.0190476190476,136.842,136.842,CROSSED_2
16524,111294.0,ICIL,20210520,155.0,161.0,154.05,156.2,1042077.0,165019630.8,15395.0,UP,1.4,146.57857142857142,140.65952380952382,137.58653846153845,137.58653846153845,CROSSED_2
16937,117085.0,ICIL,20210521,157.9,158.9,154.2,154.95,229818.0,35941859.55,3670.0,DOWN,-0.8,148.24642857142857,142.25,138.2296296296296,138.2296296296296,CROSSED_2
17521,134313.0,ICIL,20210524,156.5,157.95,151.6,152.65,278354.0,43142618.75,4196.0,DOWN,-1.48,149.35357142857146,143.28333333333333,138.74464285714285,138.74464285714285,CROSSED_2
17801,140094.0,ICIL,20210525,154.3,154.3,150.1,151.45,164666.0,25050960.85,2362.0,DOWN,-0.79,150.01785714285714,144.47857142857143,139.18275862068964,139.18275862068964,CROSSED_2
18312,144882.0,ICIL,20210526,152.0,154.2,150.15,150.8,173119.0,26279487.5,3224.0,DOWN,-0.43,150.91785714285714,145.59761904761905,139.57000000000002,139.57000000000002,CROSSED_2
18768,150641.0,ICIL,20210527,153.0,153.0,148.05,148.45,215649.0,32278312.35,3575.0,DOWN,-1.56,151.57142857142858,146.33571428571426,139.85645161290324,139.85645161290324,CROSSED_2
19322,157364.0,ICIL,20210528,150.7,150.7,143.0,144.35,311758.0,45635017.1,5392.0,DOWN,-2.76,151.5107142857143,146.90952380952382,139.996875,139.996875,CROSSED_2
19796,172628.0,ICIL,20210531,145.0,149.05,140.45,147.2,294436.0,42459585.95,5986.0,UP,1.97,151.12857142857143,147.71190476190475,140.21515151515152,140.21515151515152,CROSSED_2
20073,4024.0,ICIL,20210601,149.7,149.7,143.4,144.2,142749.0,20783201.85,3866.0,DOWN,-2.04,150.82857142857142,148.31190476190474,140.33235294117648,140.33235294117648,CROSSED_2
20513,9258.0,ICIL,20210602,146.4,154.4,141.9,152.3,482766.0,72487331.2,7682.0,UP,5.62,150.95714285714283,149.03333333333333,140.67428571428573,140.67428571428573,CROSSED_2
21380,15040.0,ICIL,20210603,153.5,157.25,150.45,154.05,684562.0,105831253.45,10168.0,UP,1.15,151.31071428571428,149.60000000000002,141.04583333333332,141.04583333333332,CROSSED_2
21723,21259.0,ICIL,20210604,154.0,155.35,148.7,152.55,307371.0,46840235.25,6082.0,DOWN,-0.97,151.10357142857143,150.28333333333333,141.35675675675674,141.35675675675674,CROSSED_2
22107,38968.0,ICIL,20210607,153.0,159.85,152.0,158.1,978656.0,154125437.45,10982.0,UP,3.64,151.52142857142854,151.17857142857142,141.79736842105262,141.79736842105262,CROSSED_2
22432,45692.0,ICIL,20210608,159.5,178.8,157.35,174.6,4194543.0,712308990.95,38192.0,UP,10.44,152.9892857142857,152.57857142857142,142.63846153846154,142.63846153846154,CROSSED_2
22824,51376.0,ICIL,20210609,177.8,178.95,165.25,169.8,1501890.0,260321384.05,20430.0,DOWN,-2.75,153.96071428571426,153.4,143.3175,143.3175,CROSSED_2
23389,57152.0,ICIL,20210610,171.0,177.0,171.0,173.55,830106.0,144298684.55,10256.0,UP,2.21,155.28928571428574,154.59761904761905,144.0548780487805,144.0548780487805,CROSSED_2
23812,62951.0,ICIL,20210611,174.8,175.8,169.0,171.65,364918.0,62711192.8,5489.0,DOWN,-1.09,156.64642857142857,155.60476190476192,144.71190476190475,144.71190476190475,CROSSED_2
24156,78731.0,ICIL,20210614,172.6,176.25,165.1,171.35,767117.0,131821275.9,8352.0,DOWN,-0.17,158.06785714285712,156.66428571428574,145.33139534883722,145.33139534883722,CROSSED_2
