,ID,Symbol,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,TOTTRDQTY,TOTTRDVAL,TOTALTRADES,UP_DOWN,CHNAGE_%,SMA_14,SMA_21,SMA_50,SMA_200,ABT_cases
4690,65312.0,IDEA,20210412,9.3,9.3,8.6,8.75,230871743.0,2046424693.7,185315.0,-,0,8.75,8.75,8.75,8.75,0
5186,71068.0,IDEA,20210413,8.85,9.0,8.8,8.95,121410282.0,1080882501.75,108129.0,UP,2.29,8.85,8.85,8.85,8.85,0
5731,81591.0,IDEA,20210415,8.9,9.1,8.65,8.95,155089395.0,1381016247.2,111358.0,Const,0.0,8.883333333333333,8.883333333333333,8.883333333333333,8.883333333333333,0
6247,86363.0,IDEA,20210416,8.9,8.95,8.8,8.85,72798915.0,645685495.35,85124.0,DOWN,-1.12,8.875,8.875,8.875,8.875,0
6496,103128.0,IDEA,20210419,8.6,8.6,8.3,8.45,132327626.0,1117586054.7,164551.0,DOWN,-4.52,8.79,8.79,8.79,8.79,0
7293,107463.0,IDEA,20210420,8.5,8.65,8.3,8.45,92343831.0,783905885.05,89266.0,Const,0.0,8.733333333333333,8.733333333333333,8.733333333333333,8.733333333333333,0
7441,118489.0,IDEA,20210422,8.45,8.65,8.35,8.45,121409013.0,1030047058.4,93795.0,Const,0.0,8.692857142857141,8.692857142857141,8.692857142857141,8.692857142857141,0
7983,124725.0,IDEA,20210423,8.4,8.55,8.35,8.45,61571313.0,521290793.3,108490.0,Const,0.0,8.6625,8.6625,8.6625,8.6625,0
8561,142012.0,IDEA,20210426,8.55,8.6,8.45,8.45,55862755.0,474069840.05,71843.0,Const,0.0,8.63888888888889,8.63888888888889,8.63888888888889,8.63888888888889,0
9247,146801.0,IDEA,20210427,8.45,8.75,8.45,8.7,107539610.0,931188637.3,65007.0,UP,2.96,8.645,8.645,8.645,8.645,0
9590,152548.0,IDEA,20210428,8.75,8.85,8.6,8.65,102877140.0,897969803.75,110025.0,DOWN,-0.57,8.645454545454545,8.645454545454545,8.645454545454545,8.645454545454545,0
9953,158772.0,IDEA,20210429,8.7,8.75,8.35,8.4,155613116.0,1315200542.55,99565.0,DOWN,-2.89,8.625,8.625,8.625,8.625,0
