,ID,Symbol,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,TOTTRDQTY,TOTTRDVAL,TOTALTRADES,UP_DOWN,CHNAGE_%,SMA_14,SMA_21,SMA_50,SMA_200,ABT_cases
4700,65322.0,INDIAMART,20210412,8220.05,8299.85,7800.0,7885.05,115446.0,927635479.55,31959.0,-,0,7885.05,7885.05,7885.05,7885.05,0
5176,71078.0,INDIAMART,20210413,7924.0,8079.75,7859.35,7946.4,63698.0,508338224.65,17105.0,UP,0.78,7915.725,7915.725,7915.725,7915.725,0
5741,81601.0,INDIAMART,20210415,7890.0,8150.0,7890.0,8043.45,74392.0,595105577.25,19147.0,UP,1.22,7958.3,7958.3,7958.3,7958.3,0
6237,86373.0,INDIAMART,20210416,8030.0,8090.0,7950.1,7978.75,43017.0,344691688.8,12449.0,DOWN,-0.8,7963.4125,7963.4125,7963.4125,7963.4125,0
6486,103138.0,INDIAMART,20210419,7849.0,7890.0,7660.0,7746.8,93675.0,728448938.35,21206.0,DOWN,-2.91,7920.089999999999,7920.089999999999,7920.089999999999,7920.089999999999,0
7303,107473.0,INDIAMART,20210420,7875.0,7888.5,7715.7,7764.4,104167.0,810026704.95,18578.0,UP,0.23,7894.141666666666,7894.141666666666,7894.141666666666,7894.141666666666,0
7431,118499.0,INDIAMART,20210422,7764.0,8111.0,7755.0,7991.45,148331.0,1179927083.45,27090.0,UP,2.92,7908.042857142857,7908.042857142857,7908.042857142857,7908.042857142857,0
7993,124735.0,INDIAMART,20210423,7991.45,8383.3,7980.05,8253.75,167833.0,1382240549.65,35711.0,UP,3.28,7951.25625,7951.25625,7951.25625,7951.25625,0
8571,142022.0,INDIAMART,20210426,8382.0,8638.8,8300.0,8356.35,174997.0,1483214927.65,31797.0,UP,1.24,7996.266666666666,7996.266666666666,7996.266666666666,7996.266666666666,0
8790,146811.0,INDIAMART,20210427,8431.35,8520.0,8352.7,8458.2,76017.0,639269210.25,14478.0,UP,1.22,8042.460000000001,8042.460000000001,8042.460000000001,8042.460000000001,0
