,ID,Symbol,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,TOTTRDQTY,TOTTRDVAL,TOTALTRADES,UP_DOWN,CHNAGE_%,SMA_14,SMA_21,SMA_50,SMA_200,ABT_cases
4703,65325.0,INDIGOPNTS,20210412,2320.0,2320.0,2270.0,2275.95,29630.0,67827610.45,5918.0,-,0,2275.95,2275.95,2275.95,2275.95,0
5173,71081.0,INDIGOPNTS,20210413,2285.0,2330.0,2285.0,2298.45,22948.0,52780393.45,3358.0,UP,0.99,2287.2,2287.2,2287.2,2287.2,0
5744,81604.0,INDIGOPNTS,20210415,2266.55,2309.75,2266.55,2300.7,21709.0,49880060.65,3412.0,UP,0.1,2291.7,2291.7,2291.7,2291.7,0
6234,86376.0,INDIGOPNTS,20210416,2320.0,2339.75,2304.9,2317.85,27473.0,63734138.2,5848.0,UP,0.75,2298.2374999999997,2298.2374999999997,2298.2374999999997,2298.2374999999997,0
6483,103141.0,INDIGOPNTS,20210419,2250.05,2355.55,2250.05,2302.05,45790.0,105167619.3,5056.0,DOWN,-0.68,2299.0,2299.0,2299.0,2299.0,0
7306,107476.0,INDIGOPNTS,20210420,2306.95,2339.0,2286.65,2307.55,25891.0,59691865.35,5139.0,UP,0.24,2300.4249999999997,2300.4249999999997,2300.4249999999997,2300.4249999999997,0
7428,118502.0,INDIGOPNTS,20210422,2290.0,2313.3,2290.0,2300.2,15544.0,35791159.9,3794.0,DOWN,-0.32,2300.3928571428573,2300.3928571428573,2300.3928571428573,2300.3928571428573,0
7996,124738.0,INDIGOPNTS,20210423,2316.0,2367.8,2295.15,2315.1,38883.0,90444704.2,6810.0,UP,0.65,2302.23125,2302.23125,2302.23125,2302.23125,0
8574,142025.0,INDIGOPNTS,20210426,2302.1,2350.15,2302.1,2336.9,25624.0,59789518.35,4689.0,UP,0.94,2306.0833333333335,2306.0833333333335,2306.0833333333335,2306.0833333333335,0
8793,146814.0,INDIGOPNTS,20210427,2327.0,2355.2,2304.95,2321.5,39216.0,91550141.65,7476.0,DOWN,-0.66,2307.625,2307.625,2307.625,2307.625,0
9577,152561.0,INDIGOPNTS,20210428,2319.0,2384.15,2315.0,2364.7,36693.0,86487716.3,7054.0,UP,1.86,2312.8136363636363,2312.8136363636363,2312.8136363636363,2312.8136363636363,0
9966,158785.0,INDIGOPNTS,20210429,2365.0,2379.95,2317.4,2336.5,73022.0,171493653.4,4492.0,DOWN,-1.19,2314.7875,2314.7875,2314.7875,2314.7875,0
10384,164546.0,INDIGOPNTS,20210430,2337.9,2353.6,2307.0,2315.5,82072.0,191161934.65,9630.0,DOWN,-0.9,2314.8423076923077,2314.8423076923077,2314.8423076923077,2314.8423076923077,0
11005,16510.0,INDIGOPNTS,20210503,2340.0,2340.0,2290.0,2295.05,92921.0,213963386.15,8574.0,DOWN,-0.88,2313.4285714285716,2313.4285714285716,2313.4285714285716,2313.4285714285716,0
11169,22230.0,INDIGOPNTS,20210504,2295.05,2338.0,2286.8,2295.2,36842.0,84894746.6,5874.0,UP,0.01,2314.8035714285716,2312.213333333333,2312.213333333333,2312.213333333333,CROSSED_2
11695,27478.0,INDIGOPNTS,20210505,2314.0,2329.8,2288.0,2292.5,17218.0,39666656.55,3306.0,DOWN,-0.12,2314.378571428572,2310.98125,2310.98125,2310.98125,CROSSED_2
12494,33234.0,INDIGOPNTS,20210506,2295.0,2313.0,2289.7,2295.05,14398.0,33073218.0,2304.0,UP,0.11,2313.975,2310.044117647059,2310.044117647059,2310.044117647059,CROSSED_2
12597,40440.0,INDIGOPNTS,20210507,2302.0,2350.0,2291.05,2320.3,84171.0,196469528.95,5176.0,UP,1.1,2314.15,2310.613888888889,2310.613888888889,2310.613888888889,CROSSED_2
13023,58617.0,INDIGOPNTS,20210510,2339.0,2345.0,2310.0,2316.25,20365.0,47291920.6,3960.0,DOWN,-0.17,2315.1642857142856,2310.9105263157894,2310.9105263157894,2310.9105263157894,CROSSED_2
13605,63916.0,INDIGOPNTS,20210511,2306.0,2465.0,2290.0,2440.9,137081.0,330065493.15,16212.0,UP,5.38,2324.6892857142857,2317.41,2317.41,2317.41,CROSSED_2
13952,68675.0,INDIGOPNTS,20210512,2450.0,2485.0,2393.05,2419.75,74294.0,181947282.65,11893.0,DOWN,-0.87,2333.2285714285713,2322.2833333333333,2322.2833333333333,2322.2833333333333,CROSSED_2
14739,80196.0,INDIGOPNTS,20210514,2439.0,2639.0,2430.75,2486.3,203306.0,515445490.45,28474.0,UP,2.75,2345.457142857143,2332.3,2329.7386363636365,2329.7386363636365,CROSSED_2
14926,95949.0,INDIGOPNTS,20210517,2399.9,2399.9,2330.0,2352.35,251887.0,592471021.65,25061.0,DOWN,-5.39,2346.5607142857143,2334.8666666666663,2330.721739130435,2330.721739130435,CROSSED_2
15539,101229.0,INDIGOPNTS,20210518,2357.0,2392.5,2340.0,2356.35,86002.0,203851937.2,8209.0,UP,0.17,2349.0499999999997,2337.5166666666664,2331.789583333333,2331.789583333333,CROSSED_2
15927,106041.0,INDIGOPNTS,20210519,2368.7,2474.8,2351.0,2463.2,145537.0,351536823.95,14013.0,UP,4.53,2356.085714285714,2344.4380952380952,2337.0460000000003,2337.0460000000003,CROSSED_2
16539,111309.0,INDIGOPNTS,20210520,2477.65,2494.2,2440.0,2470.55,59317.0,146477408.15,7586.0,UP,0.3,2365.660714285714,2352.4619047619044,2342.1807692307693,2342.1807692307693,CROSSED_2
16952,117100.0,INDIGOPNTS,20210521,2489.95,2542.0,2483.8,2528.65,94147.0,237032579.15,13017.0,UP,2.35,2380.8857142857146,2362.990476190476,2349.087037037037,2349.087037037037,CROSSED_2
17536,134328.0,INDIGOPNTS,20210524,2528.0,2580.0,2519.25,2566.05,76360.0,195640712.75,11260.0,UP,1.48,2400.2428571428572,2375.65,2356.835714285714,2356.835714285714,CROSSED_2
17786,140109.0,INDIGOPNTS,20210525,2531.0,2585.8,2530.0,2541.35,63101.0,161347649.15,10157.0,DOWN,-0.96,2417.8250000000003,2386.4238095238097,2363.198275862069,2363.198275862069,CROSSED_2
18297,144897.0,INDIGOPNTS,20210526,2545.0,2580.0,2535.0,2572.05,65219.0,166594999.75,8403.0,UP,1.21,2437.792857142857,2397.6214285714286,2370.1600000000003,2370.1600000000003,CROSSED_2
18754,150656.0,INDIGOPNTS,20210527,2572.05,2589.0,2510.0,2544.0,164763.0,418690336.65,12961.0,DOWN,-1.09,2455.5750000000003,2408.2166666666667,2375.767741935484,2375.767741935484,CROSSED_2
19307,157379.0,INDIGOPNTS,20210528,2545.0,2564.05,2500.0,2505.7,89816.0,227173598.8,11024.0,DOWN,-1.51,2468.817857142857,2414.9309523809525,2379.828125,2379.828125,CROSSED_2
19811,172643.0,INDIGOPNTS,20210531,2500.0,2550.0,2470.0,2521.35,46925.0,117606867.25,7338.0,UP,0.62,2483.467857142857,2423.7333333333336,2384.116666666667,2384.116666666667,CROSSED_2
20058,4039.0,INDIGOPNTS,20210601,2521.7,2618.9,2515.05,2590.75,125512.0,324077913.65,15959.0,UP,2.75,2494.171428571429,2436.8404761904762,2390.194117647059,2390.194117647059,CROSSED_2
20498,9273.0,INDIGOPNTS,20210602,2580.0,2585.0,2525.1,2540.8,72355.0,184684770.9,9765.0,DOWN,-1.93,2502.817857142857,2448.5428571428574,2394.4971428571425,2394.4971428571425,CROSSED_2
20927,15055.0,INDIGOPNTS,20210603,2555.0,2564.75,2521.25,2542.7,60585.0,153914247.55,5770.0,UP,0.07,2506.8464285714285,2460.3285714285716,2398.613888888889,2398.613888888889,CROSSED_2
21708,21274.0,INDIGOPNTS,20210604,2542.7,2575.0,2468.0,2484.0,92503.0,234313875.3,8804.0,DOWN,-2.31,2516.25,2469.447619047619,2400.921621621622,2400.921621621622,CROSSED_2
22092,38983.0,INDIGOPNTS,20210607,2484.0,2522.65,2481.1,2508.75,59386.0,148547802.75,6038.0,UP,1.0,2527.1357142857146,2479.6238095238095,2403.759210526316,2403.759210526316,CROSSED_2
22447,45707.0,INDIGOPNTS,20210608,2508.75,2529.0,2490.75,2513.4,52717.0,132272066.25,7691.0,UP,0.19,2530.7214285714285,2488.8190476190475,2406.5705128205127,2406.5705128205127,CROSSED_2
22810,51390.0,INDIGOPNTS,20210609,2525.0,2569.0,2505.0,2540.35,92171.0,234349620.65,10066.0,UP,1.07,2535.707142857143,2499.490476190476,2409.915,2409.915,CROSSED_2
23403,57166.0,INDIGOPNTS,20210610,2531.35,2640.0,2528.35,2601.4,103572.0,269205558.3,9406.0,UP,2.4,2540.9035714285715,2507.1333333333337,2414.5853658536585,2414.5853658536585,CROSSED_2
23826,62965.0,INDIGOPNTS,20210611,2635.0,2665.0,2575.65,2633.8,117671.0,309883706.0,10565.0,UP,1.25,2545.7428571428572,2517.3261904761907,2419.804761904762,2419.804761904762,CROSSED_2
