,ID,Symbol,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,TOTTRDQTY,TOTTRDVAL,TOTALTRADES,UP_DOWN,CHNAGE_%,SMA_14,SMA_21,SMA_50,SMA_200,ABT_cases
4707,65329.0,INFIBEAM,20210412,44.3,44.4,41.0,42.75,2845412.0,120418390.1,10241.0,-,0,42.75,42.75,42.75,42.75,0
5169,71085.0,INFIBEAM,20210413,42.75,43.95,42.5,43.35,1877990.0,81109880.45,5086.0,UP,1.4,43.05,43.05,43.05,43.05,0
5748,81608.0,INFIBEAM,20210415,43.8,43.9,42.15,42.85,3477168.0,149659930.15,8303.0,DOWN,-1.15,42.98333333333333,42.98333333333333,42.98333333333333,42.98333333333333,0
6230,86380.0,INFIBEAM,20210416,42.8,43.5,42.05,42.35,1640564.0,70295015.65,4069.0,DOWN,-1.17,42.825,42.825,42.825,42.825,0
6479,103145.0,INFIBEAM,20210419,42.0,42.0,40.0,40.25,1201570.0,48638684.5,5364.0,DOWN,-4.96,42.31,42.31,42.31,42.31,0
7310,107480.0,INFIBEAM,20210420,40.5,41.45,40.25,40.75,881316.0,36053223.5,2856.0,UP,1.24,42.050000000000004,42.050000000000004,42.050000000000004,42.050000000000004,0
7424,118506.0,INFIBEAM,20210422,41.5,41.5,40.5,40.8,707679.0,28913717.8,2522.0,UP,0.12,41.871428571428574,41.871428571428574,41.871428571428574,41.871428571428574,0
8000,124742.0,INFIBEAM,20210423,40.8,41.3,40.2,40.45,510596.0,20797675.0,2741.0,DOWN,-0.86,41.69375,41.69375,41.69375,41.69375,0
8578,142029.0,INFIBEAM,20210426,40.5,41.25,39.7,39.8,1358181.0,54586461.55,5948.0,DOWN,-1.61,41.483333333333334,41.483333333333334,41.483333333333334,41.483333333333334,0
8797,146818.0,INFIBEAM,20210427,40.0,40.25,39.5,39.75,1221087.0,48539521.9,7808.0,DOWN,-0.13,41.31,41.31,41.31,41.31,0
9573,152565.0,INFIBEAM,20210428,39.55,41.45,39.5,40.1,1186418.0,47263585.85,3485.0,UP,0.88,41.199999999999996,41.199999999999996,41.199999999999996,41.199999999999996,0
