,ID,Symbol,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,TOTTRDQTY,TOTTRDVAL,TOTALTRADES,UP_DOWN,CHNAGE_%,SMA_14,SMA_21,SMA_50,SMA_200,ABT_cases
4711,65333.0,IOB,20210412,17.2,17.3,15.5,16.1,39488761.0,640596897.05,33585.0,-,0,16.1,16.1,16.1,16.1,0
5165,71089.0,IOB,20210413,16.45,18.5,16.3,18.0,81722099.0,1433396008.05,57626.0,UP,11.8,17.05,17.05,17.05,17.05,0
5752,81612.0,IOB,20210415,17.4,17.4,16.15,16.8,33829322.0,568357832.2,25504.0,DOWN,-6.67,16.96666666666667,16.96666666666667,16.96666666666667,16.96666666666667,0
6226,86384.0,IOB,20210416,17.3,17.6,16.8,16.95,24586864.0,420388179.3,17717.0,UP,0.89,16.9625,16.9625,16.9625,16.9625,0
6475,103149.0,IOB,20210419,16.0,16.25,15.75,16.15,18669041.0,299338593.9,16831.0,DOWN,-4.72,16.8,16.8,16.8,16.8,0
7314,107484.0,IOB,20210420,16.4,16.75,15.9,16.15,14412009.0,234452838.1,11864.0,Const,0.0,16.691666666666666,16.691666666666666,16.691666666666666,16.691666666666666,0
7420,118510.0,IOB,20210422,15.9,16.3,15.7,16.05,12540815.0,201056361.55,10583.0,DOWN,-0.62,16.6,16.6,16.6,16.6,0
8004,124746.0,IOB,20210423,15.9,16.1,15.8,15.9,11841464.0,189243809.5,8027.0,DOWN,-0.93,16.5125,16.5125,16.5125,16.5125,0
8582,142033.0,IOB,20210426,16.0,16.25,15.85,15.95,6995724.0,112253454.0,6388.0,UP,0.31,16.450000000000003,16.450000000000003,16.450000000000003,16.450000000000003,0
8801,146822.0,IOB,20210427,15.9,16.1,15.9,16.0,6817682.0,109021187.65,5573.0,UP,0.31,16.405,16.405,16.405,16.405,0
9569,152569.0,IOB,20210428,16.15,16.15,12.8,15.95,7187716.0,114434874.65,5693.0,DOWN,-0.31,16.363636363636363,16.363636363636363,16.363636363636363,16.363636363636363,0
9974,158793.0,IOB,20210429,15.95,16.15,15.8,15.85,7868123.0,125291982.65,6074.0,DOWN,-0.63,16.320833333333333,16.320833333333333,16.320833333333333,16.320833333333333,0
10376,164554.0,IOB,20210430,15.75,15.85,15.5,15.7,5392011.0,84885059.65,6116.0,DOWN,-0.95,16.273076923076925,16.273076923076925,16.273076923076925,16.273076923076925,0
10997,16518.0,IOB,20210503,15.6,15.7,15.35,15.55,5303824.0,82007706.7,8276.0,DOWN,-0.96,16.22142857142857,16.22142857142857,16.22142857142857,16.22142857142857,0
11177,22238.0,IOB,20210504,15.75,16.45,15.65,15.85,21110784.0,339152591.65,13832.0,UP,1.93,16.20357142857143,16.196666666666665,16.196666666666665,16.196666666666665,CROSSED_2
11687,27486.0,IOB,20210505,16.1,16.1,15.7,15.85,6826089.0,108574965.6,5886.0,Const,0.0,16.05,16.175,16.175,16.175,WILL_CROSS_1
12486,33242.0,IOB,20210506,16.0,16.3,15.75,15.8,7357689.0,117455616.1,5754.0,DOWN,-0.32,15.978571428571428,16.15294117647059,16.15294117647059,16.15294117647059,WILL_CROSS_1
12605,40448.0,IOB,20210507,15.85,16.2,15.8,15.85,6267903.0,100092243.25,5359.0,UP,0.32,15.9,16.13611111111111,16.13611111111111,16.13611111111111,WILL_CROSS_1
13015,58625.0,IOB,20210510,16.1,16.1,15.8,15.85,4507440.0,71661484.45,5156.0,Const,0.0,15.87857142857143,16.121052631578948,16.121052631578948,16.121052631578948,WILL_CROSS_1
13597,63924.0,IOB,20210511,15.85,16.15,15.7,15.95,9586513.0,152708799.7,7487.0,UP,0.63,15.864285714285714,16.1125,16.1125,16.1125,WILL_CROSS_1
13944,68683.0,IOB,20210512,15.95,17.2,15.9,16.4,39744724.0,661884198.45,29907.0,UP,2.82,15.889285714285716,16.126190476190477,16.126190476190477,16.126190476190477,WILL_CROSS_1
14747,80204.0,IOB,20210514,16.65,16.85,16.05,16.15,13661628.0,223703334.55,9573.0,DOWN,-1.52,15.907142857142857,16.128571428571426,16.12727272727273,16.12727272727273,WILL_CROSS_1
14917,95957.0,IOB,20210517,16.25,16.5,16.05,16.45,8984120.0,146385130.0,8602.0,UP,1.86,15.942857142857141,16.054761904761904,16.141304347826086,16.141304347826086,WILL_CROSS_1
