,ID,Symbol,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,TOTTRDQTY,TOTTRDVAL,TOTALTRADES,UP_DOWN,CHNAGE_%,SMA_14,SMA_21,SMA_50,SMA_200,ABT_cases
4715,65337.0,IRCON,20210412,88.75,88.75,86.15,86.9,2480237.0,215817906.45,11911.0,-,0,86.9,86.9,86.9,86.9,0
5161,71093.0,IRCON,20210413,86.2,88.55,86.2,88.0,1714749.0,150033618.55,8267.0,UP,1.27,87.45,87.45,87.45,87.45,0
5756,81616.0,IRCON,20210415,87.5,90.8,87.5,88.7,2008271.0,178768118.8,9141.0,UP,0.8,87.86666666666667,87.86666666666667,87.86666666666667,87.86666666666667,0
6222,86388.0,IRCON,20210416,89.0,89.6,88.5,88.6,1294484.0,115032567.65,5193.0,DOWN,-0.11,88.05,88.05,88.05,88.05,0
6471,103153.0,IRCON,20210419,87.0,87.3,85.2,87.0,1097247.0,94949250.4,5866.0,DOWN,-1.81,87.84,87.84,87.84,87.84,0
7318,107488.0,IRCON,20210420,87.3,87.85,86.75,87.0,644203.0,56120721.4,4191.0,Const,0.0,87.7,87.7,87.7,87.7,0
7416,118514.0,IRCON,20210422,86.15,87.4,86.15,87.0,686060.0,59729322.9,3575.0,Const,0.0,87.60000000000001,87.60000000000001,87.60000000000001,87.60000000000001,0
8008,124750.0,IRCON,20210423,87.0,89.75,86.85,87.8,1466679.0,129456371.1,7535.0,UP,0.92,87.625,87.625,87.625,87.625,0
8586,142037.0,IRCON,20210426,88.25,89.1,87.75,88.0,624073.0,55067163.5,4291.0,UP,0.23,87.66666666666667,87.66666666666667,87.66666666666667,87.66666666666667,0
8805,146826.0,IRCON,20210427,88.0,88.85,88.0,88.5,592272.0,52443226.7,3243.0,UP,0.57,87.75,87.75,87.75,87.75,0
9565,152573.0,IRCON,20210428,88.05,91.45,88.05,90.15,2745931.0,248054189.25,13365.0,UP,1.86,87.96818181818182,87.96818181818182,87.96818181818182,87.96818181818182,0
9978,158797.0,IRCON,20210429,90.5,90.8,89.7,90.5,1707243.0,154113848.05,5871.0,UP,0.39,88.17916666666667,88.17916666666667,88.17916666666667,88.17916666666667,0
10372,164558.0,IRCON,20210430,89.3,91.2,89.3,89.55,1603547.0,144618197.35,6189.0,DOWN,-1.05,88.28461538461539,88.28461538461539,88.28461538461539,88.28461538461539,0
10993,16522.0,IRCON,20210503,89.25,89.8,87.65,87.85,1526381.0,134851910.75,7915.0,DOWN,-1.9,88.25357142857142,88.25357142857142,88.25357142857142,88.25357142857142,0
11181,22242.0,IRCON,20210504,88.3,90.0,87.2,87.55,2227149.0,196729518.05,6817.0,DOWN,-0.34,88.29999999999998,88.20666666666666,88.20666666666666,88.20666666666666,CROSSED_2
11683,27490.0,IRCON,20210505,88.0,88.4,87.6,87.7,773728.0,67995483.65,3106.0,UP,0.17,88.27857142857142,88.175,88.175,88.175,CROSSED_2
12482,33246.0,IRCON,20210506,88.1,88.8,87.75,88.1,602521.0,53123575.55,3362.0,UP,0.46,88.2357142857143,88.17058823529412,88.17058823529412,88.17058823529412,CROSSED_2
12609,40452.0,IRCON,20210507,88.25,89.5,87.55,88.55,1622225.0,143292872.75,6573.0,UP,0.51,88.23214285714286,88.19166666666666,88.19166666666666,88.19166666666666,CROSSED_2
13011,58629.0,IRCON,20210510,92.6,94.7,92.05,93.5,7666567.0,714736154.65,39848.0,UP,5.59,88.69642857142857,88.47105263157896,88.47105263157896,88.47105263157896,CROSSED_2
13593,63928.0,IRCON,20210511,93.0,94.65,92.7,93.45,3468440.0,325131562.1,16758.0,DOWN,-0.05,89.15714285714286,88.72,88.72,88.72,CROSSED_2
13940,68687.0,IRCON,20210512,94.0,98.9,93.8,97.0,7943701.0,769164096.6,39305.0,UP,3.8,89.87142857142858,89.11428571428571,89.11428571428571,89.11428571428571,CROSSED_2
14751,80208.0,IRCON,20210514,99.0,99.9,97.05,97.9,8812302.0,867298707.1,38328.0,UP,0.93,90.59285714285714,89.63809523809523,89.51363636363637,89.51363636363637,CROSSED_2
14913,95961.0,IRCON,20210517,99.45,101.0,99.35,100.75,5514270.0,552999607.75,40251.0,UP,2.91,91.50357142857142,90.2452380952381,90.00217391304349,90.00217391304349,CROSSED_2
15527,101241.0,IRCON,20210518,101.9,101.9,95.0,98.05,5042076.0,504422761.55,31752.0,DOWN,-2.68,92.18571428571428,90.69047619047619,90.33749999999999,90.33749999999999,CROSSED_2
