,ID,Symbol,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,TOTTRDQTY,TOTTRDVAL,TOTALTRADES,UP_DOWN,CHNAGE_%,SMA_14,SMA_21,SMA_50,SMA_200,ABT_cases
4716,65338.0,IRCTC,20210412,1680.2,1697.7,1573.45,1582.0,2807259.0,4536632128.8,175471.0,-,0,1582.0,1582.0,1582.0,1582.0,0
5160,71094.0,IRCTC,20210413,1582.05,1623.0,1582.05,1611.65,1226264.0,1968908375.4,61428.0,UP,1.87,1596.825,1596.825,1596.825,1596.825,0
5757,81617.0,IRCTC,20210415,1592.1,1632.9,1589.0,1608.1,1158163.0,1861925084.65,44369.0,DOWN,-0.22,1600.5833333333333,1600.5833333333333,1600.5833333333333,1600.5833333333333,0
6221,86389.0,IRCTC,20210416,1611.0,1638.1,1606.0,1627.45,968083.0,1572729716.7,35026.0,UP,1.2,1607.3,1607.3,1607.3,1607.3,0
6470,103154.0,IRCTC,20210419,1550.0,1620.0,1550.0,1612.7,1193238.0,1903454690.85,53779.0,DOWN,-0.91,1608.3799999999999,1608.3799999999999,1608.3799999999999,1608.3799999999999,0
7319,107489.0,IRCTC,20210420,1616.0,1648.95,1616.0,1640.05,1143229.0,1873038874.2,45580.0,UP,1.7,1613.6583333333335,1613.6583333333335,1613.6583333333335,1613.6583333333335,0
7415,118515.0,IRCTC,20210422,1614.0,1681.0,1614.0,1673.05,988502.0,1637428445.9,47174.0,UP,2.01,1622.142857142857,1622.142857142857,1622.142857142857,1622.142857142857,0
8009,124751.0,IRCTC,20210423,1670.0,1717.9,1661.0,1712.0,1629474.0,2776197737.95,65406.0,UP,2.33,1633.375,1633.375,1633.375,1633.375,0
8587,142038.0,IRCTC,20210426,1721.9,1739.25,1718.0,1730.85,791759.0,1368879536.35,32355.0,UP,1.1,1644.2055555555555,1644.2055555555555,1644.2055555555555,1644.2055555555555,0
8806,146827.0,IRCTC,20210427,1730.0,1802.6,1714.65,1793.2,2259767.0,3999316109.1,79388.0,UP,3.6,1659.105,1659.105,1659.105,1659.105,0
9564,152574.0,IRCTC,20210428,1800.0,1818.0,1775.0,1795.85,1538029.0,2766575416.9,57849.0,UP,0.15,1671.5363636363638,1671.5363636363638,1671.5363636363638,1671.5363636363638,0
9979,158798.0,IRCTC,20210429,1801.0,1818.0,1765.3,1792.55,1212095.0,2173697784.9,47572.0,DOWN,-0.18,1681.6208333333334,1681.6208333333334,1681.6208333333334,1681.6208333333334,0
10371,164559.0,IRCTC,20210430,1784.9,1809.15,1757.75,1791.4,756655.0,1350659357.25,29408.0,DOWN,-0.06,1690.0653846153846,1690.0653846153846,1690.0653846153846,1690.0653846153846,0
10992,16523.0,IRCTC,20210503,1761.0,1781.95,1753.0,1765.55,773316.0,1365310978.45,35310.0,DOWN,-1.44,1695.457142857143,1695.457142857143,1695.457142857143,1695.457142857143,0
11182,22243.0,IRCTC,20210504,1785.0,1789.05,1761.0,1770.2,586043.0,1037814291.2,24663.0,UP,0.26,1708.8999999999999,1700.4399999999998,1700.4399999999998,1700.4399999999998,CROSSED_2
11682,27491.0,IRCTC,20210505,1775.0,1782.95,1715.0,1723.65,1215718.0,2103100070.6,51758.0,DOWN,-2.63,1716.8999999999999,1701.890625,1701.890625,1701.890625,CROSSED_2
12481,33247.0,IRCTC,20210506,1735.5,1744.0,1716.05,1725.2,477236.0,824859437.35,19807.0,UP,0.09,1725.2642857142857,1703.2617647058823,1703.2617647058823,1703.2617647058823,CROSSED_2
12610,40453.0,IRCTC,20210507,1700.0,1709.85,1681.5,1693.4,831099.0,1409241149.55,43980.0,DOWN,-1.84,1729.975,1702.7138888888887,1702.7138888888887,1702.7138888888887,CROSSED_2
13010,58630.0,IRCTC,20210510,1700.0,1757.5,1690.95,1748.65,1028911.0,1783534352.35,41987.0,UP,3.26,1739.685714285714,1705.1315789473683,1705.1315789473683,1705.1315789473683,CROSSED_2
13592,63929.0,IRCTC,20210511,1725.0,1800.4,1723.05,1792.3,1297267.0,2298948174.15,52090.0,UP,2.5,1750.560714285714,1709.4900000000002,1709.4900000000002,1709.4900000000002,CROSSED_2
13939,68688.0,IRCTC,20210512,1799.0,1829.0,1732.8,1746.6,1627887.0,2863503533.35,72740.0,DOWN,-2.55,1755.814285714286,1711.257142857143,1711.257142857143,1711.257142857143,CROSSED_2
14752,80209.0,IRCTC,20210514,1760.0,1774.0,1730.0,1747.65,1171451.0,2056606897.3,46480.0,UP,0.06,1758.3607142857143,1719.1452380952383,1712.9113636363638,1712.9113636363638,CROSSED_2
14912,95962.0,IRCTC,20210517,1763.15,1781.0,1743.0,1762.1,774812.0,1368367887.8,32543.0,UP,0.83,1760.5928571428574,1726.3095238095239,1715.05,1715.05,CROSSED_2
15526,101242.0,IRCTC,20210518,1780.0,1842.75,1770.25,1835.05,1905360.0,3465228733.45,74825.0,UP,4.14,1763.582142857143,1737.1166666666666,1720.05,1720.05,CROSSED_2
15914,106054.0,IRCTC,20210519,1844.0,1884.95,1840.0,1858.1,2098770.0,3915073699.4,82675.0,UP,1.26,1768.0285714285712,1748.1000000000004,1725.5720000000001,1725.5720000000001,CROSSED_2
