,ID,Symbol,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,TOTTRDQTY,TOTTRDVAL,TOTALTRADES,UP_DOWN,CHNAGE_%,SMA_14,SMA_21,SMA_50,SMA_200,ABT_cases
4718,65340.0,ISEC,20210412,389.5,396.0,380.0,390.15,697680.0,270909378.15,20935.0,-,0,390.15,390.15,390.15,390.15,0
5158,71096.0,ISEC,20210413,387.0,402.0,387.0,393.75,790633.0,312026035.8,21394.0,UP,0.92,391.95,391.95,391.95,391.95,0
5759,81619.0,ISEC,20210415,397.0,417.0,395.15,409.8,1378024.0,562540782.15,31182.0,UP,4.08,397.90000000000003,397.90000000000003,397.90000000000003,397.90000000000003,0
6219,86391.0,ISEC,20210416,412.0,419.0,404.5,417.15,774030.0,318383779.65,21056.0,UP,1.79,402.7125,402.7125,402.7125,402.7125,0
6699,103156.0,ISEC,20210419,402.0,412.9,402.0,410.1,513965.0,209988174.8,12594.0,DOWN,-1.69,404.19,404.19,404.19,404.19,0
7321,107491.0,ISEC,20210420,415.2,428.8,414.2,424.6,1540584.0,652958388.15,31692.0,UP,3.54,407.5916666666667,407.5916666666667,407.5916666666667,407.5916666666667,0
7413,118517.0,ISEC,20210422,440.0,460.7,432.0,452.05,6236631.0,2793181023.15,148474.0,UP,6.46,413.9428571428571,413.9428571428571,413.9428571428571,413.9428571428571,0
8011,124753.0,ISEC,20210423,452.05,458.75,446.8,448.95,1468086.0,662797970.4,26765.0,DOWN,-0.69,418.31875,418.31875,418.31875,418.31875,0
8589,142040.0,ISEC,20210426,477.0,478.9,454.6,468.4,2211635.0,1030860007.95,43205.0,UP,4.33,423.8833333333333,423.8833333333333,423.8833333333333,423.8833333333333,0
8808,146829.0,ISEC,20210427,470.0,481.2,458.05,461.9,1241922.0,587348690.9,29976.0,DOWN,-1.39,427.68500000000006,427.68500000000006,427.68500000000006,427.68500000000006,0
9562,152576.0,ISEC,20210428,463.85,467.0,457.0,465.8,522616.0,241941497.55,12106.0,UP,0.84,431.15,431.15,431.15,431.15,0
9981,158800.0,ISEC,20210429,467.0,469.95,458.75,466.3,635887.0,295260194.05,14434.0,UP,0.11,434.07916666666665,434.07916666666665,434.07916666666665,434.07916666666665,0
10601,164561.0,ISEC,20210430,468.0,468.6,448.6,453.95,441570.0,202877807.15,12498.0,DOWN,-2.65,435.6076923076923,435.6076923076923,435.6076923076923,435.6076923076923,0
10990,16525.0,ISEC,20210503,451.1,458.05,444.0,453.95,593466.0,268863808.65,15863.0,Const,0.0,436.91785714285714,436.91785714285714,436.91785714285714,436.91785714285714,0
11184,22245.0,ISEC,20210504,456.0,461.75,446.1,453.55,1051784.0,477901433.7,22338.0,DOWN,-0.09,441.44642857142856,438.02666666666664,438.02666666666664,438.02666666666664,CROSSED_2
11680,27493.0,ISEC,20210505,454.0,476.0,452.3,468.15,1100846.0,515748361.7,26854.0,UP,3.22,446.7607142857143,439.909375,439.909375,439.909375,CROSSED_2
12479,33249.0,ISEC,20210506,470.0,490.0,468.85,486.5,1593518.0,765545877.65,39782.0,UP,3.92,452.23928571428576,442.65000000000003,442.65000000000003,442.65000000000003,CROSSED_2
12612,40455.0,ISEC,20210507,493.0,498.5,471.6,476.75,822642.0,401475178.1,22396.0,DOWN,-2.0,456.49642857142857,444.5444444444445,444.5444444444445,444.5444444444445,CROSSED_2
13008,58632.0,ISEC,20210510,480.1,497.0,473.05,480.15,900231.0,435671073.95,27116.0,UP,0.71,461.5,446.41842105263163,446.41842105263163,446.41842105263163,CROSSED_2
13590,63931.0,ISEC,20210511,478.95,501.5,477.2,489.65,957059.0,471104081.35,33815.0,UP,1.98,466.14642857142854,448.58000000000004,448.58000000000004,448.58000000000004,CROSSED_2
13937,68690.0,ISEC,20210512,495.0,517.7,493.0,495.95,1536437.0,776143649.95,36792.0,UP,1.29,469.28214285714284,450.83571428571423,450.83571428571423,450.83571428571423,CROSSED_2
14754,80211.0,ISEC,20210514,498.0,510.0,491.6,496.2,732652.0,366246016.15,35775.0,UP,0.05,472.65714285714284,455.8857142857143,452.89772727272725,452.89772727272725,CROSSED_2
14910,95964.0,ISEC,20210517,496.2,520.0,496.2,510.45,1499907.0,767163165.5,43690.0,UP,2.87,475.6607142857143,461.4428571428572,455.40000000000003,455.40000000000003,CROSSED_2
15524,101244.0,ISEC,20210518,512.0,540.5,512.0,522.95,2829988.0,1486754457.95,40883.0,UP,2.45,480.02142857142854,466.83095238095234,458.21458333333334,458.21458333333334,CROSSED_2
15912,106056.0,ISEC,20210519,524.0,561.9,524.0,551.95,3880317.0,2118040353.55,89762.0,UP,5.55,486.17500000000007,473.25,461.964,461.964,CROSSED_2
16554,111324.0,ISEC,20210520,559.5,583.0,558.0,577.5,3599357.0,2056421841.55,76716.0,UP,4.63,494.11785714285713,481.22142857142853,466.40769230769234,466.40769230769234,CROSSED_2
16967,117115.0,ISEC,20210521,583.4,595.95,573.0,589.1,3311064.0,1943120104.55,61027.0,UP,2.01,503.7714285714286,489.05476190476196,470.95185185185187,470.95185185185187,CROSSED_2
17550,134343.0,ISEC,20210524,591.35,596.5,573.0,582.45,1020915.0,597737144.55,29440.0,DOWN,-1.13,512.9499999999999,495.2642857142857,474.93392857142857,474.93392857142857,CROSSED_2
17771,140124.0,ISEC,20210525,577.65,585.0,570.1,572.3,855292.0,493349153.95,19543.0,DOWN,-1.74,521.4321428571428,501.13809523809533,478.29137931034484,478.29137931034484,CROSSED_2
18282,144912.0,ISEC,20210526,573.95,579.1,571.55,573.4,487560.0,279912499.4,13292.0,UP,0.19,528.9499999999999,506.1380952380952,481.4616666666667,481.4616666666667,CROSSED_2
18739,150671.0,ISEC,20210527,574.5,591.0,571.25,584.15,1032713.0,601350677.2,22635.0,UP,1.87,535.925,511.9595238095238,484.7741935483871,484.7741935483871,CROSSED_2
19292,157394.0,ISEC,20210528,584.1,611.0,580.0,592.0,1181668.0,706238481.5,29696.0,UP,1.34,544.1571428571428,517.9690476190476,488.125,488.125,CROSSED_2
19826,172658.0,ISEC,20210531,594.0,613.7,587.35,601.45,920470.0,555134642.0,25221.0,UP,1.6,552.8214285714286,524.4047619047619,491.5590909090909,491.5590909090909,CROSSED_2
20043,4054.0,ISEC,20210601,606.0,611.0,575.0,582.7,908952.0,535108395.55,21699.0,DOWN,-3.12,559.4678571428572,530.5357142857143,494.239705882353,494.239705882353,CROSSED_2
20483,9288.0,ISEC,20210602,582.0,585.65,566.5,571.75,932305.0,535582161.35,24089.0,DOWN,-1.88,564.8821428571429,536.145238095238,496.45428571428573,496.45428571428573,CROSSED_2
20942,15070.0,ISEC,20210603,575.0,609.3,572.6,603.0,1199798.0,717546372.9,26897.0,UP,5.47,572.5107142857142,543.2619047619048,499.41388888888895,499.41388888888895,CROSSED_2
21693,21289.0,ISEC,20210604,603.0,607.4,583.0,593.7,759152.0,451498864.4,22221.0,DOWN,-1.54,578.4571428571429,549.2404761904762,501.96216216216214,501.96216216216214,CROSSED_2
22077,38998.0,ISEC,20210607,601.75,613.0,587.6,607.75,643221.0,385355285.1,15739.0,UP,2.37,584.5142857142857,555.0142857142857,504.7460526315789,504.7460526315789,CROSSED_2
22462,45722.0,ISEC,20210608,612.5,618.0,594.65,599.8,815839.0,490653865.15,19638.0,DOWN,-1.31,587.9321428571428,560.8738095238095,507.1833333333334,507.1833333333334,CROSSED_2
22795,51405.0,ISEC,20210609,602.0,605.05,581.1,587.65,684903.0,408523942.3,15178.0,DOWN,-2.03,588.6571428571427,565.992857142857,509.195,509.195,CROSSED_2
23418,57181.0,ISEC,20210610,589.8,604.25,585.25,598.85,330544.0,196229422.0,9525.0,UP,1.91,589.3535714285715,571.1928571428571,511.3817073170732,511.3817073170732,CROSSED_2
23841,62980.0,ISEC,20210611,622.0,632.4,615.0,625.65,1990578.0,1239398189.85,49539.0,UP,4.48,592.4392857142857,577.3690476190476,514.1023809523809,514.1023809523809,CROSSED_2
24379,78760.0,ISEC,20210614,625.65,659.75,601.0,651.25,1652757.0,1053025562.25,41667.0,UP,4.09,598.0785714285714,584.7523809523809,517.2918604651163,517.2918604651163,CROSSED_2
24660,83994.0,ISEC,20210615,655.0,672.75,642.9,651.5,1225908.0,813097388.3,36505.0,UP,0.04,603.657142857143,591.4690476190475,520.3420454545454,520.3420454545454,CROSSED_2
25430,89222.0,ISEC,20210616,649.9,678.7,634.0,639.45,1455219.0,960858667.0,39432.0,DOWN,-1.85,607.6071428571429,597.0166666666667,522.9888888888889,522.9888888888889,CROSSED_2
25785,94513.0,ISEC,20210617,637.5,654.4,628.1,635.8,729349.0,467839490.8,29304.0,DOWN,-0.57,610.7357142857143,601.0095238095238,525.4413043478261,525.4413043478261,CROSSED_2
25978,100784.0,ISEC,20210618,640.7,649.5,615.0,639.3,682720.0,434497068.65,29780.0,UP,0.55,613.4392857142857,603.952380952381,527.8638297872341,527.8638297872341,CROSSED_2
26524,115664.0,ISEC,20210621,616.25,641.4,616.25,626.95,397723.0,249786610.5,28620.0,DOWN,-1.93,616.6,605.7547619047618,529.928125,529.928125,CROSSED_2
26990,121889.0,ISEC,20210622,630.0,642.0,630.0,633.7,293284.0,186685301.45,12875.0,UP,1.08,621.025,608.1952380952381,532.045918367347,532.045918367347,CROSSED_2
27541,127591.0,ISEC,20210623,634.5,649.0,625.55,634.45,405913.0,258969492.0,13572.0,UP,0.12,623.2714285714286,611.1547619047619,534.094,534.094,CROSSED_2
27774,132891.0,ISEC,20210624,640.0,644.2,626.0,629.25,324188.0,204770115.7,15369.0,DOWN,-0.82,625.8107142857143,613.8142857142857,538.876,535.9598039215687,CROSSED_2
28499,139171.0,ISEC,20210625,629.25,634.0,615.0,624.7,332058.0,207235688.65,11081.0,DOWN,-0.72,627.0214285714285,615.745238095238,543.495,537.6663461538462,CROSSED_2
29109,155941.0,ISEC,20210628,624.0,635.95,624.0,632.1,226835.0,142997748.05,9608.0,UP,1.18,629.3285714285714,617.6547619047619,547.941,539.4481132075472,CROSSED_2
29309,161689.0,ISEC,20210629,634.0,652.75,627.25,636.2,609343.0,390866141.0,27039.0,UP,0.65,632.7964285714287,619.3095238095239,552.322,541.2398148148148,CROSSED_2
29822,166914.0,ISEC,20210630,638.0,648.0,633.0,640.95,344504.0,220723357.5,13589.0,UP,0.75,635.8035714285714,622.0833333333334,556.939,543.0527272727273,CROSSED_2
30257,3092.0,ISEC,20210701,644.0,666.4,637.1,660.15,454391.0,296129799.6,18094.0,UP,3.0,638.2678571428571,626.2928571428572,561.65,545.14375,CROSSED_2
30721,8826.0,ISEC,20210702,663.8,698.0,630.25,692.75,2189461.0,1492651827.7,51177.0,UP,4.94,641.2321428571429,630.5666666666667,566.464,547.7333333333333,CROSSED_2
31221,26532.0,ISEC,20210705,693.2,700.85,677.25,688.9,933247.0,643857436.3,26087.0,DOWN,-0.56,643.9035714285716,635.1,571.263,550.1672413793103,CROSSED_2
31402,31789.0,ISEC,20210706,691.1,724.55,686.0,712.25,1340561.0,945185329.8,37689.0,UP,3.39,649.1035714285715,640.0761904761905,576.14,552.914406779661,CROSSED_2
32054,38037.0,ISEC,20210707,715.6,741.85,711.6,717.2,1370237.0,991306562.6,40170.0,UP,0.69,654.9178571428572,645.6666666666666,581.2460000000001,555.6525,CROSSED_2
32411,44761.0,ISEC,20210708,719.2,733.9,702.0,706.7,638822.0,457968917.55,29491.0,DOWN,-1.46,659.7321428571429,651.3357142857143,586.064,558.1286885245902,CROSSED_2
32759,50950.0,ISEC,20210709,708.7,721.85,695.4,714.95,509067.0,360497167.4,16880.0,UP,1.17,666.0178571428572,656.8642857142858,591.0369999999999,560.6580645161291,CROSSED_2
33579,67729.0,ISEC,20210712,722.5,726.2,690.0,701.75,553717.0,393441015.05,31308.0,DOWN,-1.85,670.8785714285715,660.4880952380953,595.9929999999999,562.8976190476191,CROSSED_2
33894,73465.0,ISEC,20210713,702.0,716.0,677.0,690.0,668532.0,467622368.65,24144.0,DOWN,-1.67,674.8464285714286,662.3333333333334,600.714,564.88359375,CROSSED_2
34267,77806.0,ISEC,20210714,691.0,719.0,688.15,707.05,883345.0,620172611.3,33614.0,UP,2.47,680.4035714285714,664.9785714285715,605.784,567.0707692307692,CROSSED_2
34568,83040.0,ISEC,20210715,712.0,733.4,709.0,726.55,1117970.0,807598790.95,31574.0,UP,2.76,687.6785714285714,669.1261904761905,610.952,569.4871212121212,CROSSED_2
35371,88767.0,ISEC,20210716,733.0,802.7,726.4,764.35,6309572.0,4845270620.25,140767.0,UP,5.2,697.125,675.2476190476191,616.509,572.3955223880597,CROSSED_2
35593,105095.0,ISEC,20210719,757.4,794.9,753.05,774.6,2405452.0,1874491649.0,54924.0,UP,1.34,707.0107142857142,681.6904761904761,622.466,575.3691176470588,CROSSED_2
36296,109864.0,ISEC,20210720,781.6,787.95,723.4,760.15,1990707.0,1497568502.85,51641.0,DOWN,-1.87,715.525,688.0333333333334,628.066,578.0471014492754,CROSSED_2
36604,120936.0,ISEC,20210722,742.6,781.7,727.55,743.8,2381385.0,1794606761.35,61626.0,DOWN,-2.15,721.5,693.2761904761904,633.149,580.4150000000001,CROSSED_2
37239,127136.0,ISEC,20210723,750.8,759.6,720.0,725.45,942632.0,690984396.65,25902.0,DOWN,-2.47,723.8357142857143,697.6095238095238,637.739,582.4577464788732,CROSSED_2
37428,143949.0,ISEC,20210726,729.8,734.95,705.55,713.05,518848.0,374801072.95,20496.0,DOWN,-1.71,725.5607142857142,701.5999999999999,642.076,584.2715277777778,CROSSED_2
37830,149209.0,ISEC,20210727,718.95,746.5,718.5,732.0,1258875.0,925006101.15,29456.0,UP,2.66,726.9714285714284,706.7095238095238,646.507,586.2952054794521,CROSSED_2
38604,154987.0,ISEC,20210728,738.2,742.4,718.0,728.0,489576.0,356141161.0,17101.0,DOWN,-0.55,727.7428571428572,711.2761904761904,650.608,588.2101351351351,CROSSED_2
38864,160736.0,ISEC,20210729,729.0,735.0,721.0,723.85,350043.0,254455991.05,17629.0,DOWN,-0.57,728.967857142857,715.4499999999999,654.046,590.0186666666667,CROSSED_2
39336,166460.0,ISEC,20210730,724.8,732.0,716.15,725.0,313495.0,227306646.15,13121.0,UP,0.16,729.6857142857142,719.452380952381,656.9960000000001,591.7947368421053,CROSSED_2
39691,6907.0,ISEC,20210802,734.0,762.75,730.0,744.55,1410465.0,1055515958.1,43781.0,UP,2.7,732.7428571428571,723.4714285714285,660.105,593.7785714285714,CROSSED_2
40303,12658.0,ISEC,20210803,748.0,751.0,735.05,741.6,400982.0,296856352.0,18645.0,DOWN,-0.4,736.4285714285714,725.797619047619,663.288,595.673717948718,CROSSED_2
40645,18405.0,ISEC,20210804,745.0,748.85,717.0,723.4,783707.0,569255401.25,22636.0,DOWN,-2.45,737.5964285714286,727.4404761904761,666.31,597.2905063291139,CROSSED_2
40917,30369.0,ISEC,20210806,722.0,727.45,706.0,708.8,576924.0,410396360.4,23095.0,DOWN,-2.02,736.3285714285714,727.2761904761904,669.018,598.684375,CROSSED_2
41784,49531.0,ISEC,20210809,714.95,718.0,704.0,714.3,582161.0,414007220.3,17150.0,UP,0.78,732.7535714285714,727.1380952380953,671.6210000000001,600.1117283950617,CROSSED_2
42064,54773.0,ISEC,20210810,704.6,705.0,681.1,687.15,1145550.0,791375742.4,28326.0,DOWN,-3.8,726.5071428571429,726.2071428571429,673.5239999999999,601.1731707317073,CROSSED_2
42530,60552.0,ISEC,20210811,687.0,699.95,641.45,693.05,1258595.0,838995377.1,27725.0,UP,0.86,721.7142857142857,725.1642857142857,675.3560000000001,602.2801204819277,CROSSED_2
42842,66289.0,ISEC,20210812,695.1,713.4,686.3,707.9,623711.0,435684012.0,18744.0,UP,2.14,719.15,725.4571428571428,677.86,603.5375,CROSSED_2
43186,72045.0,ISEC,20210813,715.0,727.7,709.0,718.55,625567.0,449329401.65,18716.0,UP,1.5,718.657142857143,726.8166666666666,680.7959999999999,604.8905882352941,CROSSED_2
43854,86848.0,ISEC,20210816,716.0,722.75,694.0,700.5,386207.0,271443100.4,14048.0,DOWN,-2.51,717.7607142857144,726.504761904762,682.7459999999999,606.0023255813953,CROSSED_2
44341,92103.0,ISEC,20210817,699.0,716.0,685.7,712.75,474534.0,332643461.2,15816.0,UP,1.75,716.3857142857144,725.8476190476191,685.127,607.2293103448276,CROSSED_2
44870,98355.0,ISEC,20210818,718.55,724.0,702.0,717.9,769834.0,549172267.65,23044.0,UP,0.72,715.6642857142858,723.6357142857144,687.33,608.4869318181818,CROSSED_2
45026,108442.0,ISEC,20210820,700.0,705.3,672.6,683.4,1311804.0,904470240.45,28550.0,DOWN,-4.81,712.775,719.2928571428571,689.002,609.3286516853933,CROSSED_2
45904,125211.0,ISEC,20210823,689.65,697.8,660.55,668.55,682131.0,465643948.65,30042.0,DOWN,-2.17,708.7428571428571,714.9309523809524,690.62,609.9866666666667,CROSSED_2
45910,130479.0,ISEC,20210824,672.1,693.45,668.3,687.3,659460.0,451718161.0,16794.0,UP,2.8,704.6535714285714,712.2404761904762,692.3889999999999,610.8362637362637,CROSSED_2
46599,136743.0,ISEC,20210825,690.9,694.9,680.5,692.2,338427.0,233294971.7,8447.0,UP,0.71,701.1249999999999,710.6571428571428,693.72,611.7206521739131,CROSSED_2
46825,142995.0,ISEC,20210826,693.95,703.85,687.0,699.9,371503.0,258144906.75,9709.0,UP,1.11,699.4464285714286,710.0309523809525,694.6929999999999,612.668817204301,CROSSED_2
47313,147785.0,ISEC,20210827,702.0,707.8,687.95,705.65,413346.0,289638333.25,17455.0,UP,0.82,699.2214285714286,708.7761904761905,695.776,613.6579787234042,CROSSED_2
47931,165022.0,ISEC,20210830,706.0,741.35,706.0,729.2,830477.0,604489979.85,34378.0,UP,3.34,700.2857142857143,708.8333333333333,697.571,614.8742105263158,CROSSED_2
48574,170269.0,ISEC,20210831,730.5,734.2,717.1,721.6,259360.0,187421448.55,10899.0,DOWN,-1.04,702.7464285714285,708.7261904761905,699.2869999999999,615.9859375,CROSSED_2
48787,5953.0,ISEC,20210901,721.0,749.0,715.0,744.05,758393.0,559069173.2,27457.0,UP,3.11,706.3892857142857,709.6333333333333,701.382,617.3061855670103,CROSSED_2
49196,11704.0,ISEC,20210902,749.0,775.9,747.2,768.15,2123216.0,1632125171.05,53395.0,UP,3.24,710.6928571428572,710.7571428571429,704.2059999999999,618.8454081632653,CROSSED_2
49796,17458.0,ISEC,20210903,774.4,788.95,765.0,772.25,1054856.0,818043642.4,33539.0,UP,0.53,714.5285714285714,712.2166666666666,706.977,620.3949494949495,CROSSED_2
50350,34672.0,ISEC,20210906,772.0,775.0,740.55,753.35,563068.0,427746921.45,23060.0,DOWN,-2.45,718.3035714285714,713.6428571428571,709.355,621.7244999999999,CROSSED_2
50862,41383.0,ISEC,20210907,754.6,759.0,727.05,730.4,444499.0,326981602.75,26162.0,DOWN,-3.05,719.5642857142857,714.6714285714286,711.378,622.8004950495049,CROSSED_2
51124,48112.0,ISEC,20210908,735.85,739.0,720.5,728.85,360619.0,262900980.2,18734.0,DOWN,-0.21,720.3464285714284,715.3642857142858,713.4609999999999,623.8401960784313,CROSSED_2
