,ID,Symbol,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,TOTTRDQTY,TOTTRDVAL,TOTALTRADES,UP_DOWN,CHNAGE_%,SMA_14,SMA_21,SMA_50,SMA_200,ABT_cases
4724,65346.0,JKCEMENT,20210412,2988.9,2988.9,2805.55,2815.8,24680.0,70153931.95,4393.0,-,0,2815.8,2815.8,2815.8,2815.8,0
5152,71102.0,JKCEMENT,20210413,2802.0,2921.55,2800.0,2837.85,31512.0,89782707.75,3293.0,UP,0.78,2826.825,2826.825,2826.825,2826.825,0
5765,81625.0,JKCEMENT,20210415,2852.0,2900.05,2805.0,2882.6,12432.0,35393977.5,2138.0,UP,1.58,2845.4166666666665,2845.4166666666665,2845.4166666666665,2845.4166666666665,0
6212,86397.0,JKCEMENT,20210416,2889.0,2944.6,2870.1,2880.25,14455.0,41974178.75,2219.0,DOWN,-0.08,2854.125,2854.125,2854.125,2854.125,0
6462,103162.0,JKCEMENT,20210419,2814.4,2920.0,2725.0,2901.45,25595.0,72882203.75,4647.0,UP,0.74,2863.59,2863.59,2863.59,2863.59,0
7327,107497.0,JKCEMENT,20210420,2928.95,2967.6,2831.0,2859.0,43196.0,123851141.1,7297.0,DOWN,-1.46,2862.8250000000003,2862.8250000000003,2862.8250000000003,2862.8250000000003,0
7407,118523.0,JKCEMENT,20210422,2864.0,2899.75,2806.0,2858.8,22807.0,64973625.6,3082.0,DOWN,-0.01,2862.25,2862.25,2862.25,2862.25,0
8017,124759.0,JKCEMENT,20210423,2858.8,2871.9,2755.55,2804.45,65020.0,181800334.7,7743.0,DOWN,-1.9,2855.025,2855.025,2855.025,2855.025,0
8595,142046.0,JKCEMENT,20210426,2819.2,2840.0,2750.0,2783.7,131675.0,366071971.5,2949.0,DOWN,-0.74,2847.1000000000004,2847.1000000000004,2847.1000000000004,2847.1000000000004,0
8814,146835.0,JKCEMENT,20210427,2772.0,2824.45,2757.15,2792.7,34547.0,96102302.05,7787.0,UP,0.32,2841.66,2841.66,2841.66,2841.66,0
9556,152582.0,JKCEMENT,20210428,2800.7,2833.0,2770.0,2789.05,118508.0,329190800.0,4819.0,DOWN,-0.13,2836.877272727273,2836.877272727273,2836.877272727273,2836.877272727273,0
9987,158806.0,JKCEMENT,20210429,2820.0,2838.6,2785.0,2792.3,8324.0,23366972.05,1724.0,UP,0.12,2833.1625,2833.1625,2833.1625,2833.1625,0
10364,164567.0,JKCEMENT,20210430,2752.3,2820.0,2752.3,2806.4,12683.0,35424101.5,2922.0,UP,0.5,2831.103846153846,2831.103846153846,2831.103846153846,2831.103846153846,0
10984,16531.0,JKCEMENT,20210503,2818.0,2818.0,2726.4,2784.25,140057.0,391609584.3,6921.0,DOWN,-0.79,2827.7571428571428,2827.7571428571428,2827.7571428571428,2827.7571428571428,0
11190,22251.0,JKCEMENT,20210504,2805.0,2830.0,2755.0,2788.55,63664.0,176494023.4,12667.0,UP,0.15,2825.8107142857143,2825.1433333333334,2825.1433333333334,2825.1433333333334,CROSSED_2
