,ID,Symbol,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,TOTTRDQTY,TOTTRDVAL,TOTALTRADES,UP_DOWN,CHNAGE_%,SMA_14,SMA_21,SMA_50,SMA_200,ABT_cases
4727,65349.0,JMFINANCIL,20210412,83.1,83.5,78.65,79.9,1313014.0,105963746.0,17546.0,-,0,79.9,79.9,79.9,79.9,0
5149,71105.0,JMFINANCIL,20210413,80.0,81.8,80.0,80.35,710114.0,57234410.95,10672.0,UP,0.56,80.125,80.125,80.125,80.125,0
5768,81628.0,JMFINANCIL,20210415,80.7,81.3,77.2,77.85,665080.0,52289889.95,8062.0,DOWN,-3.11,79.36666666666666,79.36666666666666,79.36666666666666,79.36666666666666,0
6209,86400.0,JMFINANCIL,20210416,80.35,80.35,78.35,78.65,450402.0,35530690.05,7645.0,UP,1.03,79.1875,79.1875,79.1875,79.1875,0
6459,103165.0,JMFINANCIL,20210419,77.1,78.0,76.05,76.95,448242.0,34346793.3,5651.0,DOWN,-2.16,78.74,78.74,78.74,78.74,0
7330,107500.0,JMFINANCIL,20210420,77.4,81.0,77.4,79.55,629415.0,49705898.7,6419.0,UP,3.38,78.875,78.875,78.875,78.875,0
7404,118526.0,JMFINANCIL,20210422,78.8,81.0,78.6,79.8,6614890.0,527835578.0,6827.0,UP,0.31,79.00714285714285,79.00714285714285,79.00714285714285,79.00714285714285,0
8020,124762.0,JMFINANCIL,20210423,80.4,81.8,79.35,80.05,6204539.0,495984791.7,7456.0,UP,0.31,79.1375,79.1375,79.1375,79.1375,0
8598,142049.0,JMFINANCIL,20210426,81.4,81.4,79.55,80.15,291187.0,23385204.95,2632.0,UP,0.12,79.25,79.25,79.25,79.25,0
8817,146838.0,JMFINANCIL,20210427,82.85,84.0,81.7,82.7,1026209.0,84684911.55,7180.0,UP,3.18,79.595,79.595,79.595,79.595,0
9553,152585.0,JMFINANCIL,20210428,83.3,83.3,81.9,82.15,444384.0,36633960.8,3996.0,DOWN,-0.67,79.82727272727273,79.82727272727273,79.82727272727273,79.82727272727273,0
