,ID,Symbol,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,TOTTRDQTY,TOTTRDVAL,TOTALTRADES,UP_DOWN,CHNAGE_%,SMA_14,SMA_21,SMA_50,SMA_200,ABT_cases
4728,65350.0,JSL,20210412,77.85,77.85,70.5,71.5,1778998.0,130517966.85,16340.0,-,0,71.5,71.5,71.5,71.5,0
5148,71106.0,JSL,20210413,72.7,73.9,70.6,72.85,976818.0,70465747.8,11276.0,UP,1.89,72.175,72.175,72.175,72.175,0
5769,81629.0,JSL,20210415,73.85,74.95,72.7,73.6,546255.0,40259199.55,5675.0,UP,1.03,72.64999999999999,72.64999999999999,72.64999999999999,72.64999999999999,0
6208,86401.0,JSL,20210416,74.15,76.65,73.0,75.3,869026.0,65172957.3,5491.0,UP,2.31,73.3125,73.3125,73.3125,73.3125,0
6458,103166.0,JSL,20210419,73.7,75.85,71.0,74.8,931454.0,68890886.15,6290.0,DOWN,-0.66,73.60999999999999,73.60999999999999,73.60999999999999,73.60999999999999,0
7331,107501.0,JSL,20210420,77.9,78.65,75.1,75.85,854000.0,65752648.7,10952.0,UP,1.4,73.98333333333333,73.98333333333333,73.98333333333333,73.98333333333333,0
7403,118527.0,JSL,20210422,75.25,77.6,75.25,76.9,11314373.0,859380147.65,9088.0,UP,1.38,74.39999999999999,74.39999999999999,74.39999999999999,74.39999999999999,0
8021,124763.0,JSL,20210423,77.3,81.35,75.35,78.05,5383699.0,426014577.85,19355.0,UP,1.5,74.85625,74.85625,74.85625,74.85625,0
8599,142050.0,JSL,20210426,79.85,86.0,78.3,84.55,7109277.0,590647414.8,34097.0,UP,8.33,75.93333333333334,75.93333333333334,75.93333333333334,75.93333333333334,0
8818,146839.0,JSL,20210427,85.0,87.4,82.75,83.4,4060779.0,347137989.1,19957.0,DOWN,-1.36,76.67999999999999,76.67999999999999,76.67999999999999,76.67999999999999,0
9552,152586.0,JSL,20210428,84.4,87.55,82.5,86.7,3642186.0,310524479.05,17988.0,UP,3.96,77.5909090909091,77.5909090909091,77.5909090909091,77.5909090909091,0
9991,158810.0,JSL,20210429,87.85,91.0,86.8,90.3,4867586.0,435131736.35,22772.0,UP,4.15,78.64999999999999,78.64999999999999,78.64999999999999,78.64999999999999,0
10360,164571.0,JSL,20210430,89.45,93.0,87.0,89.25,3015428.0,272849189.15,15793.0,DOWN,-1.16,79.46538461538461,79.46538461538461,79.46538461538461,79.46538461538461,0
10980,16535.0,JSL,20210503,89.7,93.8,89.25,92.9,2849943.0,261563900.75,14200.0,UP,4.09,80.425,80.425,80.425,80.425,0
11194,22255.0,JSL,20210504,93.4,95.1,87.3,88.8,2470893.0,227319847.35,13769.0,DOWN,-4.41,81.66071428571429,80.98333333333333,80.98333333333333,80.98333333333333,CROSSED_2
11670,27503.0,JSL,20210505,90.05,94.9,89.1,91.35,1700333.0,156159660.65,12273.0,UP,2.87,82.98214285714286,81.63125,81.63125,81.63125,CROSSED_2
12469,33259.0,JSL,20210506,92.4,93.2,90.0,90.35,1347001.0,123829085.75,15357.0,DOWN,-1.09,84.17857142857143,82.14411764705882,82.14411764705882,82.14411764705882,CROSSED_2
12622,40465.0,JSL,20210507,92.0,101.9,90.0,98.15,9126655.0,881018778.5,38980.0,UP,8.63,85.81071428571428,83.03333333333333,83.03333333333333,83.03333333333333,CROSSED_2
12998,58642.0,JSL,20210510,99.4,102.9,95.55,98.5,4477100.0,446563660.5,29973.0,UP,0.36,87.50357142857142,83.84736842105262,83.84736842105262,83.84736842105262,CROSSED_2
13580,63941.0,JSL,20210511,96.6,96.6,92.2,93.9,3527965.0,333644748.8,21870.0,DOWN,-4.67,88.79285714285713,84.35,84.35,84.35,CROSSED_2
