,ID,Symbol,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,TOTTRDQTY,TOTTRDVAL,TOTALTRADES,UP_DOWN,CHNAGE_%,SMA_14,SMA_21,SMA_50,SMA_200,ABT_cases
4731,65353.0,JUBLFOOD,20210412,2846.0,2846.0,2705.0,2729.4,596669.0,1649253906.1,48051.0,-,0,2729.4,2729.4,2729.4,2729.4,0
5145,71109.0,JUBLFOOD,20210413,2715.1,2772.8,2660.7,2762.65,629660.0,1715781734.2,40630.0,UP,1.22,2746.025,2746.025,2746.025,2746.025,0
5772,81632.0,JUBLFOOD,20210415,2772.0,2795.8,2715.0,2771.3,460873.0,1268514264.95,34911.0,UP,0.31,2754.4500000000003,2754.4500000000003,2754.4500000000003,2754.4500000000003,0
6205,86404.0,JUBLFOOD,20210416,2784.8,2840.0,2764.0,2820.65,532035.0,1496948322.45,38383.0,UP,1.78,2771.0,2771.0,2771.0,2771.0,0
6703,103169.0,JUBLFOOD,20210419,2705.5,2794.15,2705.5,2780.35,332977.0,922434264.3,34808.0,DOWN,-1.43,2772.87,2772.87,2772.87,2772.87,0
7334,107504.0,JUBLFOOD,20210420,2814.8,2870.0,2793.05,2830.15,630248.0,1789462021.75,41754.0,UP,1.79,2782.4166666666665,2782.4166666666665,2782.4166666666665,2782.4166666666665,0
7401,118530.0,JUBLFOOD,20210422,2799.0,2889.8,2776.35,2876.35,524950.0,1487923883.45,33006.0,UP,1.63,2795.835714285714,2795.835714285714,2795.835714285714,2795.835714285714,0
8024,124766.0,JUBLFOOD,20210423,2874.95,2927.95,2825.2,2844.65,608794.0,1752559079.85,41583.0,DOWN,-1.1,2801.9375,2801.9375,2801.9375,2801.9375,0
8602,142053.0,JUBLFOOD,20210426,2845.1,2901.0,2804.6,2885.85,540029.0,1548623774.1,30895.0,UP,1.45,2811.261111111111,2811.261111111111,2811.261111111111,2811.261111111111,0
8821,146842.0,JUBLFOOD,20210427,2885.0,2956.5,2871.0,2951.0,502276.0,1466691781.0,35219.0,UP,2.26,2825.2349999999997,2825.2349999999997,2825.2349999999997,2825.2349999999997,0
9549,152589.0,JUBLFOOD,20210428,2947.55,2966.95,2890.0,2901.8,390757.0,1146422545.8,24998.0,DOWN,-1.67,2832.1954545454546,2832.1954545454546,2832.1954545454546,2832.1954545454546,0
9994,158813.0,JUBLFOOD,20210429,2928.35,3004.0,2907.35,2938.15,599608.0,1773896604.2,39087.0,UP,1.25,2841.025,2841.025,2841.025,2841.025,0
