,ID,Symbol,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,TOTTRDQTY,TOTTRDVAL,TOTALTRADES,UP_DOWN,CHNAGE_%,SMA_14,SMA_21,SMA_50,SMA_200,ABT_cases
4734,65356.0,JUSTDIAL,20210412,925.0,925.0,853.7,860.0,2015657.0,1782521251.85,79756.0,-,0,860.0,860.0,860.0,860.0,0
5142,71112.0,JUSTDIAL,20210413,866.0,906.0,855.0,868.6,1505792.0,1322063322.55,60027.0,UP,1.0,864.3,864.3,864.3,864.3,0
5775,81635.0,JUSTDIAL,20210415,878.0,898.0,850.15,860.3,1210848.0,1049201047.85,66419.0,DOWN,-0.96,862.9666666666667,862.9666666666667,862.9666666666667,862.9666666666667,0
6202,86407.0,JUSTDIAL,20210416,865.0,884.0,857.6,862.2,923155.0,803946846.9,30088.0,UP,0.22,862.775,862.775,862.775,862.775,0
6706,103172.0,JUSTDIAL,20210419,822.0,889.9,820.0,867.25,1731089.0,1483511357.9,64161.0,UP,0.59,863.6700000000001,863.6700000000001,863.6700000000001,863.6700000000001,0
7337,107507.0,JUSTDIAL,20210420,872.0,894.0,857.3,864.25,1392577.0,1224327075.1,44606.0,DOWN,-0.35,863.7666666666668,863.7666666666668,863.7666666666668,863.7666666666668,0
7398,118533.0,JUSTDIAL,20210422,852.35,893.85,852.35,863.6,1362941.0,1192668796.05,43325.0,DOWN,-0.08,863.7428571428571,863.7428571428571,863.7428571428571,863.7428571428571,0
8027,124769.0,JUSTDIAL,20210423,863.0,881.0,858.0,862.5,738424.0,642082752.8,25387.0,DOWN,-0.13,863.5875,863.5875,863.5875,863.5875,0
8605,142056.0,JUSTDIAL,20210426,874.0,896.4,861.75,868.55,1411534.0,1240596368.9,46385.0,UP,0.7,864.1388888888889,864.1388888888889,864.1388888888889,864.1388888888889,0
8824,146845.0,JUSTDIAL,20210427,872.9,881.25,865.0,869.6,673414.0,587630009.45,18347.0,UP,0.12,864.6850000000001,864.6850000000001,864.6850000000001,864.6850000000001,0
9546,152592.0,JUSTDIAL,20210428,878.0,880.6,866.4,871.95,502538.0,438809367.45,15364.0,UP,0.27,865.3454545454545,865.3454545454545,865.3454545454545,865.3454545454545,0
