,ID,Symbol,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,TOTTRDQTY,TOTTRDVAL,TOTALTRADES,UP_DOWN,CHNAGE_%,SMA_14,SMA_21,SMA_50,SMA_200,ABT_cases
28680,155966.0,KIMS,20210628,1009.0,1059.0,950.0,996.95,13385295.0,13329179975.5,373858.0,-,0,996.95,996.95,996.95,996.95,0
29334,161714.0,KIMS,20210629,996.45,1013.0,965.0,968.9,1718095.0,1703264585.75,59513.0,DOWN,-2.81,982.925,982.925,982.925,982.925,0
29797,166939.0,KIMS,20210630,969.65,976.8,938.1,947.05,802615.0,764792401.9,33589.0,DOWN,-2.26,970.9666666666667,970.9666666666667,970.9666666666667,970.9666666666667,0
30282,3117.0,KIMS,20210701,944.6,1009.9,937.55,992.5,1558442.0,1538559445.7,54933.0,UP,4.8,976.35,976.35,976.35,976.35,0
30696,8851.0,KIMS,20210702,995.0,1028.6,975.0,1018.25,1033806.0,1042059415.95,42078.0,UP,2.59,984.7299999999999,984.7299999999999,984.7299999999999,984.7299999999999,0
31196,26557.0,KIMS,20210705,1028.25,1136.0,1015.0,1094.4,2783374.0,3007212643.25,96946.0,UP,7.48,1003.0083333333333,1003.0083333333333,1003.0083333333333,1003.0083333333333,0
31645,31814.0,KIMS,20210706,1093.0,1111.0,1062.15,1066.55,740940.0,805482121.65,28166.0,DOWN,-2.54,1012.0857142857143,1012.0857142857143,1012.0857142857143,1012.0857142857143,0
32079,38062.0,KIMS,20210707,1069.0,1114.15,1065.1,1101.55,787947.0,860593226.1,33109.0,UP,3.28,1023.26875,1023.26875,1023.26875,1023.26875,0
32436,44786.0,KIMS,20210708,1105.0,1152.4,1095.3,1128.35,1155280.0,1300849674.1,45942.0,UP,2.43,1034.9444444444443,1034.9444444444443,1034.9444444444443,1034.9444444444443,0
33186,50975.0,KIMS,20210709,1135.0,1142.8,1111.8,1122.35,306534.0,344975655.85,12527.0,DOWN,-0.53,1043.685,1043.685,1043.685,1043.685,0
33604,67754.0,KIMS,20210712,1132.4,1211.0,1125.05,1164.05,1280205.0,1494047867.2,58724.0,UP,3.72,1054.6272727272726,1054.6272727272726,1054.6272727272726,1054.6272727272726,0
33906,73490.0,KIMS,20210713,1182.0,1200.0,1171.3,1192.4,364654.0,431892710.1,19909.0,UP,2.44,1066.1083333333333,1066.1083333333333,1066.1083333333333,1066.1083333333333,0
34292,77831.0,KIMS,20210714,1203.0,1274.0,1179.0,1253.4,940219.0,1155468654.8,37030.0,UP,5.12,1080.5153846153846,1080.5153846153846,1080.5153846153846,1080.5153846153846,0
34592,83065.0,KIMS,20210715,1265.0,1325.0,1264.0,1295.85,907243.0,1178117975.45,36626.0,UP,3.39,1095.8964285714285,1095.8964285714285,1095.8964285714285,1095.8964285714285,0
35346,88792.0,KIMS,20210716,1307.55,1322.0,1255.6,1281.5,422670.0,542037693.6,20831.0,DOWN,-1.11,1116.2214285714285,1108.27,1108.27,1108.27,CROSSED_2
35618,105120.0,KIMS,20210719,1268.0,1305.0,1257.55,1297.7,471816.0,604688080.6,13832.0,UP,1.26,1139.7071428571428,1120.109375,1120.109375,1120.109375,CROSSED_2
36321,109889.0,KIMS,20210720,1309.9,1319.0,1260.1,1283.6,327498.0,421546422.5,15621.0,DOWN,-1.09,1163.7464285714286,1129.7264705882353,1129.7264705882353,1129.7264705882353,CROSSED_2
36579,120961.0,KIMS,20210722,1293.25,1296.1,1243.3,1251.5,170159.0,215287101.45,9392.0,DOWN,-2.5,1182.2464285714286,1136.4916666666666,1136.4916666666666,1136.4916666666666,CROSSED_2
37264,127161.0,KIMS,20210723,1261.9,1261.9,1203.3,1217.2,379837.0,465071728.0,15831.0,DOWN,-2.74,1196.457142857143,1140.7394736842105,1140.7394736842105,1140.7394736842105,CROSSED_2
37452,143974.0,KIMS,20210726,1215.0,1232.7,1146.7,1196.25,1673782.0,1980385278.65,58567.0,DOWN,-1.72,1203.732142857143,1143.5149999999999,1143.5149999999999,1143.5149999999999,CROSSED_2
37855,149234.0,KIMS,20210727,1200.0,1247.0,1199.0,1221.85,465929.0,571251356.1,18596.0,UP,2.14,1214.825,1147.2452380952382,1147.2452380952382,1147.2452380952382,CROSSED_2
38579,155012.0,KIMS,20210728,1225.0,1231.95,1189.95,1199.4,332685.0,400965843.45,18523.0,DOWN,-1.84,1221.814285714286,1156.8857142857141,1149.615909090909,1149.615909090909,CROSSED_2
38888,160760.0,KIMS,20210729,1200.0,1234.0,1197.05,1215.55,642744.0,778975959.9,13864.0,UP,1.35,1228.042857142857,1168.6309523809523,1152.482608695652,1152.482608695652,CROSSED_2
39360,166484.0,KIMS,20210730,1210.0,1227.2,1197.9,1205.45,448787.0,542250501.8,13954.0,DOWN,-0.83,1233.9785714285715,1180.935714285714,1154.6895833333333,1154.6895833333333,CROSSED_2
39667,6931.0,KIMS,20210802,1208.0,1305.0,1200.0,1274.4,684320.0,864216772.45,23547.0,UP,5.72,1241.8607142857143,1194.3595238095238,1159.478,1159.478,CROSSED_2
40327,12682.0,KIMS,20210803,1282.0,1328.0,1274.0,1287.2,720269.0,938690609.95,23064.0,UP,1.0,1248.632142857143,1207.1666666666667,1164.3903846153846,1164.3903846153846,CROSSED_2
40669,18429.0,KIMS,20210804,1295.0,1320.0,1256.0,1264.7,328843.0,424345301.5,15399.0,DOWN,-1.75,1249.4392857142855,1215.2761904761905,1168.1055555555556,1168.1055555555556,CROSSED_2
40941,30393.0,KIMS,20210806,1234.0,1249.0,1220.5,1228.1,145046.0,178614225.15,8384.0,DOWN,-2.89,1244.6000000000001,1222.9690476190476,1170.2482142857143,1170.2482142857143,CROSSED_2
41808,49555.0,KIMS,20210809,1234.25,1236.6,1219.8,1226.2,153616.0,188306257.95,7838.0,DOWN,-0.15,1240.65,1228.904761904762,1172.1775862068966,1172.1775862068966,CROSSED_2
42088,54797.0,KIMS,20210810,1230.0,1245.9,981.0,1166.65,349945.0,423859065.9,18947.0,DOWN,-4.86,1231.2892857142856,1230.7285714285713,1171.9933333333333,1171.9933333333333,CROSSED_2
42554,60576.0,KIMS,20210811,1275.0,1300.0,1216.8,1275.8,2762675.0,3503030616.35,90050.0,UP,9.36,1230.732142857143,1238.0357142857142,1175.3419354838709,1175.3419354838709,CROSSED_2
42866,66313.0,KIMS,20210812,1276.1,1319.0,1255.5,1299.7,968900.0,1256675105.15,36667.0,UP,1.87,1234.175,1244.495238095238,1179.228125,1179.228125,CROSSED_2
43210,72069.0,KIMS,20210813,1298.7,1317.85,1270.0,1276.3,339482.0,440202191.6,14474.0,DOWN,-1.8,1238.3964285714285,1248.490476190476,1182.1696969696968,1182.1696969696968,CROSSED_2
43878,86872.0,KIMS,20210816,1283.95,1284.25,1207.5,1221.5,666275.0,816626204.3,16366.0,DOWN,-4.29,1240.2,1246.9714285714285,1183.3264705882352,1183.3264705882352,CROSSED_2
44365,92127.0,KIMS,20210817,1220.0,1390.0,1212.15,1377.45,1818877.0,2433563919.8,70662.0,UP,12.77,1251.314285714286,1250.857142857143,1188.8728571428571,1188.8728571428571,CROSSED_2
44894,98379.0,KIMS,20210818,1393.0,1397.5,1335.1,1369.9,545465.0,743118554.6,25506.0,DOWN,-0.55,1263.4928571428572,1255.0666666666668,1193.9013888888887,1193.9013888888887,CROSSED_2
45002,108466.0,KIMS,20210820,1367.0,1394.8,1283.5,1291.8,678995.0,907453177.85,33020.0,DOWN,-5.7,1268.939285714286,1254.7857142857142,1196.5472972972973,1196.5472972972973,CROSSED_2
45472,125235.0,KIMS,20210823,1304.9,1335.1,1220.75,1251.55,576652.0,725982451.0,25454.0,DOWN,-3.12,1272.232142857143,1253.259523809524,1197.9947368421053,1197.9947368421053,CROSSED_2
46344,130503.0,KIMS,20210824,1258.6,1284.2,1247.0,1262.2,234513.0,296717085.4,12668.0,UP,0.85,1271.3607142857143,1253.7690476190478,1199.6410256410256,1199.6410256410256,CROSSED_2
46623,136767.0,KIMS,20210825,1268.95,1282.0,1255.05,1275.9,212085.0,269753956.65,9728.0,UP,1.09,1270.5535714285713,1256.564285714286,1201.5475000000001,1201.5475000000001,CROSSED_2
46849,143019.0,KIMS,20210826,1282.3,1295.0,1256.0,1288.0,173384.0,221439186.8,9128.0,UP,0.95,1272.2178571428574,1260.9333333333334,1203.6560975609757,1203.6560975609757,CROSSED_2
47337,147809.0,KIMS,20210827,1275.0,1290.0,1261.1,1277.0,194455.0,247834339.45,9620.0,DOWN,-0.85,1275.7107142857144,1263.5595238095239,1205.402380952381,1205.402380952381,CROSSED_2
47907,165046.0,KIMS,20210830,1282.4,1314.45,1255.0,1288.8,333376.0,429440014.25,20134.0,UP,0.92,1280.1821428571427,1267.8166666666668,1207.3418604651163,1207.3418604651163,CROSSED_2
48550,170293.0,KIMS,20210831,1290.0,1309.0,1272.0,1285.4,288729.0,372667850.45,14789.0,DOWN,-0.26,1288.6642857142858,1271.142857142857,1209.115909090909,1209.115909090909,CROSSED_2
48811,5977.0,KIMS,20210901,1292.65,1292.65,1260.0,1264.9,202016.0,256787638.95,16111.0,DOWN,-1.59,1287.8857142857144,1273.9738095238095,1210.3555555555556,1210.3555555555556,CROSSED_2
49172,11728.0,KIMS,20210902,1271.25,1278.15,1255.0,1257.75,141226.0,178531125.45,8476.0,DOWN,-0.57,1284.8892857142857,1273.1809523809522,1211.3858695652175,1211.3858695652175,CROSSED_2
49820,17482.0,KIMS,20210903,1257.0,1268.7,1237.0,1239.05,145519.0,181667070.45,8974.0,DOWN,-1.49,1282.2285714285715,1270.888095238095,1211.9744680851065,1211.9744680851065,CROSSED_2
50374,34696.0,KIMS,20210906,1242.0,1298.85,1242.0,1284.05,333320.0,424486795.05,20363.0,UP,3.63,1286.6964285714287,1271.8095238095239,1213.4760416666666,1213.4760416666666,CROSSED_2
50885,41407.0,KIMS,20210907,1277.3,1286.95,1252.5,1256.25,130842.0,165178888.55,7261.0,DOWN,-2.17,1278.0392857142858,1273.15,1214.3489795918367,1214.3489795918367,CROSSED_2
51147,48136.0,KIMS,20210908,1263.1,1266.3,1223.2,1241.15,240010.0,297896554.45,9831.0,DOWN,-1.2,1268.8428571428572,1273.8619047619047,1214.885,1214.885,CROSSED_2
51681,53842.0,KIMS,20210909,1244.0,1260.0,1231.3,1249.75,148216.0,184278735.15,5256.0,UP,0.69,1265.8392857142858,1277.8190476190478,1219.941,1215.5686274509803,CROSSED_2
52077,75916.0,KIMS,20210913,1256.8,1269.45,1251.25,1264.55,105456.0,133220662.35,10577.0,UP,1.18,1266.767857142857,1277.2833333333333,1225.854,1216.510576923077,CROSSED_2
52743,81173.0,KIMS,20210914,1269.0,1287.35,1243.3,1256.45,125863.0,159148733.45,8342.0,DOWN,-0.64,1266.357142857143,1275.2238095238095,1232.042,1217.2641509433963,CROSSED_2
53212,85945.0,KIMS,20210915,1262.75,1272.85,1241.0,1243.35,129427.0,161768019.4,9976.0,DOWN,-1.04,1264.0321428571426,1273.654761904762,1237.059,1217.7472222222223,CROSSED_2
