,ID,Symbol,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,TOTTRDQTY,TOTTRDVAL,TOTALTRADES,UP_DOWN,CHNAGE_%,SMA_14,SMA_21,SMA_50,SMA_200,ABT_cases
4743,65365.0,KNRCON,20210412,205.1,208.75,195.7,199.7,640414.0,129066569.95,16429.0,-,0,199.7,199.7,199.7,199.7,0
5133,71121.0,KNRCON,20210413,198.5,206.7,196.75,204.8,328329.0,66166365.8,8648.0,UP,2.55,202.25,202.25,202.25,202.25,0
5784,81644.0,KNRCON,20210415,203.95,209.75,200.75,206.2,332582.0,67770849.5,8426.0,UP,0.68,203.5666666666667,203.5666666666667,203.5666666666667,203.5666666666667,0
6194,86416.0,KNRCON,20210416,206.0,208.9,202.5,204.05,308498.0,63627366.6,11572.0,DOWN,-1.04,203.6875,203.6875,203.6875,203.6875,0
6715,103181.0,KNRCON,20210419,196.0,206.4,193.95,203.25,478763.0,96188292.5,12339.0,DOWN,-0.39,203.6,203.6,203.6,203.6,0
7346,107516.0,KNRCON,20210420,203.45,205.45,200.0,201.8,250734.0,51002339.25,7262.0,DOWN,-0.71,203.29999999999998,203.29999999999998,203.29999999999998,203.29999999999998,0
7389,118542.0,KNRCON,20210422,200.0,203.7,198.1,199.75,483929.0,97255146.0,10629.0,DOWN,-1.02,202.79285714285714,202.79285714285714,202.79285714285714,202.79285714285714,0
8036,124778.0,KNRCON,20210423,199.0,201.1,194.6,195.15,537308.0,105982475.9,10845.0,DOWN,-2.3,201.8375,201.8375,201.8375,201.8375,0
8615,142065.0,KNRCON,20210426,196.85,197.3,189.25,189.95,1044668.0,200075427.6,19433.0,DOWN,-2.66,200.51666666666668,200.51666666666668,200.51666666666668,200.51666666666668,0
8833,146854.0,KNRCON,20210427,188.0,193.0,188.0,192.05,393884.0,75462749.25,5649.0,UP,1.11,199.67000000000002,199.67000000000002,199.67000000000002,199.67000000000002,0
9537,152601.0,KNRCON,20210428,194.3,196.35,192.5,194.25,587876.0,114278261.45,5365.0,UP,1.15,199.1772727272727,199.1772727272727,199.1772727272727,199.1772727272727,0
10006,158825.0,KNRCON,20210429,198.55,202.5,198.0,199.65,873371.0,174702520.4,9704.0,UP,2.78,199.21666666666667,199.21666666666667,199.21666666666667,199.21666666666667,0
10345,164586.0,KNRCON,20210430,200.0,202.0,198.55,200.05,295100.0,59184707.35,5083.0,UP,0.2,199.28076923076924,199.28076923076924,199.28076923076924,199.28076923076924,0
10965,16550.0,KNRCON,20210503,200.0,201.5,196.0,197.3,263988.0,52135957.3,6779.0,DOWN,-1.37,199.1392857142857,199.1392857142857,199.1392857142857,199.1392857142857,0
11209,22270.0,KNRCON,20210504,198.0,200.45,197.5,198.65,218810.0,43569632.85,4501.0,UP,0.68,199.06428571428572,199.10666666666665,199.10666666666665,199.10666666666665,WILL_CROSS_1
11655,27518.0,KNRCON,20210505,198.65,201.4,196.1,198.1,225880.0,45073295.35,5204.0,DOWN,-0.28,198.58571428571426,199.04375,199.04375,199.04375,WILL_CROSS_1
12454,33274.0,KNRCON,20210506,199.0,201.8,198.2,199.9,240759.0,48191364.6,6220.0,UP,0.91,198.1357142857143,199.09411764705882,199.09411764705882,199.09411764705882,WILL_CROSS_1
12637,40480.0,KNRCON,20210507,200.9,202.0,199.0,199.55,205937.0,41228328.8,7211.0,DOWN,-0.18,197.81428571428572,199.11944444444444,199.11944444444444,199.11944444444444,WILL_CROSS_1
13450,58657.0,KNRCON,20210510,199.55,206.0,199.55,204.25,398367.0,80826842.45,7719.0,UP,2.36,197.8857142857143,199.38947368421054,199.38947368421054,199.38947368421054,WILL_CROSS_1
13565,63956.0,KNRCON,20210511,205.9,209.0,204.0,204.6,491997.0,101577282.4,11337.0,UP,0.17,198.08571428571426,199.65,199.65,199.65,WILL_CROSS_1
14178,68715.0,KNRCON,20210512,205.5,214.0,205.0,212.55,1134684.0,239831632.8,19238.0,UP,3.89,199.0,200.26428571428573,200.26428571428573,200.26428571428573,WILL_CROSS_1
14779,80236.0,KNRCON,20210514,216.95,218.5,207.0,208.55,644734.0,137267626.6,14087.0,DOWN,-1.88,199.95714285714286,200.6857142857143,200.6409090909091,200.6409090909091,WILL_CROSS_1
14885,95989.0,KNRCON,20210517,209.55,214.7,209.1,213.45,529732.0,112472251.55,9914.0,UP,2.35,201.6357142857143,201.09761904761905,201.19782608695652,201.19782608695652,CROSSED_2
15499,101269.0,KNRCON,20210518,213.95,216.5,213.45,215.3,398083.0,85717331.7,7516.0,UP,0.87,203.29642857142858,201.5309523809524,201.7854166666667,201.7854166666667,CROSSED_2
15887,106081.0,KNRCON,20210519,217.0,217.75,209.15,216.35,462124.0,99042027.3,9273.0,UP,0.49,204.87500000000003,202.11666666666665,202.368,202.368,CROSSED_2
16579,111349.0,KNRCON,20210520,218.0,222.0,210.35,215.75,1828159.0,400035736.35,23959.0,DOWN,-0.28,206.02500000000003,202.71190476190475,202.8826923076923,202.8826923076923,CROSSED_2
16992,117140.0,KNRCON,20210521,223.0,230.0,218.65,227.75,3215754.0,725946052.9,49707.0,UP,5.56,208.00357142857143,203.94761904761904,203.8037037037037,203.8037037037037,CROSSED_2
17575,134368.0,KNRCON,20210524,231.1,235.0,230.1,233.45,1621137.0,377111360.25,21812.0,UP,2.5,210.58571428571426,205.55238095238093,204.86249999999998,204.86249999999998,CROSSED_2
17746,140149.0,KNRCON,20210525,237.0,239.45,226.85,228.4,988568.0,230692544.25,17161.0,DOWN,-2.16,212.71071428571432,207.1357142857143,205.6741379310345,205.6741379310345,CROSSED_2
18258,144937.0,KNRCON,20210526,228.9,234.4,228.9,229.9,549636.0,127485630.35,11864.0,UP,0.66,214.9821428571429,209.03809523809525,206.48166666666665,206.48166666666665,CROSSED_2
18972,150696.0,KNRCON,20210527,228.8,230.0,216.0,222.65,1994439.0,445838631.7,21792.0,DOWN,-3.15,216.60714285714286,210.4952380952381,207.00322580645164,207.00322580645164,CROSSED_2
19071,157419.0,KNRCON,20210528,221.4,223.0,216.5,217.05,581343.0,127490266.25,12191.0,DOWN,-2.52,217.85714285714286,211.58095238095243,207.3171875,207.3171875,CROSSED_2
19851,172683.0,KNRCON,20210531,218.0,224.25,217.5,219.7,434105.0,95652596.3,8143.0,UP,1.22,218.96071428571426,212.53571428571428,207.69242424242427,207.69242424242427,CROSSED_2
20018,4079.0,KNRCON,20210601,220.5,223.8,218.8,221.35,308624.0,68276356.5,7897.0,UP,0.75,220.15714285714287,213.55,208.09411764705882,208.09411764705882,CROSSED_2
20458,9313.0,KNRCON,20210602,219.05,221.55,217.4,218.95,274152.0,60102852.55,6500.0,DOWN,-1.08,220.6142857142857,214.58095238095237,208.4042857142857,208.4042857142857,CROSSED_2
20967,15095.0,KNRCON,20210603,220.0,230.0,220.0,223.75,874562.0,197684967.4,15149.0,UP,2.19,221.70000000000002,215.77619047619044,208.83055555555555,208.83055555555555,CROSSED_2
21668,21314.0,KNRCON,20210604,224.7,231.6,224.0,229.05,796442.0,182263240.7,14416.0,UP,2.37,222.81428571428572,217.25,209.37702702702703,209.37702702702703,CROSSED_2
22052,39023.0,KNRCON,20210607,231.0,232.0,227.0,227.45,428811.0,98278296.5,15163.0,DOWN,-0.7,223.68214285714288,218.5619047619047,209.85263157894735,209.85263157894735,CROSSED_2
22487,45747.0,KNRCON,20210608,229.1,229.9,224.0,225.85,410634.0,92919724.15,20244.0,DOWN,-0.7,224.36071428571427,219.81428571428575,210.26282051282053,210.26282051282053,CROSSED_2
23042,51430.0,KNRCON,20210609,226.75,230.6,222.0,223.0,469004.0,106524928.3,10826.0,DOWN,-1.26,224.8785714285714,220.70714285714288,210.58125,210.58125,CROSSED_2
23443,57206.0,KNRCON,20210610,224.9,227.1,223.1,225.8,193013.0,43465856.85,7496.0,UP,1.26,224.7392857142857,221.71666666666667,210.95243902439023,210.95243902439023,CROSSED_2
23866,63005.0,KNRCON,20210611,226.55,227.8,220.25,222.8,250995.0,56187174.55,8929.0,DOWN,-1.33,223.97857142857143,222.2047619047619,211.2345238095238,211.2345238095238,CROSSED_2
24404,78785.0,KNRCON,20210614,222.9,225.6,218.5,223.7,259571.0,57508753.1,8818.0,UP,0.4,223.64285714285714,222.92619047619047,211.52441860465115,211.52441860465115,CROSSED_2
24684,84019.0,KNRCON,20210615,224.0,229.5,221.55,227.0,489528.0,110614767.55,13902.0,UP,1.48,223.43571428571428,223.57142857142858,211.87613636363633,211.87613636363633,CROSSED_2
25455,89247.0,KNRCON,20210616,229.35,229.6,219.0,224.2,741175.0,165398021.1,13940.0,DOWN,-1.23,223.54642857142858,223.99523809523808,212.15,212.15,CROSSED_2
25810,94538.0,KNRCON,20210617,224.65,227.7,220.1,226.25,600730.0,134601152.4,20600.0,UP,0.91,224.20357142857142,224.46666666666667,212.45652173913044,212.45652173913044,CROSSED_2
26404,100809.0,KNRCON,20210618,229.0,229.0,216.2,223.0,6094363.0,1359652533.5,21392.0,DOWN,-1.44,224.43928571428572,224.81190476190477,212.68085106382978,212.68085106382978,CROSSED_2
26500,115689.0,KNRCON,20210621,218.0,225.0,215.0,222.45,422797.0,94081113.95,13322.0,DOWN,-0.25,224.51785714285714,224.5595238095238,212.884375,212.884375,CROSSED_2
27015,121914.0,KNRCON,20210622,224.7,225.5,222.2,223.65,386195.0,86261857.45,8550.0,UP,0.54,224.85357142857143,224.09285714285718,213.10408163265308,213.10408163265308,CROSSED_2
27566,127616.0,KNRCON,20210623,225.4,225.45,221.1,221.75,158243.0,35295188.0,5804.0,DOWN,-0.85,224.71071428571426,223.7761904761905,213.27700000000002,213.27700000000002,CROSSED_2
