,ID,Symbol,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,TOTTRDQTY,TOTTRDVAL,TOTALTRADES,UP_DOWN,CHNAGE_%,SMA_14,SMA_21,SMA_50,SMA_200,ABT_cases
4749,65371.0,LALPATHLAB,20210412,3154.0,3399.3,3120.0,3336.55,2043208.0,6723965256.7,128709.0,-,0,3336.55,3336.55,3336.55,3336.55,0
5127,71127.0,LALPATHLAB,20210413,3335.0,3359.9,2905.0,2947.95,1583637.0,4899413261.55,120573.0,DOWN,-11.65,3142.25,3142.25,3142.25,3142.25,0
5790,81650.0,LALPATHLAB,20210415,3057.0,3060.0,2901.0,2936.2,1299787.0,3855446933.7,84072.0,DOWN,-0.4,3073.566666666667,3073.566666666667,3073.566666666667,3073.566666666667,0
6188,86422.0,LALPATHLAB,20210416,2950.0,3021.15,2908.0,2920.2,727793.0,2152656740.25,56142.0,DOWN,-0.54,3035.225,3035.225,3035.225,3035.225,0
6721,103187.0,LALPATHLAB,20210419,2910.0,3044.0,2818.9,2998.1,1265666.0,3792730152.95,79693.0,UP,2.67,3027.8,3027.8,3027.8,3027.8,0
7352,107522.0,LALPATHLAB,20210420,3000.05,3000.85,2861.0,2904.75,767760.0,2250570742.05,50688.0,DOWN,-3.11,3007.2916666666665,3007.2916666666665,3007.2916666666665,3007.2916666666665,0
7847,118548.0,LALPATHLAB,20210422,2904.0,2970.0,2871.6,2881.05,487575.0,1421848396.05,36739.0,DOWN,-0.82,2989.2571428571428,2989.2571428571428,2989.2571428571428,2989.2571428571428,0
8042,124784.0,LALPATHLAB,20210423,2896.6,2928.3,2805.0,2884.75,674931.0,1935558505.15,46377.0,UP,0.13,2976.19375,2976.19375,2976.19375,2976.19375,0
8621,142071.0,LALPATHLAB,20210426,2899.0,2925.0,2833.0,2840.2,297542.0,851469441.3,23348.0,DOWN,-1.54,2961.0833333333335,2961.0833333333335,2961.0833333333335,2961.0833333333335,0
8839,146860.0,LALPATHLAB,20210427,2845.0,2859.75,2801.0,2816.0,269038.0,758287929.85,24690.0,DOWN,-0.85,2946.575,2946.575,2946.575,2946.575,0
9531,152607.0,LALPATHLAB,20210428,2810.0,2893.95,2800.0,2859.6,483575.0,1384014246.05,31801.0,UP,1.55,2938.668181818182,2938.668181818182,2938.668181818182,2938.668181818182,0
10012,158831.0,LALPATHLAB,20210429,2886.0,2945.0,2855.6,2926.45,577669.0,1679811473.3,39107.0,UP,2.34,2937.65,2937.65,2937.65,2937.65,0
10339,164592.0,LALPATHLAB,20210430,2960.0,2985.0,2920.0,2932.7,553159.0,1628880672.1,32397.0,UP,0.21,2937.269230769231,2937.269230769231,2937.269230769231,2937.269230769231,0
10959,16556.0,LALPATHLAB,20210503,2941.85,2959.2,2905.0,2928.7,227292.0,665795978.35,18645.0,DOWN,-0.14,2936.657142857143,2936.657142857143,2936.657142857143,2936.657142857143,0
