,ID,Symbol,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,TOTTRDQTY,TOTTRDVAL,TOTALTRADES,UP_DOWN,CHNAGE_%,SMA_14,SMA_21,SMA_50,SMA_200,ABT_cases
73986,129576.0,LATENTVIEW,20211123,512.2,548.0,461.1,488.75,28823707.0,14426378179.75,950872.0,-,0,488.75,488.75,488.75,488.75,0
74563,135345.0,LATENTVIEW,20211124,499.0,586.5,488.75,584.95,24383396.0,13472282934.05,558847.0,UP,19.68,536.85,536.85,536.85,536.85,0
75258,141125.0,LATENTVIEW,20211125,615.15,701.9,615.15,701.9,21809915.0,14576332484.0,540747.0,UP,19.99,591.8666666666667,591.8666666666667,591.8666666666667,591.8666666666667,0
75441,145913.0,LATENTVIEW,20211126,715.4,754.9,656.0,697.6,16289208.0,11545668617.9,505581.0,DOWN,-0.61,618.3,618.3,618.3,618.3,0
76050,163178.0,LATENTVIEW,20211129,700.0,720.0,631.15,641.4,6063072.0,3977764027.8,218322.0,DOWN,-8.06,622.92,622.92,622.92,622.92,0
76767,169364.0,LATENTVIEW,20211130,641.0,697.0,638.0,656.45,3917087.0,2633997406.15,156172.0,UP,2.35,628.5083333333333,628.5083333333333,628.5083333333333,628.5083333333333,0
77314,1721.0,LATENTVIEW,20211201,669.7,680.0,625.1,638.0,2236135.0,1447351143.25,85768.0,DOWN,-2.81,629.8642857142858,629.8642857142858,629.8642857142858,629.8642857142858,0
77371,7904.0,LATENTVIEW,20211202,642.0,652.55,622.7,629.45,1488524.0,941798749.8,61682.0,DOWN,-1.34,629.8125,629.8125,629.8125,629.8125,0
78263,13655.0,LATENTVIEW,20211203,635.0,664.25,627.75,638.35,2090434.0,1355422854.7,74962.0,UP,1.41,630.7611111111112,630.7611111111112,630.7611111111112,630.7611111111112,0
78314,30867.0,LATENTVIEW,20211206,641.55,649.0,620.0,622.35,1144464.0,724445459.55,46570.0,DOWN,-2.51,629.92,629.92,629.92,629.92,0
78789,36628.0,LATENTVIEW,20211207,633.05,643.25,605.0,612.4,1201508.0,742954614.45,45792.0,DOWN,-1.6,628.3272727272728,628.3272727272728,628.3272727272728,628.3272727272728,0
79434,43839.0,LATENTVIEW,20211208,618.0,635.0,600.0,623.25,1443401.0,898134780.55,60942.0,UP,1.77,627.9041666666667,627.9041666666667,627.9041666666667,627.9041666666667,0
80137,50029.0,LATENTVIEW,20211209,627.75,649.7,616.6,633.55,1433797.0,911095083.4,50425.0,UP,1.65,628.3384615384615,628.3384615384615,628.3384615384615,628.3384615384615,0
80632,55771.0,LATENTVIEW,20211210,634.0,644.9,630.0,631.8,689699.0,438701942.25,23383.0,DOWN,-0.28,628.5857142857143,628.5857142857143,628.5857142857143,628.5857142857143,0
81042,72543.0,LATENTVIEW,20211213,638.0,639.3,615.0,617.35,703557.0,438532513.45,31873.0,DOWN,-2.29,637.7714285714285,627.8366666666666,627.8366666666666,627.8366666666666,CROSSED_2
81259,76397.0,LATENTVIEW,20211214,612.3,619.0,600.25,602.4,728478.0,441671618.5,37131.0,DOWN,-2.42,639.0178571428571,626.246875,626.246875,626.246875,CROSSED_2
82072,82119.0,LATENTVIEW,20211215,602.95,630.0,588.0,601.75,1575394.0,964157308.0,62029.0,DOWN,-0.11,631.8642857142858,624.8058823529412,624.8058823529412,624.8058823529412,CROSSED_2
82567,87846.0,LATENTVIEW,20211216,607.0,613.4,589.45,591.25,668203.0,399713940.0,33385.0,DOWN,-1.74,624.2678571428571,622.9416666666667,622.9416666666667,622.9416666666667,CROSSED_2
